,Total_3_Putts_-__25_RANK THIS WEEK,Total_3_Putts_-__25_RANK LAST WEEK,Total_3_Putts_-__25_PLAYER NAME,Total_3_Putts_-__25_ROUNDS,Total_3_Putts_-__25_TOTAL 3 PUTTS > 25',Total_3_Putts_-__25_TOTAL 3 PUTTS
0,T1,T1,Michael Putnam,106,54,58
1,T1,T1,Kyle Stanley,87,54,74
2,3,3,Robert Allenby,83,52,57
3,4,4,Steven Bowditch,93,48,59
4,5,5,Nicholas Thompson,85,43,55
5,T6,T6,Charles Howell III,106,41,47
6,T6,T6,Vijay Singh,83,41,48
7,T8,T8,Derek Ernst,80,40,50
8,T8,T8,J.J. Henry,91,40,44
9,10,10,Justin Hicks,103,39,55
10,T11,T11,Morgan Hoffmann,103,38,44
11,T11,T11,Rory Sabbatini,82,38,54
12,T13,T13,Stewart Cink,91,37,46
13,T13,T13,Robert Garrigus,80,37,45
14,T13,T13,Geoff Ogilvy,84,37,49
15,T13,T13,Heath Slocum,71,37,43
16,T13,T13,Cameron Tringale,111,37,45
17,T18,T18,Martin Flores,85,36,42
18,T18,T18,Jhonattan Vegas,77,36,45
19,20,20,Carl Pettersson,91,35,46
20,T21,T21,Jeff Overton,80,34,41
21,T21,T21,Kevin Streelman,79,34,40
22,T21,T21,Camilo Villegas,95,34,46
23,T24,T24,Luke Guthrie,85,33,43
24,T24,T24,Bill Haas,107,33,38
25,T24,T24,Danny Lee,84,33,39
26,T24,T24,Jim Renner,61,33,40
27,T24,T24,Andres Romero,81,33,46
28,T24,T24,Brendan Steele,89,33,41
29,T24,T24,Boo Weekley,73,33,38
30,T31,T31,Ricky Barnes,92,32,39
31,T31,T31,Ángel Cabrera,69,32,38
32,T31,T31,Ken Duke,80,32,46
33,T31,T31,Billy Horschel,92,32,39
34,T31,T31,Trevor Immelman,84,32,37
35,T31,T31,David Lingmerth,80,32,36
36,T31,T31,John Merrick,87,32,41
37,T31,T31,Webb Simpson,87,32,38
38,T31,T31,Scott Stallings,77,32,39
39,T31,T31,Hudson Swafford,75,32,40
40,T31,T31,Gary Woodland,93,32,37
41,T42,T42,Kevin Chappell,100,31,42
42,T42,T42,Graham DeLaet,80,31,41
43,T42,T42,Chesson Hadley,84,31,40
44,T42,T42,Brian Harman,111,31,36
45,T42,T42,Chris Kirk,105,31,39
46,T42,T42,Hideki Matsuyama,82,31,47
47,T42,T42,George McNeill,79,31,39
48,T42,T42,Daniel Summerhays,98,31,37
49,T50,T50,Stuart Appleby,92,30,38
50,T50,T50,Harris English,95,30,38
51,T50,T50,Jim Furyk,84,30,32
52,T50,T50,Brice Garnett,92,30,38
53,T50,T50,Russell Knox,92,30,40
54,T50,T50,Davis Love III,74,30,41
55,T50,T50,Pat Perez,84,30,36
56,T57,T57,Brendon de Jonge,109,29,33
57,T57,T57,Ernie Els,85,29,32
58,T57,T57,Gonzalo Fernandez-Castaño,83,29,42
59,T57,T57,James Hahn,82,29,38
60,T57,T57,John Huh,87,29,36
61,T57,T57,Andrew Loupe,65,29,34
62,T57,T57,John Peterson,62,29,33
63,T57,T57,Patrick Reed,92,29,35
64,T57,T57,Andrew Svoboda,77,29,32
65,T57,T57,Kevin Tway,64,29,32
66,T67,T67,Brian Davis,93,28,38
67,T67,T67,Retief Goosen,94,28,33
68,T67,T67,Hunter Mahan,88,28,34
69,T67,T67,Wes Roach,67,28,41
70,T67,T67,Robert Streb,75,28,35
71,T67,T67,Josh Teater,90,28,35
72,T67,T67,Michael Thompson,74,28,35
73,T67,T67,Tyrone Van Aswegen,79,28,31
74,T67,T67,Nick Watney,80,28,35
75,T76,T76,Scott Brown,100,27,38
76,T76,T76,Erik Compton,88,27,31
77,T76,T76,Ben Curtis,77,27,29
78,T76,T76,Brian Gay,81,27,33
79,T76,T76,J.B. Holmes,86,27,35
80,T76,T76,Will MacKenzie,82,27,37
81,T76,T76,Kevin Na,94,27,34
82,T76,T76,Seung-Yul Noh,92,27,44
83,T76,T76,D.A. Points,75,27,32
84,T76,T76,Bo Van Pelt,83,27,38
85,T86,T86,Ben Martin,80,26,28
86,T86,T86,Troy Matteson,62,26,30
87,T86,T86,Ryan Moore,86,26,30
88,T86,T86,Ryan Palmer,85,26,34
89,T86,T86,Jordan Spieth,102,26,36
90,T86,T86,Mark Wilson,69,26,33
91,T92,T92,Sangmoon Bae,76,25,37
92,T92,T92,Briny Baird,50,25,31
93,T92,T92,Charlie Beljan,76,25,36
94,T92,T92,Jim Herman,62,25,32
95,T92,T92,Billy Hurley III,86,25,33
96,T92,T92,Zach Johnson,97,25,29
97,T92,T92,Martin Laird,66,25,29
98,T92,T92,John Rollins,84,25,31
99,T92,T92,Shawn Stefani,60,25,31
100,T101,T101,Keegan Bradley,89,24,26
101,T101,T101,Chad Campbell,57,24,27
102,T101,T101,Lucas Glover,68,24,41
103,T101,T101,David Hearn,97,24,30
104,T101,T101,Scott Langley,95,24,30
105,T101,T101,Richard Lee,80,24,28
106,T101,T101,Marc Leishman,81,24,30
107,T108,T108,Jonathan Byrd,76,23,29
108,T108,T108,Tommy Gainey,73,23,34
109,T108,T108,Russell Henley,92,23,30
110,T108,T108,Sean O'Hair,77,23,30
111,T108,T108,Kevin Stadler,90,23,28
112,T108,T108,Brian Stuard,91,23,30
113,T108,T108,Brendon Todd,108,23,32
114,T108,T108,Mike Weir,69,23,25
115,T108,T108,Charlie Wi,72,23,32
116,T108,T108,Tim Wilkinson,86,23,28
117,T118,T118,Woody Austin,63,22,31
118,T118,T118,James Driscoll,71,22,29
119,T118,T118,Matt Every,85,22,31
120,T118,T118,Charley Hoffman,93,22,33
121,T118,T118,Jamie Lovemark,64,22,29
122,T118,T118,Louis Oosthuizen,50,22,28
123,T118,T118,Jimmy Walker,98,22,26
124,T125,T125,Bud Cauley,56,21,24
125,T125,T125,Jerry Kelly,80,21,27
126,T125,T125,Kevin Kisner,85,21,22
127,T125,T125,Jeff Maggert,54,21,29
128,T125,T125,William McGirt,96,21,27
129,T125,T125,Johnson Wagner,69,21,25
130,T131,T131,Chad Collins,78,20,21
131,T131,T131,Ben Crane,81,20,30
132,T131,T131,Matt Kuchar,91,20,28
133,T131,T131,D.H. Lee,54,20,24
134,T131,T131,Charl Schwartzel,64,20,25
135,T131,T131,Brandt Snedeker,89,20,29
136,T131,T131,Chris Stroud,88,20,28
137,T131,T131,Y.E. Yang,79,20,28
138,T139,T139,Aaron Baddeley,74,19,24
139,T139,T139,Greg Chalmers,85,19,24
140,T139,T139,Tim Clark,75,19,29
141,T139,T139,Jason Dufner,57,19,27
142,T139,T139,Rickie Fowler,91,19,26
143,T139,T139,Troy Merritt,62,19,24
144,T139,T139,Ian Poulter,57,19,27
145,T139,T139,John Senden,99,19,23
146,T147,T147,Roberto Castro,76,18,24
147,T147,T147,Freddie Jacobson,91,18,24
148,T147,T147,David Toms,64,18,24
149,T147,T147,Lee Westwood,57,18,23
150,T151,T151,Ryo Ishikawa,75,17,25
151,T151,T151,Brooks Koepka,56,17,23
152,T151,T151,Jason Kokrak,65,17,26
153,T151,T151,Justin Leonard,75,17,20
154,T151,T151,Spencer Levin,59,17,22
155,T151,T151,Bryce Molder,77,17,20
156,T157,T157,K.J. Choi,80,16,25
157,T157,T157,Martin Kaymer,65,16,23
158,T157,T157,Phil Mickelson,71,16,28
159,T157,T157,"Ted Potter, Jr.",68,16,31
160,T157,T157,Adam Scott,68,16,23
161,T162,T162,Jason Bohn,81,15,22
162,T162,T162,Luke Donald,57,15,19
163,T162,T162,Bubba Watson,76,15,18
164,T165,T165,Brad Fritsch,50,14,20
165,T165,T165,Matt Jones,83,14,22
166,T167,T167,Paul Casey,56,13,19
167,T167,T167,Sergio Garcia,61,13,16
168,T167,T167,Justin Rose,70,13,20
169,T170,T170,Jonas Blixt,64,12,15
170,T170,T170,Bronson La'Cassie,51,12,17
171,T170,T170,Willy Wilcox,51,12,14
172,173,173,Henrik Stenson,56,11,16
173,174,174,Rory McIlroy,66,10,18
174,T175,T175,Jason Day,54,9,9
175,T175,T175,Dustin Johnson,58,9,16
176,T175,T175,Graeme McDowell,66,9,13
