,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
0,1,1,Jordan Spieth,102,8.26,809,98
1,2,2,Justin Leonard,75,7.96,597,75
2,T3,T3,Aaron Baddeley,74,7.94,572,72
3,T3,T3,Brian Gay,81,7.94,627,79
4,5,5,Ian Poulter,57,7.75,434,56
5,T6,T6,Greg Chalmers,85,7.74,627,81
6,T6,T6,Mike Weir,69,7.74,503,65
7,8,8,J.B. Holmes,86,7.73,665,86
8,9,9,Richard Lee,80,7.69,600,78
9,10,10,Phil Mickelson,71,7.68,545,71
10,11,11,Luke Guthrie,85,7.62,648,85
11,T12,T12,Rickie Fowler,91,7.6,646,85
12,T12,T12,Charl Schwartzel,64,7.6,471,62
13,T14,T14,Chris Kirk,105,7.57,787,104
14,T14,T14,Brendon Todd,108,7.57,818,108
15,16,16,Luke Donald,57,7.54,422,56
16,T17,T17,Freddie Jacobson,91,7.52,684,91
17,T17,T17,Rory McIlroy,66,7.52,481,64
18,T17,T17,Chris Stroud,88,7.52,662,88
19,20,20,Morgan Hoffmann,103,7.51,743,99
20,21,21,Tim Wilkinson,86,7.5,615,82
21,T22,T22,Stuart Appleby,92,7.49,674,90
22,T22,T22,Wes Roach,67,7.49,472,63
23,T24,T24,Gonzalo Fernandez-Castaño,83,7.48,613,82
24,T24,T24,Kevin Na,94,7.48,703,94
25,26,26,Ernie Els,85,7.46,589,79
26,T27,T27,Chad Collins,78,7.45,551,74
27,T27,T27,Andres Romero,81,7.45,574,77
28,29,29,Matt Every,85,7.44,632,85
29,T30,T30,Brandt Snedeker,89,7.43,646,87
30,T30,T30,Lee Westwood,57,7.43,416,56
31,32,32,Brian Davis,93,7.42,690,93
32,33,33,Jerry Kelly,80,7.41,593,80
33,T34,T34,Tim Clark,75,7.4,555,75
34,T34,T34,Ryan Palmer,85,7.4,629,85
35,36,36,Ricky Barnes,92,7.38,649,88
36,T37,T37,Sangmoon Bae,76,7.36,559,76
37,T37,T37,Brian Stuard,91,7.36,640,87
38,39,39,Graeme McDowell,66,7.35,456,62
39,40,40,Andrew Loupe,65,7.34,448,61
40,41,41,Erik Compton,88,7.32,644,88
41,T42,T42,K.J. Choi,80,7.31,585,80
42,T42,T42,Sergio Garcia,61,7.31,424,58
43,T42,T42,Charlie Wi,72,7.31,512,70
44,T45,T45,Scott Langley,95,7.3,679,93
45,T45,T45,Patrick Reed,92,7.3,657,90
46,T47,T47,Scott Brown,100,7.29,729,100
47,T47,T47,Jason Day,54,7.29,350,48
48,T47,T47,Hideki Matsuyama,82,7.29,583,80
49,T47,T47,Jimmy Walker,98,7.29,700,96
50,T51,T51,Steven Bowditch,93,7.28,677,93
51,T51,T51,Charley Hoffman,93,7.28,677,93
52,T51,T51,Dustin Johnson,58,7.28,415,57
53,T51,T51,Adam Scott,68,7.28,495,68
54,T55,T55,Bryce Molder,77,7.27,531,73
55,T55,T55,Pat Perez,84,7.27,611,84
56,57,57,William McGirt,96,7.25,696,96
57,T58,T58,Webb Simpson,87,7.24,608,84
58,T58,T58,Michael Thompson,74,7.24,536,74
59,T60,T60,Jonas Blixt,64,7.23,448,62
60,T60,T60,Brooks Koepka,56,7.23,405,56
61,T62,T62,James Driscoll,71,7.21,512,71
62,T62,T62,Ryo Ishikawa,75,7.21,541,75
63,T62,T62,Robert Streb,75,7.21,512,71
64,65,65,Ben Crane,81,7.2,583,81
65,T66,T66,Brad Fritsch,50,7.19,345,48
66,T66,T66,Matt Kuchar,91,7.19,633,88
67,T66,T66,Kevin Streelman,79,7.19,561,78
68,T69,T69,Brian Harman,111,7.18,797,111
69,T69,T69,Jeff Overton,80,7.18,546,76
70,71,71,Bronson La'Cassie,51,7.15,336,47
71,72,72,Camilo Villegas,95,7.14,678,95
72,73,73,Zach Johnson,97,7.13,684,96
73,T74,T74,Chesson Hadley,84,7.12,598,84
74,T74,T74,Brendan Steele,89,7.12,605,85
75,76,76,Matt Jones,83,7.11,590,83
76,T77,T77,George McNeill,79,7.1,561,79
77,T77,T77,Seung-Yul Noh,92,7.1,653,92
78,T77,T77,Justin Rose,70,7.1,483,68
79,T77,T77,Y.E. Yang,79,7.1,554,78
80,T81,T81,Keegan Bradley,89,7.09,624,88
81,T81,T81,Tommy Gainey,73,7.09,489,69
82,T81,T81,Russell Henley,92,7.09,652,92
83,T81,T81,Jason Kokrak,65,7.09,461,65
84,T81,T81,Sean O'Hair,77,7.09,546,77
85,T81,T81,Tyrone Van Aswegen,79,7.09,553,78
