,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Graeme McDowell,66,102.55,627,30,613
1,2,2,Luke Donald,57,101.94,618,25,605
2,3,3,Freddie Jacobson,91,101.88,1117,46,1092
3,4,4,John Senden,99,101.41,1135,41,1110
4,5,5,Greg Chalmers,85,101.4,999,37,976
5,6,6,Adam Scott,68,101.28,784,35,759
6,7,7,Sergio Garcia,61,101.24,564,22,549
7,8,8,Kevin Kisner,85,101.22,986,31,967
8,9,9,Zach Johnson,97,101.16,1209,39,1184
9,10,10,Jimmy Walker,98,100.99,1011,35,986
10,11,11,Brendon Todd,108,100.96,1252,50,1214
11,12,12,Russell Henley,92,100.87,1034,37,1006
12,13,13,Danny Lee,84,100.85,940,35,913
13,14,14,Chris Kirk,105,100.84,1192,49,1153
14,15,15,Daniel Summerhays,98,100.79,1265,50,1225
15,16,16,Gary Woodland,93,100.77,1044,31,1021
16,17,17,Jim Furyk,84,100.74,948,27,928
17,18,18,Scott Brown,100,100.68,1168,46,1130
18,19,19,Brooks Koepka,56,100.67,595,19,580
19,20,20,Kevin Na,94,100.65,1075,35,1047
20,21,21,Rory McIlroy,66,100.59,673,28,649
21,22,22,Hunter Mahan,88,100.58,1037,32,1011
22,23,23,David Hearn,97,100.53,1126,33,1099
23,24,24,Webb Simpson,87,100.48,1041,41,1005
24,25,25,Justin Leonard,75,100.46,871,22,853
25,26,26,Jeff Overton,80,100.44,911,30,885
26,T27,T27,Jason Day,54,100.43,464,7,459
27,T27,T27,Graham DeLaet,80,100.43,931,40,895
28,29,29,Brian Harman,111,100.42,1416,44,1378
29,30,30,Morgan Hoffmann,103,100.4,1238,38,1205
30,31,31,Retief Goosen,94,100.36,1114,35,1083
31,32,32,Richard Lee,80,100.35,851,20,834
