,Putts_Made_Per_Event_Over_10_RANK THIS WEEK,Putts_Made_Per_Event_Over_10_RANK LAST WEEK,Putts_Made_Per_Event_Over_10_PLAYER NAME,Putts_Made_Per_Event_Over_10_ROUNDS,Putts_Made_Per_Event_Over_10_PUTTS MADE
0,1,1,Graeme McDowell,66,8.1
1,2,2,Sergio Garcia,61,7.7
2,3,3,Rory McIlroy,66,7.5
3,4,4,Adam Scott,68,7.3
4,5,5,Matt Kuchar,91,7.2
5,6,6,Chris Kirk,105,7.0
6,T7,T7,Graham DeLaet,80,6.6
7,T7,T7,Matt Every,85,6.6
8,T7,T7,Daniel Summerhays,98,6.6
9,T7,T7,Brendon Todd,108,6.6
10,T11,T11,John Senden,99,6.5
11,T11,T11,Webb Simpson,87,6.5
12,13,13,Ryan Palmer,85,6.4
13,T14,T14,Paul Casey,56,6.3
14,T14,T14,Luke Donald,57,6.3
15,T14,T14,Dustin Johnson,58,6.3
16,T14,T14,Jordan Spieth,102,6.3
17,18,18,Jimmy Walker,98,6.2
18,T19,T19,Bill Haas,107,6.1
19,T19,T19,Zach Johnson,97,6.1
20,T19,T19,Ryan Moore,86,6.1
21,T19,T19,Charl Schwartzel,64,6.1
22,T19,T19,Brandt Snedeker,89,6.1
23,T19,T19,Lee Westwood,57,6.1
24,T25,T25,Keegan Bradley,89,6.0
25,T25,T25,Freddie Jacobson,91,6.0
26,T25,T25,Chris Stroud,88,6.0
27,T28,T28,K.J. Choi,80,5.9
28,T28,T28,Hunter Mahan,88,5.9
29,T28,T28,Henrik Stenson,56,5.9
30,T28,T28,Michael Thompson,74,5.9
31,T32,T32,Brian Harman,111,5.8
32,T32,T32,David Hearn,97,5.8
33,T32,T32,George McNeill,79,5.8
34,T32,T32,Justin Rose,70,5.8
35,T32,T32,Gary Woodland,93,5.8
36,T37,T37,Ernie Els,85,5.7
37,T37,T37,Luke Guthrie,85,5.7
38,T37,T37,Jason Kokrak,65,5.7
39,T37,T37,Kevin Streelman,79,5.7
40,T37,T37,Bubba Watson,76,5.7
41,T42,T42,Aaron Baddeley,74,5.6
42,T42,T42,Ricky Barnes,92,5.6
43,T42,T42,Stewart Cink,91,5.6
44,T42,T42,Ben Curtis,77,5.6
45,T42,T42,Jim Furyk,84,5.6
46,T42,T42,Martin Kaymer,65,5.6
47,T42,T42,Jerry Kelly,80,5.6
48,T42,T42,Hideki Matsuyama,82,5.6
49,T42,T42,Kevin Na,94,5.6
50,T42,T42,Robert Streb,75,5.6
51,T52,T52,Jason Dufner,57,5.5
52,T52,T52,Charley Hoffman,93,5.5
53,T52,T52,Troy Merritt,62,5.5
54,T52,T52,Phil Mickelson,71,5.5
55,T52,T52,Andres Romero,81,5.5
56,T52,T52,Shawn Stefani,60,5.5
57,T58,T58,Justin Hicks,103,5.4
58,T58,T58,Brooks Koepka,56,5.4
59,T58,T58,Marc Leishman,81,5.4
60,T58,T58,Camilo Villegas,95,5.4
61,T62,T62,Sangmoon Bae,76,5.3
62,T62,T62,Greg Chalmers,85,5.3
63,T62,T62,Morgan Hoffmann,103,5.3
64,T62,T62,Charles Howell III,106,5.3
65,T62,T62,Matt Jones,83,5.3
66,T62,T62,Scott Langley,95,5.3
67,T62,T62,John Merrick,87,5.3
68,T62,T62,David Toms,64,5.3
69,T70,T70,Ben Crane,81,5.2
70,T70,T70,Gonzalo Fernandez-Castaño,83,5.2
71,T70,T70,Retief Goosen,94,5.2
72,T70,T70,Russell Henley,92,5.2
73,T70,T70,Ryo Ishikawa,75,5.2
74,T70,T70,Seung-Yul Noh,92,5.2
75,T70,T70,Patrick Reed,92,5.2
76,T70,T70,Heath Slocum,71,5.2
77,T70,T70,Brian Stuard,91,5.2
78,T70,T70,Cameron Tringale,111,5.2
79,T80,T80,Kevin Chappell,100,5.1
80,T80,T80,Jason Day,54,5.1
81,T80,T80,Brendon de Jonge,109,5.1
82,T80,T80,Rickie Fowler,91,5.1
83,T80,T80,Danny Lee,84,5.1
84,T80,T80,Andrew Loupe,65,5.1
85,T80,T80,Jeff Overton,80,5.1
86,T80,T80,Pat Perez,84,5.1
87,T80,T80,Brendan Steele,89,5.1
88,T89,T89,Brian Davis,93,5.0
89,T89,T89,Harris English,95,5.0
90,T89,T89,J.B. Holmes,86,5.0
91,T89,T89,William McGirt,96,5.0
92,T89,T89,Geoff Ogilvy,84,5.0
93,T94,T94,Stuart Appleby,92,4.9
94,T94,T94,Ken Duke,80,4.9
95,T94,T94,Robert Garrigus,80,4.9
96,T94,T94,Justin Leonard,75,4.9
97,T94,T94,Bo Van Pelt,83,4.9
98,T94,T94,Nick Watney,80,4.9
99,T100,T100,Scott Brown,100,4.8
100,T100,T100,Ángel Cabrera,69,4.8
101,T100,T100,Billy Horschel,92,4.8
102,T100,T100,Russell Knox,92,4.8
103,T100,T100,Davis Love III,74,4.8
104,T100,T100,Ian Poulter,57,4.8
105,T100,T100,Tim Wilkinson,86,4.8
106,T107,T107,Chad Campbell,57,4.7
107,T107,T107,Erik Compton,88,4.7
108,T107,T107,Martin Flores,85,4.7
109,T107,T107,Billy Hurley III,86,4.7
110,T107,T107,Kevin Kisner,85,4.7
111,T107,T107,Will MacKenzie,82,4.7
112,T107,T107,Carl Pettersson,91,4.7
113,T107,T107,Rory Sabbatini,82,4.7
114,T115,T115,Ben Martin,80,4.6
115,T115,T115,Tyrone Van Aswegen,79,4.6
116,T117,T117,Charlie Beljan,76,4.5
117,T117,T117,Jonas Blixt,64,4.5
118,T117,T117,Brian Gay,81,4.5
119,T117,T117,Andrew Svoboda,77,4.5
120,T121,T121,Robert Allenby,83,4.4
121,T121,T121,Jonathan Byrd,76,4.4
122,T121,T121,Tim Clark,75,4.4
123,T124,T124,Jason Bohn,81,4.3
124,T124,T124,Brice Garnett,92,4.3
125,T124,T124,John Huh,87,4.3
126,T124,T124,David Lingmerth,80,4.3
127,T124,T124,Wes Roach,67,4.3
128,T124,T124,Vijay Singh,83,4.3
129,T130,T130,Chad Collins,78,4.2
130,T130,T130,James Hahn,82,4.2
131,T130,T130,D.H. Lee,54,4.2
132,T130,T130,Louis Oosthuizen,50,4.2
133,T130,T130,"Ted Potter, Jr.",68,4.2
134,T130,T130,Michael Putnam,106,4.2
135,T130,T130,John Rollins,84,4.2
