,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
0,1,1,Rory McIlroy,66,11.64,189,22
1,2,2,Danny Lee,84,9.28,291,27
2,3,3,Adam Scott,68,9.21,228,21
3,4,4,Brian Gay,81,9.02,255,23
4,5,5,Sergio Garcia,61,8.72,172,15
5,6,6,Y.E. Yang,79,8.57,245,21
6,7,7,Chris Kirk,105,7.91,354,28
7,8,8,David Toms,64,7.89,228,18
8,9,9,Henrik Stenson,56,7.65,183,14
9,10,10,Brandt Snedeker,89,7.63,262,20
10,11,11,Dustin Johnson,58,7.59,158,12
11,12,12,John Senden,99,7.54,398,30
12,13,13,Camilo Villegas,95,7.53,372,28
13,14,14,Zach Johnson,97,7.43,350,26
14,15,15,Matt Jones,83,7.36,258,19
15,16,16,Luke Donald,57,7.35,204,15
16,17,17,Phil Mickelson,71,7.33,191,14
17,18,18,Robert Streb,75,7.32,287,21
18,19,19,Troy Merritt,62,7.31,219,16
19,20,20,Graeme McDowell,66,7.29,192,14
20,21,21,George McNeill,79,7.21,305,22
21,22,22,Will MacKenzie,82,7.17,321,23
22,23,23,D.H. Lee,54,7.14,182,13
23,T24,T24,K.J. Choi,80,7.12,267,19
24,T24,T24,Luke Guthrie,85,7.12,295,21
25,26,26,Scott Langley,95,7.08,339,24
26,T27,T27,Ricky Barnes,92,7.06,326,23
27,T27,T27,Webb Simpson,87,7.06,326,23
28,T27,T27,Brendan Steele,89,7.06,326,23
29,30,30,Lee Westwood,57,6.99,186,13
30,31,31,Greg Chalmers,85,6.96,316,22
31,32,32,Brendon Todd,108,6.95,374,26
32,33,33,Russell Henley,92,6.94,346,24
33,34,34,Scott Brown,100,6.92,347,24
34,T35,T35,Seung-Yul Noh,92,6.87,335,23
35,T35,T35,Rory Sabbatini,82,6.87,262,18
36,37,37,Freddie Jacobson,91,6.85,336,23
37,38,38,Jerry Kelly,80,6.74,282,19
38,39,39,Matt Every,85,6.72,253,17
39,40,40,Tim Wilkinson,86,6.64,271,18
40,41,41,Charlie Beljan,76,6.62,287,19
41,42,42,Brian Davis,93,6.61,333,22
42,43,43,Brooks Koepka,56,6.59,182,12
43,44,44,Michael Thompson,74,6.55,275,18
44,45,45,Ángel Cabrera,69,6.49,262,17
45,46,46,Trevor Immelman,84,6.48,324,21
46,47,47,Stuart Appleby,92,6.46,356,23
47,48,48,Charl Schwartzel,64,6.36,220,14
48,49,49,Wes Roach,67,6.34,205,13
49,50,50,Justin Rose,70,6.31,206,13
50,T51,T51,Heath Slocum,71,6.29,302,19
51,T51,T51,Daniel Summerhays,98,6.29,429,27
52,53,53,Hideki Matsuyama,82,6.28,223,14
53,T54,T54,Billy Hurley III,86,6.25,336,21
54,T54,T54,Martin Kaymer,65,6.25,192,12
55,T56,T56,Matt Kuchar,91,6.23,337,21
56,T56,T56,Chris Stroud,88,6.23,289,18
57,58,58,Bo Van Pelt,83,6.19,307,19
58,59,59,Shawn Stefani,60,6.1,246,15
59,60,60,Tim Clark,75,6.09,230,14
60,61,61,Stewart Cink,91,6.08,362,22
61,T62,T62,Retief Goosen,94,6.06,363,22
62,T62,T62,Brian Harman,111,6.06,396,24
63,64,64,Erik Compton,88,6.05,347,21
64,T65,T65,Paul Casey,56,6.04,182,11
65,T65,T65,Ben Curtis,77,6.04,298,18
66,67,67,Jimmy Walker,98,6.01,333,20
67,68,68,Aaron Baddeley,74,5.98,251,15
68,T69,T69,Jason Bohn,81,5.94,320,19
69,T69,T69,Kevin Na,94,5.94,303,18
70,71,71,Andres Romero,81,5.93,337,20
71,72,72,Charlie Wi,72,5.92,287,17
72,73,73,Jim Renner,61,5.91,237,14
73,74,74,Ryan Palmer,85,5.88,289,17
74,T75,T75,Woody Austin,63,5.83,223,13
75,T75,T75,Mark Wilson,69,5.83,240,14
76,77,77,Willy Wilcox,51,5.81,172,10
77,78,78,John Merrick,87,5.79,311,18
78,79,79,Geoff Ogilvy,84,5.75,313,18
79,80,80,Jeff Overton,80,5.74,296,17
80,T81,T81,Ryan Moore,86,5.71,245,14
81,T81,T81,"Ted Potter, Jr.",68,5.71,245,14
82,83,83,Charley Hoffman,93,5.7,316,18
83,84,84,Chad Collins,78,5.67,247,14
84,85,85,Johnson Wagner,69,5.57,287,16
85,86,86,Kevin Kisner,85,5.56,306,17
86,87,87,Justin Hicks,103,5.52,453,25
87,88,88,Kevin Streelman,79,5.51,236,13
88,T89,T89,Briny Baird,50,5.5,218,12
89,T89,T89,Lucas Glover,68,5.5,200,11
90,T89,T89,Kevin Stadler,90,5.5,309,17
91,92,92,Justin Leonard,75,5.47,256,14
92,93,93,David Hearn,97,5.45,330,18
93,94,94,Brendon de Jonge,109,5.44,423,23
94,95,95,Rickie Fowler,91,5.41,259,14
95,96,96,Sangmoon Bae,76,5.39,297,16
96,97,97,Graham DeLaet,80,5.37,298,16
97,98,98,Robert Garrigus,80,5.34,281,15
98,99,99,Ben Crane,81,5.3,321,17
99,T100,T100,Steven Bowditch,93,5.28,322,17
100,T100,T100,Kevin Chappell,100,5.28,360,19
101,102,102,Gonzalo Fernandez-Castaño,83,5.23,287,15
102,103,103,Carl Pettersson,91,5.22,383,20
103,104,104,Marc Leishman,81,5.21,307,16
104,105,105,Ernie Els,85,5.19,231,12
105,T106,T106,Charles Howell III,106,5.18,463,24
106,T106,T106,Hunter Mahan,88,5.18,328,17
107,T106,T106,Kevin Tway,64,5.18,251,13
108,109,109,Jeff Maggert,54,5.11,176,9
109,110,110,Jordan Spieth,102,5.08,256,13
110,111,111,Louis Oosthuizen,50,5.07,138,7
111,112,112,Brad Fritsch,50,5.03,159,8
112,113,113,Morgan Hoffmann,103,5.01,399,20
113,114,114,Jason Dufner,57,5.0,180,9
114,T115,T115,Ian Poulter,57,4.97,181,9
115,T115,T115,Brian Stuard,91,4.97,302,15
116,117,117,J.B. Holmes,86,4.94,263,13
117,T118,T118,James Driscoll,71,4.93,284,14
118,T118,T118,Jim Furyk,84,4.93,304,15
119,120,120,John Huh,87,4.85,309,15
120,121,121,Harris English,95,4.83,331,16
121,122,122,Roberto Castro,76,4.82,249,12
122,123,123,D.A. Points,75,4.78,251,12
123,124,124,Bud Cauley,56,4.76,210,10
124,T125,T125,Davis Love III,74,4.75,295,14
125,T125,T125,Sean O'Hair,77,4.75,295,14
126,127,127,Ryo Ishikawa,75,4.74,232,11
127,128,128,Josh Teater,90,4.72,339,16
128,129,129,Bill Haas,107,4.71,382,18
129,130,130,Keegan Bradley,89,4.66,279,13
130,131,131,Troy Matteson,62,4.61,217,10
131,132,132,Ken Duke,80,4.59,283,13
132,133,133,Gary Woodland,93,4.56,285,13
133,134,134,Vijay Singh,83,4.52,332,15
134,T135,T135,Jim Herman,62,4.5,222,10
