,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Jordan Spieth,102,47.65,223,468
1,2,2,Brian Gay,81,46.0,207,450
2,3,3,Luke Donald,57,45.49,131,288
3,4,4,Greg Chalmers,85,44.67,201,450
4,5,5,J.B. Holmes,86,44.21,191,432
5,6,6,Charl Schwartzel,64,44.12,135,306
6,7,7,Brice Garnett,92,43.83,213,486
7,8,8,Aaron Baddeley,74,43.48,180,414
8,9,9,Tyrone Van Aswegen,79,43.29,187,432
9,10,10,Jason Day,54,42.86,108,252
10,11,11,Gonzalo Fernandez-Castaño,83,42.82,185,432
11,12,12,K.J. Choi,80,42.75,177,414
12,13,13,Charlie Wi,72,42.59,184,432
13,14,14,Andrew Loupe,65,42.33,160,378
14,15,15,Matt Kuchar,91,42.03,174,414
15,16,16,Rory McIlroy,66,42.01,121,288
16,T17,T17,Jonas Blixt,64,41.94,151,360
17,T17,T17,Robert Streb,75,41.94,151,360
18,19,19,Ryan Palmer,85,41.79,173,414
19,20,20,Chris Kirk,105,41.77,203,486
20,21,21,Mike Weir,69,41.67,180,432
21,22,22,Kevin Na,94,41.56,202,486
22,23,23,Lee Westwood,57,41.5,127,306
23,24,24,Richard Lee,80,41.45,194,468
24,T25,T25,Sangmoon Bae,76,41.44,179,432
25,T25,T25,Brandt Snedeker,89,41.44,179,432
26,T25,T25,Tim Wilkinson,86,41.44,179,432
27,28,28,Pat Perez,84,41.33,186,450
28,29,29,Morgan Hoffmann,103,41.22,230,558
29,30,30,Brendon Todd,108,41.19,215,522
30,T31,T31,Steven Bowditch,93,41.11,222,540
31,T31,T31,Spencer Levin,59,41.11,148,360
32,33,33,Justin Rose,70,41.05,133,324
33,34,34,William McGirt,96,41.0,214,522
34,35,35,Patrick Reed,92,40.95,199,486
35,36,36,Zach Johnson,97,40.89,184,450
36,37,37,Brian Stuard,91,40.87,206,504
37,38,38,Jason Bohn,81,40.67,183,450
38,39,39,Ian Poulter,57,40.63,117,288
39,40,40,Keegan Bradley,89,40.44,182,450
40,41,41,Luke Guthrie,85,40.38,189,468
41,T42,T42,Jason Kokrak,65,40.35,138,342
42,T42,T42,D.H. Lee,54,40.35,138,342
43,44,44,Jerry Kelly,80,40.34,167,414
44,T45,T45,Stewart Cink,91,40.22,181,450
45,T45,T45,Charley Hoffman,93,40.22,181,450
46,T45,T45,Brendan Steele,89,40.22,181,450
47,T48,T48,Phil Mickelson,71,40.21,152,378
48,T48,T48,Wes Roach,67,40.21,152,378
49,50,50,Ricky Barnes,92,40.17,188,468
50,51,51,Erik Compton,88,40.08,202,504
51,T52,T52,Freddie Jacobson,91,39.92,194,486
52,T52,T52,Seung-Yul Noh,92,39.92,194,486
53,T54,T54,Chesson Hadley,84,39.85,208,522
54,T54,T54,Russell Henley,92,39.85,208,522
55,56,56,Rickie Fowler,91,39.78,179,450
56,57,57,Tim Clark,75,39.74,186,468
57,58,58,Scott Langley,95,39.68,200,504
58,59,59,Hideki Matsuyama,82,39.61,164,414
59,T60,T60,Tommy Gainey,73,39.58,171,432
60,T60,T60,Ryo Ishikawa,75,39.58,171,432
61,T62,T62,Retief Goosen,94,39.56,178,450
62,T62,T62,Chris Stroud,88,39.56,178,450
63,64,64,Adam Scott,68,39.54,121,306
64,T65,T65,Billy Hurley III,86,39.53,185,468
65,T65,T65,Jimmy Walker,98,39.53,185,468
66,67,67,Danny Lee,84,39.51,192,486
67,T68,T68,Jim Furyk,84,39.44,142,360
68,T68,T68,Troy Merritt,62,39.44,142,360
69,70,70,Justin Leonard,75,39.39,156,396
70,71,71,Jonathan Byrd,76,39.37,163,414
71,72,72,Chad Collins,78,39.3,191,486
72,73,73,Stuart Appleby,92,39.29,198,504
73,74,74,Woody Austin,63,39.15,148,378
74,T75,T75,Ryan Moore,86,39.13,162,414
75,T75,T75,Jeff Overton,80,39.13,162,414
76,T77,T77,Robert Garrigus,80,39.11,176,450
77,T77,T77,Sean O'Hair,77,39.11,176,450
78,T77,T77,Rory Sabbatini,82,39.11,176,450
79,80,80,Ben Martin,80,39.1,183,468
80,81,81,Brendon de Jonge,109,39.07,218,558
81,T82,T82,Kevin Chappell,100,38.89,189,486
82,T82,T82,Andres Romero,81,38.89,168,432
83,T82,T82,Webb Simpson,87,38.89,168,432
84,T85,T85,Bill Haas,107,38.68,188,486
85,T85,T85,Russell Knox,92,38.68,181,468
86,87,87,Michael Thompson,74,38.64,153,396
87,T88,T88,Brian Davis,93,38.49,194,504
88,T88,T88,David Hearn,97,38.49,194,504
89,T88,T88,Henrik Stenson,56,38.49,97,252
90,91,91,Derek Ernst,80,38.48,187,486
91,92,92,Matt Every,85,38.46,180,468
92,93,93,Bubba Watson,76,38.33,138,360
93,T94,T94,Charlie Beljan,76,38.22,172,450
94,T94,T94,James Driscoll,71,38.22,172,450
95,T94,T94,Vijay Singh,83,38.22,172,450
96,97,97,Ernie Els,85,38.16,158,414
97,T98,T98,Scott Brown,100,37.96,205,540
98,T98,T98,Martin Kaymer,65,37.96,123,324
99,100,100,Troy Matteson,62,37.63,149,396
100,101,101,Shawn Stefani,60,37.58,115,306
101,T102,T102,Matt Jones,83,37.56,169,450
102,T102,T102,Geoff Ogilvy,84,37.56,169,450
103,104,104,Carl Pettersson,91,37.5,189,504
104,T105,T105,Harris English,95,37.45,182,486
105,T105,T105,Y.E. Yang,79,37.45,182,486
106,107,107,Brian Harman,111,37.33,215,576
107,108,108,Jim Renner,61,37.27,161,432
108,109,109,Kevin Streelman,79,37.2,154,414
109,110,110,Graeme McDowell,66,37.15,107,288
110,111,111,Ben Crane,81,37.11,167,450
111,T112,T112,Sergio Garcia,61,37.04,100,270
112,T112,T112,Andrew Svoboda,77,37.04,160,432
113,T114,T114,Kevin Kisner,85,36.97,173,468
114,T114,T114,Michael Putnam,106,36.97,193,522
115,T114,T114,Camilo Villegas,95,36.97,193,522
116,T117,T117,Marc Leishman,81,36.96,153,414
117,T117,T117,Johnson Wagner,69,36.96,153,414
118,119,119,John Huh,87,36.83,179,486
119,120,120,John Merrick,87,36.81,159,432
120,121,121,Davis Love III,74,36.77,139,378
121,122,122,Roberto Castro,76,36.75,172,468
122,123,123,David Lingmerth,80,36.67,165,450
123,124,124,Daniel Summerhays,98,36.63,178,486
124,125,125,Heath Slocum,71,36.62,145,396
125,126,126,Bryce Molder,77,36.57,158,432
126,127,127,Charles Howell III,106,36.4,190,522
127,T128,T128,Kevin Tway,64,36.36,144,396
128,T128,T128,Jhonattan Vegas,77,36.36,144,396
129,130,130,George McNeill,79,36.34,157,432
130,131,131,James Hahn,82,36.32,170,468
131,132,132,Briny Baird,50,36.27,111,306
132,133,133,Nick Watney,80,36.23,150,414
133,T134,T134,Louis Oosthuizen,50,36.11,91,252
134,T134,T134,"Ted Potter, Jr.",68,36.11,156,432
135,136,136,Jamie Lovemark,64,35.96,123,342
136,137,137,Bo Van Pelt,83,35.78,161,450
137,138,138,Cameron Tringale,111,35.66,199,558
138,139,139,Gary Woodland,93,35.65,154,432
139,140,140,D.A. Points,75,35.47,166,468
140,T141,T141,Dustin Johnson,58,35.42,102,288
141,T141,T141,Hunter Mahan,88,35.42,153,432
142,143,143,David Toms,64,35.38,121,342
143,T144,T144,Ángel Cabrera,69,35.27,146,414
144,T144,T144,Ben Curtis,77,35.27,146,414
145,T146,T146,Martin Flores,85,35.26,165,468
146,T146,T146,Billy Horschel,92,35.26,165,468
147,T148,T148,Will MacKenzie,82,35.19,171,486
148,T148,T148,Josh Teater,90,35.19,171,486
149,150,150,Kevin Stadler,90,35.11,158,450
150,151,151,Brooks Koepka,56,35.07,101,288
151,152,152,Ken Duke,80,34.95,151,432
152,153,153,Hudson Swafford,75,34.89,157,450
153,154,154,Willy Wilcox,51,34.81,94,270
154,155,155,Paul Casey,56,34.72,100,288
155,156,156,Justin Hicks,103,34.67,181,522
156,157,157,Brad Fritsch,50,34.64,106,306
157,158,158,J.J. Henry,91,34.62,162,468
158,159,159,Robert Allenby,83,34.52,174,504
159,160,160,Jeff Maggert,54,34.5,118,342
160,161,161,John Senden,99,34.36,167,486
161,162,162,Bud Cauley,56,34.21,117,342
162,163,163,Graham DeLaet,80,34.06,141,414
163,164,164,Mark Wilson,69,33.8,146,432
164,165,165,Lucas Glover,68,33.56,151,450
165,166,166,Nicholas Thompson,85,33.52,175,522
166,T167,T167,Chad Campbell,57,33.33,102,306
167,T167,T167,Jim Herman,62,33.33,120,360
168,169,169,Boo Weekley,73,32.83,130,396
169,170,170,Martin Laird,66,32.75,112,342
170,T171,T171,Trevor Immelman,84,32.72,159,486
171,T171,T171,John Rollins,84,32.72,159,486
172,T171,T171,Kyle Stanley,87,32.72,159,486
173,174,174,Bronson La'Cassie,51,32.68,100,306
174,175,175,Jason Dufner,57,32.22,87,270
175,176,176,Scott Stallings,77,32.1,156,486
176,177,177,John Peterson,62,31.4,130,414
