,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Greg Chalmers,85,64.9,302,196
1,2,2,Billy Horschel,92,64.31,297,191
2,3,3,Luke Donald,57,63.47,167,106
3,4,4,Jerry Kelly,80,62.88,264,166
4,5,5,Phil Mickelson,71,62.84,218,137
5,6,6,Michael Thompson,74,62.64,265,166
6,7,7,Stuart Appleby,92,62.53,387,242
7,8,8,Chesson Hadley,84,62.46,285,178
8,9,9,Russell Henley,92,61.9,315,195
9,10,10,Tim Clark,75,61.69,248,153
10,11,11,Matt Kuchar,91,61.01,277,169
11,12,12,Ryan Palmer,85,60.97,269,164
12,13,13,Brendon Todd,108,60.96,374,228
13,14,14,Rickie Fowler,91,60.94,256,156
14,15,15,Ian Poulter,57,60.92,174,106
15,16,16,Graeme McDowell,66,60.8,176,107
16,17,17,Freddie Jacobson,91,60.79,329,200
17,18,18,Brice Garnett,92,60.68,351,213
18,19,19,Aaron Baddeley,74,60.67,239,145
19,T20,T20,Morgan Hoffmann,103,60.66,394,239
20,T20,T20,Richard Lee,80,60.66,272,165
21,22,22,Chad Collins,78,60.63,254,154
22,23,23,Sean O'Hair,77,60.33,300,181
23,24,24,Patrick Reed,92,60.28,287,173
24,25,25,Jhonattan Vegas,77,60.22,279,168
25,26,26,Andres Romero,81,59.86,289,173
26,27,27,Retief Goosen,94,59.81,316,189
27,28,28,Lee Westwood,57,59.68,186,111
28,29,29,Rory McIlroy,66,59.49,195,116
29,30,30,Hudson Swafford,75,59.39,229,136
30,31,31,Russell Knox,92,59.36,342,203
31,32,32,Henrik Stenson,56,59.24,157,93
32,33,33,Matt Every,85,59.14,279,165
33,34,34,Jimmy Walker,98,59.03,310,183
34,35,35,David Hearn,97,59.0,361,213
35,36,36,Tim Wilkinson,86,58.97,329,194
36,37,37,Brian Davis,93,58.87,355,209
37,38,38,Sangmoon Bae,76,58.86,299,176
38,39,39,Paul Casey,56,58.76,194,114
39,40,40,Erik Compton,88,58.69,351,206
40,41,41,Billy Hurley III,86,58.63,307,180
41,42,42,Jeff Overton,80,58.61,302,177
42,43,43,Justin Hicks,103,58.56,362,212
43,44,44,Kevin Na,94,58.55,345,202
44,T45,T45,Cameron Tringale,111,58.44,409,239
45,T45,T45,Nick Watney,80,58.44,243,142
46,47,47,Matt Jones,83,58.43,267,156
47,48,48,J.B. Holmes,86,58.41,315,184
48,T49,T49,Ben Martin,80,58.36,269,157
49,T49,T49,William McGirt,96,58.36,341,199
50,T51,T51,Charley Hoffman,93,58.33,348,203
51,T51,T51,Adam Scott,68,58.33,228,133
52,53,53,Jordan Spieth,102,58.29,350,204
53,54,54,Chris Stroud,88,58.16,282,164
54,55,55,John Senden,99,58.15,313,182
55,56,56,Bryce Molder,77,57.99,269,156
56,57,57,Ben Crane,81,57.86,337,195
57,58,58,George McNeill,79,57.76,303,175
58,59,59,Justin Leonard,75,57.69,260,150
59,60,60,Keegan Bradley,89,57.65,255,147
60,T61,T61,Bronson La'Cassie,51,57.5,160,92
61,T61,T61,Jamie Lovemark,64,57.5,200,115
62,63,63,Brian Stuard,91,57.42,310,178
63,64,64,Pat Perez,84,57.37,312,179
64,65,65,Louis Oosthuizen,50,57.35,136,78
65,66,66,Danny Lee,84,57.27,330,189
66,67,67,Brian Gay,81,57.25,255,146
67,68,68,Willy Wilcox,51,57.14,182,104
68,69,69,Andrew Svoboda,77,57.09,289,165
69,70,70,Brooks Koepka,56,57.07,184,105
70,71,71,Tyrone Van Aswegen,79,56.99,272,155
71,72,72,Ben Curtis,77,56.87,262,149
72,73,73,Jason Bohn,81,56.83,315,179
73,74,74,Webb Simpson,87,56.82,308,175
74,75,75,Charlie Wi,72,56.76,259,147
75,76,76,John Huh,87,56.69,314,178
76,77,77,K.J. Choi,80,56.6,265,150
77,78,78,Ricky Barnes,92,56.59,311,176
78,79,79,Brendon de Jonge,109,56.57,373,211
79,80,80,Robert Garrigus,80,56.53,329,186
