,Putts_made_Distance_RANK THIS WEEK,Putts_made_Distance_RANK LAST WEEK,Putts_made_Distance_PLAYER NAME,Putts_made_Distance_EVENTS,Putts_made_Distance_DISTANCE IN INCHES
0,1,1,Graeme McDowell,17,57
1,2,2,Matt Every,26,56
2,3,3,Michael Thompson,22,55
3,T4,T4,Freddie Jacobson,27,54
4,T4,T4,Chris Kirk,28,54
5,T4,T4,Matt Kuchar,24,54
6,T4,T4,Danny Lee,28,54
7,T4,T4,Rory McIlroy,17,54
8,T4,T4,Andres Romero,26,54
9,T4,T4,Brendon Todd,29,54
10,T4,T4,Camilo Villegas,29,54
11,T12,T12,Stuart Appleby,29,53
12,T12,T12,Aaron Baddeley,24,53
13,T12,T12,Sangmoon Bae,24,53
14,T12,T12,Paul Casey,16,53
15,T12,T12,Greg Chalmers,27,53
16,T12,T12,Russell Henley,29,53
17,T12,T12,Phil Mickelson,21,53
18,T12,T12,Adam Scott,17,53
19,T12,T12,John Senden,27,53
20,T12,T12,Brandt Snedeker,25,53
21,T12,T12,Henrik Stenson,15,53
22,T12,T12,Lee Westwood,18,53
23,T24,T24,Charlie Beljan,26,52
24,T24,T24,Sergio Garcia,16,52
25,T24,T24,Luke Guthrie,26,52
26,T24,T24,David Hearn,28,52
27,T24,T24,Morgan Hoffmann,32,52
28,T24,T24,George McNeill,24,52
29,T24,T24,Ryan Palmer,23,52
30,T24,T24,Webb Simpson,25,52
31,T24,T24,Jimmy Walker,27,52
32,T33,T33,Scott Brown,30,51
33,T33,T33,Erik Compton,28,51
34,T33,T33,Ben Curtis,24,51
35,T33,T33,Brian Davis,28,51
36,T33,T33,Graham DeLaet,24,51
37,T33,T33,Luke Donald,17,51
38,T33,T33,D.H. Lee,20,51
39,T33,T33,Andrew Loupe,22,51
40,T33,T33,Troy Merritt,20,51
41,T33,T33,Kevin Na,27,51
42,T33,T33,Seung-Yul Noh,27,51
43,T33,T33,Jeff Overton,24,51
44,T33,T33,"Ted Potter, Jr.",24,51
45,T33,T33,Ian Poulter,17,51
46,T33,T33,Rory Sabbatini,26,51
47,T33,T33,Jordan Spieth,27,51
48,T33,T33,Brendan Steele,26,51
49,T33,T33,Robert Streb,21,51
50,T33,T33,Chris Stroud,25,51
51,T33,T33,Brian Stuard,29,51
52,T33,T33,Daniel Summerhays,27,51
53,T33,T33,David Toms,20,51
54,T33,T33,Bo Van Pelt,25,51
55,T56,T56,Ricky Barnes,27,50
56,T56,T56,Jonas Blixt,21,50
57,T56,T56,Ángel Cabrera,23,50
58,T56,T56,K.J. Choi,23,50
59,T56,T56,Ben Crane,25,50
60,T56,T56,James Driscoll,25,50
61,T56,T56,Brian Harman,32,50
62,T56,T56,Justin Hicks,30,50
63,T56,T56,Charley Hoffman,25,50
64,T56,T56,Billy Horschel,27,50
65,T56,T56,Ryo Ishikawa,24,50
66,T56,T56,Dustin Johnson,17,50
67,T56,T56,Jerry Kelly,23,50
68,T56,T56,Brooks Koepka,16,50
69,T56,T56,Scott Langley,29,50
70,T56,T56,Richard Lee,27,50
71,T56,T56,Will MacKenzie,27,50
72,T56,T56,Hunter Mahan,25,50
73,T56,T56,Ryan Moore,24,50
74,T56,T56,Wes Roach,22,50
75,T56,T56,Justin Rose,19,50
76,T56,T56,Charl Schwartzel,18,50
77,T56,T56,Heath Slocum,23,50
78,T56,T56,Shawn Stefani,17,50
79,T80,T80,Woody Austin,22,49
80,T80,T80,Keegan Bradley,26,49
81,T80,T80,Tim Clark,26,49
82,T80,T80,Chad Collins,28,49
83,T80,T80,Harris English,28,49
84,T80,T80,Rickie Fowler,26,49
85,T80,T80,Brian Gay,26,49
86,T80,T80,Retief Goosen,26,49
87,T80,T80,John Huh,28,49
88,T80,T80,Billy Hurley III,26,49
89,T80,T80,Matt Jones,25,49
90,T80,T80,Martin Kaymer,19,49
91,T80,T80,Kevin Kisner,26,49
92,T80,T80,Jason Kokrak,19,49
93,T80,T80,Marc Leishman,24,49
94,T80,T80,Justin Leonard,22,49
95,T80,T80,Ben Martin,26,49
96,T80,T80,Sean O'Hair,25,49
97,T80,T80,Geoff Ogilvy,26,49
98,T80,T80,Pat Perez,25,49
99,T80,T80,D.A. Points,27,49
100,T80,T80,Kevin Streelman,24,49
101,T80,T80,Nick Watney,25,49
102,T80,T80,Tim Wilkinson,25,49
103,T80,T80,Gary Woodland,25,49
104,T80,T80,Y.E. Yang,28,49
105,T106,T106,Chad Campbell,18,48
106,T106,T106,Kevin Chappell,28,48
107,T106,T106,Stewart Cink,25,48
108,T106,T106,Brendon de Jonge,31,48
109,T106,T106,Gonzalo Fernandez-Castaño,25,48
110,T106,T106,Martin Flores,26,48
111,T106,T106,Brad Fritsch,18,48
112,T106,T106,Jim Furyk,21,48
113,T106,T106,Tommy Gainey,26,48
114,T106,T106,Brice Garnett,28,48
115,T106,T106,Robert Garrigus,25,48
116,T106,T106,Bill Haas,28,48
117,T106,T106,Chesson Hadley,29,48
118,T106,T106,J.B. Holmes,24,48
119,T106,T106,Zach Johnson,26,48
120,T106,T106,David Lingmerth,26,48
121,T106,T106,Hideki Matsuyama,24,48
122,T106,T106,William McGirt,29,48
123,T106,T106,Louis Oosthuizen,16,48
124,T106,T106,Carl Pettersson,28,48
125,T106,T106,Patrick Reed,28,48
126,T106,T106,Scott Stallings,28,48
127,T106,T106,Andrew Svoboda,24,48
128,T106,T106,Hudson Swafford,26,48
129,T106,T106,Charlie Wi,25,48
130,T131,T131,Robert Allenby,29,47
131,T131,T131,Briny Baird,17,47
132,T131,T131,Jason Bohn,25,47
133,T131,T131,Roberto Castro,27,47
134,T131,T131,Jason Day,15,47
135,T131,T131,Ken Duke,25,47
136,T131,T131,Ernie Els,24,47
137,T131,T131,Trevor Immelman,28,47
138,T131,T131,Russell Knox,26,47
139,T131,T131,Martin Laird,20,47
140,T131,T131,Davis Love III,22,47
141,T131,T131,Bryce Molder,25,47
142,T131,T131,Cameron Tringale,31,47
143,T131,T131,Kevin Tway,23,47
144,T131,T131,Tyrone Van Aswegen,25,47
145,T131,T131,Johnson Wagner,24,47
146,T131,T131,Bubba Watson,21,47
147,T131,T131,Mike Weir,25,47
148,T149,T149,Steven Bowditch,30,46
149,T149,T149,Bud Cauley,19,46
150,T149,T149,Derek Ernst,28,46
151,T149,T149,James Hahn,27,46
152,T149,T149,Jim Herman,21,46
153,T149,T149,Charles Howell III,29,46
154,T149,T149,Spencer Levin,20,46
155,T149,T149,Jeff Maggert,19,46
156,T149,T149,John Merrick,25,46
