,Putting_from_-_10-15_RANK THIS WEEK,Putting_from_-_10-15_RANK LAST WEEK,Putting_from_-_10-15_PLAYER NAME,Putting_from_-_10-15_ROUNDS,Putting_from_-_10-15_% MADE,Putting_from_-_10-15_ATTEMPTS,Putting_from_-_10-15_PUTTS MADE
0,1,1,Aaron Baddeley,74,39.62,159,63
1,2,2,Sergio Garcia,61,37.72,114,43
2,3,3,Paul Casey,56,37.21,129,48
3,4,4,Brian Harman,111,36.98,265,98
4,5,5,Andrew Loupe,65,36.81,144,53
5,6,6,John Senden,99,36.57,216,79
6,7,7,Brandt Snedeker,89,36.36,165,60
7,8,8,Jason Day,54,36.08,97,35
8,9,9,Mike Weir,69,36.03,136,49
9,10,10,Ryan Palmer,85,35.71,182,65
10,11,11,Jimmy Walker,98,35.68,199,71
11,12,12,Gonzalo Fernandez-Castaño,83,35.67,171,61
12,13,13,Ben Curtis,77,35.64,188,67
13,14,14,Ben Martin,80,35.59,177,63
14,15,15,Lee Westwood,57,35.4,113,40
15,16,16,Matt Every,85,35.33,184,65
16,17,17,Chris Kirk,105,35.27,224,79
17,18,18,Brendon Todd,108,35.22,247,87
18,19,19,Martin Flores,85,35.09,171,60
19,T20,T20,Rickie Fowler,91,34.94,166,58
20,T20,T20,Tommy Gainey,73,34.94,166,58
21,22,22,Harris English,95,34.81,181,63
22,23,23,Graeme McDowell,66,34.65,127,44
23,24,24,Erik Compton,88,34.62,182,63
24,25,25,Jordan Spieth,102,34.6,211,73
25,26,26,Jason Kokrak,65,34.57,188,65
26,27,27,Seung-Yul Noh,92,34.27,178,61
27,28,28,Hideki Matsuyama,82,34.03,191,65
28,29,29,Webb Simpson,87,33.95,215,73
29,30,30,Stewart Cink,91,33.7,184,62
30,31,31,Dustin Johnson,58,33.59,128,43
31,T32,T32,George McNeill,79,33.33,189,63
32,T32,T32,Tyrone Van Aswegen,79,33.33,168,56
33,T32,T32,Bo Van Pelt,83,33.33,180,60
34,35,35,Daniel Summerhays,98,33.19,232,77
35,36,36,Jerry Kelly,80,33.16,190,63
36,37,37,Graham DeLaet,80,33.14,175,58
37,38,38,Freddie Jacobson,91,33.05,233,77
38,T39,T39,Heath Slocum,71,32.93,164,54
39,T39,T39,Andrew Svoboda,77,32.93,164,54
40,41,41,Scott Langley,95,32.84,201,66
41,T42,T42,Greg Chalmers,85,32.8,186,61
42,T42,T42,Matt Kuchar,91,32.8,189,62
43,44,44,Chad Collins,78,32.77,177,58
44,45,45,Michael Thompson,74,32.72,162,53
45,46,46,Brian Stuard,91,32.71,214,70
