,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Jordan Spieth,102,356,659,54.0
1,2,2,Brian Harman,111,351,724,48.5
2,3,3,Michael Putnam,106,345,606,56.9
3,4,4,Brendon Todd,108,343,697,49.2
4,T5,T5,Charles Howell III,106,335,648,51.7
5,T5,T5,Cameron Tringale,111,335,673,49.8
6,7,7,Brendon de Jonge,109,334,634,52.7
7,8,8,J.B. Holmes,86,331,598,55.4
8,9,9,Chris Kirk,105,329,659,49.9
9,10,10,Zach Johnson,97,327,611,53.5
10,11,11,Brian Davis,93,323,614,52.6
11,T12,T12,Kevin Chappell,100,322,607,53.0
12,T12,T12,Morgan Hoffmann,103,322,671,48.0
13,14,14,William McGirt,96,319,608,52.5
14,15,15,Scott Langley,95,316,582,54.3
15,16,16,Scott Brown,100,313,606,51.7
16,17,17,Steven Bowditch,93,312,563,55.4
17,18,18,Daniel Summerhays,98,302,608,49.7
18,19,19,Freddie Jacobson,91,301,611,49.3
19,T20,T20,Stuart Appleby,92,294,625,47.0
20,T20,T20,Russell Knox,92,294,571,51.5
21,T20,T20,Camilo Villegas,95,294,600,49.0
22,23,23,Bill Haas,107,293,569,51.5
23,24,24,Kevin Na,94,292,586,49.8
24,25,25,Greg Chalmers,85,291,577,50.4
25,T26,T26,Ricky Barnes,92,290,576,50.3
26,T26,T26,Retief Goosen,94,290,564,51.4
27,T26,T26,Luke Guthrie,85,290,581,49.9
28,T29,T29,Carl Pettersson,91,286,569,50.3
29,T29,T29,Patrick Reed,92,286,544,52.6
30,31,31,Gonzalo Fernandez-Castaño,83,285,526,54.2
31,32,32,Matt Kuchar,91,283,558,50.7
32,T33,T33,Brian Gay,81,281,497,56.5
33,T33,T33,Vijay Singh,83,281,516,54.5
34,T35,T35,David Hearn,97,280,591,47.4
35,T35,T35,Pat Perez,84,280,540,51.9
36,T37,T37,Chris Stroud,88,279,536,52.1
37,T37,T37,Tim Wilkinson,86,279,542,51.5
38,39,39,Brice Garnett,92,277,550,50.4
39,40,40,James Hahn,82,274,483,56.7
40,T41,T41,Ben Crane,81,273,558,48.9
41,T41,T41,Charley Hoffman,93,273,561,48.7
42,43,43,Chesson Hadley,84,272,504,54.0
43,44,44,Erik Compton,88,271,545,49.7
44,T45,T45,Seung-Yul Noh,92,270,534,50.6
45,T45,T45,Ryan Palmer,85,270,517,52.2
46,T47,T47,Hunter Mahan,88,269,507,53.1
47,T47,T47,Josh Teater,90,269,492,54.7
48,T47,T47,Jimmy Walker,98,269,539,49.9
49,T47,T47,Gary Woodland,93,269,504,53.4
50,T51,T51,Justin Hicks,103,268,572,46.9
51,T51,T51,Will MacKenzie,82,268,512,52.3
52,T51,T51,Andres Romero,81,268,529,50.7
