,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Justin Leonard,75,1.5430000000000001,2083,1350
1,2,2,Jordan Spieth,102,1.548,2730,1764
2,T3,T3,Aaron Baddeley,74,1.564,2027,1296
3,T3,T3,Greg Chalmers,85,1.564,2281,1458
4,5,5,Brian Gay,81,1.565,2225,1422
5,T6,T6,Charl Schwartzel,64,1.574,1757,1116
6,T6,T6,Brendon Todd,108,1.574,3059,1944
7,T8,T8,J.B. Holmes,86,1.575,2438,1548
8,T8,T8,Chris Stroud,88,1.575,2495,1584
9,10,10,Richard Lee,80,1.5759999999999998,2213,1404
10,11,11,Freddie Jacobson,91,1.577,2583,1638
11,T12,T12,Chad Collins,78,1.578,2102,1332
12,T12,T12,Mike Weir,69,1.578,1846,1170
13,14,14,Stuart Appleby,92,1.579,2558,1620
14,15,15,Chris Kirk,105,1.58,2958,1872
15,T16,T16,Rickie Fowler,91,1.581,2419,1530
16,T16,T16,Kevin Na,94,1.581,2675,1692
17,18,18,Luke Guthrie,85,1.5830000000000002,2422,1530
18,T19,T19,Morgan Hoffmann,103,1.585,2824,1782
19,T19,T19,Andres Romero,81,1.585,2197,1386
20,T21,T21,Jerry Kelly,80,1.5859999999999999,2284,1440
21,T21,T21,Brian Stuard,91,1.5859999999999999,2483,1566
22,T21,T21,Tim Wilkinson,86,1.5859999999999999,2341,1476
23,T24,T24,Graeme McDowell,66,1.587,1771,1116
24,T24,T24,Charlie Wi,72,1.587,2000,1260
25,T26,T26,Brian Davis,93,1.588,2659,1674
26,T26,T26,Luke Donald,57,1.588,1601,1008
27,T26,T26,Sergio Garcia,61,1.588,1658,1044
28,T26,T26,Phil Mickelson,71,1.588,2029,1278
29,30,30,Rory McIlroy,66,1.589,1830,1152
30,31,31,Ian Poulter,57,1.591,1604,1008
31,32,32,Brian Harman,111,1.5919999999999999,3180,1998
32,33,33,Ernie Els,85,1.594,2266,1422
33,T34,T34,Jason Day,54,1.595,1378,864
34,T34,T34,William McGirt,96,1.595,2756,1728
35,T36,T36,Gonzalo Fernandez-Castaño,83,1.5959999999999999,2355,1476
36,T36,T36,Dustin Johnson,58,1.5959999999999999,1638,1026
37,T36,T36,Scott Langley,95,1.5959999999999999,2671,1674
38,T36,T36,Ryan Palmer,85,1.5959999999999999,2442,1530
39,T36,T36,Brandt Snedeker,89,1.5959999999999999,2500,1566
40,T36,T36,Jimmy Walker,98,1.5959999999999999,2758,1728
41,T42,T42,Matt Jones,83,1.597,2386,1494
42,T42,T42,Matt Kuchar,91,1.597,2529,1584
43,T44,T44,Patrick Reed,92,1.598,2588,1620
44,T44,T44,Adam Scott,68,1.598,1956,1224
45,T46,T46,Jonas Blixt,64,1.599,1784,1116
46,T46,T46,Scott Brown,100,1.599,2878,1800
47,T46,T46,Erik Compton,88,1.599,2533,1584
48,T46,T46,Ben Crane,81,1.599,2331,1458
49,T46,T46,Ryo Ishikawa,75,1.599,2159,1350
50,T46,T46,Kevin Kisner,85,1.599,2446,1530
51,T46,T46,Andrew Loupe,65,1.599,1756,1098
52,T46,T46,Pat Perez,84,1.599,2417,1512
53,T54,T54,Jason Kokrak,65,1.6,1872,1170
54,T54,T54,Bryce Molder,77,1.6,2102,1314
55,T56,T56,K.J. Choi,80,1.601,2305,1440
56,T56,T56,Tim Clark,75,1.601,2161,1350
57,T56,T56,Matt Every,85,1.601,2450,1530
58,T59,T59,Ricky Barnes,92,1.6019999999999999,2537,1584
59,T59,T59,Jason Bohn,81,1.6019999999999999,2336,1458
60,T59,T59,Webb Simpson,87,1.6019999999999999,2422,1512
61,T62,T62,James Driscoll,71,1.6030000000000002,2049,1278
62,T62,T62,Justin Rose,70,1.6030000000000002,1962,1224
63,T64,T64,Keegan Bradley,89,1.604,2541,1584
64,T64,T64,Brad Fritsch,50,1.604,1386,864
65,T64,T64,Hideki Matsuyama,82,1.604,2310,1440
66,T64,T64,Jeff Overton,80,1.604,2194,1368
67,T68,T68,Sangmoon Bae,76,1.605,2195,1368
68,T68,T68,Zach Johnson,97,1.605,2774,1728
69,T68,T68,George McNeill,79,1.605,2283,1422
70,T71,T71,Wes Roach,67,1.6059999999999999,1821,1134
71,T71,T71,Robert Streb,75,1.6059999999999999,2052,1278
72,T73,T73,Russell Henley,92,1.607,2661,1656
73,T73,T73,David Lingmerth,80,1.607,2199,1368
74,T73,T73,Ben Martin,80,1.607,2314,1440
75,T76,T76,Ben Curtis,77,1.608,2113,1314
76,T76,T76,Brooks Koepka,56,1.608,1621,1008
77,T76,T76,Lee Westwood,57,1.608,1621,1008
78,T79,T79,Jim Furyk,84,1.609,2317,1440
79,T79,T79,Charley Hoffman,93,1.609,2694,1674
80,T79,T79,Marc Leishman,81,1.609,2317,1440
81,82,82,Bubba Watson,76,1.61,2116,1314
82,T83,T83,Paul Casey,56,1.611,1624,1008
83,T83,T83,Robert Garrigus,80,1.611,2320,1440
84,T83,T83,Chesson Hadley,84,1.611,2436,1512
85,T83,T83,Martin Kaymer,65,1.611,1856,1152
86,T83,T83,Kevin Streelman,79,1.611,2262,1404
87,T88,T88,David Hearn,97,1.6119999999999999,2815,1746
88,T88,T88,Will MacKenzie,82,1.6119999999999999,2380,1476
89,T88,T88,Tyrone Van Aswegen,79,1.6119999999999999,2263,1404
90,T91,T91,Brice Garnett,92,1.614,2556,1584
91,T91,T91,Ryan Moore,86,1.614,2440,1512
92,T93,T93,Brendon de Jonge,109,1.615,3168,1962
93,T93,T93,Sean O'Hair,77,1.615,2238,1386
94,T93,T93,Y.E. Yang,79,1.615,2267,1404
95,T96,T96,Retief Goosen,94,1.6159999999999999,2618,1620
96,T96,T96,Michael Thompson,74,1.6159999999999999,2153,1332
97,T98,T98,Jonathan Byrd,76,1.617,2095,1296
98,T98,T98,Kevin Chappell,100,1.617,2795,1728
99,T98,T98,Charles Howell III,106,1.617,3086,1908
100,T98,T98,Gary Woodland,93,1.617,2677,1656
101,T102,T102,Roberto Castro,76,1.618,2155,1332
102,T102,T102,Bronson La'Cassie,51,1.618,1369,846
103,T104,T104,Woody Austin,63,1.619,1719,1062
104,T104,T104,Steven Bowditch,93,1.619,2711,1674
105,T104,T104,D.H. Lee,54,1.619,1457,900
106,T107,T107,Danny Lee,84,1.62,2333,1440
107,T107,T107,Daniel Summerhays,98,1.62,2858,1764
108,T109,T109,Spencer Levin,59,1.621,1721,1062
109,T109,T109,Troy Merritt,62,1.621,1809,1116
110,T109,T109,John Senden,99,1.621,2888,1782
111,T109,T109,Cameron Tringale,111,1.621,3238,1998
112,113,113,Seung-Yul Noh,92,1.6219999999999999,2686,1656
113,114,114,Camilo Villegas,95,1.6230000000000002,2775,1710
114,T115,T115,Russell Knox,92,1.624,2690,1656
115,T115,T115,Brendan Steele,89,1.624,2485,1530
116,T117,T117,Harris English,95,1.6269999999999998,2694,1656
117,T117,T117,David Toms,64,1.6269999999999998,1816,1116
118,T117,T117,Johnson Wagner,69,1.6269999999999998,1904,1170
119,T120,T120,Tommy Gainey,73,1.6280000000000001,2022,1242
120,T120,T120,"Ted Potter, Jr.",68,1.6280000000000001,1993,1224
121,T120,T120,Shawn Stefani,60,1.6280000000000001,1758,1080
122,123,123,Hunter Mahan,88,1.629,2493,1530
123,124,124,Bill Haas,107,1.63,3080,1890
124,T125,T125,Billy Hurley III,86,1.632,2527,1548
125,T125,T125,Scott Stallings,77,1.632,2233,1368
126,T127,T127,Ángel Cabrera,69,1.633,2028,1242
127,T127,T127,Bud Cauley,56,1.633,1646,1008
128,T129,T129,John Huh,87,1.635,2443,1494
129,T129,T129,Troy Matteson,62,1.635,1707,1044
130,T129,T129,Geoff Ogilvy,84,1.635,2354,1440
131,132,132,Carl Pettersson,91,1.636,2679,1638
