,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,1,Graeme McDowell,66,0.882,40.589,46
1,2,2,Aaron Baddeley,74,0.872,51.445,59
2,3,3,Greg Chalmers,85,0.856,62.482,73
3,4,4,Matt Every,85,0.733,47.669,65
4,5,5,Freddie Jacobson,91,0.7040000000000001,56.992,81
5,6,6,Brendon Todd,108,0.664,60.431000000000004,91
6,7,7,Luke Donald,57,0.517,22.733,44
7,8,8,Morgan Hoffmann,103,0.506,45.523,90
8,9,9,Justin Leonard,75,0.496,30.750999999999998,62
9,10,10,Daniel Summerhays,98,0.49200000000000005,43.275,88
10,11,11,Stuart Appleby,92,0.48700000000000004,40.874,84
11,12,12,Jimmy Walker,98,0.479,34.989000000000004,73
12,13,13,John Senden,99,0.47600000000000003,38.586999999999996,81
13,14,14,Michael Thompson,74,0.466,27.951,60
14,15,15,Matt Kuchar,91,0.457,34.717,76
15,16,16,Richard Lee,80,0.446,27.183000000000003,61
16,17,17,Chad Collins,78,0.43799999999999994,26.719,61
17,18,18,Sangmoon Bae,76,0.418,27.179000000000002,65
18,19,19,Ben Curtis,77,0.4,25.623,64
19,20,20,Jordan Spieth,102,0.39899999999999997,31.52,79
20,21,21,Kevin Kisner,85,0.38799999999999996,27.176,70
21,22,22,Chris Kirk,105,0.374,32.126999999999995,86
22,23,23,Andres Romero,81,0.353,25.399,72
23,24,24,Retief Goosen,94,0.35200000000000004,27.461,78
24,25,25,Andrew Loupe,65,0.35,17.494,50
25,T26,T26,K.J. Choi,80,0.332,22.255,67
26,T26,T26,Russell Henley,92,0.332,24.92,75
27,28,28,Brandt Snedeker,89,0.326,21.541,66
28,29,29,Jason Day,54,0.317,10.450999999999999,33
29,T30,T30,David Hearn,97,0.315,25.838,82
30,T30,T30,Kevin Na,94,0.315,24.589000000000002,78
31,32,32,William McGirt,96,0.314,26.366999999999997,84
32,33,33,Jonas Blixt,64,0.303,13.027999999999999,43
33,34,34,Webb Simpson,87,0.3,22.203000000000003,74
34,35,35,Ryan Palmer,85,0.295,19.733,67
35,36,36,Ben Martin,80,0.29100000000000004,18.338,63
36,37,37,Rickie Fowler,91,0.29,17.976,62
37,T38,T38,Paul Casey,56,0.28300000000000003,12.446,44
38,T38,T38,Brian Stuard,91,0.28300000000000003,20.973000000000003,74
39,40,40,Erik Compton,88,0.282,21.133000000000003,75
40,41,41,Rory McIlroy,66,0.27399999999999997,13.15,48
41,42,42,George McNeill,79,0.271,18.955,70
42,T43,T43,Brian Gay,81,0.268,16.901,63
43,T43,T43,Scott Langley,95,0.268,21.185,79
44,45,45,Charley Hoffman,93,0.266,20.191,76
45,46,46,Mike Weir,69,0.256,13.559000000000001,53
46,47,47,Keegan Bradley,89,0.254,17.003,67
47,48,48,Pat Perez,84,0.251,18.859,75
48,T49,T49,Bryce Molder,77,0.249,15.929,64
49,T49,T49,Patrick Reed,92,0.249,18.44,74
50,51,51,Jerry Kelly,80,0.239,15.752,66
51,52,52,Phil Mickelson,71,0.23399999999999999,11.722000000000001,50
52,53,53,Jason Kokrak,65,0.222,13.532,61
53,T54,T54,Billy Horschel,92,0.22,15.21,69
54,T54,T54,Adam Scott,68,0.22,12.309000000000001,56
55,56,56,Scott Brown,100,0.21100000000000002,17.502,83
56,57,57,Hunter Mahan,88,0.207,14.888,72
57,58,58,Tim Wilkinson,86,0.205,14.569,71
58,59,59,Luke Guthrie,85,0.19,14.457,76
59,60,60,Chris Stroud,88,0.182,13.118,72
60,61,61,Sergio Garcia,61,0.16699999999999998,6.662000000000001,40
61,62,62,Brooks Koepka,56,0.162,6.7829999999999995,42
62,63,63,Ricky Barnes,92,0.157,12.237,78
63,64,64,Will MacKenzie,82,0.154,11.273,73
64,65,65,Lee Westwood,57,0.151,6.5089999999999995,43
65,66,66,Bill Haas,107,0.147,12.062999999999999,82
66,67,67,Brian Davis,93,0.145,11.779000000000002,81
67,68,68,Matt Jones,83,0.142,8.511000000000001,60
68,69,69,Danny Lee,84,0.141,9.737,69
69,70,70,Ben Crane,81,0.138,10.725999999999999,78
70,71,71,Jason Bohn,81,0.126,9.201,73
71,72,72,James Driscoll,71,0.12300000000000001,7.1370000000000005,58
72,73,73,Brendan Steele,89,0.121,8.462,70
73,74,74,Robert Streb,75,0.11900000000000001,7.609,64
74,75,75,Brian Harman,111,0.113,11.399000000000001,101
75,76,76,Charlie Wi,72,0.11199999999999999,7.308,65
76,77,77,Brice Garnett,92,0.109,8.475,78
77,78,78,Cameron Tringale,111,0.107,10.507,98
78,79,79,Zach Johnson,97,0.106,8.889,84
79,80,80,Ryo Ishikawa,75,0.092,5.682,62
80,81,81,Jim Furyk,84,0.091,6.024,66
81,T82,T82,Dustin Johnson,58,0.08199999999999999,3.362,41
82,T82,T82,Sean O'Hair,77,0.08199999999999999,5.51,67
83,84,84,Justin Hicks,103,0.069,6.188,90
84,85,85,Ian Poulter,57,0.067,2.759,41
85,T86,T86,Charl Schwartzel,64,0.055,2.9939999999999998,54
86,T86,T86,David Toms,64,0.055,2.97,54
87,88,88,Johnson Wagner,69,0.05,2.927,58
88,89,89,Robert Garrigus,80,0.047,3.4389999999999996,73
89,90,90,Ryan Moore,86,0.042,2.6289999999999996,62
90,91,91,Chesson Hadley,84,0.040999999999999995,2.884,71
91,92,92,Billy Hurley III,86,0.039,2.815,72
92,93,93,Charles Howell III,106,0.037000000000000005,3.549,95
93,94,94,Tim Clark,75,0.025,1.538,62
94,T95,T95,D.H. Lee,54,0.024,1.062,45
95,T95,T95,Troy Merritt,62,0.024,1.325,55
96,97,97,Tommy Gainey,73,0.019,1.14,60
97,T98,T98,Jeff Overton,80,0.017,1.129,66
98,T98,T98,Tyrone Van Aswegen,79,0.017,1.074,65
99,100,100,Ángel Cabrera,69,0.006999999999999999,0.439,61
100,101,101,Kevin Streelman,79,0.006,0.33299999999999996,60
101,T102,T102,Wes Roach,67,0.0,-0.015,50
102,T102,T102,Camilo Villegas,95,0.0,-0.021,84
103,104,104,Marc Leishman,81,-0.017,-1.14,69
104,105,105,Andrew Svoboda,77,-0.026000000000000002,-1.704,66
105,106,106,Harris English,95,-0.027999999999999997,-2.092,74
106,107,107,Brendon de Jonge,109,-0.032,-2.9610000000000003,92
107,108,108,Justin Rose,70,-0.04,-2.062,52
108,T109,T109,Brad Fritsch,50,-0.05,-1.9469999999999998,39
109,T109,T109,Bubba Watson,76,-0.05,-2.812,56
110,111,111,Bo Van Pelt,83,-0.053,-3.574,67
111,112,112,Y.E. Yang,79,-0.073,-4.43,61
112,T113,T113,J.B. Holmes,86,-0.075,-5.752999999999999,77
113,T113,T113,Nick Watney,80,-0.075,-4.191,56
114,115,115,Heath Slocum,71,-0.078,-4.862,62
115,116,116,David Lingmerth,80,-0.087,-5.82,67
116,117,117,Bronson La'Cassie,51,-0.08800000000000001,-3.17,36
117,118,118,Graham DeLaet,80,-0.09300000000000001,-5.982,64
118,119,119,Spencer Levin,59,-0.094,-4.683,50
119,120,120,Martin Kaymer,65,-0.111,-5.332000000000001,48
120,121,121,Russell Knox,92,-0.11599999999999999,-9.627,83
121,122,122,Gonzalo Fernandez-Castaño,83,-0.12,-8.265,69
122,123,123,Seung-Yul Noh,92,-0.121,-9.089,75
123,124,124,Stewart Cink,91,-0.131,-9.399,72
124,125,125,Woody Austin,63,-0.13699999999999998,-7.81,57
125,126,126,Carl Pettersson,91,-0.138,-11.737,85
126,127,127,Martin Flores,85,-0.14400000000000002,-9.76,68
127,128,128,Shawn Stefani,60,-0.146,-8.331,57
128,129,129,Gary Woodland,93,-0.149,-10.847000000000001,73
129,130,130,Martin Laird,66,-0.154,-8.49,55
130,131,131,Briny Baird,50,-0.156,-7.024,45
131,132,132,Kevin Tway,64,-0.157,-7.357,47
132,133,133,John Huh,87,-0.159,-11.142000000000001,70
133,134,134,Robert Allenby,83,-0.163,-11.431,70
134,135,135,Henrik Stenson,56,-0.17,-6.447,38
135,136,136,Ernie Els,85,-0.171,-10.755999999999998,63
136,137,137,J.J. Henry,91,-0.187,-14.565999999999999,78
137,138,138,Hudson Swafford,75,-0.2,-11.617,58
138,139,139,Willy Wilcox,51,-0.204,-8.141,40
139,140,140,"Ted Potter, Jr.",68,-0.21600000000000003,-12.934000000000001,60
140,141,141,Josh Teater,90,-0.218,-16.385,75
141,142,142,Charlie Beljan,76,-0.231,-15.491,67
142,143,143,John Rollins,84,-0.252,-16.864,67
143,144,144,Jonathan Byrd,76,-0.271,-17.614,65
144,145,145,Kevin Chappell,100,-0.278,-24.166999999999998,87
145,146,146,Scott Stallings,77,-0.305,-19.191,63
146,147,147,James Hahn,82,-0.306,-22.331999999999997,73
147,148,148,Rory Sabbatini,82,-0.326,-21.162,65
148,149,149,Geoff Ogilvy,84,-0.331,-24.193,73
149,150,150,D.A. Points,75,-0.344,-18.917,55
150,151,151,Davis Love III,74,-0.361,-22.774,63
151,152,152,Jim Herman,62,-0.36200000000000004,-17.364,48
152,153,153,Jhonattan Vegas,77,-0.37,-23.675,64
153,154,154,Roberto Castro,76,-0.384,-22.671,59
154,155,155,Bud Cauley,56,-0.389,-17.896,46
155,156,156,Hideki Matsuyama,82,-0.39299999999999996,-25.129,64
156,T157,T157,Ken Duke,80,-0.409,-26.967,66
157,T157,T157,Michael Putnam,106,-0.409,-37.202,91
158,159,159,Troy Matteson,62,-0.42200000000000004,-20.683000000000003,49
159,160,160,Louis Oosthuizen,50,-0.429,-12.882,30
160,161,161,Chad Campbell,57,-0.434,-19.952,46
161,162,162,Kevin Stadler,90,-0.467,-30.351,65
162,163,163,Trevor Immelman,84,-0.474,-31.78,67
163,164,164,Mark Wilson,69,-0.539,-30.747,57
164,165,165,Derek Ernst,80,-0.5579999999999999,-35.154,63
165,166,166,John Merrick,87,-0.568,-40.919000000000004,72
166,167,167,Jason Dufner,57,-0.5760000000000001,-24.208000000000002,42
167,168,168,Vijay Singh,83,-0.579,-43.983000000000004,76
168,169,169,Steven Bowditch,93,-0.581,-45.28,78
169,170,170,Jamie Lovemark,64,-0.585,-27.518,47
170,171,171,Nicholas Thompson,85,-0.622,-43.513999999999996,70
171,172,172,Jeff Maggert,54,-0.652,-28.695999999999998,44
172,173,173,Jim Renner,61,-0.792,-41.196000000000005,52
173,174,174,John Peterson,62,-0.8190000000000001,-45.067,55
174,175,175,Boo Weekley,73,-1.1520000000000001,-64.497,56
175,176,176,Kyle Stanley,87,-1.385,-99.73700000000001,72
176,177,177,Lucas Glover,68,-1.475,-69.30199999999999,47
