,Putting_from_-_20-25_RANK THIS WEEK,Putting_from_-_20-25_RANK LAST WEEK,Putting_from_-_20-25_PLAYER NAME,Putting_from_-_20-25_ROUNDS,Putting_from_-_20-25_% MADE,Putting_from_-_20-25_ATTEMPTS,Putting_from_-_20-25_PUTTS MADE
0,1,1,Graeme McDowell,66,23.53,68,16
1,2,2,Vijay Singh,83,22.86,105,24
2,3,3,Chad Campbell,57,22.06,68,15
3,4,4,Sangmoon Bae,76,21.52,79,17
4,5,5,Graham DeLaet,80,21.05,114,24
5,6,6,Luke Guthrie,85,20.54,112,23
6,7,7,Freddie Jacobson,91,19.17,120,23
7,8,8,Pat Perez,84,18.26,115,21
8,9,9,Andrew Loupe,65,18.06,72,13
9,10,10,Brendon Todd,108,17.97,128,23
10,11,11,Scott Brown,100,17.5,120,21
11,12,12,Paul Casey,56,17.24,58,10
12,13,13,Chris Kirk,105,16.94,124,21
13,14,14,Lucas Glover,68,16.9,71,12
14,15,15,Webb Simpson,87,16.82,107,18
15,T16,T16,Bronson La'Cassie,51,16.67,48,8
16,T16,T16,Kevin Streelman,79,16.67,96,16
17,18,18,Geoff Ogilvy,84,16.49,97,16
18,19,19,Luke Donald,57,16.39,61,10
19,20,20,Patrick Reed,92,16.36,110,18
20,21,21,Adam Scott,68,16.25,80,13
21,T22,T22,Jonas Blixt,64,16.13,62,10
22,T22,T22,Ian Poulter,57,16.13,62,10
23,T24,T24,Billy Horschel,92,15.84,101,16
24,T24,T24,Ryan Moore,86,15.84,101,16
25,26,26,Ernie Els,85,15.79,95,15
26,27,27,K.J. Choi,80,15.74,108,17
27,28,28,Brendan Steele,89,15.63,96,15
28,29,29,Shawn Stefani,60,15.48,84,13
29,T30,T30,Jim Herman,62,15.38,65,10
30,T30,T30,Seung-Yul Noh,92,15.38,130,20
31,32,32,Daniel Summerhays,98,15.33,150,23
32,33,33,William McGirt,96,15.13,119,18
33,T34,T34,Matt Kuchar,91,15.0,120,18
34,T34,T34,Bryce Molder,77,15.0,100,15
35,36,36,Jordan Spieth,102,14.75,122,18
36,37,37,Nick Watney,80,14.74,95,14
37,38,38,Phil Mickelson,71,14.71,68,10
38,39,39,Robert Streb,75,14.63,82,12
39,40,40,Greg Chalmers,85,14.58,96,14
40,T41,T41,Briny Baird,50,14.29,70,10
41,T41,T41,Ricky Barnes,92,14.29,119,17
42,T41,T41,Jhonattan Vegas,77,14.29,84,12
43,T44,T44,Michael Thompson,74,14.15,106,15
44,T44,T44,Jimmy Walker,98,14.15,106,15
45,46,46,Matt Jones,83,14.13,92,13
46,47,47,Stuart Appleby,92,14.04,114,16
47,48,48,George McNeill,79,13.98,93,13
48,49,49,Morgan Hoffmann,103,13.95,129,18
49,50,50,Keegan Bradley,89,13.89,108,15
50,51,51,Camilo Villegas,95,13.85,130,18
51,T52,T52,Martin Flores,85,13.76,109,15
52,T52,T52,Chris Stroud,88,13.76,109,15
53,54,54,Justin Rose,70,13.75,80,11
54,T55,T55,Scott Langley,95,13.64,110,15
55,T55,T55,D.A. Points,75,13.64,88,12
56,57,57,Andrew Svoboda,77,13.59,103,14
57,58,58,Davis Love III,74,13.33,90,12
58,T59,T59,Charles Howell III,106,13.04,138,18
59,T59,T59,Hunter Mahan,88,13.04,115,15
60,61,61,Kevin Na,94,12.88,132,17
61,T62,T62,Tim Clark,75,12.87,101,13
62,T62,T62,J.B. Holmes,86,12.87,101,13
63,T62,T62,John Huh,87,12.87,101,13
64,65,65,John Merrick,87,12.8,125,16
65,66,66,Jeff Overton,80,12.75,102,13
66,67,67,Andres Romero,81,12.63,95,12
67,T68,T68,Tommy Gainey,73,12.5,88,11
68,T68,T68,Chesson Hadley,84,12.5,120,15
69,T68,T68,Ryo Ishikawa,75,12.5,72,9
70,71,71,Brian Harman,111,12.42,161,20
71,T72,T72,Rickie Fowler,91,12.37,97,12
72,T72,T72,Charlie Wi,72,12.37,97,12
73,74,74,Bud Cauley,56,12.33,73,9
74,75,75,Kevin Chappell,100,12.3,122,15
75,T76,T76,Steven Bowditch,93,12.26,106,13
76,T76,T76,Russell Henley,92,12.26,106,13
77,T78,T78,Billy Hurley III,86,12.24,98,12
78,T78,T78,Brian Stuard,91,12.24,98,12
79,80,80,Justin Hicks,103,12.23,139,17
80,81,81,Jason Kokrak,65,12.22,90,11
81,82,82,David Hearn,97,12.2,123,15
82,83,83,Ryan Palmer,85,12.09,91,11
83,84,84,James Hahn,82,11.97,117,14
84,85,85,Will MacKenzie,82,11.93,109,13
85,86,86,Gary Woodland,93,11.89,143,17
86,87,87,Michael Putnam,106,11.72,128,15
87,88,88,Jim Renner,61,11.69,77,9
88,89,89,Chad Collins,78,11.58,95,11
89,90,90,Stewart Cink,91,11.5,113,13
90,91,91,Jamie Lovemark,64,11.48,61,7
