,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Graeme McDowell,17,28.2
1,2,2,Greg Chalmers,27,49.1
2,3,3,Brendon Todd,29,54.2
3,4,4,Freddie Jacobson,27,55.3
4,5,5,Jimmy Walker,27,62.6
5,6,6,Matt Kuchar,24,71.2
6,7,7,John Senden,27,78.4
7,8,8,Russell Henley,29,84.3
8,9,9,Luke Donald,17,86.4
9,10,10,Aaron Baddeley,24,87.8
10,11,11,Rory McIlroy,17,90.1
11,12,12,David Hearn,28,93.3
12,13,13,William McGirt,29,95.1
13,14,14,Justin Leonard,22,96.3
14,15,15,Rickie Fowler,26,98.6
15,16,16,Jason Day,15,106.9
16,17,17,Chris Stroud,25,108.6
17,18,18,Ryan Palmer,23,112.8
18,19,19,Matt Every,26,112.9
19,20,20,Brian Stuard,29,116.1
20,21,21,Charley Hoffman,25,117.5
21,22,22,Morgan Hoffmann,32,119.5
22,23,23,Stuart Appleby,29,119.6
23,24,24,Paul Casey,16,122.4
24,25,25,Chad Collins,28,124.1
25,26,26,Keegan Bradley,26,124.3
26,27,27,Ben Crane,25,125.0
27,28,28,Phil Mickelson,21,125.8
28,29,29,Kevin Kisner,26,127.4
29,30,30,Erik Compton,28,127.8
30,31,31,Patrick Reed,28,130.8
31,32,32,Retief Goosen,26,131.3
32,33,33,Ben Martin,26,131.8
33,34,34,Sangmoon Bae,24,132.8
34,T35,T35,Jason Kokrak,19,133.8
35,T35,T35,Kevin Na,27,133.8
36,37,37,Andres Romero,26,134.3
37,38,38,K.J. Choi,23,134.8
38,39,39,Jonas Blixt,21,135.0
39,40,40,Bryce Molder,25,135.8
40,41,41,Richard Lee,27,136.8
41,42,42,Brice Garnett,28,138.2
42,43,43,Daniel Summerhays,27,138.3
43,44,44,Scott Brown,30,138.5
44,45,45,Jerry Kelly,23,139.2
45,46,46,Chris Kirk,28,140.7
46,47,47,Jason Bohn,25,142.4
47,48,48,Matt Jones,25,143.2
48,49,49,Michael Thompson,22,144.8
49,T50,T50,Billy Horschel,27,147.3
50,T50,T50,Hunter Mahan,25,147.3
51,52,52,Ian Poulter,17,149.6
52,53,53,Cameron Tringale,31,149.7
53,54,54,Sean O'Hair,25,150.8
54,55,55,Brandt Snedeker,25,151.0
55,56,56,Adam Scott,17,152.3
56,57,57,Jordan Spieth,27,152.4
57,58,58,Sergio Garcia,16,153.7
