,GIR_Putting_Avg_-_30-35_RANK THIS WEEK,GIR_Putting_Avg_-_30-35_RANK LAST WEEK,GIR_Putting_Avg_-_30-35_PLAYER NAME,GIR_Putting_Avg_-_30-35_ROUNDS,GIR_Putting_Avg_-_30-35_% MADE,GIR_Putting_Avg_-_30-35_ATTEMPTS,GIR_Putting_Avg_-_30-35_PUTTS MADE
0,T1,T1,Rory McIlroy,66,1.56,45,7.0
1,T1,T1,Adam Scott,68,1.56,45,7.0
2,T3,T3,Brian Gay,81,1.54,52,8.0
3,T3,T3,Scott Langley,95,1.54,65,10.0
4,5,5,Robert Streb,75,1.37,51,7.0
5,T6,T6,Louis Oosthuizen,50,1.36,22,3.0
6,T6,T6,Webb Simpson,87,1.36,66,9.0
7,8,8,Kevin Na,94,1.33,60,8.0
8,9,9,Y.E. Yang,79,1.3,46,6.0
9,10,10,Mark Wilson,69,1.28,47,6.0
10,11,11,J.B. Holmes,86,1.18,51,6.0
11,12,12,Brad Fritsch,50,1.15,26,3.0
12,13,13,Danny Lee,84,1.14,44,5.0
13,T14,T14,Sergio Garcia,61,1.11,45,5.0
14,T14,T14,D.H. Lee,54,1.11,36,4.0
15,16,16,Brandt Snedeker,89,1.09,64,7.0
16,T17,T17,Jerry Kelly,80,1.07,56,6.0
17,T17,T17,Nicholas Thompson,85,1.07,56,6.0
18,T19,T19,Morgan Hoffmann,103,1.03,78,8.0
19,T19,T19,Rory Sabbatini,82,1.03,58,6.0
20,21,21,Daniel Summerhays,98,1.01,89,9.0
21,T22,T22,Chesson Hadley,84,1.0,60,6.0
22,T22,T22,Martin Kaymer,65,1.0,40,4.0
23,24,24,Josh Teater,90,0.98,51,5.0
24,25,25,Henrik Stenson,56,0.94,32,3.0
25,26,26,Charlie Wi,72,0.93,54,5.0
26,27,27,Russell Henley,92,0.92,65,6.0
27,T28,T28,Chad Campbell,57,0.91,44,4.0
28,T28,T28,James Driscoll,71,0.91,55,5.0
29,T28,T28,Chris Kirk,105,0.91,55,5.0
30,T28,T28,Cameron Tringale,111,0.91,99,9.0
31,T32,T32,K.J. Choi,80,0.89,45,4.0
32,T32,T32,Troy Matteson,62,0.89,45,4.0
33,T34,T34,Luke Guthrie,85,0.88,57,5.0
34,T34,T34,Justin Hicks,103,0.88,91,8.0
35,T36,T36,Graham DeLaet,80,0.87,69,6.0
36,T36,T36,James Hahn,82,0.87,69,6.0
37,38,38,Bill Haas,107,0.86,81,7.0
38,39,39,Ben Curtis,77,0.85,59,5.0
39,T40,T40,Paul Casey,56,0.83,48,4.0
40,T40,T40,Phil Mickelson,71,0.83,36,3.0
41,T40,T40,Lee Westwood,57,0.83,36,3.0
42,T43,T43,Seung-Yul Noh,92,0.82,73,6.0
43,T43,T43,Hudson Swafford,75,0.82,61,5.0
44,T45,T45,Erik Compton,88,0.8,75,6.0
45,T45,T45,Ernie Els,85,0.8,50,4.0
46,T45,T45,Derek Ernst,80,0.8,50,4.0
47,T45,T45,Matt Every,85,0.8,50,4.0
48,T49,T49,Jason Kokrak,65,0.78,51,4.0
49,T49,T49,Davis Love III,74,0.78,51,4.0
50,T49,T49,Kevin Tway,64,0.78,51,4.0
51,T52,T52,Billy Hurley III,86,0.77,52,4.0
52,T52,T52,Hideki Matsuyama,82,0.77,52,4.0
53,T52,T52,Tyrone Van Aswegen,79,0.77,52,4.0
54,T55,T55,Retief Goosen,94,0.75,80,6.0
55,T55,T55,Jeff Maggert,54,0.75,40,3.0
56,57,57,Martin Flores,85,0.74,54,4.0
57,58,58,Luke Donald,57,0.73,41,3.0
58,59,59,Steven Bowditch,93,0.72,69,5.0
59,T60,T60,Kevin Chappell,100,0.71,70,5.0
60,T60,T60,Ryan Palmer,85,0.71,56,4.0
61,T60,T60,Jimmy Walker,98,0.71,56,4.0
