,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,1,1,Jeff Maggert,84,"0""",,1,117
1,T2,T2,Fulton Allem,56,"5""",0.75,2,41
2,T2,T2,"David Berganio, Jr.",76,"5""",0.41700000000000004,1,40
3,T4,T4,Carlos Franco,87,"6""",0.5,1,190
4,T4,T4,J.J. Henry,86,"6""",0.5,1,95
5,T4,T4,Cliff Kresge,84,"6""",0.5,1,158
6,T7,T7,K.J. Choi,95,"7""",0.583,1,60
7,T7,T7,Tom Pernice Jr.,106,"7""",0.583,1,96
8,9,9,Woody Austin,99,"9""",0.75,1,126
9,10,10,Per-Ulrik Johansson,82,"10""",0.833,1,115
10,11,11,Tim Herron,97,"1' 0""",1.0,1,162
11,12,12,Garrett Willis,88,"1' 3""",1.25,1,171
12,T13,T13,Doug Barron,62,"1' 4""",1.3330000000000002,1,160
13,T13,T13,Bill Glasson,69,"1' 4""",1.3330000000000002,1,18
14,T13,T13,Pete Jordan,105,"1' 4""",1.3330000000000002,1,42
15,16,16,Kenny Perry,94,"1' 5""",1.4169999999999998,1,20
16,T17,T17,Justin Leonard,106,"1' 6""",6.0,4,74
17,T17,T17,Rocky Walcher,59,"1' 6""",1.5,1,193
18,19,19,Stewart Cink,102,"1' 7""",3.167,2,68
19,T20,T20,Tripp Isenhour,92,"1' 8""",1.6669999999999998,1,138
20,T20,T20,Kaname Yokoo,81,"1' 8""",1.6669999999999998,1,177
21,T22,T22,Michael Clark II,87,"1' 9""",1.75,1,82
22,T22,T22,Craig Parry,68,"1' 9""",1.75,1,106
23,T24,T24,Steve Elkington,64,"1' 10""",1.8330000000000002,1,107
24,T24,T24,Frank Lickliter II,102,"1' 10""",5.582999999999999,3,141
25,T24,T24,Paul Stankowski,91,"1' 10""",1.8330000000000002,1,142
26,T24,T24,Hal Sutton,96,"1' 10""",3.667,2,54
27,T28,T28,Tommy Armour III,93,"1' 11""",1.9169999999999998,1,147
28,T28,T28,Glen Hnatiuk,104,"1' 11""",1.9169999999999998,1,138
29,T30,T30,Brandt Jobe,96,"2' 0""",2.0,1,176
30,T30,T30,David Toms,100,"2' 0""",2.0,1,108
31,T32,T32,Cameron Beckman,103,"2' 1""",2.083,1,37
32,T32,T32,Rory Sabbatini,73,"2' 1""",2.083,1,151
33,T34,T34,Stephen Ames,88,"2' 2""",2.167,1,39
34,T34,T34,Jeff Sluman,106,"2' 2""",13.083,6,54
35,T36,T36,Jay Don Blake,100,"2' 3""",2.25,1,96
36,T36,T36,Greg Kraft,105,"2' 3""",4.417,2,77
37,T36,T36,John Riegger,86,"2' 3""",2.25,1,75
38,T36,T36,Tom Scherrer,69,"2' 3""",4.5,2,185
39,T40,T40,Danny Ellis,76,"2' 6""",2.5,1,127
40,T40,T40,Fred Funk,118,"2' 6""",2.5,1,13
41,42,42,David Morland IV,88,"2' 9""",2.75,1,153
42,T43,T43,Mathew Goggin,96,"2' 10""",5.667000000000001,2,194
43,T43,T43,Esteban Toledo,116,"2' 10""",2.833,1,36
44,T45,T45,J.L. Lewis,108,"2' 11""",2.917,1,58
45,T45,T45,David Peoples,96,"2' 11""",5.832999999999999,2,121
46,47,47,Matt Gogel,83,"3' 1""",3.083,1,113
47,T48,T48,Scott McCarron,98,"3' 5""",3.417,1,33
48,T48,T48,Rocco Mediate,69,"3' 5""",3.417,1,48
49,50,50,Brian Henninger,81,"3' 7""",10.667,3,163
50,51,51,Jerry Smith,95,"3' 8""",3.667,1,101
51,52,52,Steve Stricker,73,"3' 9""",3.75,1,17
52,53,53,José Coceres,60,"4' 2""",8.25,2,46
53,54,54,Mark Hensby,71,"4' 5""",8.833,2,144
54,55,55,Bernhard Langer,62,"4' 6""",4.5,1,10
55,56,56,Chris DiMarco,108,"5' 3""",20.833000000000002,4,63
56,57,57,Brad Faxon,95,"6' 0""",23.833000000000002,4,19
57,58,58,Scott Hoch,84,"6' 3""",6.25,1,4
58,59,59,Jesper Parnevik,91,"7' 4""",7.332999999999999,1,11
59,60,60,Brian Wilson,88,"11' 2""",11.167,1,123
60,61,61,Craig Kanada,80,"11' 6""",11.5,1,105
61,62,62,Neal Lancaster,107,"13' 8""",13.667,1,23
62,63,63,Glen Day,89,"15' 4""",15.333,1,9
63,64,64,Stuart Appleby,105,"20' 8""",20.666999999999998,1,53
64,65,65,Steve Lowery,100,"251' 0""",501.917,2,120
