,Proximity_to_Hole_from_10-20_yards_RANK THIS WEEK,Proximity_to_Hole_from_10-20_yards_RANK LAST WEEK,Proximity_to_Hole_from_10-20_yards_PLAYER NAME,Proximity_to_Hole_from_10-20_yards_ROUNDS,Proximity_to_Hole_from_10-20_yards_AVG DTP,Proximity_to_Hole_from_10-20_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_10-20_yards_# OF SHOTS,Proximity_to_Hole_from_10-20_yards_SCRAMBLING RANK
0,1,1,Steve Pate,89,"6""",0.5,1,166
1,2,2,Corey Pavin,72,"1' 0""",1.0,1,25
2,3,3,Rich Beem,91,"1' 2""",2.25,2,140
3,T4,T4,Harrison Frazar,88,"1' 3""",3.833,3,83
4,T4,T4,Kelly Grunewald,66,"1' 3""",1.25,1,184
5,T4,T4,Shigeki Maruyama,98,"1' 3""",4.833,4,65
6,7,7,Chris Tidland,83,"1' 4""",1.3330000000000002,1,81
7,8,8,Loren Roberts,84,"1' 6""",7.5,5,8
8,T9,T9,David Frost,87,"1' 7""",10.917,7,52
9,T9,T9,Kevin Johnson,93,"1' 7""",3.167,2,143
10,11,11,Danny Ellis,76,"1' 9""",12.083,7,127
11,T12,T12,Jimmy Green,94,"2' 0""",8.083,4,111
12,T12,T12,Bob May,86,"2' 0""",10.0,5,132
13,14,14,Bill Glasson,69,"2' 1""",12.583,6,18
14,T15,T15,Tommy Armour III,93,"2' 2""",15.417,7,147
15,T15,T15,David Duval,78,"2' 2""",13.083,6,72
16,17,17,Gary Nicklaus,96,"2' 4""",4.667,2,183
17,T18,T18,Jason Gore,82,"2' 5""",4.833,2,152
18,T18,T18,Paul Gow,79,"2' 5""",7.167000000000001,3,34
19,T18,T18,Lee Porter,93,"2' 5""",7.25,3,51
20,T18,T18,Ted Tryba,110,"2' 5""",26.333000000000002,11,35
21,T22,T22,John Daly,84,"2' 6""",7.582999999999999,3,167
22,T22,T22,J.J. Henry,86,"2' 6""",22.75,9,95
23,T22,T22,Kent Jones,74,"2' 6""",2.5,1,182
24,T22,T22,Geoff Ogilvy,60,"2' 6""",15.0,6,186
25,T26,T26,Stephen Ames,88,"2' 7""",10.167,4,39
26,T26,T26,Cameron Beckman,103,"2' 7""",20.333,8,37
27,T26,T26,Neal Lancaster,107,"2' 7""",20.417,8,23
28,T29,T29,Robert Allenby,108,"2' 8""",24.0,9,110
29,T29,T29,Scott Dunlap,80,"2' 8""",5.25,2,156
30,T29,T29,Brad Elder,111,"2' 8""",7.917000000000001,3,85
31,T29,T29,Kirk Triplett,88,"2' 8""",13.5,5,38
32,33,33,Sergio Garcia,64,"2' 9""",16.25,6,71
33,T34,T34,"David Berganio, Jr.",76,"2' 10""",11.417,4,40
34,T34,T34,Robert Damron,91,"2' 10""",19.917,7,26
35,T34,T34,Joel Edwards,99,"2' 10""",25.583000000000002,9,29
36,T34,T34,Brian Gay,114,"2' 10""",11.417,4,22
37,T38,T38,Jeremy Anderson,69,"2' 11""",8.833,3,157
38,T38,T38,Mathew Goggin,96,"2' 11""",28.833000000000002,10,194
39,T38,T38,Brian Henninger,81,"2' 11""",17.667,6,163
40,T38,T38,Jonathan Kaye,116,"2' 11""",17.417,6,47
41,T38,T38,Rocco Mediate,69,"2' 11""",11.5,4,48
42,T43,T43,Mark Brooks,88,"3' 0""",9.0,3,5
43,T43,T43,Marco Dawson,57,"3' 0""",9.0,3,149
44,T45,T45,Mark Calcavecchia,81,"3' 1""",9.25,3,78
45,T45,T45,Dicky Pride,78,"3' 1""",12.417,4,174
