,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,T1,T1,Steve Allan,88,100.0,4.0,4
1,T1,T1,Robert Gamez,59,100.0,2.0,2
2,T1,T1,Shigeki Maruyama,98,100.0,6.0,6
3,T1,T1,Jim McGovern,66,100.0,1.0,1
4,T1,T1,Larry Mize,76,100.0,4.0,4
5,T1,T1,Loren Roberts,84,100.0,5.0,5
6,T1,T1,Steve Stricker,73,100.0,1.0,1
7,T1,T1,Esteban Toledo,116,100.0,3.0,3
8,T1,T1,Tiger Woods,76,100.0,7.0,7
9,10,10,Scott McCarron,98,90.91,10.0,11
10,11,11,Joe Durant,80,87.5,7.0,8
11,12,12,Greg Chalmers,92,85.71,6.0,7
12,13,13,Brian Wilson,88,83.33,5.0,6
13,T14,T14,Robert Damron,91,80.0,4.0,5
14,T14,T14,Ernie Els,70,80.0,8.0,10
15,T14,T14,Steve Flesch,112,80.0,4.0,5
16,T14,T14,Edward Fryatt,93,80.0,4.0,5
17,T18,T18,Neal Lancaster,107,77.78,7.0,9
18,T18,T18,Chris Riley,104,77.78,7.0,9
19,T18,T18,Scott Verplank,99,77.78,7.0,9
20,T21,T21,José Coceres,60,75.0,15.0,20
21,T21,T21,Danny Ellis,76,75.0,6.0,8
22,T21,T21,Brad Faxon,95,75.0,9.0,12
23,T21,T21,Craig Kanada,80,75.0,3.0,4
24,T21,T21,Dennis Paulson,75,75.0,3.0,4
25,T21,T21,Nick Price,74,75.0,3.0,4
26,T21,T21,David Toms,100,75.0,3.0,4
27,T21,T21,Mike Weir,86,75.0,6.0,8
28,29,29,Rory Sabbatini,73,73.68,14.0,19
29,T30,T30,Doug Barron,62,72.73,8.0,11
30,T30,T30,Spike McRoy,95,72.73,8.0,11
31,T32,T32,Joel Edwards,99,71.43,5.0,7
32,T32,T32,Fred Funk,118,71.43,5.0,7
33,T32,T32,Steve Jones,75,71.43,5.0,7
34,T35,T35,David Duval,78,70.0,7.0,10
35,T35,T35,Scott Hoch,84,70.0,7.0,10
36,T37,T37,Paul Azinger,79,69.23,9.0,13
37,T37,T37,Glen Day,89,69.23,9.0,13
38,T37,T37,Jesper Parnevik,91,69.23,9.0,13
39,T40,T40,Woody Austin,99,66.67,4.0,6
40,T40,T40,Rich Beem,91,66.67,2.0,3
41,T40,T40,Tom Byrum,85,66.67,4.0,6
42,T40,T40,Glen Hnatiuk,104,66.67,2.0,3
43,T40,T40,John Huston,64,66.67,2.0,3
44,T40,T40,Brandt Jobe,96,66.67,2.0,3
45,T40,T40,Billy Mayfair,102,66.67,8.0,12
46,T40,T40,Frank Nobilo,91,66.67,6.0,9
47,T40,T40,Mark O'Meara,69,66.67,4.0,6
48,T40,T40,Kirk Triplett,88,66.67,4.0,6
49,T40,T40,Kaname Yokoo,81,66.67,6.0,9
50,T51,T51,Chris DiMarco,108,63.64,7.0,11
51,T51,T51,Jim Furyk,88,63.64,7.0,11
52,T51,T51,Bradley Hughes,96,63.64,7.0,11
53,T51,T51,Jeff Sluman,106,63.64,7.0,11
54,55,55,Bob Estes,91,63.16,12.0,19
55,T56,T56,"David Berganio, Jr.",76,62.5,5.0,8
56,T56,T56,Mark Calcavecchia,81,62.5,5.0,8
57,T56,T56,Steve Elkington,64,62.5,5.0,8
58,T56,T56,Lee Janzen,96,62.5,10.0,16
59,T56,T56,Davis Love III,75,62.5,5.0,8
60,T61,T61,David Frost,87,60.0,9.0,15
61,T61,T61,Hunter Haas,78,60.0,3.0,5
62,T61,T61,Mark Hensby,71,60.0,3.0,5
63,T61,T61,Cliff Kresge,84,60.0,3.0,5
64,T61,T61,Steve Lowery,100,60.0,9.0,15
65,T61,T61,Rocco Mediate,69,60.0,3.0,5
66,T61,T61,Craig Parry,68,60.0,3.0,5
67,T61,T61,Steve Pate,89,60.0,3.0,5
68,T61,T61,Corey Pavin,72,60.0,3.0,5
69,T61,T61,Craig Perks,78,60.0,6.0,10
70,T61,T61,John Riegger,86,60.0,9.0,15
71,T61,T61,Jay Williamson,92,60.0,3.0,5
72,73,73,Stewart Cink,102,58.82,10.0,17
73,T74,T74,Russ Cochran,76,58.33,7.0,12
74,T74,T74,Kevin Sutherland,101,58.33,7.0,12
75,T76,T76,Stephen Ames,88,57.14,4.0,7
76,T76,T76,Michael Clark II,87,57.14,8.0,14
77,T76,T76,Gabriel Hjertstedt,76,57.14,4.0,7
78,T76,T76,Kevin Johnson,93,57.14,4.0,7
79,T76,T76,Greg Kraft,105,57.14,8.0,14
80,T76,T76,Andrew Magee,97,57.14,4.0,7
81,T76,T76,Shaun Micheel,103,57.14,8.0,14
82,T76,T76,Vijay Singh,98,57.14,4.0,7
83,T84,T84,Jay Don Blake,100,55.56,5.0,9
84,T84,T84,Brent Geiberger,84,55.56,5.0,9
85,T84,T84,Mathew Goggin,96,55.56,5.0,9
86,T84,T84,Jimmy Green,94,55.56,5.0,9
87,T84,T84,Charles Howell III,89,55.56,5.0,9
88,T84,T84,Pete Jordan,105,55.56,5.0,9
89,T84,T84,Gary Nicklaus,96,55.56,5.0,9
90,T91,T91,Cameron Beckman,103,54.55,6.0,11
91,T91,T91,J.L. Lewis,108,54.55,6.0,11
92,T93,T93,Tom Lehman,82,53.85,7.0,13
93,T93,T93,Joe Ogilvie,110,53.85,7.0,13
94,95,95,Tom Pernice Jr.,106,52.94,9.0,17
95,T96,T96,Tommy Armour III,93,50.0,4.0,8
96,T96,T96,Bob Burns,92,50.0,6.0,12
97,T96,T96,Ben Ferguson,76,50.0,3.0,6
98,T96,T96,Carlos Franco,87,50.0,4.0,8
99,T96,T96,Brian Gay,114,50.0,3.0,6
100,T96,T96,Matt Gogel,83,50.0,2.0,4
101,T96,T96,Jason Gore,82,50.0,4.0,8
102,T96,T96,Jeff Hart,87,50.0,3.0,6
103,T96,T96,Jonathan Kaye,116,50.0,5.0,10
104,T96,T96,Skip Kendall,111,50.0,7.0,14
105,T96,T96,Ian Leggatt,84,50.0,3.0,6
106,T96,T96,Justin Leonard,106,50.0,6.0,12
107,T96,T96,Len Mattiace,98,50.0,3.0,6
108,T96,T96,Sean Murphy,70,50.0,1.0,2
109,T96,T96,Carl Paulson,93,50.0,4.0,8
110,T96,T96,Lee Porter,93,50.0,3.0,6
111,T96,T96,Dicky Pride,78,50.0,3.0,6
112,T96,T96,Mike Sposa,96,50.0,5.0,10
113,T96,T96,Ted Tryba,110,50.0,4.0,8
114,T96,T96,Mark Wiebe,62,50.0,1.0,2
115,116,116,Jerry Smith,95,47.06,8.0,17
116,T117,T117,Brian Henninger,81,46.67,7.0,15
117,T117,T117,Geoff Ogilvy,60,46.67,7.0,15
118,T119,T119,Stuart Appleby,105,46.15,6.0,13
119,T119,T119,Mark Brooks,88,46.15,6.0,13
120,121,121,Sergio Garcia,64,45.45,5.0,11
121,T122,T122,John Cook,91,44.44,4.0,9
122,T122,T122,Per-Ulrik Johansson,82,44.44,4.0,9
123,T122,T122,David Morland IV,88,44.44,4.0,9
124,T122,T122,Kenny Perry,94,44.44,4.0,9
125,T126,T126,Brad Elder,111,42.86,3.0,7
126,T126,T126,Jeff Maggert,84,42.86,3.0,7
127,T128,T128,Robert Allenby,108,40.0,4.0,10
128,T128,T128,Olin Browne,99,40.0,4.0,10
129,T128,T128,Brandel Chamblee,77,40.0,2.0,5
130,T128,T128,K.J. Choi,95,40.0,2.0,5
131,T128,T128,Richie Coughlan,66,40.0,2.0,5
132,T128,T128,Fred Couples,68,40.0,2.0,5
133,T128,T128,Paul Gow,79,40.0,2.0,5
134,T128,T128,Bernhard Langer,62,40.0,2.0,5
135,T128,T128,Michael Muehr,94,40.0,4.0,10
136,137,137,Jim Carter,103,36.84,7.0,19
137,T138,T138,Blaine McCallister,80,36.36,4.0,11
138,T138,T138,Bob Tway,109,36.36,4.0,11
139,T140,T140,Fulton Allem,56,33.33,3.0,9
140,T140,T140,Marco Dawson,57,33.33,2.0,6
141,T140,T140,Scott Dunlap,80,33.33,1.0,3
142,T140,T140,Robin Freeman,105,33.33,2.0,6
143,T140,T140,Paul Goydos,86,33.33,3.0,9
144,T140,T140,Kelly Grunewald,66,33.33,2.0,6
145,T140,T140,Tim Herron,97,33.33,1.0,3
146,T140,T140,Jerry Kelly,104,33.33,2.0,6
147,T140,T140,Bob May,86,33.33,1.0,3
148,T140,T140,Chris Perry,80,33.33,1.0,3
149,T140,T140,Hal Sutton,96,33.33,2.0,6
150,T140,T140,Chris Tidland,83,33.33,1.0,3
151,T140,T140,Tommy Tolles,89,33.33,1.0,3
152,T140,T140,Garrett Willis,88,33.33,2.0,6
153,T154,T154,Frank Lickliter II,102,30.0,3.0,10
154,T154,T154,Tom Scherrer,69,30.0,3.0,10
155,T156,T156,Keith Clearwater,62,28.57,2.0,7
156,T156,T156,Tripp Isenhour,92,28.57,2.0,7
157,T156,T156,Andrew McLardy,75,28.57,2.0,7
158,T156,T156,Duffy Waldorf,77,28.57,2.0,7
159,160,160,Grant Waite,78,27.27,3.0,11
160,T161,T161,Briny Baird,106,25.0,1.0,4
161,T161,T161,Harrison Frazar,88,25.0,1.0,4
162,T161,T161,J.J. Henry,86,25.0,2.0,8
163,T161,T161,Kent Jones,74,25.0,1.0,4
164,T165,T165,Bill Glasson,69,22.22,2.0,9
165,T165,T165,Chris Smith,101,22.22,2.0,9
166,T167,T167,David Peoples,96,20.0,1.0,5
