,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Franklin Langham,63,68.93,71,103,25.0
1,2,2,Scott Verplank,99,66.19,92,139,18.0
2,3,3,Brad Faxon,95,64.9,98,151,36.0
3,4,4,Nick Price,74,64.81,70,108,15.0
4,5,5,José Coceres,60,63.73,65,102,17.0
5,6,6,Kevin Sutherland,101,63.04,87,138,20.0
6,7,7,Scott McCarron,98,62.12,82,132,20.0
7,8,8,Edward Fryatt,93,61.84,94,152,39.0
8,9,9,Ronnie Black,51,61.29,57,93,18.0
9,10,10,Ernie Els,70,60.64,57,94,23.0
10,11,11,Billy Mayfair,102,60.61,100,165,38.0
11,12,12,Paul Gow,79,60.55,66,109,19.0
12,13,13,Bob Burns,92,60.45,81,134,37.0
13,14,14,Bob May,86,60.28,85,141,29.0
14,15,15,Jeff Sluman,106,60.22,112,186,29.0
15,16,16,Brandel Chamblee,77,60.14,83,138,34.0
16,17,17,Chris DiMarco,108,59.6,90,151,44.0
17,18,18,Len Mattiace,98,59.47,113,190,54.0
18,19,19,Rocco Mediate,69,59.46,66,111,26.0
19,20,20,Dennis Paulson,75,59.09,65,110,27.0
20,21,21,Shigeki Maruyama,98,58.82,90,153,39.0
21,22,22,Mike Weir,86,58.71,91,155,43.0
22,23,23,Kirk Triplett,88,58.52,79,135,37.0
23,24,24,Vijay Singh,98,58.33,91,156,22.0
24,25,25,Craig Kanada,80,58.0,87,150,45.0
25,26,26,Dan Forsman,81,57.52,65,113,25.0
26,27,27,Jay Williamson,92,57.04,77,135,34.0
27,28,28,Steve Elkington,64,57.01,61,107,25.0
28,29,29,Brian Watts,56,57.0,57,100,28.0
29,30,30,Bob Estes,91,56.95,86,151,38.0
30,T31,T31,Greg Chalmers,92,56.76,84,148,33.0
31,T31,T31,Sergio Garcia,64,56.76,63,111,23.0
32,33,33,Paul Azinger,79,56.69,72,127,41.0
33,34,34,Dudley Hart,80,56.38,53,94,23.0
34,35,35,Skip Kendall,111,56.36,133,236,57.0
35,36,36,Craig Barlow,74,56.35,71,126,46.0
36,37,37,Willie Wood,52,56.25,45,80,25.0
37,38,38,Jeff Hart,87,56.2,68,121,33.0
38,39,39,Robert Damron,91,56.19,109,194,48.0
39,40,40,Scott Hoch,84,56.12,78,139,36.0
40,41,41,Steve Stricker,73,55.96,61,109,27.0
41,42,42,Mark O'Meara,69,55.86,62,111,27.0
42,T43,T43,Craig Perks,78,55.8,77,138,30.0
43,T43,T43,Lee Porter,93,55.8,77,138,44.0
44,45,45,Davis Love III,75,55.79,53,95,25.0
45,T46,T46,Doug Barron,62,55.77,58,104,37.0
46,T46,T46,John Huston,64,55.77,58,104,30.0
47,48,48,Neal Lancaster,107,55.75,97,174,39.0
48,49,49,Grant Waite,78,55.73,73,131,43.0
49,50,50,Mark Calcavecchia,81,55.64,74,133,38.0
50,T51,T51,Jay Don Blake,100,55.48,81,146,34.0
51,T51,T51,Lee Janzen,96,55.48,86,155,41.0
52,53,53,Jay Haas,75,55.46,66,119,36.0
53,54,54,Jim Furyk,88,55.4,77,139,45.0
54,55,55,Tom Lehman,82,55.36,62,112,29.0
55,56,56,José María Olazábal,51,55.32,26,47,9.0
56,57,57,Loren Roberts,84,55.3,73,132,56.0
57,58,58,Phil Mickelson,85,55.28,68,123,19.0
58,59,59,J.L. Lewis,108,55.15,91,165,55.0
59,60,60,Billy Andrade,82,55.08,65,118,42.0
60,61,61,Michael Clark II,87,54.84,85,155,46.0
61,62,62,Esteban Toledo,116,54.8,97,177,56.0
62,63,63,Craig Parry,68,54.74,52,95,27.0
63,64,64,Tom Byrum,85,54.68,76,139,32.0
64,65,65,Tripp Isenhour,92,54.66,88,161,46.0
65,66,66,Stewart Cink,102,54.55,78,143,26.0
66,67,67,Mike Sposa,96,54.32,88,162,39.0
67,T68,T68,Joel Edwards,99,54.29,76,140,28.0
68,T68,T68,Jesper Parnevik,91,54.29,76,140,23.0
69,70,70,Glen Day,89,54.27,89,164,56.0
70,71,71,Tom Pernice Jr.,106,54.26,102,188,59.0
71,72,72,Mark Brooks,88,54.25,83,153,54.0
72,73,73,Brian Gay,114,54.21,103,190,60.0
73,T74,T74,Fred Funk,118,54.07,93,172,52.0
74,T74,T74,Gabriel Hjertstedt,76,54.07,73,135,43.0
75,T76,T76,Donnie Hammond,51,53.97,34,63,20.0
76,T76,T76,Corey Pavin,72,53.97,68,126,51.0
77,78,78,David Duval,78,53.78,64,119,31.0
78,79,79,Brian Henninger,81,53.69,80,149,54.0
79,80,80,Charles Howell III,89,53.54,68,127,13.0
80,81,81,Jimmy Green,94,53.5,84,157,58.0
81,82,82,Tiger Woods,76,53.49,46,86,21.0
82,83,83,Stephen Ames,88,53.42,78,146,27.0
83,84,84,John Riegger,86,53.28,73,137,46.0
84,85,85,Cameron Beckman,103,53.25,82,154,37.0
85,86,86,Steve Flesch,112,53.22,91,171,45.0
86,87,87,Jeff Julian,55,53.06,52,98,40.0
87,88,88,Cliff Kresge,84,52.98,80,151,43.0
88,89,89,Steve Allan,88,52.94,81,153,46.0
89,90,90,Brian Wilson,88,52.63,80,152,33.0
90,91,91,Chris Riley,104,52.45,75,143,40.0
91,92,92,Bernhard Langer,62,52.44,43,82,21.0
92,93,93,Stuart Appleby,105,52.3,91,174,40.0
93,94,94,Kaname Yokoo,81,52.11,74,142,47.0
94,95,95,Kenny Perry,94,52.08,75,144,23.0
95,96,96,Danny Ellis,76,52.03,64,123,36.0
96,97,97,Paul Stankowski,91,52.02,90,173,52.0
97,98,98,Ian Leggatt,84,51.97,66,127,32.0
98,99,99,Joe Ogilvie,110,51.91,95,183,64.0
99,100,100,"David Berganio, Jr.",76,51.72,60,116,44.0
100,101,101,Gary Nicklaus,96,51.69,92,178,72.0
101,102,102,Justin Leonard,106,51.55,83,161,48.0
102,103,103,Fulton Allem,56,51.52,68,132,51.0
103,104,104,Sean Murphy,70,51.49,52,101,43.0
104,105,105,Jim Carter,103,51.48,87,169,57.0
105,106,106,Bill Glasson,69,51.43,54,105,33.0
106,107,107,David Frost,87,51.41,73,142,61.0
107,T108,T108,Brandt Jobe,96,51.3,79,154,47.0
108,T108,T108,Larry Mize,76,51.3,59,115,42.0
109,110,110,Frank Nobilo,91,51.27,81,158,47.0
110,111,111,Brad Elder,111,51.12,114,223,56.0
111,112,112,Tom Scherrer,69,51.06,48,94,36.0
112,113,113,Briny Baird,106,50.9,85,167,48.0
113,114,114,Rory Sabbatini,73,50.88,58,114,41.0
114,115,115,Greg Kraft,105,50.82,93,183,67.0
115,116,116,J.P. Hayes,76,50.74,69,136,47.0
116,117,117,K.J. Choi,95,50.68,74,146,42.0
117,118,118,Tim Herron,97,50.67,76,150,44.0
118,119,119,Andrew Magee,97,50.64,79,156,57.0
119,T120,T120,Shaun Micheel,103,50.0,90,180,71.0
120,T120,T120,"Dave Stockton, Jr.",61,50.0,52,104,47.0
121,122,122,Mathew Goggin,96,49.74,97,195,66.0
122,123,123,Bob Tway,109,49.69,79,159,38.0
123,T124,T124,Woody Austin,99,49.66,74,149,52.0
124,T124,T124,David Morland IV,88,49.66,74,149,62.0
125,126,126,Brett Quigley,67,49.46,46,93,23.0
126,127,127,Jean Van de Velde,52,49.28,34,69,18.0
127,128,128,Jerry Kelly,104,49.07,79,161,48.0
128,129,129,Frank Lickliter II,102,49.03,76,155,40.0
129,130,130,Steve Pate,89,48.99,73,149,56.0
130,131,131,Chris Tidland,83,48.67,55,113,34.0
131,T132,T132,Kevin Johnson,93,48.57,85,175,66.0
132,T132,T132,Geoff Ogilvy,60,48.57,51,105,42.0
133,134,134,Keith Clearwater,62,48.55,67,138,49.0
134,135,135,Steve Jones,75,48.46,63,130,50.0
135,136,136,Jeff Maggert,84,48.43,77,159,44.0
136,137,137,Marco Dawson,57,48.39,45,93,23.0
137,138,138,Mark Hensby,71,48.08,50,104,38.0
138,139,139,Pete Jordan,105,47.95,70,146,66.0
139,140,140,Hal Sutton,96,47.83,66,138,38.0
140,141,141,Jonathan Kaye,116,47.54,87,183,58.0
141,142,142,John Cook,91,47.44,74,156,46.0
142,143,143,Olin Browne,99,47.06,72,153,55.0
143,144,144,Paul Goydos,86,46.91,76,162,54.0
144,145,145,John Daly,84,46.9,68,145,34.0
145,146,146,Jerry Smith,95,46.88,90,192,70.0
146,147,147,Hunter Haas,78,46.75,72,154,62.0
147,148,148,Bradley Hughes,96,46.62,69,148,53.0
148,149,149,David Peoples,96,46.58,75,161,53.0
149,150,150,Jason Gore,82,46.56,61,131,45.0
150,151,151,Michael Muehr,94,46.53,67,144,50.0
151,152,152,Rich Beem,91,46.2,73,158,61.0
152,153,153,Brent Geiberger,84,45.99,63,137,51.0
153,154,154,Ben Ferguson,76,45.8,60,131,55.0
154,155,155,Ted Tryba,110,45.78,76,166,56.0
155,156,156,Scott Dunlap,80,45.7,69,151,65.0
156,T157,T157,Steve Lowery,100,45.45,70,154,73.0
157,T157,T157,Carl Paulson,93,45.45,80,176,68.0
158,T157,T157,Joey Sindelar,69,45.45,45,99,42.0
159,160,160,Joe Durant,80,45.39,64,141,50.0
160,161,161,Dicky Pride,78,45.19,61,135,55.0
161,162,162,Ben Bates,53,45.1,46,102,37.0
162,163,163,Tommy Armour III,93,45.0,63,140,41.0
163,164,164,Jim McGovern,66,44.9,44,98,40.0
164,165,165,Robert Gamez,59,44.79,43,96,32.0
165,166,166,Scott Simpson,73,44.64,50,112,49.0
166,167,167,Matt Gogel,83,44.54,53,119,60.0
167,168,168,Glen Hnatiuk,104,44.44,72,162,56.0
168,169,169,Per-Ulrik Johansson,82,44.23,46,104,39.0
169,170,170,Russ Cochran,76,44.03,59,134,49.0
170,171,171,Brent Schwarzrock,63,44.0,33,75,38.0
171,172,172,Jeff Brehaut,80,43.9,54,123,42.0
172,173,173,Carlos Franco,87,43.75,70,160,55.0
173,174,174,David Toms,100,43.65,55,126,51.0
174,175,175,Robert Allenby,108,43.6,75,172,69.0
175,176,176,Mark Wiebe,62,42.72,44,103,46.0
176,177,177,Harrison Frazar,88,42.0,63,150,66.0
177,178,178,Doug Dunakey,83,41.84,59,141,53.0
178,179,179,Tommy Tolles,89,41.77,66,158,69.0
179,180,180,Richie Coughlan,66,41.28,45,109,49.0
180,181,181,Robin Freeman,105,41.14,65,158,64.0
181,182,182,Duffy Waldorf,77,41.03,48,117,48.0
182,183,183,Blaine McCallister,80,40.54,60,148,76.0
183,184,184,Kelly Grunewald,66,40.31,52,129,54.0
184,185,185,Andrew McLardy,75,40.0,60,150,61.0
185,186,186,Chris Perry,80,39.45,43,109,43.0
186,187,187,Kent Jones,74,38.93,51,131,58.0
187,188,188,Spike McRoy,95,38.57,54,140,62.0
188,189,189,Fred Couples,68,38.3,36,94,30.0
189,190,190,J.J. Henry,86,37.74,40,106,47.0
190,191,191,Chris Smith,101,36.3,49,135,44.0
191,192,192,Garrett Willis,88,35.67,56,157,73.0
192,193,193,Jeremy Anderson,69,33.65,35,104,60.0
193,194,194,Rocky Walcher,59,33.33,33,99,69.0
