,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,T1,T1,Jeremy Anderson,69,100.0,7,7
1,T1,T1,Tom Byrum,85,100.0,11,11
2,T1,T1,K.J. Choi,95,100.0,3,3
3,T1,T1,John Cook,91,100.0,8,8
4,T1,T1,Brad Elder,111,100.0,11,11
5,T1,T1,Ernie Els,70,100.0,10,10
6,T1,T1,Jim Furyk,88,100.0,6,6
7,T1,T1,John Huston,64,100.0,2,2
8,T1,T1,Steve Jones,75,100.0,9,9
9,T1,T1,Jonathan Kaye,116,100.0,13,13
10,T1,T1,Jerry Kelly,104,100.0,6,6
11,T1,T1,Davis Love III,75,100.0,21,21
12,T1,T1,Shigeki Maruyama,98,100.0,3,3
13,T1,T1,Len Mattiace,98,100.0,6,6
14,T1,T1,Bob May,86,100.0,11,11
15,T1,T1,Andrew McLardy,75,100.0,11,11
16,T1,T1,Craig Parry,68,100.0,9,9
17,T1,T1,Carl Paulson,93,100.0,15,15
18,T1,T1,Kirk Triplett,88,100.0,10,10
19,T1,T1,Mark Wiebe,62,100.0,2,2
20,T1,T1,Tiger Woods,76,100.0,17,17
21,22,22,Kevin Sutherland,101,95.83,23,24
22,23,23,Steve Lowery,100,95.65,22,23
23,T24,T24,Robert Allenby,108,94.74,18,19
24,T24,T24,José Coceres,60,94.74,18,19
25,26,26,Paul Goydos,86,94.44,17,18
26,T27,T27,Stewart Cink,102,94.12,16,17
27,T27,T27,Steve Flesch,112,94.12,16,17
28,T29,T29,Nick Price,74,93.75,15,16
29,T29,T29,Mike Sposa,96,93.75,15,16
30,T31,T31,Stuart Appleby,105,93.33,14,15
31,T31,T31,Fred Couples,68,93.33,14,15
32,T31,T31,Charles Howell III,89,93.33,14,15
33,T31,T31,Lee Janzen,96,93.33,14,15
34,T35,T35,Paul Azinger,79,92.86,13,14
35,T35,T35,Tom Pernice Jr.,106,92.86,13,14
36,T35,T35,Mike Weir,86,92.86,13,14
37,T38,T38,Jim Carter,103,92.31,12,13
38,T38,T38,Greg Chalmers,92,92.31,12,13
39,T38,T38,Matt Gogel,83,92.31,12,13
40,T38,T38,Tom Lehman,82,92.31,12,13
41,T38,T38,John Riegger,86,92.31,12,13
42,T43,T43,Tommy Armour III,93,91.67,22,24
43,T43,T43,Jay Don Blake,100,91.67,22,24
44,T43,T43,Edward Fryatt,93,91.67,11,12
45,T43,T43,Loren Roberts,84,91.67,11,12
46,47,47,Jesper Parnevik,91,91.3,21,23
47,T48,T48,Joel Edwards,99,90.91,10,11
48,T48,T48,Bob Estes,91,90.91,10,11
49,T48,T48,Sergio Garcia,64,90.91,10,11
50,T48,T48,Brent Geiberger,84,90.91,10,11
51,T48,T48,Hunter Haas,78,90.91,10,11
52,T48,T48,Chris Perry,80,90.91,10,11
53,T48,T48,Scott Simpson,73,90.91,10,11
54,T48,T48,Chris Tidland,83,90.91,10,11
55,T56,T56,Vijay Singh,98,90.48,19,21
56,T56,T56,Scott Verplank,99,90.48,19,21
57,T58,T58,Robert Damron,91,90.0,18,20
58,T58,T58,Ben Ferguson,76,90.0,9,10
59,T58,T58,Spike McRoy,95,90.0,9,10
60,T58,T58,Rocky Walcher,59,90.0,9,10
61,T58,T58,Kaname Yokoo,81,90.0,9,10
62,63,63,Steve Pate,89,89.47,17,19
63,T64,T64,Michael Clark II,87,88.89,8,9
64,T64,T64,David Frost,87,88.89,8,9
65,T64,T64,Scott Hoch,84,88.89,8,9
66,T64,T64,Kent Jones,74,88.89,8,9
67,T68,T68,Scott McCarron,98,88.24,15,17
68,T68,T68,Shaun Micheel,103,88.24,15,17
69,T70,T70,Danny Ellis,76,87.5,14,16
70,T70,T70,Robin Freeman,105,87.5,7,8
71,T70,T70,Jimmy Green,94,87.5,14,16
72,T70,T70,Tripp Isenhour,92,87.5,7,8
73,T70,T70,Skip Kendall,111,87.5,14,16
74,T70,T70,Bernhard Langer,62,87.5,14,16
75,T76,T76,Andrew Magee,97,86.67,13,15
76,T76,T76,Paul Stankowski,91,86.67,13,15
77,T78,T78,Briny Baird,106,85.71,6,7
78,T78,T78,John Daly,84,85.71,6,7
79,T78,T78,Steve Elkington,64,85.71,6,7
80,T78,T78,J.J. Henry,86,85.71,12,14
81,T78,T78,Kevin Johnson,93,85.71,6,7
82,T78,T78,Craig Kanada,80,85.71,12,14
83,T78,T78,Michael Muehr,94,85.71,12,14
84,T78,T78,Dennis Paulson,75,85.71,6,7
85,T78,T78,Hal Sutton,96,85.71,6,7
86,T87,T87,Fred Funk,118,85.0,17,20
87,T87,T87,Kenny Perry,94,85.0,17,20
88,T89,T89,Joe Durant,80,84.62,11,13
89,T89,T89,Brad Faxon,95,84.62,11,13
90,T89,T89,Rory Sabbatini,73,84.62,11,13
91,T92,T92,Brian Gay,114,84.21,16,19
92,T92,T92,J.L. Lewis,108,84.21,16,19
93,T94,T94,Billy Andrade,82,83.33,5,6
94,T94,T94,Olin Browne,99,83.33,10,12
95,T94,T94,Scott Dunlap,80,83.33,5,6
96,T94,T94,Robert Gamez,59,83.33,5,6
97,T94,T94,Jeff Hart,87,83.33,10,12
98,T94,T94,Per-Ulrik Johansson,82,83.33,15,18
99,T94,T94,Jim McGovern,66,83.33,5,6
100,T94,T94,Frank Nobilo,91,83.33,10,12
101,T94,T94,Tom Scherrer,69,83.33,15,18
102,T103,T103,Glen Day,89,82.61,19,23
103,T103,T103,Blaine McCallister,80,82.61,19,23
104,T105,T105,Stephen Ames,88,82.35,14,17
105,T105,T105,Chris DiMarco,108,82.35,28,34
106,T105,T105,Jeff Maggert,84,82.35,14,17
107,T108,T108,Tim Herron,97,81.82,9,11
108,T108,T108,Billy Mayfair,102,81.82,9,11
109,T108,T108,Steve Stricker,73,81.82,9,11
110,T111,T111,Harrison Frazar,88,81.25,13,16
111,T111,T111,Esteban Toledo,116,81.25,13,16
112,113,113,Mark O'Meara,69,80.95,17,21
113,T114,T114,Cameron Beckman,103,80.0,16,20
114,T114,T114,Richie Coughlan,66,80.0,8,10
115,T114,T114,Bill Glasson,69,80.0,8,10
116,T114,T114,Kelly Grunewald,66,80.0,8,10
117,T114,T114,Ian Leggatt,84,80.0,8,10
118,T114,T114,Larry Mize,76,80.0,4,5
119,T114,T114,Gary Nicklaus,96,80.0,12,15
120,T114,T114,Geoff Ogilvy,60,80.0,8,10
121,T114,T114,David Peoples,96,80.0,12,15
122,T114,T114,Craig Perks,78,80.0,12,15
123,T114,T114,Lee Porter,93,80.0,8,10
124,T114,T114,Ted Tryba,110,80.0,12,15
125,T114,T114,Bob Tway,109,80.0,8,10
126,T114,T114,Garrett Willis,88,80.0,8,10
127,T128,T128,Bob Burns,92,78.95,15,19
128,T128,T128,Frank Lickliter II,102,78.95,15,19
129,130,130,Duffy Waldorf,77,78.57,11,14
130,131,131,Greg Kraft,105,78.26,18,23
131,T132,T132,Mark Brooks,88,77.78,14,18
132,T132,T132,Joe Ogilvie,110,77.78,14,18
133,T132,T132,Jerry Smith,95,77.78,14,18
134,T135,T135,David Morland IV,88,77.27,17,22
135,T135,T135,Grant Waite,78,77.27,17,22
136,T137,T137,Rocco Mediate,69,76.47,13,17
137,T137,T137,Dicky Pride,78,76.47,13,17
138,T139,T139,"David Berganio, Jr.",76,75.0,6,8
139,T139,T139,Mark Calcavecchia,81,75.0,6,8
140,T139,T139,Keith Clearwater,62,75.0,9,12
141,T139,T139,Russ Cochran,76,75.0,9,12
142,T139,T139,Paul Gow,79,75.0,9,12
143,T139,T139,Justin Leonard,106,75.0,21,28
144,T139,T139,Corey Pavin,72,75.0,3,4
145,T139,T139,David Toms,100,75.0,12,16
146,T147,T147,Steve Allan,88,73.33,11,15
147,T147,T147,Brian Wilson,88,73.33,11,15
148,149,149,Chris Riley,104,72.73,8,11
149,150,150,Doug Dunakey,83,72.22,13,18
150,T151,T151,Fulton Allem,56,71.43,10,14
151,T151,T151,Doug Barron,62,71.43,5,7
152,T151,T151,Rich Beem,91,71.43,5,7
153,T151,T151,David Duval,78,71.43,5,7
154,T151,T151,Gabriel Hjertstedt,76,71.43,10,14
155,T151,T151,Jay Williamson,92,71.43,5,7
156,157,157,Brandt Jobe,96,70.0,7,10
157,T158,T158,Mathew Goggin,96,66.67,8,12
158,T158,T158,Bradley Hughes,96,66.67,4,6
159,T158,T158,Sean Murphy,70,66.67,2,3
160,T158,T158,Chris Smith,101,66.67,6,9
161,T158,T158,Tommy Tolles,89,66.67,6,9
162,163,163,Brian Henninger,81,65.22,15,23
163,164,164,Neal Lancaster,107,64.29,9,14
164,165,165,Jeff Sluman,106,64.0,16,25
165,T166,T166,Carlos Franco,87,62.5,5,8
166,T166,T166,Jason Gore,82,62.5,5,8
167,T166,T166,Glen Hnatiuk,104,62.5,5,8
168,169,169,Pete Jordan,105,61.54,8,13
169,170,170,Brandel Chamblee,77,60.0,3,5
170,171,171,Woody Austin,99,58.33,7,12
171,172,172,Cliff Kresge,84,57.14,4,7
172,T173,T173,Marco Dawson,57,50.0,5,10
173,T173,T173,Mark Hensby,71,50.0,2,4
