,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Tiger Woods,76,69.78,254,364
1,2,2,Nick Price,74,68.54,281,410
2,3,3,Davis Love III,75,67.28,255,379
3,4,4,Scott Hoch,84,66.53,324,487
4,5,5,Mark Brooks,88,66.07,370,560
5,6,6,Bob Estes,91,66.04,315,477
6,7,7,Scott Verplank,99,65.99,324,491
7,8,8,Loren Roberts,84,65.52,325,496
8,9,9,Glen Day,89,65.46,345,527
9,10,10,Bernhard Langer,62,65.43,212,324
10,11,11,Jesper Parnevik,91,65.32,339,519
11,12,12,Jim Furyk,88,64.91,296,456
12,13,13,Fred Funk,118,64.72,433,669
13,14,14,Mike Weir,86,64.55,315,488
14,15,15,Charles Howell III,89,64.29,261,406
15,16,16,Len Mattiace,98,64.17,403,628
16,17,17,Steve Stricker,73,64.06,262,409
17,18,18,Bill Glasson,69,63.95,243,380
18,19,19,Brad Faxon,95,63.88,329,515
19,20,20,Kenny Perry,94,63.76,292,458
20,21,21,Greg Chalmers,92,63.69,349,548
21,22,22,Brian Gay,114,63.66,417,655
22,23,23,Neal Lancaster,107,63.58,384,604
23,24,24,Larry Mize,76,63.56,300,472
24,25,25,Corey Pavin,72,63.5,294,463
25,26,26,Robert Damron,91,63.46,363,572
26,27,27,Frank Nobilo,91,63.44,328,517
27,28,28,Willie Wood,52,63.25,222,351
28,29,29,Joel Edwards,99,63.09,347,550
29,30,30,Phil Mickelson,85,63.07,263,417
30,T31,T31,Paul Azinger,79,63.01,276,438
31,T31,T31,Brian Watts,56,63.01,218,346
32,33,33,Scott McCarron,98,62.99,320,508
33,34,34,Paul Gow,79,62.87,298,474
34,35,35,Ted Tryba,110,62.86,413,657
35,36,36,Esteban Toledo,116,62.78,447,712
36,37,37,Cameron Beckman,103,62.77,349,556
37,38,38,Kirk Triplett,88,62.75,278,443
38,39,39,Stephen Ames,88,62.74,293,467
39,40,40,"David Berganio, Jr.",76,62.73,271,432
40,41,41,Fulton Allem,56,62.64,228,364
41,T42,T42,Pete Jordan,105,62.6,405,647
42,T42,T42,Mark O'Meara,69,62.6,231,369
43,T44,T44,Jay Haas,75,62.53,252,403
44,T44,T44,Vijay Singh,98,62.53,302,483
45,46,46,José Coceres,60,62.5,200,320
46,47,47,Jonathan Kaye,116,62.35,414,664
47,48,48,Rocco Mediate,69,62.25,221,355
48,49,49,Scott Simpson,73,62.23,290,466
49,50,50,Lee Janzen,96,62.2,334,537
50,51,51,Lee Porter,93,62.13,356,573
51,52,52,David Frost,87,62.05,358,577
52,53,53,Stuart Appleby,105,62.02,369,595
53,T54,T54,Chris Riley,104,61.94,389,628
54,T54,T54,Jeff Sluman,106,61.94,345,557
55,T54,T54,Hal Sutton,96,61.94,306,494
56,57,57,José María Olazábal,51,61.87,159,257
57,58,58,J.L. Lewis,108,61.83,413,668
58,59,59,Billy Mayfair,102,61.8,322,521
59,60,60,K.J. Choi,95,61.77,349,565
60,61,61,Mike Sposa,96,61.7,348,564
61,62,62,Craig Barlow,74,61.65,262,425
62,63,63,Chris DiMarco,108,61.64,323,524
63,64,64,Dan Forsman,81,61.59,287,466
64,65,65,Shigeki Maruyama,98,61.34,349,569
65,T66,T66,Brandel Chamblee,77,61.18,290,474
66,T66,T66,Shaun Micheel,103,61.18,383,626
67,68,68,Stewart Cink,102,61.07,309,506
68,69,69,Brent Geiberger,84,61.06,287,470
69,70,70,Billy Andrade,82,61.01,291,477
70,71,71,Sergio Garcia,64,60.99,197,323
71,72,72,David Duval,78,60.98,236,387
72,73,73,Steve Flesch,112,60.96,367,602
73,74,74,Justin Leonard,106,60.9,352,578
74,75,75,John Riegger,86,60.84,289,475
75,76,76,Ernie Els,70,60.82,208,342
76,77,77,Greg Kraft,105,60.74,376,619
77,78,78,Mark Calcavecchia,81,60.73,266,438
78,79,79,Ronnie Black,51,60.69,193,318
79,80,80,Kevin Sutherland,101,60.52,305,504
80,81,81,Chris Tidland,83,60.51,308,509
81,82,82,Michael Clark II,87,60.5,314,519
82,83,83,Harrison Frazar,88,60.47,306,506
83,84,84,Ian Leggatt,84,60.4,302,500
84,85,85,Brad Elder,111,60.39,433,717
85,86,86,Jean Van de Velde,52,60.36,166,275
86,87,87,Dudley Hart,80,60.35,239,396
87,88,88,Edward Fryatt,93,60.29,331,549
88,89,89,Skip Kendall,111,60.28,387,642
89,90,90,Brett Quigley,67,60.16,228,379
90,T91,T91,John Cook,91,60.14,258,429
91,T91,T91,Joe Ogilvie,110,60.14,427,710
92,93,93,Spike McRoy,95,60.11,330,549
93,94,94,J.P. Hayes,76,60.09,268,446
94,95,95,J.J. Henry,86,60.05,266,443
95,T96,T96,Jay Don Blake,100,60.0,357,595
96,T96,T96,Tom Pernice Jr.,106,60.0,396,660
97,T96,T96,Brent Schwarzrock,63,60.0,222,370
98,T99,T99,Paul Goydos,86,59.89,327,546
99,T99,T99,Tom Lehman,82,59.89,209,349
100,T101,T101,Jim Carter,103,59.81,375,627
101,T101,T101,Jerry Smith,95,59.81,369,617
102,T103,T103,Jerry Kelly,104,59.71,326,546
103,T103,T103,Craig Perks,78,59.71,286,479
104,105,105,Craig Kanada,80,59.61,332,557
105,106,106,Craig Parry,68,59.51,219,368
106,107,107,Steve Elkington,64,59.47,223,375
107,108,108,David Toms,100,59.45,280,471
108,109,109,Jay Williamson,92,59.43,331,557
109,110,110,Robert Allenby,108,59.4,335,564
