,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Jay Don Blake,100,"3""",0.25,1,96
1,2,2,David Frost,87,"4""",0.33299999999999996,1,52
2,T3,T3,Joe Durant,80,"5""",0.41700000000000004,1,124
3,T3,T3,Tom Pernice Jr.,106,"5""",0.41700000000000004,1,96
4,T5,T5,Jason Gore,82,"7""",0.583,1,152
5,T5,T5,Charles Howell III,89,"7""",0.583,1,15
6,T5,T5,Tom Scherrer,69,"7""",0.583,1,185
7,T5,T5,Kaname Yokoo,81,"7""",0.583,1,177
8,9,9,Jay Williamson,92,"8""",0.667,1,109
9,10,10,Greg Kraft,105,"9""",1.5,2,77
10,T11,T11,Steve Elkington,64,"10""",0.833,1,107
11,T11,T11,Matt Gogel,83,"10""",0.833,1,113
12,T11,T11,Nick Price,74,"10""",0.833,1,2
13,T11,T11,Mike Weir,86,"10""",0.833,1,14
14,15,15,Ian Leggatt,84,"1' 0""",1.0,1,84
15,T16,T16,Tripp Isenhour,92,"1' 1""",1.083,1,138
16,T16,T16,Lee Janzen,96,"1' 1""",1.083,1,50
17,T16,T16,David Morland IV,88,"1' 1""",1.083,1,153
18,T16,T16,Kenny Perry,94,"1' 1""",4.167,4,20
19,T20,T20,Paul Azinger,79,"1' 2""",1.167,1,31
20,T20,T20,Brian Henninger,81,"1' 2""",2.333,2,163
21,T20,T20,J.L. Lewis,108,"1' 2""",1.167,1,58
22,23,23,J.J. Henry,86,"1' 3""",1.25,1,95
23,T24,T24,Stuart Appleby,105,"1' 4""",2.583,2,53
24,T24,T24,Brad Elder,111,"1' 4""",1.3330000000000002,1,85
25,T24,T24,Brian Gay,114,"1' 4""",1.3330000000000002,1,22
26,T24,T24,Paul Goydos,86,"1' 4""",2.667,2,99
27,T24,T24,Len Mattiace,98,"1' 4""",1.3330000000000002,1,16
28,T24,T24,Michael Muehr,94,"1' 4""",2.667,2,128
29,T24,T24,Corey Pavin,72,"1' 4""",1.3330000000000002,1,25
30,T31,T31,Glen Hnatiuk,104,"1' 5""",2.75,2,138
31,T31,T31,Per-Ulrik Johansson,82,"1' 5""",1.4169999999999998,1,115
32,T33,T33,Cameron Beckman,103,"1' 6""",3.0,2,37
33,T33,T33,John Cook,91,"1' 6""",5.917000000000001,4,91
34,T33,T33,Carlos Franco,87,"1' 6""",1.5,1,190
35,T33,T33,Jeff Maggert,84,"1' 6""",3.0,2,117
36,T33,T33,Hal Sutton,96,"1' 6""",4.5,3,54
37,T33,T33,David Toms,100,"1' 6""",1.5,1,108
38,39,39,Carl Paulson,93,"1' 7""",1.5830000000000002,1,148
39,T40,T40,Jim Furyk,88,"1' 8""",3.333,2,12
40,T40,T40,Jonathan Kaye,116,"1' 8""",3.25,2,47
41,T42,T42,Michael Clark II,87,"1' 9""",3.5,2,82
42,T42,T42,Russ Cochran,76,"1' 9""",3.5,2,129
43,T42,T42,Robin Freeman,105,"1' 9""",3.417,2,165
44,T42,T42,Brent Geiberger,84,"1' 9""",3.5,2,69
45,T42,T42,Joe Ogilvie,110,"1' 9""",1.75,1,91
46,T47,T47,Gabriel Hjertstedt,76,"1' 11""",1.9169999999999998,1,167
47,T47,T47,Shigeki Maruyama,98,"1' 11""",1.9169999999999998,1,65
48,T47,T47,Andrew McLardy,75,"1' 11""",5.75,3,175
