,Sand_Saves_from_20-30_yards_RANK THIS WEEK,Sand_Saves_from_20-30_yards_RANK LAST WEEK,Sand_Saves_from_20-30_yards_PLAYER NAME,Sand_Saves_from_20-30_yards_ROUNDS,Sand_Saves_from_20-30_yards_%,Sand_Saves_from_20-30_yards_# OF SAVES,Sand_Saves_from_20-30_yards_# OF BUNKERS
0,T1,T1,Doug Barron,62,100.0,1.0,1
1,T1,T1,Tom Byrum,85,100.0,1.0,1
2,T1,T1,Michael Clark II,87,100.0,1.0,1
3,T1,T1,José Coceres,60,100.0,1.0,1
4,T1,T1,John Daly,84,100.0,1.0,1
5,T1,T1,Brad Elder,111,100.0,1.0,1
6,T1,T1,Brad Faxon,95,100.0,1.0,1
7,T1,T1,Skip Kendall,111,100.0,1.0,1
8,T1,T1,Greg Kraft,105,100.0,1.0,1
9,T1,T1,Rocco Mediate,69,100.0,1.0,1
10,T1,T1,Geoff Ogilvy,60,100.0,2.0,2
11,T1,T1,Corey Pavin,72,100.0,1.0,1
12,T1,T1,Chris Riley,104,100.0,1.0,1
13,T1,T1,Rory Sabbatini,73,100.0,1.0,1
14,T1,T1,Paul Stankowski,91,100.0,1.0,1
15,T16,T16,Jay Don Blake,100,50.0,1.0,2
16,T16,T16,Gary Nicklaus,96,50.0,1.0,2
17,T18,T18,Glen Day,89,0.0,,1
18,T18,T18,Danny Ellis,76,0.0,,1
19,T18,T18,Robin Freeman,105,0.0,,1
20,T18,T18,Jimmy Green,94,0.0,,1
21,T18,T18,Justin Leonard,106,0.0,,1
22,T18,T18,Billy Mayfair,102,0.0,,1
23,T18,T18,Jesper Parnevik,91,0.0,,1
24,T18,T18,Hal Sutton,96,0.0,,1
25,T18,T18,Grant Waite,78,0.0,,1
