,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Brandel Chamblee,77,"0""",,1,66
1,T2,T2,Richie Coughlan,66,"4""",0.33299999999999996,1,179
2,T2,T2,Gary Nicklaus,96,"4""",0.33299999999999996,1,183
3,4,4,Tom Scherrer,69,"5""",0.41700000000000004,1,185
4,5,5,Ben Ferguson,76,"7""",0.583,1,170
5,T6,T6,Harrison Frazar,88,"10""",2.417,3,83
6,T6,T6,Cliff Kresge,84,"10""",0.833,1,158
7,T6,T6,Tommy Tolles,89,"10""",0.833,1,189
8,9,9,Corey Pavin,72,"11""",2.75,3,25
9,10,10,Robert Damron,91,"1' 1""",1.083,1,26
10,T11,T11,Sergio Garcia,64,"1' 2""",3.417,3,71
11,T11,T11,Chris Smith,101,"1' 2""",2.333,2,160
12,T13,T13,Briny Baird,106,"1' 4""",8.167,6,122
13,T13,T13,Paul Gow,79,"1' 4""",1.3330000000000002,1,34
14,T13,T13,Rocco Mediate,69,"1' 4""",3.917,3,48
15,T16,T16,Steve Allan,88,"1' 6""",1.5,1,135
16,T16,T16,Jason Gore,82,"1' 6""",1.5,1,152
17,T18,T18,Neal Lancaster,107,"1' 7""",4.833,3,23
18,T18,T18,Shigeki Maruyama,98,"1' 7""",8.083,5,65
19,T18,T18,Craig Parry,68,"1' 7""",3.083,2,106
20,T21,T21,Ernie Els,70,"1' 8""",20.333,12,76
21,T21,T21,Glen Hnatiuk,104,"1' 8""",6.582999999999999,4,138
22,T21,T21,Mike Sposa,96,"1' 8""",10.0,6,61
23,T24,T24,Danny Ellis,76,"1' 9""",6.832999999999999,4,127
24,T24,T24,Larry Mize,76,"1' 9""",12.5,7,24
25,T24,T24,Carl Paulson,93,"1' 9""",5.332999999999999,3,148
26,T24,T24,Scott Simpson,73,"1' 9""",3.417,2,49
27,28,28,Cameron Beckman,103,"1' 10""",7.167000000000001,4,37
28,T29,T29,Brandt Jobe,96,"1' 11""",9.667,5,176
29,T29,T29,Greg Kraft,105,"1' 11""",3.833,2,77
30,T29,T29,Ian Leggatt,84,"1' 11""",7.75,4,84
31,T29,T29,Kevin Sutherland,101,"1' 11""",15.5,8,80
32,T29,T29,Garrett Willis,88,"1' 11""",7.667000000000001,4,171
33,T34,T34,Craig Perks,78,"2' 0""",5.917000000000001,3,103
34,T34,T34,Lee Porter,93,"2' 0""",3.917,2,51
35,T34,T34,Ted Tryba,110,"2' 0""",9.833,5,35
36,T37,T37,Tommy Armour III,93,"2' 1""",14.667,7,147
37,T37,T37,Paul Azinger,79,"2' 1""",8.167,4,31
38,T37,T37,Glen Day,89,"2' 1""",20.666999999999998,10,9
39,T37,T37,Mathew Goggin,96,"2' 1""",14.833,7,194
40,T41,T41,Steve Elkington,64,"2' 3""",11.25,5,107
41,T41,T41,Jeff Hart,87,"2' 3""",4.5,2,114
42,T41,T41,Jerry Smith,95,"2' 3""",4.5,2,101
43,T41,T41,Kirk Triplett,88,"2' 3""",4.417,2,38
44,T45,T45,Brian Gay,114,"2' 4""",7.0,3,22
45,T45,T45,Bill Glasson,69,"2' 4""",7.082999999999999,3,18
46,T45,T45,Nick Price,74,"2' 4""",13.917,6,2
47,T48,T48,Mark Calcavecchia,81,"2' 5""",14.583,6,78
48,T48,T48,John Daly,84,"2' 5""",9.583,4,167
49,T48,T48,Joel Edwards,99,"2' 5""",7.25,3,29
50,T48,T48,Jimmy Green,94,"2' 5""",12.083,5,111
51,T48,T48,Jonathan Kaye,116,"2' 5""",9.583,4,47
52,T53,T53,Fulton Allem,56,"2' 7""",5.083,2,41
53,T53,T53,Bob May,86,"2' 7""",7.832999999999999,3,132
54,T53,T53,Shaun Micheel,103,"2' 7""",15.583,6,66
55,T56,T56,"David Berganio, Jr.",76,"2' 8""",10.75,4,40
56,T56,T56,Kelly Grunewald,66,"2' 8""",2.667,1,184
57,T58,T58,Jeremy Anderson,69,"2' 9""",5.417000000000001,2,157
58,T58,T58,Olin Browne,99,"2' 9""",13.583,5,131
59,T58,T58,Stewart Cink,102,"2' 9""",38.167,14,68
60,T58,T58,Gabriel Hjertstedt,76,"2' 9""",5.417000000000001,2,167
61,T58,T58,Davis Love III,75,"2' 9""",32.917,12,3
62,T63,T63,Mark Brooks,88,"2' 11""",8.75,3,5
63,T63,T63,Brad Faxon,95,"2' 11""",20.666999999999998,7,19
64,T63,T63,Brent Geiberger,84,"2' 11""",11.5,4,69
65,T63,T63,Craig Kanada,80,"2' 11""",2.917,1,105
66,T63,T63,Paul Stankowski,91,"2' 11""",17.417,6,142
67,T63,T63,Steve Stricker,73,"2' 11""",11.667,4,17
68,T69,T69,Tom Byrum,85,"3' 0""",27.166999999999998,9,129
69,T69,T69,Steve Flesch,112,"3' 0""",29.916999999999998,10,73
70,T69,T69,Andrew Magee,97,"3' 0""",21.25,7,133
71,T69,T69,Jesper Parnevik,91,"3' 0""",18.0,6,11
72,T69,T69,Hal Sutton,96,"3' 0""",15.0,5,54
73,T69,T69,Grant Waite,78,"3' 0""",12.0,4,112
74,T75,T75,Fred Funk,118,"3' 1""",12.167,4,13
75,T75,T75,Spike McRoy,95,"3' 1""",15.25,5,93
76,T75,T75,David Peoples,96,"3' 1""",9.25,3,121
77,T75,T75,Kaname Yokoo,81,"3' 1""",9.167,3,177
78,T79,T79,Billy Andrade,82,"3' 2""",3.167,1,70
79,T79,T79,Brian Henninger,81,"3' 2""",18.917,6,163
80,T79,T79,Skip Kendall,111,"3' 2""",19.083,6,89
81,T79,T79,John Riegger,86,"3' 2""",12.583,4,75
82,83,83,Bob Tway,109,"3' 3""",22.583000000000002,7,146
83,T84,T84,K.J. Choi,95,"3' 4""",6.667000000000001,2,60
84,T84,T84,John Cook,91,"3' 4""",20.0,6,91
85,T84,T84,Vijay Singh,98,"3' 4""",42.917,13,44
86,T87,T87,Stephen Ames,88,"3' 5""",17.0,5,39
87,T87,T87,Fred Couples,68,"3' 5""",6.832999999999999,2,187
88,T87,T87,Matt Gogel,83,"3' 5""",6.832999999999999,2,113
89,T90,T90,J.J. Henry,86,"3' 6""",7.0,2,95
90,T90,T90,Lee Janzen,96,"3' 6""",14.0,4,50
91,T90,T90,Esteban Toledo,116,"3' 6""",17.667,5,36
92,T90,T90,Mike Weir,86,"3' 6""",17.667,5,14
93,94,94,Brian Wilson,88,"3' 7""",14.333,4,123
94,T95,T95,Robert Allenby,108,"3' 8""",21.916999999999998,6,110
95,T95,T95,Doug Dunakey,83,"3' 8""",11.0,3,150
96,T97,T97,J.L. Lewis,108,"3' 9""",18.917,5,58
97,T97,T97,Jay Williamson,92,"3' 9""",18.667,5,109
98,T99,T99,Doug Barron,62,"3' 10""",3.833,1,160
99,T99,T99,Jerry Kelly,104,"3' 10""",19.167,5,103
100,T99,T99,David Morland IV,88,"3' 10""",19.083,5,153
101,T99,T99,Loren Roberts,84,"3' 10""",11.417,3,8
102,103,103,Tom Lehman,82,"4' 0""",40.25,10,99
103,104,104,Kenny Perry,94,"4' 1""",40.5,10,20
104,T105,T105,Tripp Isenhour,92,"4' 3""",8.417,2,138
105,T105,T105,Jeff Sluman,106,"4' 3""",59.083,14,54
106,107,107,Jeff Maggert,84,"4' 4""",8.667,2,117
107,T108,T108,Bob Estes,91,"4' 5""",13.333,3,6
108,T108,T108,Bradley Hughes,96,"4' 5""",13.25,3,172
109,110,110,Joe Ogilvie,110,"4' 6""",22.583000000000002,5,91
110,T111,T111,Jim Carter,103,"4' 7""",32.167,7,101
111,T111,T111,Scott Dunlap,80,"4' 7""",9.167,2,156
112,T111,T111,Jim Furyk,88,"4' 7""",45.75,10,12
113,T114,T114,Per-Ulrik Johansson,82,"4' 8""",14.0,3,115
114,T114,T114,Geoff Ogilvy,60,"4' 8""",14.083,3,186
115,116,116,Steve Lowery,100,"4' 9""",37.667,8,120
116,T117,T117,Carlos Franco,87,"4' 11""",9.75,2,190
117,T117,T117,Scott Verplank,99,"4' 11""",24.666999999999998,5,7
118,119,119,Tom Pernice Jr.,106,"5' 2""",46.75,9,96
119,120,120,Marco Dawson,57,"5' 4""",5.332999999999999,1,149
120,T121,T121,Woody Austin,99,"5' 5""",32.667,6,126
121,T121,T121,Scott McCarron,98,"5' 5""",64.917,12,33
122,123,123,Frank Lickliter II,102,"5' 7""",44.333,8,141
123,124,124,Joe Durant,80,"5' 11""",17.75,3,124
124,T125,T125,Bob Burns,92,"6' 0""",17.917,3,137
125,T125,T125,Frank Nobilo,91,"6' 0""",11.917,2,27
126,127,127,Rory Sabbatini,73,"6' 3""",37.5,6,151
127,128,128,Michael Muehr,94,"6' 4""",50.917,8,128
128,T129,T129,John Huston,64,"6' 6""",19.5,3,116
129,T129,T129,Mark O'Meara,69,"6' 6""",25.833000000000002,4,42
130,T129,T129,Chris Perry,80,"6' 6""",6.5,1,159
131,132,132,Tiger Woods,76,"6' 9""",47.167,7,1
132,133,133,Russ Cochran,76,"6' 10""",20.417,3,129
133,T134,T134,Steve Pate,89,"7' 1""",7.082999999999999,1,166
134,T134,T134,David Toms,100,"7' 1""",14.083,2,108
135,136,136,Edward Fryatt,93,"7' 5""",7.417000000000001,1,88
136,T137,T137,Paul Goydos,86,"7' 6""",52.583,7,99
137,T137,T137,Charles Howell III,89,"7' 6""",52.417,7,15
138,139,139,Steve Jones,75,"7' 11""",31.666999999999998,4,180
139,140,140,David Duval,78,"8' 8""",69.333,8,72
140,141,141,Chris DiMarco,108,"9' 8""",97.0,10,63
141,142,142,Scott Hoch,84,"9' 10""",49.083,5,4
142,143,143,Andrew McLardy,75,"10' 4""",10.333,1,175
143,144,144,Brad Elder,111,"11' 3""",90.083,8,85
144,145,145,Len Mattiace,98,"11' 5""",80.083,7,16
145,146,146,José Coceres,60,"11' 8""",46.583,4,46
146,147,147,Chris Riley,104,"18' 0""",72.0,4,54
147,148,148,Keith Clearwater,62,"18' 1""",18.083,1,173
148,149,149,Pete Jordan,105,"21' 0""",63.0,3,42
149,150,150,Billy Mayfair,102,"21' 6""",236.667,11,59
150,151,151,Jay Don Blake,100,"23' 11""",239.25,10,96
151,152,152,Justin Leonard,106,"24' 0""",143.917,6,74
152,153,153,Bernhard Langer,62,"25' 3""",126.417,5,10
153,154,154,Michael Clark II,87,"36' 6""",182.5,5,82
154,155,155,Blaine McCallister,80,"36' 7""",146.417,4,118
155,156,156,Stuart Appleby,105,"109' 7""",657.6669999999999,6,53
