,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,T1,Stephen Ames,88,100.0,2.0,2
1,T1,T1,Doug Barron,62,100.0,2.0,2
2,T1,T1,"David Berganio, Jr.",76,100.0,3.0,3
3,T1,T1,Jay Don Blake,100,100.0,2.0,2
4,T1,T1,Mark Brooks,88,100.0,2.0,2
5,T1,T1,Bob Burns,92,100.0,2.0,2
6,T1,T1,Tom Byrum,85,100.0,1.0,1
7,T1,T1,Greg Chalmers,92,100.0,1.0,1
8,T1,T1,John Daly,84,100.0,1.0,1
9,T1,T1,Robert Damron,91,100.0,2.0,2
10,T1,T1,Doug Dunakey,83,100.0,1.0,1
11,T1,T1,Danny Ellis,76,100.0,1.0,1
12,T1,T1,Ernie Els,70,100.0,3.0,3
13,T1,T1,Fred Funk,118,100.0,2.0,2
14,T1,T1,Jeff Hart,87,100.0,1.0,1
15,T1,T1,Bradley Hughes,96,100.0,3.0,3
16,T1,T1,Kevin Johnson,93,100.0,1.0,1
17,T1,T1,Steve Jones,75,100.0,4.0,4
18,T1,T1,Craig Kanada,80,100.0,2.0,2
19,T1,T1,Skip Kendall,111,100.0,7.0,7
20,T1,T1,Neal Lancaster,107,100.0,1.0,1
21,T1,T1,Jim McGovern,66,100.0,1.0,1
22,T1,T1,Spike McRoy,95,100.0,2.0,2
23,T1,T1,Rocco Mediate,69,100.0,1.0,1
24,T1,T1,Larry Mize,76,100.0,1.0,1
25,T1,T1,Gary Nicklaus,96,100.0,1.0,1
26,T1,T1,Carl Paulson,93,100.0,3.0,3
27,T1,T1,David Peoples,96,100.0,1.0,1
28,T1,T1,Craig Perks,78,100.0,2.0,2
29,T1,T1,Lee Porter,93,100.0,1.0,1
30,T1,T1,Dicky Pride,78,100.0,2.0,2
31,T1,T1,Loren Roberts,84,100.0,3.0,3
32,T1,T1,Mike Sposa,96,100.0,2.0,2
33,T1,T1,Steve Stricker,73,100.0,1.0,1
34,T1,T1,Esteban Toledo,116,100.0,2.0,2
