,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Richie Coughlan,66,"3""",0.003,1,179
1,2,2,Sean Murphy,70,"10""",0.01,1,154
2,3,3,Rich Beem,91,"11""",0.032,3,140
3,T4,T4,Steve Allan,88,"1' 4""",0.048,3,135
4,T4,T4,Jerry Kelly,104,"1' 4""",0.113,7,103
5,T4,T4,Steve Pate,89,"1' 4""",0.064,4,166
6,7,7,Chris Perry,80,"1' 5""",0.034,2,159
7,8,8,Kevin Johnson,93,"1' 7""",0.038,2,143
8,T9,T9,Mark Brooks,88,"1' 9""",0.22899999999999998,11,5
9,T9,T9,David Frost,87,"1' 9""",0.449,21,52
10,11,11,Scott Dunlap,80,"1' 10""",0.151,7,156
11,T12,T12,Michael Clark II,87,"1' 11""",0.18600000000000003,8,82
12,T12,T12,Hunter Haas,78,"1' 11""",0.069,3,191
13,T12,T12,Loren Roberts,84,"1' 11""",0.349,15,8
14,T12,T12,Paul Stankowski,91,"1' 11""",0.161,7,142
15,16,16,Kelly Grunewald,66,"2' 0""",0.11800000000000001,5,184
16,T17,T17,Brad Elder,111,"2' 1""",0.225,9,85
17,T17,T17,Pete Jordan,105,"2' 1""",0.221,9,42
18,T19,T19,Jimmy Green,94,"2' 2""",0.47600000000000003,18,111
19,T19,T19,Shigeki Maruyama,98,"2' 2""",0.365,14,65
20,T19,T19,Corey Pavin,72,"2' 2""",0.158,6,25
21,T22,T22,John Cook,91,"2' 3""",0.46,17,91
22,T22,T22,John Daly,84,"2' 3""",0.322,12,167
23,T22,T22,J.J. Henry,86,"2' 3""",0.6459999999999999,24,95
24,T22,T22,Andrew McLardy,75,"2' 3""",0.188,7,175
25,T26,T26,Matt Gogel,83,"2' 4""",0.195,7,113
26,T26,T26,Jonathan Kaye,116,"2' 4""",0.369,13,47
27,T28,T28,Doug Barron,62,"2' 5""",0.265,9,160
28,T28,T28,Neal Lancaster,107,"2' 5""",0.46399999999999997,16,23
29,T28,T28,Kirk Triplett,88,"2' 5""",0.434,15,38
30,T28,T28,Mark Wiebe,62,"2' 5""",0.057,2,181
31,T28,T28,Kaname Yokoo,81,"2' 5""",0.344,12,177
32,T33,T33,"David Berganio, Jr.",76,"2' 6""",0.384,13,40
33,T33,T33,Robert Damron,91,"2' 6""",0.601,20,26
34,T33,T33,Brian Henninger,81,"2' 6""",0.6609999999999999,22,163
35,T33,T33,Tom Lehman,82,"2' 6""",0.8109999999999999,27,99
36,T33,T33,Dennis Paulson,75,"2' 6""",0.059000000000000004,2,119
37,T38,T38,Danny Ellis,76,"2' 7""",0.809,26,127
38,T38,T38,Robert Gamez,59,"2' 7""",0.031,1,169
39,T38,T38,Kenny Perry,94,"2' 7""",0.95,31,20
40,T38,T38,Dicky Pride,78,"2' 7""",0.28300000000000003,9,174
41,T42,T42,Fulton Allem,56,"2' 8""",0.474,15,41
42,T42,T42,David Duval,78,"2' 8""",0.746,23,72
43,T42,T42,Joel Edwards,99,"2' 8""",0.682,21,29
44,T42,T42,Brent Geiberger,84,"2' 8""",0.446,14,69
45,T42,T42,Jason Gore,82,"2' 8""",0.19399999999999998,6,152
46,T42,T42,Paul Gow,79,"2' 8""",0.223,7,34
47,T42,T42,Esteban Toledo,116,"2' 8""",0.552,17,36
48,T49,T49,John Huston,64,"2' 9""",0.262,8,116
49,T49,T49,Jerry Smith,95,"2' 9""",0.423,13,101
50,T49,T49,Grant Waite,78,"2' 9""",0.531,16,112
51,T52,T52,Olin Browne,99,"2' 10""",0.516,15,131
52,T52,T52,Edward Fryatt,93,"2' 10""",0.306,9,88
53,T52,T52,Sergio Garcia,64,"2' 10""",0.755,22,71
54,T52,T52,Davis Love III,75,"2' 10""",1.31,39,3
55,T56,T56,Russ Cochran,76,"2' 11""",0.5589999999999999,16,129
56,T56,T56,Ernie Els,70,"2' 11""",0.636,18,76
57,T56,T56,Gabriel Hjertstedt,76,"2' 11""",0.319,9,167
58,T56,T56,Bradley Hughes,96,"2' 11""",0.743,21,172
59,T56,T56,Mark O'Meara,69,"2' 11""",0.519,15,42
60,T56,T56,Craig Perks,78,"2' 11""",0.628,18,103
61,T56,T56,Scott Simpson,73,"2' 11""",0.494,14,49
62,T56,T56,Steve Stricker,73,"2' 11""",0.529,15,17
63,T64,T64,Mark Calcavecchia,81,"3' 0""",0.431,12,78
64,T64,T64,Carlos Franco,87,"3' 0""",0.32799999999999996,9,190
65,T64,T64,Lee Janzen,96,"3' 0""",0.6829999999999999,19,50
66,T64,T64,Steve Jones,75,"3' 0""",0.252,7,180
67,T64,T64,Justin Leonard,106,"3' 0""",1.2009999999999998,33,74
68,T69,T69,Fred Couples,68,"3' 1""",0.52,14,187
69,T69,T69,Marco Dawson,57,"3' 1""",0.262,7,149
70,T69,T69,Steve Elkington,64,"3' 1""",0.337,9,107
71,T69,T69,Frank Lickliter II,102,"3' 1""",1.1840000000000002,32,141
72,T69,T69,David Morland IV,88,"3' 1""",0.368,10,153
73,T74,T74,Keith Clearwater,62,"3' 2""",0.225,6,173
74,T74,T74,Robin Freeman,105,"3' 2""",0.381,10,165
75,T74,T74,Paul Goydos,86,"3' 2""",0.33799999999999997,9,99
76,T74,T74,Rory Sabbatini,73,"3' 2""",0.675,18,151
77,T74,T74,Duffy Waldorf,77,"3' 2""",0.113,3,192
78,T79,T79,Harrison Frazar,88,"3' 4""",0.358,9,83
79,T79,T79,Brian Gay,114,"3' 4""",0.514,13,22
80,T79,T79,Mathew Goggin,96,"3' 4""",0.927,23,194
81,T79,T79,Joe Ogilvie,110,"3' 4""",0.43700000000000006,11,91
82,T79,T79,Jeff Sluman,106,"3' 4""",1.123,28,54
83,T84,T84,Bob Estes,91,"3' 5""",1.101,27,6
84,T84,T84,Glen Hnatiuk,104,"3' 5""",0.488,12,138
85,T84,T84,David Peoples,96,"3' 5""",1.736,42,121
86,T84,T84,Kevin Sutherland,101,"3' 5""",0.648,16,80
87,T84,T84,Jay Williamson,92,"3' 5""",0.622,15,109
88,T89,T89,Tripp Isenhour,92,"3' 6""",0.212,5,138
89,T89,T89,Gary Nicklaus,96,"3' 6""",0.503,12,183
90,T89,T89,Hal Sutton,96,"3' 6""",1.097,26,54
91,T92,T92,K.J. Choi,95,"3' 7""",0.256,6,60
92,T92,T92,Craig Kanada,80,"3' 7""",0.304,7,105
93,T94,T94,Cameron Beckman,103,"3' 8""",0.877,20,37
94,T94,T94,Jim Furyk,88,"3' 8""",0.92,21,12
95,T94,T94,Rocco Mediate,69,"3' 8""",0.436,10,48
96,T94,T94,Brian Wilson,88,"3' 8""",0.61,14,123
97,T98,T98,Jay Don Blake,100,"3' 9""",0.987,22,96
98,T98,T98,Bill Glasson,69,"3' 9""",0.669,15,18
99,T98,T98,Scott Hoch,84,"3' 9""",0.858,19,4
100,T98,T98,Per-Ulrik Johansson,82,"3' 9""",0.534,12,115
101,T98,T98,Spike McRoy,95,"3' 9""",0.6779999999999999,15,93
102,T98,T98,Scott Verplank,99,"3' 9""",1.337,30,7
103,T104,T104,Stewart Cink,102,"3' 10""",1.5730000000000002,34,68
104,T104,T104,John Riegger,86,"3' 10""",1.156,25,75
105,106,106,Jeff Maggert,84,"3' 11""",0.7020000000000001,15,117
106,T107,T107,Robert Allenby,108,"4' 0""",1.29,27,110
107,T107,T107,Mike Weir,86,"4' 0""",0.718,15,14
108,T109,T109,Brandt Jobe,96,"4' 1""",0.49,10,176
109,T109,T109,J.L. Lewis,108,"4' 1""",0.971,20,58
110,T109,T109,Bob May,86,"4' 1""",0.439,9,132
111,T109,T109,Jim McGovern,66,"4' 1""",0.09699999999999999,2,134
112,T113,T113,Billy Andrade,82,"4' 2""",0.5529999999999999,11,70
113,T113,T113,Lee Porter,93,"4' 2""",0.402,8,51
114,115,115,Tommy Tolles,89,"4' 3""",0.154,3,189
115,T116,T116,Briny Baird,106,"4' 4""",1.463,28,122
116,T116,T116,Doug Dunakey,83,"4' 4""",0.36700000000000005,7,150
117,118,118,Jeremy Anderson,69,"4' 5""",0.105,2,157
118,T119,T119,Jesper Parnevik,91,"4' 6""",1.14,21,11
119,T119,T119,Ted Tryba,110,"4' 6""",1.137,21,35
120,121,121,Scott McCarron,98,"4' 7""",1.702,31,33
121,122,122,Steve Flesch,112,"4' 8""",1.227,22,73
122,T123,T123,Woody Austin,99,"4' 9""",0.746,13,126
123,T123,T123,José Coceres,60,"4' 9""",1.357,24,46
124,125,125,Brandel Chamblee,77,"4' 10""",0.231,4,66
125,T126,T126,Shaun Micheel,103,"4' 11""",1.242,21,66
126,T126,T126,Tom Pernice Jr.,106,"4' 11""",1.057,18,96
127,128,128,Billy Mayfair,102,"5' 0""",2.095,35,59
128,T129,T129,Chris DiMarco,108,"5' 1""",1.771,29,63
129,T129,T129,Bernhard Langer,62,"5' 1""",1.0390000000000001,17,10
130,T129,T129,Carl Paulson,93,"5' 1""",0.7929999999999999,13,148
131,132,132,Len Mattiace,98,"5' 3""",1.006,16,16
132,133,133,Tommy Armour III,93,"5' 4""",1.15,18,147
133,134,134,Bob Tway,109,"5' 5""",1.815,28,146
134,T135,T135,Bob Burns,92,"5' 6""",1.3219999999999998,20,137
135,T135,T135,Craig Parry,68,"5' 6""",0.264,4,106
136,T135,T135,Nick Price,74,"5' 6""",1.193,18,2
137,138,138,Tiger Woods,76,"5' 9""",1.4509999999999998,21,1
138,139,139,Andrew Magee,97,"5' 10""",1.406,20,133
139,140,140,Glen Day,89,"5' 11""",1.554,22,9
140,141,141,Garrett Willis,88,"6' 0""",1.1520000000000001,16,171
141,142,142,David Toms,100,"6' 1""",1.9080000000000001,26,108
142,143,143,Chris Riley,104,"6' 3""",1.121,15,54
143,T144,T144,Stephen Ames,88,"6' 4""",0.7559999999999999,10,39
144,T144,T144,Frank Nobilo,91,"6' 4""",1.058,14,27
145,146,146,Fred Funk,118,"6' 5""",1.935,25,13
146,147,147,Brad Faxon,95,"6' 7""",2.594,33,19
147,148,148,Larry Mize,76,"6' 9""",1.5319999999999998,19,24
148,149,149,Greg Kraft,105,"6' 10""",2.633,32,77
149,T150,T150,Mark Hensby,71,"7' 0""",0.084,1,144
150,T150,T150,Vijay Singh,98,"7' 0""",2.439,29,44
151,T152,T152,Cliff Kresge,84,"7' 2""",0.342,4,158
152,T152,T152,Tom Scherrer,69,"7' 2""",0.602,7,185
153,154,154,Michael Muehr,94,"7' 3""",1.4709999999999999,17,128
154,155,155,Steve Lowery,100,"7' 4""",3.264,37,120
155,156,156,Joe Durant,80,"7' 6""",1.7990000000000002,20,124
156,T157,T157,Jim Carter,103,"7' 10""",2.07,22,101
157,T157,T157,Ben Ferguson,76,"7' 10""",0.282,3,170
158,159,159,Paul Azinger,79,"8' 1""",1.7519999999999998,18,31
159,160,160,Mike Sposa,96,"8' 2""",1.87,19,61
160,161,161,Jeff Hart,87,"8' 3""",1.391,14,114
161,162,162,Rocky Walcher,59,"8' 5""",1.115,11,193
162,163,163,Charles Howell III,89,"9' 2""",3.197,29,15
163,164,164,Skip Kendall,111,"9' 3""",2.434,22,89
164,165,165,Chris Smith,101,"9' 4""",0.785,7,160
165,166,166,Stuart Appleby,105,"9' 5""",2.719,24,53
166,167,167,Tom Byrum,85,"10' 5""",1.504,12,129
167,168,168,Geoff Ogilvy,60,"11' 6""",1.376,10,186
168,169,169,Blaine McCallister,80,"13' 3""",4.127,26,118
169,170,170,Greg Chalmers,92,"13' 11""",0.502,3,21
170,171,171,Ian Leggatt,84,"14' 7""",2.967,17,84
171,172,172,Kent Jones,74,"33' 2""",2.388,6,182
172,173,173,Chris Tidland,83,"36' 9""",1.3219999999999998,3,81
