,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,T1,T1,Scott Dunlap,80,88.89,8.0,9
1,T1,T1,Bob Estes,91,88.89,8.0,9
2,T3,T3,Andrew McLardy,75,87.5,7.0,8
3,T3,T3,Kirk Triplett,88,87.5,7.0,8
4,T5,T5,David Peoples,96,85.71,6.0,7
5,T5,T5,Nick Price,74,85.71,6.0,7
6,7,7,John Huston,64,83.33,5.0,6
7,8,8,Steve Elkington,64,82.35,14.0,17
8,9,9,Larry Mize,76,81.82,9.0,11
9,10,10,Blaine McCallister,80,81.25,13.0,16
10,T11,T11,Glen Hnatiuk,104,80.0,8.0,10
11,T11,T11,Steve Stricker,73,80.0,4.0,5
12,13,13,Grant Waite,78,78.95,15.0,19
13,T14,T14,Fulton Allem,56,78.57,11.0,14
14,T14,T14,Brian Wilson,88,78.57,11.0,14
15,16,16,Rocky Walcher,59,77.78,7.0,9
16,17,17,Brent Geiberger,84,76.47,13.0,17
17,T18,T18,Craig Kanada,80,75.0,9.0,12
18,T18,T18,Greg Kraft,105,75.0,9.0,12
19,T18,T18,Bob May,86,75.0,3.0,4
20,T18,T18,Carl Paulson,93,75.0,12.0,16
21,22,22,Davis Love III,75,74.07,20.0,27
22,T23,T23,John Cook,91,73.33,11.0,15
23,T23,T23,Pete Jordan,105,73.33,11.0,15
24,T23,T23,Craig Perks,78,73.33,11.0,15
25,T23,T23,Vijay Singh,98,73.33,11.0,15
26,T27,T27,Edward Fryatt,93,72.73,8.0,11
27,T27,T27,Frank Nobilo,91,72.73,8.0,11
28,T27,T27,Chris Smith,101,72.73,8.0,11
29,30,30,Glen Day,89,72.22,13.0,18
30,T31,T31,Harrison Frazar,88,71.43,5.0,7
31,T31,T31,Dicky Pride,78,71.43,5.0,7
32,T31,T31,Jeff Sluman,106,71.43,10.0,14
33,T34,T34,Paul Azinger,79,70.0,7.0,10
34,T34,T34,David Duval,78,70.0,7.0,10
35,T36,T36,Fred Couples,68,69.23,9.0,13
36,T36,T36,Robin Freeman,105,69.23,9.0,13
37,T36,T36,Charles Howell III,89,69.23,9.0,13
38,39,39,Andrew Magee,97,68.0,17.0,25
39,T40,T40,Stuart Appleby,105,66.67,10.0,15
40,T40,T40,Tommy Armour III,93,66.67,12.0,18
41,T40,T40,Briny Baird,106,66.67,6.0,9
42,T40,T40,Cameron Beckman,103,66.67,8.0,12
43,T40,T40,Brandel Chamblee,77,66.67,4.0,6
44,T40,T40,Robert Damron,91,66.67,10.0,15
45,T40,T40,Danny Ellis,76,66.67,10.0,15
46,T40,T40,Mark Hensby,71,66.67,2.0,3
47,T40,T40,Mark O'Meara,69,66.67,6.0,9
48,T40,T40,Dennis Paulson,75,66.67,2.0,3
49,T40,T40,Chris Riley,104,66.67,10.0,15
50,T40,T40,Mike Weir,86,66.67,6.0,9
51,T40,T40,Mark Wiebe,62,66.67,2.0,3
52,53,53,Lee Janzen,96,64.71,11.0,17
53,T54,T54,Jeff Maggert,84,64.29,9.0,14
54,T54,T54,Chris Perry,80,64.29,9.0,14
55,T56,T56,Stewart Cink,102,64.0,16.0,25
56,T56,T56,Jesper Parnevik,91,64.0,16.0,25
57,T58,T58,Russ Cochran,76,63.64,7.0,11
58,T58,T58,Fred Funk,118,63.64,7.0,11
59,T58,T58,Jerry Kelly,104,63.64,7.0,11
60,T58,T58,David Morland IV,88,63.64,7.0,11
61,T62,T62,Hal Sutton,96,62.5,5.0,8
62,T62,T62,Garrett Willis,88,62.5,5.0,8
63,T64,T64,Stephen Ames,88,61.54,8.0,13
64,T64,T64,Shaun Micheel,103,61.54,8.0,13
65,T64,T64,Tom Pernice Jr.,106,61.54,8.0,13
66,T64,T64,Scott Verplank,99,61.54,8.0,13
67,T68,T68,Spike McRoy,95,61.11,11.0,18
68,T68,T68,Kenny Perry,94,61.11,11.0,18
69,70,70,Joel Edwards,99,60.87,14.0,23
70,T71,T71,Woody Austin,99,60.0,6.0,10
71,T71,T71,Jonathan Kaye,116,60.0,12.0,20
72,T71,T71,Loren Roberts,84,60.0,6.0,10
73,74,74,Rory Sabbatini,73,59.26,16.0,27
74,75,75,Robert Allenby,108,59.09,13.0,22
75,T76,T76,Olin Browne,99,58.82,10.0,17
76,T76,T76,John Riegger,86,58.82,10.0,17
77,T78,T78,Brad Faxon,95,58.33,7.0,12
78,T78,T78,Frank Lickliter II,102,58.33,7.0,12
79,T80,T80,Tom Byrum,85,57.89,11.0,19
80,T80,T80,Mathew Goggin,96,57.89,11.0,19
81,82,82,Jay Don Blake,100,57.69,15.0,26
82,T83,T83,Mark Brooks,88,57.14,4.0,7
83,T83,T83,Bob Burns,92,57.14,8.0,14
84,T83,T83,Skip Kendall,111,57.14,12.0,21
85,T83,T83,Bernhard Langer,62,57.14,8.0,14
86,T83,T83,Tom Lehman,82,57.14,4.0,7
87,T83,T83,Jerry Smith,95,57.14,4.0,7
88,89,89,Brian Henninger,81,56.52,13.0,23
89,T90,T90,Shigeki Maruyama,98,56.0,14.0,25
90,T90,T90,Kaname Yokoo,81,56.0,14.0,25
91,T92,T92,Scott Hoch,84,55.56,5.0,9
92,T92,T92,Neal Lancaster,107,55.56,5.0,9
93,T92,T92,Justin Leonard,106,55.56,10.0,18
94,T95,T95,Jim Carter,103,55.0,11.0,20
95,T95,T95,Steve Flesch,112,55.0,11.0,20
96,97,97,Michael Clark II,87,54.55,6.0,11
97,T98,T98,Paul Goydos,86,53.33,8.0,15
98,T98,T98,Ted Tryba,110,53.33,8.0,15
99,100,100,David Frost,87,52.94,9.0,17
100,101,101,Kevin Sutherland,101,52.17,12.0,23
101,102,102,Billy Mayfair,102,51.72,15.0,29
102,T103,T103,Steve Allan,88,50.0,1.0,2
103,T103,T103,Jeremy Anderson,69,50.0,1.0,2
104,T103,T103,Rich Beem,91,50.0,2.0,4
