,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Richie Coughlan,66,"4""",0.583,2,179
1,2,2,Sean Murphy,70,"10""",0.833,1,154
2,3,3,Rich Beem,91,"11""",2.667,3,140
3,4,4,Tim Herron,97,"1' 0""",1.0,1,162
4,5,5,Steve Allan,88,"1' 5""",5.5,4,135
5,6,6,Kevin Johnson,93,"1' 7""",3.167,2,143
6,T7,T7,David Frost,87,"1' 9""",37.75,22,52
7,T7,T7,Corey Pavin,72,"1' 9""",17.25,10,25
8,9,9,Hunter Haas,78,"1' 11""",5.75,3,191
9,T10,T10,Mark Brooks,88,"2' 0""",27.833000000000002,14,5
10,T10,T10,Shigeki Maruyama,98,"2' 0""",40.417,20,65
11,12,12,Kelly Grunewald,66,"2' 1""",12.5,6,184
12,T13,T13,Jason Gore,82,"2' 3""",18.25,8,152
13,T13,T13,J.J. Henry,86,"2' 3""",62.583,28,95
14,T13,T13,Loren Roberts,84,"2' 3""",40.5,18,8
15,T16,T16,Jimmy Green,94,"2' 4""",57.417,25,111
16,T16,T16,Jonathan Kaye,116,"2' 4""",43.583,19,47
17,T16,T16,Kaname Yokoo,81,"2' 4""",40.083,17,177
18,T19,T19,Fulton Allem,56,"2' 5""",47.75,20,41
19,T19,T19,"David Berganio, Jr.",76,"2' 5""",43.167,18,40
20,T19,T19,John Cook,91,"2' 5""",64.25,27,91
21,T19,T19,Robert Damron,91,"2' 5""",51.167,21,26
22,T19,T19,Scott Dunlap,80,"2' 5""",21.75,9,156
23,T19,T19,Ernie Els,70,"2' 5""",73.333,30,76
24,T19,T19,Matt Gogel,83,"2' 5""",27.0,11,113
25,T19,T19,Jerry Kelly,104,"2' 5""",28.583000000000002,12,103
26,T19,T19,Steve Pate,89,"2' 5""",14.5,6,166
27,T19,T19,Mark Wiebe,62,"2' 5""",4.75,2,181
28,T29,T29,Danny Ellis,76,"2' 6""",76.75,31,127
29,T29,T29,Paul Gow,79,"2' 6""",19.917,8,34
30,T29,T29,Dennis Paulson,75,"2' 6""",4.917,2,119
