,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,T1,T1,Billy Andrade,31,6
1,T1,T1,Robert Gamez,31,6
2,T3,T3,John Daly,22,5
3,T3,T3,Charles Howell III,30,5
4,T3,T3,Vijay Singh,29,5
5,T3,T3,Camilo Villegas,10,5
6,T7,T7,Mark Calcavecchia,24,4
7,T7,T7,Chad Campbell,28,4
8,T7,T7,Tom Carter,35,4
9,T7,T7,José Coceres,20,4
10,T7,T7,Fred Couples,16,4
11,T7,T7,Fred Funk,29,4
12,T7,T7,Dudley Hart,23,4
13,T7,T7,Freddie Jacobson,24,4
14,T7,T7,Per-Ulrik Johansson,12,4
15,T7,T7,Jerry Kelly,29,4
16,T7,T7,Hank Kuehne,30,4
17,T7,T7,J.L. Lewis,32,4
18,T7,T7,Shaun Micheel,27,4
19,T7,T7,Tom Pernice Jr.,31,4
20,T7,T7,Kenny Perry,23,4
21,T7,T7,Chez Reavie,2,4
22,T7,T7,Chris Smith,33,4
23,T7,T7,Y.E. Yang,1,4
24,T25,T25,Woody Austin,29,3
25,T25,T25,Aaron Baddeley,27,3
26,T25,T25,Craig Barlow,25,3
27,T25,T25,Brian Bateman,24,3
28,T25,T25,Cameron Beckman,30,3
29,T25,T25,Rich Beem,28,3
30,T25,T25,Jason Bohn,29,3
31,T25,T25,Guy Boros,24,3
32,T25,T25,Olin Browne,30,3
33,T25,T25,Alex Cejka,24,3
34,T25,T25,Michael Clark II,14,3
35,T25,T25,Chris Couch,24,3
36,T25,T25,Ben Curtis,20,3
37,T25,T25,Glen Day,33,3
38,T25,T25,Jay Delsing,26,3
39,T25,T25,Ken Duke,30,3
40,T25,T25,Alastair Forsyth,1,3
41,T25,T25,Harrison Frazar,25,3
42,T25,T25,Jim Furyk,14,3
43,T25,T25,Sergio Garcia,18,3
44,T25,T25,Jay Haas,23,3
45,T25,T25,Padraig Harrington,12,3
46,T25,T25,Scott Hend,29,3
47,T25,T25,Mark Hensby,29,3
48,T25,T25,Glen Hnatiuk,9,3
49,T25,T25,Zach Johnson,30,3
50,T25,T25,Richard Johnson,32,3
51,T25,T25,Kent Jones,32,3
52,T25,T25,Skip Kendall,29,3
53,T25,T25,Cliff Kresge,33,3
54,T25,T25,Stephen Leaney,24,3
55,T25,T25,Peter Lonard,23,3
56,T25,T25,Davis Love III,24,3
57,T25,T25,Steve Lowery,28,3
58,T25,T25,Larry Mize,13,3
59,T25,T25,Geoff Ogilvy,26,3
60,T25,T25,José María Olazábal,17,3
61,T25,T25,Ryan Palmer,33,3
62,T25,T25,Rod Pampling,26,3
63,T25,T25,Steve Pate,24,3
64,T25,T25,Carl Paulson,13,3
65,T25,T25,Michael Pearson,1,3
66,T25,T25,Pat Perez,32,3
67,T25,T25,Carl Pettersson,28,3
68,T25,T25,Dicky Pride,23,3
69,T25,T25,Brett Quigley,31,3
70,T25,T25,John Senden,28,3
71,T25,T25,Heath Slocum,31,3
72,T25,T25,Roger Tambellini,28,3
73,T25,T25,Vaughn Taylor,27,3
74,T25,T25,David Toms,24,3
75,T25,T25,Duffy Waldorf,26,3
76,T25,T25,Casey Wittenberg,9,3
77,T78,T78,Steve Allan,33,2
78,T78,T78,Michael Allen,28,2
79,T78,T78,Robert Allenby,26,2
80,T78,T78,Stuart Appleby,25,2
81,T78,T78,Paul Azinger,23,2
82,T78,T78,Briny Baird,30,2
83,T78,T78,Rich Barcelo,26,2
84,T78,T78,Ricky Barnes,7,2
85,T78,T78,Jay Don Blake,14,2
86,T78,T78,Paul Bradshaw,1,2
87,T78,T78,David Branshaw,30,2
88,T78,T78,Jeff Brehaut,34,2
89,T78,T78,Bart Bryant,23,2
90,T78,T78,Bob Burns,30,2
91,T78,T78,Jonathan Byrd,27,2
92,T78,T78,K.J. Choi,24,2
93,T78,T78,Daniel Chopra,33,2
94,T78,T78,Stewart Cink,28,2
95,T78,T78,Tim Clark,26,2
96,T78,T78,Darren Clarke,16,2
