,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Carl Pettersson,55,21
1,2,2,Tom Lehman,358,19
2,3,3,Bob Estes,406,18
3,T4,T4,Corey Pavin,513,11
4,T4,T4,Dicky Pride,289,11
5,T6,T6,Bart Bryant,186,8
6,T6,T6,Tim Clark,76,8
7,T6,T6,Joe Durant,233,8
8,T6,T6,Paul Goydos,311,8
9,T6,T6,Scott McCarron,259,8
10,T6,T6,Kirk Triplett,372,8
11,T12,T12,Paul Casey,26,7
12,T12,T12,Matt Gogel,129,7
13,T12,T12,Bob Tway,547,7
14,T15,T15,Brad Bryant,518,6
15,T15,T15,Luke Donald,89,6
16,T15,T15,Retief Goosen,84,6
17,T15,T15,Wayne Levi,475,6
18,T15,T15,Jesper Parnevik,232,6
19,T15,T15,John Rollins,114,6
20,T21,T21,Robert Allenby,188,5
21,T21,T21,John Cook,620,5
22,T21,T21,David Edwards,512,5
23,T21,T21,Danny Ellis,80,5
24,T21,T21,Keith Fergus,314,5
25,T21,T21,Donnie Hammond,470,5
26,T21,T21,Tom Pernice Jr.,371,5
27,T21,T21,Omar Uresti,224,5
28,T21,T21,Don Yrene,5,5
29,T30,T30,Stephen Ames,170,4
30,T30,T30,Tommy Armour III,478,4
31,T30,T30,Aaron Barber,51,4
32,T30,T30,Thomas Bjørn,56,4
33,T30,T30,Michael Clark II,126,4
34,T30,T30,Tim Conley,56,4
35,T30,T30,Ben Curtis,41,4
36,T30,T30,Hiroyuki Fujita,3,4
37,T30,T30,Richard Green,8,4
38,T30,T30,Jason Hartwick,2,4
39,T30,T30,Mark Hensby,61,4
40,T30,T30,David Howell,12,4
41,T30,T30,Trevor Immelman,26,4
42,T30,T30,Barry Lane,20,4
43,T30,T30,Bernhard Langer,238,4
44,T30,T30,Brock Mackenzie,3,4
45,T30,T30,Jeff Maggert,359,4
46,T30,T30,James McLean,20,4
47,T30,T30,Larry Mize,526,4
48,T30,T30,John Morse,155,4
49,T30,T30,Kevin Na,34,4
50,T30,T30,Deane Pappas,112,4
51,T30,T30,Carl Paulson,187,4
52,T30,T30,Craig Stadler,506,4
53,T30,T30,Kevin Stadler,6,4
54,T30,T30,Andre Stolz,21,4
55,T30,T30,Hidemichi Tanaka,108,4
56,T30,T30,Brian Watts,163,4
57,T30,T30,Mike Weir,183,4
58,T59,T59,Michael Allen,212,3
59,T59,T59,Jeff Brehaut,147,3
60,T59,T59,D.J. Brigman,26,3
61,T59,T59,Jason Dufner,29,3
62,T59,T59,Kenichi Kuboya,34,3
63,T59,T59,Rocco Mediate,435,3
64,T59,T59,Shaun Micheel,191,3
65,T59,T59,Geoff Ogilvy,100,3
66,T59,T59,Sean Pacetti,5,3
67,T59,T59,Tag Ridings,24,3
68,T59,T59,Dave Rummells,328,3
69,T59,T59,Scott Verplank,426,3
70,T71,T71,Michael Beard,1,2
71,T71,T71,Ernie Els,181,2
72,T71,T71,Harrison Frazar,179,2
73,T71,T71,Ricardo Gonzalez,6,2
74,T71,T71,Padraig Harrington,55,2
75,T71,T71,Mike Hulbert,559,2
76,T71,T71,Thongchai Jaidee,8,2
77,T71,T71,Lee Janzen,403,2
78,T71,T71,Shigeki Maruyama,151,2
79,T71,T71,Paul McGinley,29,2
80,T71,T71,Spike McRoy,189,2
81,T71,T71,Craig Parry,258,2
82,T71,T71,Don Pooley,438,2
83,T71,T71,Ian Poulter,16,2
84,T71,T71,Brett Rumford,2,2
85,T71,T71,Adam Scott,48,2
86,T71,T71,Matt Seppanen,2,2
87,T71,T71,Vijay Singh,282,2
88,T71,T71,David Toms,337,2
89,T71,T71,Stan Utley,192,2
90,T71,T71,Casey Wittenberg,12,2
