,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,T1,T1,Bob Estes,23,7
1,T1,T1,Neal Lancaster,33,7
2,T1,T1,Vijay Singh,29,7
3,T4,T4,Guy Boros,24,6
4,T4,T4,Craig Bowden,30,6
5,T4,T4,Bart Bryant,23,6
6,T4,T4,Daniel Chopra,33,6
7,T4,T4,Tim Clark,26,6
8,T4,T4,José Coceres,20,6
9,T4,T4,Chris DiMarco,27,6
10,T4,T4,Robert Gamez,31,6
11,T4,T4,John Huston,20,6
12,T4,T4,Bernhard Langer,15,6
13,T4,T4,Justin Leonard,25,6
14,T4,T4,Steve Lowery,28,6
15,T4,T4,"Wes Short, Jr.",12,6
16,T4,T4,Chris Smith,33,6
17,T4,T4,Roland Thatcher,23,6
18,T4,T4,Dean Wilson,33,6
19,T20,T20,Stephen Ames,27,5
20,T20,T20,Stuart Appleby,25,5
21,T20,T20,Woody Austin,29,5
22,T20,T20,Craig Barlow,25,5
23,T20,T20,Pat Bates,32,5
24,T20,T20,Cameron Beckman,30,5
25,T20,T20,Jay Don Blake,14,5
26,T20,T20,Greg Chalmers,22,5
27,T20,T20,K.J. Choi,24,5
28,T20,T20,Stewart Cink,28,5
29,T20,T20,Ben Curtis,20,5
30,T20,T20,Glen Day,33,5
31,T20,T20,Jason Dufner,28,5
32,T20,T20,Brad Faxon,28,5
33,T20,T20,Steve Flesch,31,5
34,T20,T20,Jim Furyk,14,5
35,T20,T20,Sergio Garcia,18,5
36,T20,T20,Kelly Gibson,10,5
37,T20,T20,Bill Glasson,17,5
38,T20,T20,Jay Haas,23,5
39,T20,T20,Charles Howell III,30,5
40,T20,T20,Per-Ulrik Johansson,12,5
41,T20,T20,Zach Johnson,30,5
42,T20,T20,Jonathan Kaye,25,5
43,T20,T20,Tom Lehman,19,5
44,T20,T20,J.L. Lewis,32,5
45,T20,T20,Peter Lonard,23,5
46,T20,T20,Hunter Mahan,30,5
47,T20,T20,Len Mattiace,25,5
48,T20,T20,Blaine McCallister,27,5
49,T20,T20,Rocco Mediate,19,5
50,T20,T20,Dan Olsen,31,5
51,T20,T20,Rod Pampling,26,5
52,T20,T20,Pat Perez,32,5
53,T20,T20,Kenny Perry,23,5
54,T20,T20,Carl Pettersson,28,5
55,T20,T20,Brett Quigley,31,5
56,T20,T20,Chez Reavie,2,5
57,T20,T20,Tag Ridings,18,5
58,T20,T20,Gene Sauers,30,5
59,T20,T20,Adam Scott,16,5
60,T20,T20,Heath Slocum,31,5
61,T20,T20,Andre Stolz,20,5
62,T20,T20,David Sutherland,16,5
63,T20,T20,Scott Verplank,24,5
64,T20,T20,Grant Waite,29,5
65,T20,T20,Duffy Waldorf,26,5
66,T20,T20,Garrett Willis,17,5
67,T68,T68,Steve Allan,33,4
68,T68,T68,Robert Allenby,26,4
69,T68,T68,Billy Andrade,31,4
70,T68,T68,Tommy Armour III,28,4
71,T68,T68,Arjun Atwal,30,4
72,T68,T68,Aaron Baddeley,27,4
73,T68,T68,Briny Baird,30,4
74,T68,T68,Doug Barron,1,4
75,T68,T68,Brian Bateman,24,4
76,T68,T68,Rich Beem,28,4
77,T68,T68,Notah Begay III,23,4
78,T68,T68,Thomas Bjørn,12,4
79,T68,T68,Jason Bohn,29,4
80,T68,T68,David Branshaw,30,4
81,T68,T68,Danny Briggs,28,4
82,T68,T68,D.J. Brigman,27,4
83,T68,T68,Mark Brooks,31,4
84,T68,T68,Olin Browne,30,4
85,T68,T68,Bob Burns,30,4
86,T68,T68,Jonathan Byrd,27,4
87,T68,T68,Tom Byrum,25,4
88,T68,T68,Mark Calcavecchia,24,4
89,T68,T68,Tom Carter,35,4
90,T68,T68,Alex Cejka,24,4
91,T68,T68,Michael Clark II,14,4
92,T68,T68,Darren Clarke,16,4
93,T68,T68,John Cook,19,4
94,T68,T68,Chris Couch,24,4
95,T68,T68,Fred Couples,16,4
96,T68,T68,Ben Crane,27,4
97,T68,T68,Robert Damron,28,4
98,T68,T68,Jay Delsing,26,4
99,T68,T68,Luke Donald,21,4
100,T68,T68,Ken Duke,30,4
101,T68,T68,Joe Durant,26,4
102,T68,T68,Danny Ellis,26,4
103,T68,T68,Ernie Els,16,4
104,T68,T68,Carlos Franco,27,4
105,T68,T68,Harrison Frazar,25,4
106,T68,T68,Robin Freeman,13,4
107,T68,T68,David Frost,26,4
108,T68,T68,Fred Funk,29,4
109,T68,T68,Brian Gay,32,4
110,T68,T68,Lucas Glover,30,4
111,T68,T68,Matt Gogel,25,4
112,T68,T68,Retief Goosen,16,4
113,T68,T68,Mike Grob,13,4
114,T68,T68,Mathias Grönberg,32,4
115,T68,T68,Bill Haas,10,4
116,T68,T68,Todd Hamilton,27,4
117,T68,T68,Padraig Harrington,12,4
118,T68,T68,Dudley Hart,23,4
119,T68,T68,J.P. Hayes,27,4
120,T68,T68,Scott Hend,29,4
121,T68,T68,J.J. Henry,30,4
122,T68,T68,Mark Hensby,29,4
123,T68,T68,Tim Herron,26,4
124,T68,T68,Scott Hoch,17,4
125,T68,T68,Mike Hulbert,8,4
126,T68,T68,Freddie Jacobson,24,4
127,T68,T68,Miguel Angel Jiménez,7,4
128,T68,T68,Richard Johnson,32,4
129,T68,T68,Kent Jones,32,4
130,T68,T68,Jerry Kelly,29,4
131,T68,T68,Skip Kendall,29,4
132,T68,T68,Cliff Kresge,33,4
133,T68,T68,Joel Kribel,13,4
134,T68,T68,Matt Kuchar,28,4
135,T68,T68,Stephen Leaney,24,4
136,T68,T68,Frank Lickliter II,27,4
137,T68,T68,Davis Love III,24,4
138,T68,T68,Shigeki Maruyama,26,4
139,T68,T68,Scott McCarron,27,4
140,T68,T68,James McLean,1,4
141,T68,T68,Spike McRoy,33,4
142,T68,T68,Phil Mickelson,22,4
143,T68,T68,John Morgan,16,4
144,T68,T68,Kevin Na,32,4
145,T68,T68,Mark O'Meara,17,4
146,T68,T68,Arron Oberholser,23,4
147,T68,T68,Joe Ogilvie,32,4
148,T68,T68,Geoff Ogilvy,26,4
149,T68,T68,David Ogrin,2,4
150,T68,T68,José María Olazábal,17,4
151,T68,T68,Ryan Palmer,33,4
152,T68,T68,Tom Pernice Jr.,31,4
153,T68,T68,Tim Petrovic,32,4
154,T68,T68,Ted Purdy,35,4
155,T68,T68,John Riegger,17,4
156,T68,T68,Chris Riley,23,4
157,T68,T68,Loren Roberts,22,4
158,T68,T68,Rory Sabbatini,26,4
159,T68,T68,John Senden,28,4
160,T68,T68,Patrick Sheehan,33,4
161,T68,T68,Scott Simpson,18,4
162,T68,T68,Jeff Sluman,28,4
163,T68,T68,Paul Stankowski,14,4
164,T68,T68,Steve Stricker,27,4
165,T68,T68,Kevin Sutherland,27,4
166,T68,T68,Hidemichi Tanaka,27,4
167,T68,T68,Vaughn Taylor,27,4
168,T68,T68,Esteban Toledo,36,4
169,T68,T68,David Toms,24,4
170,T68,T68,Omar Uresti,28,4
171,T68,T68,Bo Van Pelt,30,4
172,T68,T68,Mike Weir,22,4
173,T68,T68,Jay Williamson,33,4
174,T68,T68,Tiger Woods,19,4
175,T176,T176,Fulton Allem,13,3
176,T176,T176,Michael Allen,28,3
177,T176,T176,Paul Azinger,23,3
178,T176,T176,Aaron Barber,17,3
179,T176,T176,Rich Barcelo,26,3
180,T176,T176,Ricky Barnes,7,3
181,T176,T176,Jim Benepe,2,3
182,T176,T176,Paul Bradshaw,1,3
183,T176,T176,Jeff Brehaut,34,3
184,T176,T176,Paul Broadhurst,1,3
185,T176,T176,Brad Bryant,4,3
186,T176,T176,Ángel Cabrera,8,3
187,T176,T176,Chad Campbell,28,3
188,T176,T176,Michael Campbell,6,3
189,T176,T176,Jim Carter,18,3
190,T176,T176,Paul Casey,11,3
191,T176,T176,Christian Cévaër,1,3
192,T176,T176,Russ Cochran,25,3
193,T176,T176,Jeff Coston,1,3
194,T176,T176,Kris Cox,26,3
195,T176,T176,John Daly,22,3
196,T176,T176,Brian Davis,7,3
197,T176,T176,Marco Dawson,6,3
198,T176,T176,Scott Drummond,4,3
199,T176,T176,Kevin Durkin,2,3
200,T176,T176,David Edwards,13,3
201,T176,T176,Joel Edwards,11,3
202,T176,T176,Steve Elkington,20,3
203,T176,T176,Niclas Fasth,22,3
204,T176,T176,Kenneth Ferrie,1,3
205,T176,T176,Todd Fischer,33,3
206,T176,T176,Nick Flanagan,10,3
207,T176,T176,Dan Forsman,28,3
208,T176,T176,Steve Friesen,1,3
209,T176,T176,Keiichiro Fukabori,5,3
210,T176,T176,Brent Geiberger,31,3
211,T176,T176,Jason Gore,1,3
212,T176,T176,David Gossett,25,3
213,T176,T176,Paul Goydos,2,3
214,T176,T176,Ken Green,18,3
215,T176,T176,Donnie Hammond,13,3
216,T176,T176,Bradley Heaven,3,3
217,T176,T176,Mike Heinen,17,3
218,T176,T176,Matt Hendrix,3,3
219,T176,T176,Gabriel Hjertstedt,5,3
220,T176,T176,Glen Hnatiuk,9,3
221,T176,T176,S.K. Ho,4,3
222,T176,T176,David Howell,3,3
223,T176,T176,Trevor Immelman,12,3
224,T176,T176,Tripp Isenhour,22,3
225,T176,T176,Peter Jacobsen,10,3
226,T176,T176,Lee Janzen,25,3
227,T176,T176,Brandt Jobe,9,3
228,T176,T176,Pete Jordan,2,3
229,T176,T176,Bobby Kalinowski,1,3
230,T176,T176,Shingo Katayama,3,3
231,T176,T176,Brian Kortan,24,3
232,T176,T176,Hank Kuehne,30,3
233,T176,T176,Brad Lardon,17,3
234,T176,T176,Paul Lawrie,5,3
235,T176,T176,Thomas Levet,5,3
236,T176,T176,Wayne Levi,1,3
237,T176,T176,Spencer Levin,1,3
238,T176,T176,William Link IV,1,3
239,T176,T176,Sandy Lyle,2,3
240,T176,T176,Jeff Maggert,20,3
241,T176,T176,John Maginnes,12,3
242,T176,T176,Billy Mayfair,32,3
243,T176,T176,Jim McGovern,11,3
244,T176,T176,Shaun Micheel,27,3
245,T176,T176,Hirofumi Miyase,27,3
246,T176,T176,Larry Mize,13,3
247,T176,T176,Patrick Moore,14,3
248,T176,T176,Ryan Moore,1,3
249,T176,T176,David Morland IV,27,3
250,T176,T176,John Morse,3,3
251,T176,T176,Kevin Muncrief,21,3
252,T176,T176,Nick O'Hern,2,3
253,T176,T176,Deane Pappas,22,3
254,T176,T176,Brenden Pappas,34,3
255,T176,T176,Jin Park,2,3
256,T176,T176,Jesper Parnevik,24,3
257,T176,T176,Craig Parry,16,3
