,Consecutive_Cuts_RANK THIS WEEK,Consecutive_Cuts_RANK LAST WEEK,Consecutive_Cuts_PLAYER NAME,Consecutive_Cuts_TOTAL,Consecutive_Cuts_START TOURNAMENT ID
0,1,1,Tiger Woods,133,1998050
1,2,2,Vijay Singh,24,2004070
2,3,3,Chris DiMarco,20,2004140
3,T4,T4,Ernie Els,13,2004130
4,T4,T4,Paul Goydos,13,2003270
5,6,6,Carl Pettersson,12,2004260
6,7,7,David Toms,11,2004250
7,8,8,Rod Pampling,10,2004300
8,T9,T9,Zach Johnson,9,2004340
9,T9,T9,Justin Leonard,9,2004300
10,T11,T11,Chad Campbell,8,2004330
11,T11,T11,Fred Funk,8,2004360
12,T11,T11,Todd Hamilton,8,2004280
13,T11,T11,Skip Kendall,8,2004340
14,T15,T15,David Frost,7,2004390
15,T15,T15,Bill Haas,7,2004290
16,T15,T15,Trevor Immelman,7,2004230
17,T15,T15,Adam Scott,7,2004260
18,T19,T19,Gary Evans,6,1998295
19,T19,T19,Carlos Franco,6,2004420
20,T19,T19,Retief Goosen,6,2004230
21,T19,T19,Tom Lehman,6,2004330
22,T19,T19,Shigeki Maruyama,6,2004360
23,T19,T19,David Peoples,6,2004370
24,T19,T19,Loren Roberts,6,2004340
25,T19,T19,John Rollins,6,2004380
26,T27,T27,Robert Allenby,5,2004420
27,T27,T27,Darren Clarke,5,2004300
28,T27,T27,Harrison Frazar,5,2004380
29,T27,T27,Jonathan Kaye,5,2004360
30,T27,T27,Barry Lane,5,2001310
31,T27,T27,Tom Pernice Jr.,5,2004420
32,T27,T27,Doug Tewell,5,1999230
33,T27,T27,Vance Veazey,5,2003420
34,T35,T35,Stephen Ames,4,2004440
35,T35,T35,Brian Bateman,4,2004400
36,T35,T35,Padraig Harrington,4,2004340
37,T35,T35,Miguel Angel Jiménez,4,2004300
38,T35,T35,Andrew Magee,4,2003390
39,T35,T35,Bob May,4,2003140
40,T35,T35,Paul McGinley,4,2004300
41,T35,T35,Geoff Ogilvy,4,2004450
42,T35,T35,Deane Pappas,4,2004430
43,T35,T35,Kenny Perry,4,2004360
44,T35,T35,Peter Senior,4,2000310
45,T35,T35,Scott Verplank,4,2004440
46,T35,T35,Jay Williamson,4,2004430
47,T48,T48,Aaron Barber,3,2004390
48,T48,T48,Tom Byrum,3,2004400
49,T48,T48,Mark Calcavecchia,3,2004460
50,T48,T48,Michael Campbell,3,2004300
51,T48,T48,Paul Curry,3,2000455
52,T48,T48,Scott Drummond,3,2004340
53,T48,T48,Danny Ellis,3,2004450
54,T48,T48,Bob Estes,3,2004450
55,T48,T48,Mark Foster,3,2003300
56,T48,T48,Sergio Garcia,3,2004360
57,T48,T48,S.K. Ho,3,2004340
58,T48,T48,Shingo Katayama,3,2004090
59,T48,T48,Stephen Leaney,3,2004440
60,T48,T48,Wayne Levi,3,2001300
61,T48,T48,Andrew McLardy,3,2004180
62,T48,T48,Kelly Mitchum,3,2003450
63,T48,T48,Colin Montgomerie,3,2004300
64,T48,T48,Arron Oberholser,3,2004460
65,T48,T48,José María Olazábal,3,2004420
66,T48,T48,Brenden Pappas,3,2004460
67,T48,T48,Bob Shearer,3,1984320
68,T48,T48,David Sutherland,3,2004390
69,T48,T48,Hideto Tanihara,3,2004020
70,T71,T71,Michael Allen,2,2004460
71,T71,T71,Arjun Atwal,2,2004460
72,T71,T71,Briny Baird,2,2004470
73,T71,T71,Jim Benepe,2,2004290
74,T71,T71,Phil Blackmar,2,2003170
75,T71,T71,Desvonde Botes,2,2000310
76,T71,T71,Bart Bryant,2,2004470
77,T71,T71,Ángel Cabrera,2,2004360
78,T71,T71,Tom Carter,2,2004470
79,T71,T71,Paul Casey,2,2004360
80,T71,T71,Brandel Chamblee,2,2003450
81,T71,T71,Tim Clark,2,2004470
82,T71,T71,Ryan Dillon,2,2001420
83,T71,T71,Ken Duke,2,2004460
84,T71,T71,Joe Durant,2,2004470
85,T71,T71,Kevin Durkin,2,2004140
86,T71,T71,Steve Flesch,2,2004470
87,T71,T71,Alastair Forsyth,2,2003430
88,T71,T71,Keiichiro Fukabori,2,2004230
89,T71,T71,Pierre Fulke,2,2003360
90,T71,T71,Ignacio Garrido,2,2003430
91,T71,T71,Brian Gay,2,2004470
92,T71,T71,Jay Haas,2,2004480
93,T71,T71,Joakim Haeggman,2,2004360
94,T71,T71,David Howell,2,2004340
95,T71,T71,Charles Howell III,2,2004470
96,T71,T71,John Huston,2,2004470
97,T71,T71,David Ishii,2,2002020
98,T71,T71,Thongchai Jaidee,2,2004360
99,T71,T71,Lee Janzen,2,2004470
100,T71,T71,Kent Jones,2,2004470
101,T71,T71,Kenichi Kuboya,2,2003470
102,T71,T71,Matt Kuchar,2,2004470
103,T71,T71,Trip Kuehne,2,1996240
104,T71,T71,Neal Lancaster,2,2004470
105,T71,T71,Brad Lardon,2,2004400
106,T71,T71,Thomas Levet,2,2004360
107,T71,T71,J.L. Lewis,2,2004470
108,T71,T71,Sandy Lyle,2,2004150
109,T71,T71,Jeff Maggert,2,2004400
110,T71,T71,Casey Martin,2,2004050
111,T71,T71,Scott McCarron,2,2004450
112,T71,T71,Mac McLendon,2,1980430
113,T71,T71,Spike McRoy,2,2004470
114,T71,T71,Shaun Micheel,2,2004470
115,T71,T71,Ryan Moore,2,2003150
116,T71,T71,Jack Newton,2,1982420
117,T71,T71,Nick O'Hern,2,2004340
118,T71,T71,Mark O'Meara,2,2004360
119,T71,T71,Andy Oldcorn,2,2003300
120,T71,T71,Ryan Palmer,2,2004470
121,T71,T71,Corey Pavin,2,2004450
122,T71,T71,Chez Reavie,2,2004250
123,T71,T71,Jean-Francois Remesy,2,2004340
124,T71,T71,David Roesch,2,2004250
125,T71,T71,Justin Rose,2,2004470
126,T71,T71,Rory Sabbatini,2,2004440
127,T71,T71,John Schroeder,2,1995300
128,T71,T71,Bob Smith,2,1985280
129,T71,T71,Andre Stolz,2,2004440
130,T71,T71,Vaughn Taylor,2,2004470
131,T71,T71,Kirk Triplett,2,2004470
132,T71,T71,D.A. Weibring,2,2003160
133,T71,T71,Lee Westwood,2,2004360
134,T71,T71,Tim Wilkinson,2,2003370
135,T71,T71,Dean Wilson,2,2004470
136,T71,T71,Mark Wilson,2,2004450
