,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
0,1,1,Brad Faxon,28,362,65.0
1,2,2,Jay Haas,23,291,1.0
2,3,3,Russ Cochran,25,281,5.0
3,4,4,Retief Goosen,16,277,54.0
4,5,5,Patrick Sheehan,33,267,1.0
5,6,6,Hank Kuehne,30,265,1.0
6,7,7,Brent Geiberger,31,264,32.0
7,8,8,Tim Petrovic,32,251,2.0
8,9,9,Scott Verplank,24,247,23.0
9,10,10,Brian Gay,32,240,52.0
10,11,11,Adam Scott,16,238,7.0
11,T12,T12,Arjun Atwal,30,236,236.0
12,T12,T12,Skip Kendall,29,236,28.0
13,14,14,Kent Jones,32,228,3.0
14,15,15,Ian Poulter,9,226,226.0
15,16,16,Robert Gamez,31,224,45.0
16,T17,T17,K.J. Choi,24,222,21.0
17,T17,T17,Steve Stricker,27,222,94.0
18,T19,T19,Greg Chalmers,22,221,2.0
19,T19,T19,Hunter Mahan,30,221,23.0
20,21,21,Gene Sauers,30,218,2.0
21,22,22,Duffy Waldorf,26,216,78.0
22,23,23,Davis Love III,24,213,29.0
23,24,24,Tom Carter,35,210,3.0
24,25,25,Aaron Baddeley,27,206,74.0
25,T26,T26,Craig Barlow,25,202,2.0
26,T26,T26,Hirofumi Miyase,27,202,3.0
27,28,28,Omar Uresti,28,196,18.0
28,T29,T29,Steve Allan,33,195,3.0
29,T29,T29,Loren Roberts,22,195,20.0
30,T29,T29,Kevin Sutherland,27,195,8.0
31,32,32,Daniel Chopra,33,194,24.0
32,T33,T33,Paul Azinger,23,192,
33,T33,T33,Frank Lickliter II,27,192,1.0
34,35,35,Justin Leonard,25,191,42.0
35,T36,T36,Carlos Franco,27,189,
36,T36,T36,Freddie Jacobson,24,189,22.0
37,38,38,Zach Johnson,30,188,23.0
38,39,39,Joe Ogilvie,32,185,5.0
39,T40,T40,Tom Pernice Jr.,31,183,17.0
40,T40,T40,John Rollins,29,183,37.0
41,42,42,David Peoples,26,182,12.0
42,43,43,Hidemichi Tanaka,27,181,62.0
43,44,44,Jeff Sluman,28,180,11.0
44,T45,T45,Matt Gogel,25,177,10.0
45,T45,T45,Stephen Leaney,24,177,111.0
46,T47,T47,Jason Bohn,29,176,63.0
47,T47,T47,Stewart Cink,28,176,5.0
48,T49,T49,Matt Kuchar,28,171,
49,T49,T49,José María Olazábal,17,171,9.0
50,T49,T49,Lee Westwood,11,171,2.0
51,52,52,Tommy Armour III,28,170,
52,T53,T53,Glen Day,33,169,
53,T53,T53,Richard Johnson,32,169,169.0
54,T53,T53,Jerry Kelly,29,169,1.0
55,T53,T53,Mike Springer,10,169,8.0
56,T57,T57,Jason Dufner,28,167,69.0
57,T57,T57,Jesper Parnevik,24,167,34.0
58,T59,T59,Harrison Frazar,25,166,29.0
59,T59,T59,Robin Freeman,13,166,9.0
60,61,61,Mark Hensby,29,164,18.0
61,T62,T62,Brian Bateman,24,163,30.0
62,T62,T62,Dan Forsman,28,163,2.0
63,64,64,Tom Byrum,25,162,15.0
64,T65,T65,Ben Crane,27,161,
65,T65,T65,Scott Hoch,17,161,13.0
66,T65,T65,Scott McCarron,27,161,14.0
67,T65,T65,Willie Wood,9,161,6.0
68,69,69,Bob Tway,26,160,20.0
69,T70,T70,Stephen Ames,27,159,14.0
70,T70,T70,Olin Browne,30,159,28.0
71,T72,T72,Jay Don Blake,14,158,4.0
72,T72,T72,Robert Damron,28,158,
73,T72,T72,Tim Herron,26,158,158.0
74,T72,T72,Deane Pappas,22,158,
75,T76,T76,Briny Baird,30,157,9.0
76,T76,T76,Aaron Barber,17,157,157.0
77,T76,T76,J.P. Hayes,27,157,11.0
78,T76,T76,Chris Riley,23,157,82.0
79,T80,T80,Chad Campbell,28,154,23.0
80,T80,T80,Vijay Singh,29,154,36.0
81,T82,T82,Phil Mickelson,22,153,1.0
82,T82,T82,Geoff Ogilvy,26,153,64.0
83,T82,T82,David Toms,24,153,6.0
84,T82,T82,Tiger Woods,19,153,2.0
85,T86,T86,Fred Couples,16,152,13.0
86,T86,T86,Steve Flesch,31,152,1.0
87,T88,T88,Luke Donald,21,151,40.0
88,T88,T88,J.L. Lewis,32,151,1.0
89,T88,T88,Kevin Na,32,151,4.0
90,T88,T88,Jay Williamson,33,151,
91,T92,T92,José Coceres,20,150,2.0
92,T92,T92,Todd Fischer,33,150,52.0
93,T92,T92,Jim McGovern,11,150,15.0
94,T95,T95,Bob Estes,23,149,17.0
95,T95,T95,Shaun Micheel,27,149,21.0
96,T95,T95,Dennis Paulson,21,149,9.0
97,98,98,Cliff Kresge,33,148,24.0
98,T99,T99,J.J. Henry,30,147,1.0
99,T99,T99,Mark Wilson,19,147,6.0
100,T101,T101,Michael Allen,28,144,16.0
101,T101,T101,Carl Pettersson,28,144,11.0
102,T101,T101,Tag Ridings,18,144,75.0
103,104,104,Arron Oberholser,23,143,30.0
104,T105,T105,Len Mattiace,25,142,14.0
105,T105,T105,John Riegger,17,142,23.0
106,T105,T105,Bo Van Pelt,30,142,29.0
107,T108,T108,Kris Cox,26,141,24.0
108,T108,T108,Todd Hamilton,27,141,25.0
109,T108,T108,Scott Simpson,18,141,1.0
110,111,111,Craig Bowden,30,140,3.0
111,T112,T112,Billy Andrade,31,139,33.0
112,T112,T112,Jeff Brehaut,34,139,1.0
113,T112,T112,Kirk Triplett,24,139,34.0
114,T115,T115,John Morgan,16,138,6.0
115,T115,T115,Roland Thatcher,23,138,5.0
116,T117,T117,Stuart Appleby,25,137,43.0
117,T117,T117,Jim Carter,18,137,13.0
118,T117,T117,Jay Delsing,26,137,16.0
119,T117,T117,Ernie Els,16,137,18.0
120,T121,T121,Pat Bates,32,136,128.0
121,T121,T121,Lucas Glover,30,136,11.0
122,T121,T121,Jyoti Randhawa,3,136,31.0
123,T121,T121,Stan Utley,8,136,21.0
124,T125,T125,Tim Clark,26,135,
125,T125,T125,Fred Funk,29,135,58.0
126,T127,T127,Mark Brooks,31,134,2.0
127,T127,T127,Shigeki Maruyama,26,134,36.0
128,T129,T129,Chris Couch,24,133,23.0
129,T129,T129,Trevor Dodds,20,133,7.0
130,T131,T131,John Cook,19,132,
131,T131,T131,Niclas Fasth,22,132,8.0
132,T131,T131,Kenny Perry,23,132,1.0
133,T131,T131,John Senden,28,132,9.0
134,T135,T135,D.J. Brigman,27,129,47.0
135,T135,T135,Joe Durant,26,129,43.0
136,T135,T135,Heath Slocum,31,129,
137,T135,T135,Tjaart van der Walt,12,129,5.0
138,T139,T139,Spike McRoy,33,127,7.0
139,T139,T139,Carl Paulson,13,127,10.0
140,T141,T141,Ben Curtis,20,126,7.0
141,T141,T141,Camilo Villegas,10,126,41.0
142,T143,T143,Jonathan Byrd,27,125,19.0
143,T143,T143,Darren Clarke,16,125,12.0
144,T143,T143,Rod Pampling,26,125,1.0
145,T143,T143,Curtis Strange,4,125,125.0
146,147,147,David Frost,26,124,27.0
147,T148,T148,Chris DiMarco,27,123,11.0
148,T148,T148,Andre Stolz,20,123,63.0
149,T148,T148,Grant Waite,29,123,4.0
150,151,151,Alex Cejka,24,122,2.0
151,152,152,Guy Boros,24,121,10.0
152,153,153,Bill Glasson,17,120,13.0
153,T154,T154,David Branshaw,30,119,20.0
154,T154,T154,Ted Purdy,35,119,30.0
155,T154,T154,Joey Sindelar,31,119,5.0
156,T157,T157,David Morland IV,27,118,9.0
157,T157,T157,Garrett Willis,17,118,4.0
158,T159,T159,Marco Dawson,6,117,1.0
159,T159,T159,S.K. Ho,4,117,28.0
160,T159,T159,Tripp Isenhour,22,117,24.0
161,T159,T159,Blaine McCallister,27,117,41.0
162,T163,T163,Charles Howell III,30,116,25.0
163,T163,T163,Brenden Pappas,34,116,42.0
164,165,165,Craig Parry,16,115,5.0
165,T166,T166,Peter Lonard,23,114,21.0
166,T166,T166,Ted Tryba,9,114,24.0
167,T168,T168,Notah Begay III,23,113,17.0
168,T168,T168,Neal Lancaster,33,113,13.0
169,T168,T168,Larry Mize,13,113,32.0
170,T171,T171,Rich Barcelo,26,112,23.0
171,T171,T171,Jim Furyk,14,112,49.0
172,T171,T171,Trevor Immelman,12,112,25.0
173,T171,T171,Steve Lowery,28,112,37.0
174,T171,T171,Chris Nallen,3,112,22.0
175,T176,T176,Cameron Beckman,30,111,29.0
176,T176,T176,Ken Duke,30,111,5.0
177,T176,T176,Justin Rose,22,111,29.0
178,T179,T179,Brian Davis,7,110,110.0
179,T179,T179,Bernhard Langer,15,110,1.0
180,181,181,Billy Mayfair,32,109,11.0
181,T182,T182,Hiroyuki Fujita,2,108,108.0
182,T182,T182,Joel Kribel,13,108,53.0
183,T182,T182,Jeff Maggert,20,108,2.0
184,T182,T182,Craig Stadler,6,108,59.0
185,T186,T186,Paul Casey,11,107,51.0
186,T186,T186,Mathias Grönberg,32,107,26.0
187,T186,T186,Mark O'Meara,17,107,6.0
188,T186,T186,Corey Pavin,23,107,
189,T190,T190,Rory Sabbatini,26,106,9.0
190,T190,T190,Mike Weir,22,106,28.0
191,T192,T192,Ken Green,18,105,41.0
192,T192,T192,Dean Wilson,33,105,60.0
193,194,194,Nick Price,15,104,21.0
194,T195,T195,John Daly,22,103,19.0
195,T195,T195,John Huston,20,103,8.0
196,T195,T195,Brian Kortan,24,103,1.0
197,T198,T198,Fulton Allem,13,102,10.0
198,T198,T198,Michael Clark II,14,102,57.0
199,T198,T198,Jonathan Kaye,25,102,3.0
200,T201,T201,Bart Bryant,23,101,87.0
201,T201,T201,Brandt Snedeker,9,101,3.0
202,T201,T201,Tommy Tolles,25,101,2.0
203,204,204,Brett Quigley,31,100,24.0
204,T205,T205,Danny Ellis,26,99,87.0
205,T205,T205,Andrew McLardy,3,99,15.0
206,T205,T205,Mark Wiebe,6,99,13.0
207,T208,T208,Robert Allenby,26,98,17.0
208,T208,T208,Padraig Harrington,12,98,37.0
209,T208,T208,"Wes Short, Jr.",12,98,71.0
210,T208,T208,Phil Tataurangi,8,98,10.0
211,T208,T208,Esteban Toledo,36,98,2.0
212,T213,T213,David Edwards,13,97,12.0
213,T213,T213,Kevin Muncrief,21,97,30.0
214,T213,T213,Kevin Stadler,5,97,17.0
215,T213,T213,Mike Standly,9,97,21.0
216,T217,T217,Mark Calcavecchia,24,96,51.0
217,T217,T217,Mike Grob,13,96,28.0
218,T217,T217,Tom Lehman,19,96,3.0
219,220,220,Paul McGinley,5,95,93.0
