,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Jonas Blixt,72,65.44,89,136,21.0
1,2,2,Greg Chalmers,88,65.24,107,164,34.0
2,3,3,Jim Furyk,85,65.15,86,132,24.0
3,4,4,Justin Rose,69,62.81,76,121,25.0
4,5,5,Brian Gay,91,62.32,86,138,43.0
5,6,6,Bud Cauley,99,60.84,87,143,15.0
6,7,7,Martin Flores,95,60.15,80,133,39.0
7,8,8,Matt Kuchar,86,60.14,89,148,31.0
8,9,9,Chris DiMarco,83,60.13,95,158,47.0
9,10,10,Padraig Harrington,67,59.41,60,101,25.0
10,11,11,David Toms,60,59.21,45,76,14.0
11,12,12,Bill Haas,79,58.62,68,116,22.0
12,13,13,Aaron Baddeley,73,58.33,77,132,35.0
13,14,14,Brandt Snedeker,81,57.86,81,140,39.0
14,15,15,Bill Lunde,83,57.39,66,115,37.0
15,16,16,Zach Johnson,95,57.24,87,152,49.0
16,17,17,Carl Pettersson,92,56.71,93,164,45.0
17,18,18,Rocco Mediate,70,56.7,55,97,22.0
18,19,19,Jason Dufner,83,56.69,72,127,35.0
19,20,20,Luke Donald,63,56.48,61,108,30.0
20,21,21,Sergio Garcia,57,56.36,62,110,17.0
21,22,22,Rory McIlroy,60,56.16,41,73,17.0
22,23,23,Ian Poulter,57,56.12,55,98,29.0
23,24,24,Matt Every,80,56.1,69,123,36.0
24,25,25,Keegan Bradley,90,55.3,73,132,21.0
25,26,26,Geoff Ogilvy,73,55.28,68,123,34.0
26,27,27,Phil Mickelson,79,55.07,76,138,47.0
27,28,28,Roberto Castro,92,55.0,77,140,34.0
28,29,29,Ben Crane,73,54.61,77,141,48.0
29,30,30,Lee Westwood,60,54.44,49,90,21.0
30,31,31,Henrik Stenson,51,54.43,43,79,17.0
31,32,32,Jason Day,57,54.37,56,103,27.0
32,T33,T33,Tim Clark,60,54.35,50,92,32.0
33,T33,T33,Gavin Coles,72,54.35,50,92,38.0
34,35,35,Stuart Appleby,75,54.31,63,116,35.0
35,36,36,Billy Hurley III,70,54.24,64,118,43.0
36,37,37,Kevin Na,80,54.03,67,124,33.0
37,38,38,Dustin Johnson,70,53.85,63,117,34.0
38,39,39,Daniel Chopra,55,53.75,43,80,38.0
39,40,40,Tom Gillis,75,53.74,79,147,48.0
40,41,41,Mark Anderson,75,53.62,74,138,38.0
41,42,42,J.J. Killeen,101,53.55,113,211,69.0
42,43,43,Michael Thompson,80,53.45,62,116,37.0
43,44,44,Mathew Goggin,65,53.4,55,103,29.0
44,45,45,Jerry Kelly,84,53.02,79,149,52.0
45,46,46,Jonathan Byrd,69,52.89,64,121,45.0
46,47,47,Nick O'Hern,78,52.8,66,125,46.0
47,48,48,Ryan Moore,89,52.74,77,146,48.0
48,49,49,Edward Loar,59,52.7,39,74,26.0
49,50,50,Jimmy Walker,101,52.66,89,169,56.0
50,T51,T51,Ryuji Imada,78,52.63,70,133,53.0
51,T51,T51,Mark Wilson,84,52.63,60,114,36.0
52,T53,T53,Ryo Ishikawa,54,52.38,44,84,35.0
53,T53,T53,Matt Jones,53,52.38,44,84,25.0
54,55,55,David Hearn,95,52.14,73,140,44.0
55,56,56,Tim Herron,88,51.92,81,156,52.0
56,57,57,Charl Schwartzel,56,51.81,43,83,28.0
57,58,58,Dicky Pride,62,51.72,45,87,28.0
58,59,59,Brian Davis,91,51.68,77,149,55.0
59,60,60,Kyle Reifers,86,51.59,65,126,42.0
60,61,61,Robert Karlsson,54,51.58,49,95,26.0
61,62,62,Billy Mayfair,90,51.43,72,140,40.0
62,63,63,Webb Simpson,77,51.24,62,121,33.0
63,64,64,John Huh,99,51.03,74,145,41.0
64,65,65,Vijay Singh,99,50.9,85,167,45.0
65,66,66,Nathan Green,73,50.89,57,112,41.0
66,67,67,Y.E. Yang,64,50.83,61,120,44.0
67,68,68,Pat Perez,81,50.76,67,132,43.0
