,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Luke Donald,63,69.39,68,98
1,2,2,David Toms,60,67.68,67,99
2,3,3,Matt Kuchar,86,66.04,105,159
3,4,4,Justin Rose,69,65.49,74,113
4,5,5,Brandt Snedeker,81,65.1,125,192
5,6,6,Zach Johnson,95,64.25,124,193
6,7,7,Jason Day,57,63.93,78,122
7,8,8,Geoff Ogilvy,73,63.19,103,163
8,9,9,Bryce Molder,83,62.86,88,140
9,10,10,Bob Estes,78,62.5,100,160
10,11,11,Brian Davis,91,61.9,117,189
11,12,12,Ernie Els,80,61.65,82,133
12,13,13,Jeff Maggert,83,61.58,117,190
13,T14,T14,Chris Couch,61,61.54,80,130
14,T14,T14,Dustin Johnson,70,61.54,96,156
15,16,16,Tiger Woods,69,61.32,65,106
16,17,17,Gavin Coles,72,61.29,95,155
17,18,18,Brandt Jobe,57,60.82,59,97
18,19,19,Brian Gay,91,60.4,122,202
19,20,20,John Rollins,81,60.39,93,154
20,21,21,Charlie Wi,86,59.91,139,232
21,22,22,Kevin Na,80,59.9,118,197
22,23,23,Pat Perez,81,59.78,107,179
23,24,24,Cameron Tringale,88,59.76,101,169
24,25,25,Greg Chalmers,88,59.7,120,201
25,26,26,Vijay Singh,99,59.69,114,191
26,27,27,Rory McIlroy,60,59.6,59,99
27,T28,T28,Rory Sabbatini,84,59.5,119,200
28,T28,T28,Steve Stricker,73,59.5,72,121
29,30,30,Phil Mickelson,79,59.46,88,148
30,31,31,Danny Lee,74,59.44,85,143
31,32,32,Jason Dufner,83,59.32,70,118
32,33,33,Scott Piercy,95,59.31,121,204
33,34,34,Aaron Baddeley,73,59.26,96,162
34,35,35,Jonas Blixt,72,59.2,103,174
35,36,36,Roberto Castro,92,58.74,84,143
36,37,37,J.J. Killeen,101,58.69,125,213
37,38,38,Charles Howell III,98,58.58,99,169
38,39,39,Billy Mayfair,90,58.41,125,214
39,T40,T40,Billy Horschel,63,58.33,63,108
40,T40,T40,Louis Oosthuizen,65,58.33,56,96
41,T40,T40,Webb Simpson,77,58.33,84,144
42,43,43,John Senden,81,58.27,81,139
43,44,44,Nathan Green,73,58.26,67,115
44,45,45,Mark Wilson,84,58.24,106,182
45,46,46,Brian Harman,101,57.87,125,216
46,47,47,Spencer Levin,81,57.84,107,185
47,48,48,Ryan Palmer,81,57.81,111,192
48,49,49,Kevin Streelman,89,57.74,97,168
49,50,50,Ian Poulter,57,57.61,53,92
50,51,51,Chris Stroud,86,57.58,114,198
51,52,52,Matt Every,80,57.42,89,155
52,53,53,Bud Cauley,99,57.32,137,239
53,54,54,"Ted Potter, Jr.",77,57.3,102,178
54,55,55,Ryo Ishikawa,54,57.28,59,103
55,56,56,Bubba Watson,68,57.25,75,131
56,57,57,Freddie Jacobson,61,57.14,56,98
57,T58,T58,Rickie Fowler,84,57.06,97,170
58,T58,T58,Heath Slocum,93,57.06,97,170
59,60,60,Bill Haas,79,57.04,77,135
60,61,61,Carl Pettersson,92,57.0,114,200
61,62,62,Justin Leonard,79,56.85,83,146
62,63,63,Robert Garrigus,89,56.8,96,169
63,64,64,William McGirt,96,56.77,109,192
64,65,65,David Hearn,95,56.68,123,217
65,66,66,Russell Knox,72,56.56,69,122
66,67,67,Marc Leishman,84,56.54,121,214
67,68,68,Kevin Chappell,91,56.48,109,193
68,69,69,Rod Pampling,88,56.47,96,170
69,T70,T70,Ken Duke,104,56.42,123,218
70,T70,T70,Jimmy Walker,101,56.42,145,257
71,72,72,Brendan Steele,77,56.4,97,172
72,73,73,John Mallinger,74,56.36,93,165
73,74,74,Will Claxton,99,56.28,112,199
74,75,75,Derek Lamely,64,56.21,86,153
75,76,76,D.A. Points,88,56.17,91,162
76,77,77,Billy Hurley III,70,56.15,105,187
77,78,78,Jason Kokrak,79,56.02,93,166
78,79,79,Bo Van Pelt,84,55.93,99,177
79,80,80,Richard Lee,71,55.92,85,152
80,81,81,Tom Pernice Jr.,62,55.78,82,147
81,T82,T82,Stuart Appleby,75,55.71,78,140
82,T82,T82,Brendon de Jonge,115,55.71,117,210
83,84,84,Nick O'Hern,78,55.69,93,167
84,T85,T85,Jonathan Byrd,69,55.63,79,142
85,T85,T85,Trevor Immelman,76,55.63,79,142
86,87,87,Tim Herron,88,55.56,90,162
87,88,88,Davis Love III,64,55.47,71,128
88,89,89,Brendon Todd,78,55.44,107,193
89,90,90,Martin Flores,95,55.42,138,249
90,91,91,Rocco Mediate,70,55.41,87,157
91,92,92,K.J. Choi,71,55.4,77,139
92,93,93,Scott Dunlap,57,55.34,57,103
93,T94,T94,Sergio Garcia,57,55.28,68,123
94,T94,T94,Y.E. Yang,64,55.28,68,123
95,96,96,Nick Watney,97,55.23,95,172
96,T97,T97,Ryuji Imada,78,55.19,101,183
97,T97,T97,David Mathis,83,55.19,85,154
98,99,99,Ben Crane,73,55.15,91,165
99,100,100,Andres Romero,68,55.03,82,149
100,101,101,Henrik Stenson,51,54.95,50,91
101,102,102,Charl Schwartzel,56,54.9,56,102
102,103,103,Kyle Stanley,86,54.88,90,164
103,104,104,Chez Reavie,83,54.86,79,144
104,105,105,Jerry Kelly,84,54.82,91,166
105,106,106,J.B. Holmes,90,54.8,97,177
106,107,107,Camilo Villegas,79,54.55,90,165
107,108,108,Ben Curtis,62,54.37,56,103
108,T109,T109,Keegan Bradley,90,54.29,95,175
109,T109,T109,Johnson Wagner,88,54.29,95,175
110,111,111,Ricky Barnes,92,54.17,104,192
111,112,112,John Huh,99,54.08,106,196
112,T113,T113,Arjun Atwal,79,54.07,93,172
113,T113,T113,Padraig Harrington,67,54.07,73,135
114,115,115,Jeff Overton,101,53.77,114,212
115,116,116,Martin Laird,77,53.64,81,151
116,117,117,Troy Kelly,68,53.6,67,125
117,118,118,Hunter Mahan,88,53.45,62,116
118,T119,T119,Graham DeLaet,79,53.42,78,146
119,T119,T119,Daniel Summerhays,81,53.42,78,146
120,121,121,Blake Adams,107,53.4,102,191
121,122,122,George McNeill,85,53.37,103,193
122,123,123,Chris Kirk,93,53.3,105,197
123,124,124,Ryan Moore,89,53.19,100,188
124,125,125,Kevin Kisner,69,53.15,76,143
125,T126,T126,Troy Matteson,100,53.13,119,224
126,T126,T126,Seung-Yul Noh,105,53.13,119,224
127,T128,T128,Bobby Gates,87,53.07,95,179
128,T128,T128,Tom Gillis,75,53.07,95,179
129,130,130,Josh Teater,97,53.04,96,181
130,131,131,Graeme McDowell,55,53.01,44,83
131,T132,T132,Stephen Ames,54,52.94,63,119
132,T132,T132,Vaughn Taylor,81,52.94,81,153
133,134,134,Kevin Stadler,85,52.8,85,161
134,135,135,Chris DiMarco,83,52.76,105,199
135,136,136,Kyle Reifers,86,52.6,81,154
136,137,137,Jim Furyk,85,52.59,71,135
137,138,138,Gary Woodland,70,52.48,74,141
