,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Jason Dufner,83,"6' 4""",2560.833,403,8
1,2,2,Brandt Snedeker,81,"6' 5""",2927.917,455,10
2,T3,T3,Jim Furyk,85,"6' 6""",2628.75,407,3
3,T3,T3,Padraig Harrington,67,"6' 6""",2191.417,337,39
4,T3,T3,Justin Rose,69,"6' 6""",2189.167,336,12
5,6,6,Charl Schwartzel,56,"6' 7""",1766.6670000000001,270,50
6,T7,T7,Jonas Blixt,72,"6' 8""",3154.083,475,16
7,T7,T7,Bud Cauley,99,"6' 8""",4235.833,634,8
8,T7,T7,Freddie Jacobson,61,"6' 8""",2045.1670000000001,306,92
9,T7,T7,J.J. Killeen,101,"6' 8""",4498.667,677,28
10,T7,T7,Russell Knox,72,"6' 8""",2237.667,335,76
11,T7,T7,Nick O'Hern,78,"6' 8""",3032.833,454,62
12,T7,T7,Webb Simpson,77,"6' 8""",2979.833,449,56
13,T7,T7,Chris Stroud,86,"6' 8""",3594.25,538,18
14,T15,T15,Greg Chalmers,88,"6' 9""",3927.833,582,11
15,T15,T15,Matt Kuchar,86,"6' 9""",3181.25,469,7
16,T15,T15,Pat Perez,81,"6' 9""",3327.75,490,14
17,T18,T18,Brian Gay,91,"6' 10""",3691.833,537,1
18,T18,T18,Justin Leonard,79,"6' 10""",3307.833,486,44
19,T18,T18,Rory McIlroy,60,"6' 10""",1832.3329999999999,269,33
20,T18,T18,David Toms,60,"6' 10""",1886.5,276,13
21,T18,T18,Charlie Wi,86,"6' 10""",3769.083,549,45
22,T23,T23,Stephen Ames,54,"6' 11""",1820.6670000000001,264,112
23,T23,T23,Brian Davis,91,"6' 11""",3837.0,558,51
24,T23,T23,Luke Donald,63,"6' 11""",2170.167,312,5
25,T23,T23,Bob Estes,78,"6' 11""",3304.667,476,25
26,T23,T23,Hunter Haas,69,"6' 11""",2788.083,402,142
27,T23,T23,Brian Harman,101,"6' 11""",4234.417,612,49
28,T23,T23,Jerry Kelly,84,"6' 11""",3532.083,512,41
29,T23,T23,Davis Love III,64,"6' 11""",2467.333,356,147
30,T23,T23,Bill Lunde,83,"6' 11""",3085.917,445,54
31,T23,T23,Phil Mickelson,79,"6' 11""",3019.0,438,16
32,T23,T23,Rory Sabbatini,84,"6' 11""",3901.083,565,55
33,T23,T23,Steve Stricker,73,"6' 11""",2156.667,312,34
34,T35,T35,Aaron Baddeley,73,"7' 0""",3159.833,454,37
35,T35,T35,Roberto Castro,92,"7' 0""",3409.833,488,62
36,T35,T35,Jason Day,57,"7' 0""",2429.583,348,19
37,T35,T35,Tim Herron,88,"7' 0""",3364.0,483,99
38,T35,T35,Charles Howell III,98,"7' 0""",3590.167,510,118
39,T35,T35,Trevor Immelman,76,"7' 0""",2814.0,404,109
40,T35,T35,Dustin Johnson,70,"7' 0""",2596.0,370,32
41,T35,T35,Kevin Na,80,"7' 0""",3429.25,490,21
42,T43,T43,Stuart Appleby,75,"7' 1""",3218.167,455,29
43,T43,T43,Jonathan Byrd,69,"7' 1""",2781.583,394,56
44,T43,T43,Matt Every,80,"7' 1""",3061.083,434,67
45,T43,T43,Danny Lee,74,"7' 1""",2999.417,424,108
46,T43,T43,Marc Leishman,84,"7' 1""",3944.667,556,74
47,T43,T43,Tom Pernice Jr.,62,"7' 1""",2707.0,382,117
48,T49,T49,Arjun Atwal,79,"7' 2""",3491.5,485,137
49,T49,T49,Chris DiMarco,83,"7' 2""",3918.417,547,103
50,T49,T49,Rickie Fowler,84,"7' 2""",3398.417,473,106
