,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Jason Dufner,83,"5' 2""",6.849,111,8
1,2,2,Phil Mickelson,79,"5' 3""",7.23,114,16
2,T3,T3,Justin Rose,69,"5' 6""",4.896,74,12
3,T3,T3,Brandt Snedeker,81,"5' 6""",6.465,98,10
4,T3,T3,Charlie Wi,86,"5' 6""",8.543,129,45
5,6,6,Freddie Jacobson,61,"5' 7""",5.189,78,92
6,7,7,Pat Perez,81,"5' 8""",7.3660000000000005,109,14
7,T8,T8,Greg Chalmers,88,"5' 9""",11.040999999999999,161,11
8,T8,T8,Matt Every,80,"5' 9""",7.901,114,67
9,T10,T10,Bob Estes,78,"5' 11""",9.666,137,25
10,T10,T10,Dustin Johnson,70,"5' 11""",4.87,69,32
11,T10,T10,Kevin Kisner,69,"5' 11""",9.866,139,40
12,T10,T10,Steve Stricker,73,"5' 11""",4.8069999999999995,68,34
13,T14,T14,Jim Furyk,85,"6' 0""",6.843,95,3
14,T14,T14,Matt Kuchar,86,"6' 0""",8.594,119,7
15,T14,T14,Ian Poulter,57,"6' 0""",5.314,74,2
16,T17,T17,Kevin Chappell,91,"6' 1""",10.759,147,83
17,T17,T17,Trevor Immelman,76,"6' 1""",8.067,110,109
18,T17,T17,Marc Leishman,84,"6' 1""",10.866,148,74
19,T17,T17,Carl Pettersson,92,"6' 1""",9.457,130,30
20,T21,T21,Roberto Castro,92,"6' 2""",10.965,149,62
21,T21,T21,J.J. Henry,93,"6' 2""",9.628,130,89
22,T21,T21,Justin Leonard,79,"6' 2""",11.468,154,44
23,T24,T24,Kris Blanks,65,"6' 3""",9.845,132,149
24,T24,T24,Chad Campbell,84,"6' 3""",10.15,135,145
25,T24,T24,Brian Davis,91,"6' 3""",12.215,162,51
26,T24,T24,Rickie Fowler,84,"6' 3""",8.076,107,106
27,T24,T24,Mathew Goggin,65,"6' 3""",9.554,127,105
28,T24,T24,Ryuji Imada,78,"6' 3""",12.345999999999998,164,74
29,T24,T24,Danny Lee,74,"6' 3""",10.097999999999999,135,108
30,T24,T24,Bill Lunde,83,"6' 3""",10.446,140,54
31,T24,T24,Chris Stroud,86,"6' 3""",11.777999999999999,158,18
32,T24,T24,Josh Teater,97,"6' 3""",12.294,165,119
