,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Bill Haas,79,72.92,35,48
1,2,2,Justin Rose,69,72.55,37,51
2,3,3,Brian Gay,91,71.64,48,67
3,4,4,Chris DiMarco,83,70.67,53,75
4,5,5,Sergio Garcia,57,69.57,32,46
5,6,6,Greg Chalmers,88,68.24,58,85
6,7,7,K.J. Choi,71,68.09,32,47
7,8,8,Jonas Blixt,72,67.9,55,81
8,9,9,Mark Anderson,75,67.8,40,59
9,10,10,Brandt Snedeker,81,67.24,39,58
10,11,11,Daniel Chopra,55,66.67,26,39
11,12,12,Padraig Harrington,67,65.96,31,47
12,13,13,Gavin Coles,72,65.85,27,41
13,T14,T14,Rocco Mediate,70,65.79,25,38
14,T14,T14,Carl Pettersson,92,65.79,50,76
15,16,16,Robert Karlsson,54,65.71,23,35
16,17,17,Aaron Baddeley,73,65.45,36,55
17,18,18,Dicky Pride,62,65.22,30,46
18,19,19,Ryo Ishikawa,54,65.12,28,43
19,20,20,Henrik Stenson,51,64.52,20,31
20,21,21,Jason Day,57,64.0,32,50
21,22,22,Geoff Ogilvy,73,63.33,38,60
22,T23,T23,Jonathan Byrd,69,62.96,34,54
23,T23,T23,Jim Furyk,85,62.96,34,54
24,25,25,David Toms,60,62.5,20,32
25,26,26,Keegan Bradley,90,62.07,36,58
26,27,27,Matt Jones,53,61.9,26,42
27,28,28,Danny Lee,74,61.7,29,47
28,29,29,Spencer Levin,81,60.47,52,86
29,30,30,Bud Cauley,99,60.26,47,78
30,T31,T31,Tim Clark,60,60.0,18,30
31,T31,T31,Marco Dawson,60,60.0,21,35
32,T31,T31,Luke Donald,63,60.0,33,55
33,T31,T31,Vaughn Taylor,81,60.0,27,45
34,35,35,Billy Mayfair,90,59.65,34,57
35,36,36,Ryan Moore,89,59.46,44,74
36,37,37,Stuart Appleby,75,59.26,32,54
37,38,38,Y.E. Yang,64,59.18,29,49
38,39,39,Tim Herron,88,59.09,39,66
39,40,40,Derek Lamely,64,58.97,23,39
40,T41,T41,Matt Every,80,58.93,33,56
41,T41,T41,Bill Lunde,83,58.93,33,56
42,43,43,Tom Gillis,75,58.9,43,73
43,44,44,Hunter Haas,69,58.82,30,51
44,45,45,Mathew Goggin,65,58.62,34,58
45,T46,T46,Zach Johnson,95,58.33,42,72
46,T46,T46,Russell Knox,72,58.33,21,36
47,48,48,Matt Kuchar,86,57.81,37,64
48,49,49,J.J. Henry,93,57.78,26,45
49,50,50,Brian Harman,101,57.69,45,78
50,51,51,Dustin Johnson,70,57.63,34,59
51,52,52,Rory McIlroy,60,57.58,19,33
52,53,53,Jason Dufner,83,57.38,35,61
53,T54,T54,Trevor Immelman,76,57.14,32,56
54,T54,T54,Seung-Yul Noh,105,57.14,36,63
55,56,56,Chris Kirk,93,56.94,41,72
56,T57,T57,Michael Bradley,63,56.76,21,37
57,T57,T57,Brian Davis,91,56.76,42,74
58,T57,T57,Ian Poulter,57,56.76,21,37
59,60,60,Jerry Kelly,84,56.72,38,67
60,T61,T61,Martin Flores,95,56.67,34,60
61,T61,T61,Edward Loar,59,56.67,17,30
62,63,63,Kevin Na,80,56.1,23,41
63,T64,T64,Kyle Reifers,86,56.06,37,66
64,T64,T64,John Rollins,81,56.06,37,66
65,T66,T66,J.J. Killeen,101,56.0,56,100
66,T66,T66,Ryan Palmer,81,56.0,42,75
67,68,68,Chris Stroud,86,55.93,33,59
68,69,69,Ben Crane,73,55.88,38,68
69,70,70,Patrick Sheehan,58,55.81,24,43
70,T71,T71,James Driscoll,83,55.56,40,72
71,T71,T71,David Hearn,95,55.56,40,72
72,T73,T73,Scott Brown,65,55.26,21,38
73,T73,T73,Lee Westwood,60,55.26,21,38
74,75,75,Webb Simpson,77,55.17,32,58
75,76,76,J.B. Holmes,90,55.0,44,80
76,77,77,Kevin Chappell,91,54.93,39,71
77,78,78,Greg Owen,90,54.84,34,62
78,79,79,Charl Schwartzel,56,54.76,23,42
79,80,80,Graham DeLaet,79,54.55,36,66
80,81,81,Mark Wilson,84,54.24,32,59
81,82,82,Ángel Cabrera,54,54.17,13,24
82,T83,T83,John Senden,81,54.05,20,37
83,T83,T83,Vijay Singh,99,54.05,40,74
84,85,85,Josh Teater,97,53.95,41,76
85,T86,T86,Kevin Kisner,69,53.85,21,39
86,T86,T86,Phil Mickelson,79,53.85,35,65
87,88,88,John Huh,99,53.73,36,67
88,T89,T89,Rickie Fowler,84,53.62,37,69
89,T89,T89,Charlie Wi,86,53.62,37,69
90,T91,T91,Stephen Ames,54,53.57,15,28
91,T91,T91,Harrison Frazar,56,53.57,30,56
92,T91,T91,Billy Horschel,63,53.57,15,28
93,T91,T91,Garth Mulroy,59,53.57,15,28
94,95,95,Roberto Castro,92,53.52,38,71
95,96,96,Cameron Tringale,88,53.42,39,73
96,97,97,Jason Kokrak,79,53.23,33,62
97,T98,T98,Jason Bohn,81,52.94,36,68
98,T98,T98,Ryuji Imada,78,52.94,36,68
