,Proximity_to_Hole_from_10-20_yards_RANK THIS WEEK,Proximity_to_Hole_from_10-20_yards_RANK LAST WEEK,Proximity_to_Hole_from_10-20_yards_PLAYER NAME,Proximity_to_Hole_from_10-20_yards_ROUNDS,Proximity_to_Hole_from_10-20_yards_AVG DTP,Proximity_to_Hole_from_10-20_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_10-20_yards_# OF SHOTS,Proximity_to_Hole_from_10-20_yards_SCRAMBLING RANK
0,1,1,Justin Rose,69,"5' 3""",792.1669999999999,151,12
1,T2,T2,Brian Gay,91,"5' 10""",1390.5829999999999,238,1
2,T2,T2,Jerry Kelly,84,"5' 10""",1332.5829999999999,229,41
3,4,4,Brandt Snedeker,81,"5' 11""",1089.75,185,10
4,T5,T5,Bob Estes,78,"6' 0""",1308.167,219,25
5,T5,T5,Brian Harman,101,"6' 0""",1559.3329999999999,261,49
6,T5,T5,Freddie Jacobson,61,"6' 0""",841.5,141,92
7,T8,T8,Luke Donald,63,"6' 1""",876.5830000000001,145,5
8,T8,T8,Zach Johnson,95,"6' 1""",1427.75,234,30
9,T8,T8,Chris Stroud,86,"6' 1""",1480.0829999999999,242,18
10,T11,T11,Greg Chalmers,88,"6' 2""",1668.4170000000001,269,11
11,T11,T11,Sergio Garcia,57,"6' 2""",836.0,135,69
12,T11,T11,Padraig Harrington,67,"6' 2""",978.8330000000001,159,39
13,T11,T11,Kevin Kisner,69,"6' 2""",1143.833,186,40
14,T11,T11,Nick O'Hern,78,"6' 2""",1197.917,194,62
15,T11,T11,Webb Simpson,77,"6' 2""",1159.25,188,56
16,T11,T11,David Toms,60,"6' 2""",704.8330000000001,115,13
17,T18,T18,Jonas Blixt,72,"6' 3""",1503.5,241,16
18,T18,T18,Brian Davis,91,"6' 3""",1622.0,258,51
19,T18,T18,Rocco Mediate,70,"6' 3""",1047.917,167,22
20,T18,T18,Tom Pernice Jr.,62,"6' 3""",1030.75,166,117
21,T22,T22,Roberto Castro,92,"6' 4""",1352.0829999999999,213,62
22,T22,T22,Robert Karlsson,54,"6' 4""",981.3330000000001,155,172
23,T22,T22,Danny Lee,74,"6' 4""",1239.5,196,108
24,T22,T22,Marc Leishman,84,"6' 4""",1583.4170000000001,249,74
25,T22,T22,John Mallinger,74,"6' 4""",1221.917,193,53
26,T22,T22,Seung-Yul Noh,105,"6' 4""",1643.0829999999999,261,80
27,T22,T22,Tiger Woods,69,"6' 4""",866.6669999999999,136,4
28,T29,T29,Ben Crane,73,"6' 5""",1266.833,198,97
29,T29,T29,Marco Dawson,60,"6' 5""",1012.75,157,176
30,T29,T29,Jason Day,57,"6' 5""",1003.6669999999999,157,19
31,T29,T29,Jim Furyk,85,"6' 5""",1169.417,183,3
32,T29,T29,Tim Herron,88,"6' 5""",1304.0,202,99
33,T29,T29,Russell Knox,72,"6' 5""",988.6669999999999,154,76
34,T29,T29,Bill Lunde,83,"6' 5""",1234.917,193,54
35,T29,T29,Jeff Overton,101,"6' 5""",1812.8329999999999,283,42
36,T37,T37,Mark Anderson,75,"6' 6""",1234.75,189,163
37,T37,T37,Scott Brown,65,"6' 6""",1053.083,162,185
38,T37,T37,K.J. Choi,71,"6' 6""",1146.0,176,150
39,T37,T37,Gary Christian,91,"6' 6""",1405.4170000000001,216,139
40,T37,T37,Jason Dufner,83,"6' 6""",1341.3329999999999,207,8
41,T37,T37,Bill Haas,79,"6' 6""",1161.0,178,27
