,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,1,1,Luke Donald,63,100.0,33,33
1,2,2,Kevin Streelman,89,98.57,69,70
2,3,3,Steve Stricker,73,96.97,32,33
3,4,4,Aaron Baddeley,73,96.23,51,53
4,5,5,Chris Stroud,86,96.2,76,79
5,6,6,Brian Gay,91,96.1,74,77
6,T7,T7,Ben Curtis,62,95.24,40,42
7,T7,T7,Bo Van Pelt,84,95.24,40,42
8,T7,T7,Tiger Woods,69,95.24,40,42
9,T10,T10,Stephen Ames,54,95.12,39,41
10,T10,T10,Sangmoon Bae,81,95.12,39,41
11,T10,T10,Justin Leonard,79,95.12,78,82
12,13,13,Rod Pampling,88,95.0,38,40
13,14,14,Louis Oosthuizen,65,94.87,37,39
14,15,15,Harrison Frazar,56,94.83,55,58
15,16,16,Dustin Johnson,70,94.59,35,37
16,17,17,Bob Estes,78,94.55,52,55
17,18,18,Jim Furyk,85,94.44,51,54
18,19,19,Brendon de Jonge,115,94.19,81,86
19,20,20,Scott Piercy,95,94.03,63,67
20,21,21,Zach Johnson,95,93.55,58,62
21,T22,T22,Jonathan Byrd,69,93.33,42,45
22,T22,T22,Brandt Snedeker,81,93.33,42,45
23,24,24,Geoff Ogilvy,73,93.18,41,44
24,25,25,Webb Simpson,77,93.1,54,58
25,T26,T26,Ryan Moore,89,92.86,52,56
26,T26,T26,Adam Scott,59,92.86,26,28
27,28,28,David Hearn,95,92.77,77,83
28,29,29,Nathan Green,73,92.59,50,54
29,T30,T30,Ryuji Imada,78,92.45,49,53
30,T30,T30,John Mallinger,74,92.45,49,53
31,32,32,Bryce Molder,83,92.42,61,66
32,T33,T33,John Daly,50,92.31,36,39
33,T33,T33,Sergio Garcia,57,92.31,24,26
34,T33,T33,Charl Schwartzel,56,92.31,36,39
35,T36,T36,John Rollins,81,92.16,47,51
36,T36,T36,Scott Stallings,78,92.16,47,51
37,38,38,Freddie Jacobson,61,92.11,35,38
38,T39,T39,Kyle Stanley,86,92.06,58,63
39,T39,T39,Michael Thompson,80,92.06,58,63
40,41,41,Keegan Bradley,90,92.0,46,50
41,42,42,Scott Dunlap,57,91.84,45,49
42,43,43,Tom Gillis,75,91.8,56,61
43,44,44,Johnson Wagner,88,91.67,55,60
44,45,45,Hunter Mahan,88,91.3,42,46
45,T46,T46,Tim Clark,60,91.11,41,45
46,T46,T46,Ken Duke,104,91.11,82,90
47,T48,T48,Marc Leishman,84,91.07,51,56
48,T48,T48,Bill Lunde,83,91.07,51,56
49,T48,T48,Kyle Reifers,86,91.07,51,56
50,51,51,Sean O'Hair,84,91.04,61,67
51,T52,T52,Padraig Harrington,67,90.91,30,33
52,T52,T52,Kevin Na,80,90.91,50,55
53,T54,T54,William McGirt,96,90.77,59,65
54,T54,T54,Seung-Yul Noh,105,90.77,59,65
55,56,56,Derek Lamely,64,90.74,49,54
56,57,57,Bud Cauley,99,90.7,78,86
57,58,58,Cameron Tringale,88,90.67,68,75
58,T59,T59,Kris Blanks,65,90.48,38,42
59,T59,T59,Jason Kokrak,79,90.48,57,63
60,T59,T59,Dicky Pride,62,90.48,38,42
61,62,62,Scott Brown,65,90.38,47,52
62,63,63,Graeme McDowell,55,90.32,28,31
63,64,64,Martin Laird,77,90.24,37,41
64,65,65,Alexandre Rocha,62,90.2,46,51
65,66,66,Charlie Wi,86,90.16,55,61
66,67,67,Martin Flores,95,90.14,64,71
67,T68,T68,Greg Chalmers,88,90.0,45,50
68,T68,T68,Stewart Cink,71,90.0,45,50
69,T68,T68,Brian Harman,101,90.0,72,80
70,T68,T68,Charley Hoffman,88,90.0,63,70
71,T68,T68,Rocco Mediate,70,90.0,36,40
72,73,73,Jeff Overton,101,89.89,80,89
73,74,74,Colt Knost,79,89.83,53,59
74,T75,T75,Ben Crane,73,89.74,35,39
75,T75,T75,Phil Mickelson,79,89.74,35,39
76,77,77,Blake Adams,107,89.71,61,68
77,T78,T78,Richard Lee,71,89.66,26,29
78,T78,T78,Ryan Palmer,81,89.66,52,58
79,T78,T78,Henrik Stenson,51,89.66,26,29
80,T81,T81,Charlie Beljan,61,89.58,43,48
81,T81,T81,Matt Every,80,89.58,43,48
82,T81,T81,Billy Horschel,63,89.58,43,48
83,T81,T81,Tom Pernice Jr.,62,89.58,43,48
84,85,85,Rory McIlroy,60,89.47,34,38
85,86,86,John Senden,81,89.36,42,47
86,T87,T87,Kevin Chappell,91,88.89,40,45
87,T87,T87,Bill Haas,79,88.89,40,45
88,T87,T87,Tim Herron,88,88.89,64,72
89,T87,T87,Andres Romero,68,88.89,40,45
90,T91,T91,Billy Mayfair,90,88.73,63,71
91,T91,T91,Pat Perez,81,88.73,63,71
92,93,93,Gary Christian,91,88.61,70,79
93,94,94,Matt Jones,53,88.57,31,35
94,T95,T95,Chad Campbell,84,88.33,53,60
95,T95,T95,Troy Kelly,68,88.33,53,60
96,97,97,Vijay Singh,99,88.31,68,77
97,98,98,Kevin Kisner,69,88.0,44,50
98,99,99,Jerry Kelly,84,87.93,51,58
99,T100,T100,Graham DeLaet,79,87.72,50,57
100,T100,T100,Brendan Steele,77,87.72,50,57
101,T100,T100,Brendon Todd,78,87.72,50,57
