,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Adam Scott,59,-.179,28,-5.00
1,2,2,Steve Stricker,73,-.091,33,-3.00
2,3,3,Brandt Snedeker,81,-.089,45,-4.00
3,4,4,Charlie Wi,86,-.082,61,-5.00
4,5,5,Rory McIlroy,60,-.079,38,-3.00
5,6,6,Kevin Streelman,89,-.071,70,-5.00
6,7,7,Martin Flores,95,-.070,71,-5.00
7,8,8,Brian Gay,91,-.065,77,-5.00
8,T9,T9,Luke Donald,63,-.061,33,-2.00
9,T9,T9,Justin Leonard,79,-.061,82,-5.00
10,11,11,Webb Simpson,77,-.052,58,-3.00
11,T12,T12,Louis Oosthuizen,65,-.051,39,-2.00
12,T12,T12,Charl Schwartzel,56,-.051,39,-2.00
13,14,14,Stephen Ames,54,-.049,41,-2.00
14,15,15,Ben Curtis,62,-.048,42,-2.00
15,16,16,Stewart Cink,71,-.040,50,-2.00
16,17,17,Alexandre Rocha,62,-.039,51,-2.00
17,T18,T18,Aaron Baddeley,73,-.038,53,-2.00
18,T18,T18,Scott Brown,65,-.038,52,-2.00
19,T18,T18,Sergio Garcia,57,-.038,26,-1.00
20,T18,T18,John Mallinger,74,-.038,53,-2.00
21,22,22,Ryan Palmer,81,-.034,58,-2.00
22,23,23,Johnson Wagner,88,-.033,60,-2.00
23,24,24,Scott Piercy,95,-.030,67,-2.00
24,T25,T25,Sangmoon Bae,81,-.024,41,-1.00
25,T25,T25,Bo Van Pelt,84,-.024,42,-1.00
26,T27,T27,Kevin Chappell,91,-.022,45,-1.00
27,T27,T27,Bill Haas,79,-.022,45,-1.00
28,29,29,Patrick Sheehan,58,-.021,48,-1.00
29,T30,T30,Greg Chalmers,88,-.020,50,-1.00
30,T30,T30,Scott Stallings,78,-.020,51,-1.00
31,32,32,Nathan Green,73,-.019,54,-1.00
32,33,33,Bob Estes,78,-.018,55,-1.00
33,34,34,Chris Stroud,86,-.013,79,-1.00
34,35,35,David Hearn,95,-.012,83,-1.00
35,T36,T36,Charlie Beljan,61,E,48,E
36,T36,T36,Scott Dunlap,57,E,49,E
37,T36,T36,Matt Every,80,E,48,E
38,T36,T36,Tom Gillis,75,E,61,E
39,T36,T36,Zach Johnson,95,E,62,E
40,T36,T36,Marc Leishman,84,E,56,E
41,T36,T36,Bryce Molder,83,E,66,E
42,T36,T36,Ryan Moore,89,E,56,E
43,T36,T36,Geoff Ogilvy,73,E,44,E
44,T36,T36,Tom Pernice Jr.,62,E,48,E
45,T36,T36,Justin Rose,69,E,32,E
46,T36,T36,Henrik Stenson,51,E,29,E
47,T36,T36,Vaughn Taylor,81,E,61,E
48,T36,T36,Brendon Todd,78,E,57,E
49,T36,T36,Jimmy Walker,101,E,54,E
50,T36,T36,Tiger Woods,69,E,42,E
51,52,52,Ken Duke,104,+.011,90,+1.00
52,53,53,Seung-Yul Noh,105,+.015,65,+1.00
53,T54,T54,Harrison Frazar,56,+.017,58,+1.00
54,T54,T54,Troy Kelly,68,+.017,60,+1.00
55,T56,T56,Bill Lunde,83,+.018,56,+1.00
56,T56,T56,Kevin Na,80,+.018,55,+1.00
57,T56,T56,Kyle Reifers,86,+.018,56,+1.00
58,T59,T59,Jim Furyk,85,+.019,54,+1.00
59,T59,T59,Derek Lamely,64,+.019,54,+1.00
60,T61,T61,Keegan Bradley,90,+.020,50,+1.00
61,T61,T61,John Rollins,81,+.020,51,+1.00
62,T63,T63,Mark Anderson,75,+.021,47,+1.00
63,T63,T63,Marco Dawson,60,+.021,48,+1.00
64,T63,T63,John Senden,81,+.021,47,+1.00
65,66,66,Hunter Mahan,88,+.022,46,+1.00
66,T67,T67,Kris Blanks,65,+.024,42,+1.00
67,T67,T67,Dicky Pride,62,+.024,42,+1.00
68,T69,T69,Chris Kirk,93,+.025,79,+2.00
69,T69,T69,Rod Pampling,88,+.025,40,+1.00
70,T71,T71,John Daly,50,+.026,39,+1.00
71,T71,T71,Freddie Jacobson,61,+.026,38,+1.00
72,T71,T71,Phil Mickelson,79,+.026,39,+1.00
73,T74,T74,Ricky Barnes,92,+.027,73,+2.00
74,T74,T74,J.J. Henry,93,+.027,73,+2.00
75,T76,T76,Brian Davis,91,+.029,69,+2.00
76,T76,T76,Charley Hoffman,88,+.029,70,+2.00
77,78,78,Padraig Harrington,67,+.030,33,+1.00
78,T79,T79,Graeme McDowell,55,+.032,31,+1.00
79,T79,T79,Michael Thompson,80,+.032,63,+2.00
80,81,81,Brendon de Jonge,115,+.035,86,+3.00
81,82,82,Chris Couch,61,+.037,54,+2.00
82,83,83,Ryuji Imada,78,+.038,53,+2.00
83,84,84,Vijay Singh,99,+.039,77,+3.00
84,T85,T85,Kevin Kisner,69,+.040,50,+2.00
85,T85,T85,Cameron Tringale,88,+.040,75,+3.00
86,87,87,John Huh,99,+.041,73,+3.00
87,88,88,Billy Mayfair,90,+.042,71,+3.00
88,89,89,Michael Bradley,63,+.043,47,+2.00
89,T90,T90,Blake Adams,107,+.044,68,+3.00
90,T90,T90,Jonathan Byrd,69,+.044,45,+2.00
91,T90,T90,Tim Clark,60,+.044,45,+2.00
92,T90,T90,Andres Romero,68,+.044,45,+2.00
93,T94,T94,Robert Garrigus,89,+.046,65,+3.00
94,T94,T94,Billy Hurley III,70,+.046,65,+3.00
95,T94,T94,William McGirt,96,+.046,65,+3.00
96,97,97,Bud Cauley,99,+.047,86,+4.00
97,T98,T98,Jason Kokrak,79,+.048,63,+3.00
98,T98,T98,Kyle Stanley,86,+.048,63,+3.00
99,T100,T100,Brian Harman,101,+.050,80,+4.00
100,T100,T100,Rocco Mediate,70,+.050,40,+2.00
101,T102,T102,Gary Christian,91,+.051,79,+4.00
102,T102,T102,Ben Crane,73,+.051,39,+2.00
103,T102,T102,Colt Knost,79,+.051,59,+3.00
104,105,105,Jerry Kelly,84,+.052,58,+3.00
105,106,106,Brendan Steele,77,+.053,57,+3.00
106,T107,T107,Harris English,98,+.054,56,+3.00
107,T107,T107,Dustin Johnson,70,+.054,37,+2.00
108,T109,T109,David Mathis,83,+.056,72,+4.00
109,T109,T109,Jeff Overton,101,+.056,89,+5.00
110,T109,T109,Pat Perez,81,+.056,71,+4.00
111,T112,T112,Matt Jones,53,+.057,35,+2.00
112,T112,T112,Danny Lee,74,+.057,53,+3.00
113,114,114,K.J. Choi,71,+.058,52,+3.00
114,115,115,Bubba Watson,68,+.059,34,+2.00
115,T116,T116,Robert Allenby,76,+.063,64,+4.00
116,T116,T116,Miguel Angel Carballo,73,+.063,48,+3.00
117,T116,T116,Billy Horschel,63,+.063,48,+3.00
118,119,119,Tommy Gainey,98,+.064,94,+6.00
119,T120,T120,Chad Campbell,84,+.067,60,+4.00
120,T120,T120,Mark Wilson,84,+.067,45,+3.00
121,T122,T122,Chris DiMarco,83,+.068,74,+5.00
122,T122,T122,Russell Knox,72,+.068,59,+4.00
123,T122,T122,Daniel Summerhays,81,+.068,59,+4.00
124,125,125,Richard Lee,71,+.069,29,+2.00
125,T126,T126,Nick O'Hern,78,+.071,56,+4.00
126,T126,T126,Chez Reavie,83,+.071,56,+4.00
127,T126,T126,David Toms,60,+.071,28,+2.00
128,129,129,Martin Laird,77,+.073,41,+3.00
129,130,130,Rory Sabbatini,84,+.074,81,+6.00
130,131,131,Sean O'Hair,84,+.075,67,+5.00
131,132,132,D.A. Points,88,+.076,66,+5.00
132,T133,T133,Jason Day,57,+.077,39,+3.00
133,T133,T133,D.J. Trahan,73,+.077,52,+4.00
134,T135,T135,Troy Matteson,100,+.079,76,+6.00
135,T135,T135,Ian Poulter,57,+.079,38,+3.00
136,T137,T137,James Driscoll,83,+.081,62,+5.00
137,T137,T137,Spencer Levin,81,+.081,62,+5.00
138,T139,T139,Davis Love III,64,+.082,49,+4.00
139,T139,T139,Carl Pettersson,92,+.082,61,+5.00
140,T141,T141,Jonas Blixt,72,+.083,48,+4.00
141,T141,T141,Ángel Cabrera,54,+.083,24,+2.00
142,T141,T141,Garth Mulroy,59,+.083,36,+3.00
143,T144,T144,Graham DeLaet,79,+.088,57,+5.00
144,T144,T144,John Merrick,83,+.088,57,+5.00
145,146,146,Steve Wheatcroft,56,+.091,44,+4.00
146,147,147,Brandt Jobe,57,+.093,43,+4.00
147,148,148,Nick Watney,97,+.094,53,+5.00
148,149,149,George McNeill,85,+.095,63,+6.00
149,150,150,Matt Bettencourt,80,+.098,61,+6.00
150,T151,T151,Arjun Atwal,79,+.106,66,+7.00
151,T151,T151,Trevor Immelman,76,+.106,47,+5.00
152,T153,T153,Charles Howell III,98,+.107,56,+6.00
153,T153,T153,J.J. Killeen,101,+.107,84,+9.00
154,T153,T153,Matt Kuchar,86,+.107,56,+6.00
155,T156,T156,Stuart Appleby,75,+.109,64,+7.00
156,T156,T156,Jason Bohn,81,+.109,64,+7.00
157,T158,T158,Erik Compton,81,+.111,72,+8.00
158,T158,T158,Rickie Fowler,84,+.111,45,+5.00
159,T158,T158,Bobby Gates,87,+.111,72,+8.00
160,T158,T158,Tim Herron,88,+.111,72,+8.00
161,T158,T158,Sung Kang,75,+.111,54,+6.00
162,T163,T163,Gavin Coles,72,+.118,51,+6.00
163,T163,T163,Boo Weekley,74,+.118,51,+6.00
