,Scrambling_from_10-20_yards_RANK THIS WEEK,Scrambling_from_10-20_yards_RANK LAST WEEK,Scrambling_from_10-20_yards_PLAYER NAME,Scrambling_from_10-20_yards_ROUNDS,Scrambling_from_10-20_yards_%,Scrambling_from_10-20_yards_SUCCESSES,Scrambling_from_10-20_yards_ATTEMPTS
0,1,1,Geoff Ogilvy,73,75.46,123,163
1,2,2,Daniel Chopra,55,74.58,88,118
2,3,3,Brian Gay,91,74.38,151,203
3,4,4,Luke Donald,63,73.81,93,126
4,5,5,Jim Furyk,85,73.29,118,161
5,6,6,Justin Rose,69,72.88,86,118
6,7,7,Ian Poulter,57,72.58,90,124
7,8,8,Sergio Garcia,57,72.38,76,105
8,9,9,Jason Day,57,71.76,94,131
9,10,10,Jonas Blixt,72,71.36,152,213
10,11,11,Brandt Snedeker,81,70.91,117,165
11,12,12,Henrik Stenson,51,70.71,70,99
12,13,13,Matt Kuchar,86,70.59,144,204
13,14,14,Charlie Wi,86,70.51,153,217
14,15,15,Derek Lamely,64,70.21,99,141
15,16,16,Rocco Mediate,70,69.86,102,146
16,17,17,Brian Harman,101,69.79,164,235
17,18,18,Gavin Coles,72,69.68,108,155
18,T19,T19,Greg Chalmers,88,69.64,172,247
19,T19,T19,Tiger Woods,69,69.64,78,112
20,21,21,Martin Laird,77,69.54,105,151
21,22,22,Matt Jones,53,69.53,89,128
22,23,23,Jonathan Byrd,69,69.47,91,131
23,24,24,Bud Cauley,99,69.2,155,224
24,25,25,David Hearn,95,69.1,161,233
25,26,26,Chris Stroud,86,69.01,147,213
26,27,27,J.J. Killeen,101,68.89,186,270
27,28,28,Cameron Tringale,88,68.72,123,179
28,29,29,Robert Karlsson,54,68.64,81,118
29,30,30,Freddie Jacobson,61,68.6,83,121
30,31,31,Carl Pettersson,92,68.54,146,213
31,32,32,Kevin Chappell,91,68.47,139,203
32,33,33,Phil Mickelson,79,68.32,110,161
33,34,34,Kevin Kisner,69,68.26,114,167
34,35,35,Bill Haas,79,68.24,101,148
35,36,36,Rory McIlroy,60,68.18,75,110
36,37,37,William McGirt,96,68.1,143,210
37,38,38,Jason Dufner,83,68.0,119,175
38,39,39,Pat Perez,81,67.93,125,184
39,40,40,David Toms,60,67.92,72,106
40,41,41,Seung-Yul Noh,105,67.86,152,224
41,42,42,Bob Estes,78,67.68,134,198
42,43,43,Ryo Ishikawa,54,67.65,69,102
43,44,44,Bill Lunde,83,67.53,104,154
44,45,45,Trevor Immelman,76,67.48,110,163
45,46,46,Y.E. Yang,64,67.09,106,158
46,47,47,Kyle Reifers,86,67.03,124,185
47,48,48,Vaughn Taylor,81,66.89,99,148
48,49,49,Brian Davis,91,66.81,151,226
49,T50,T50,Marco Dawson,60,66.67,90,135
50,T50,T50,Ryan Palmer,81,66.67,132,198
51,52,52,Jeff Overton,101,66.53,159,239
52,53,53,Jerry Kelly,84,66.51,143,215
53,T54,T54,Zach Johnson,95,66.5,137,206
54,T54,T54,John Rollins,81,66.5,133,200
55,56,56,Nick O'Hern,78,66.48,119,179
56,57,57,Matt Every,80,66.43,95,143
57,58,58,Stephen Ames,54,66.37,75,113
58,59,59,Justin Leonard,79,66.3,122,184
59,60,60,J.J. Henry,93,66.26,108,163
60,61,61,Brandt Jobe,57,66.12,80,121
61,62,62,Aaron Baddeley,73,66.1,117,177
62,63,63,Charl Schwartzel,56,66.09,76,115
63,T64,T64,Danny Lee,74,66.05,107,162
64,T64,T64,Webb Simpson,77,66.05,107,162
65,66,66,Stuart Appleby,75,65.92,118,179
66,67,67,Kevin Na,80,65.9,114,173
67,T68,T68,Scott Piercy,95,65.64,149,227
68,T68,T68,Brendan Steele,77,65.64,107,163
69,70,70,Kevin Streelman,89,65.59,122,186
70,T71,T71,Roberto Castro,92,65.54,116,177
71,T71,T71,Harrison Frazar,56,65.54,97,148
72,T73,T73,Graham DeLaet,79,65.41,121,185
73,T73,T73,Russell Knox,72,65.41,87,133
74,T73,T73,Richard Lee,71,65.41,87,133
75,76,76,Billy Mayfair,90,65.33,130,199
76,77,77,Spencer Levin,81,65.24,137,210
77,78,78,Hunter Haas,69,65.22,105,161
78,79,79,Tom Pernice Jr.,62,64.75,90,139
79,80,80,Bryce Molder,83,64.71,110,170
80,81,81,J.B. Holmes,90,64.65,139,215
81,82,82,Ernie Els,80,64.64,117,181
82,83,83,Mark Anderson,75,64.33,101,157
83,84,84,Steve Wheatcroft,56,64.29,63,98
84,85,85,Rickie Fowler,84,64.13,118,184
85,T86,T86,Ben Crane,73,64.12,109,170
86,T86,T86,Colt Knost,79,64.12,109,170
87,T86,T86,Patrick Sheehan,58,64.12,84,131
88,T89,T89,Brendon de Jonge,115,64.11,159,248
89,T89,T89,David Mathis,83,64.11,134,209
90,91,91,Keegan Bradley,90,64.07,107,167
91,92,92,Josh Teater,97,63.93,140,219
92,93,93,Chez Reavie,83,63.87,122,191
93,T94,T94,Mathew Goggin,65,63.82,97,152
94,T94,T94,George McNeill,85,63.82,127,199
95,96,96,Nathan Green,73,63.76,95,149
96,97,97,Steve Stricker,73,63.73,65,102
97,98,98,Troy Matteson,100,63.6,145,228
98,99,99,Dustin Johnson,70,63.5,87,137
99,100,100,Michael Bradley,63,63.49,80,126
100,101,101,Blake Adams,107,63.43,137,216
101,102,102,Hunter Mahan,88,63.4,97,153
102,103,103,Tommy Biershenk,74,63.35,102,161
103,104,104,"Ted Potter, Jr.",77,63.28,112,177
104,105,105,Andres Romero,68,63.25,105,166
105,106,106,Ryan Moore,89,63.16,132,209
106,107,107,Sean O'Hair,84,63.13,113,179
107,108,108,Ken Duke,104,63.12,166,263
108,109,109,Ben Curtis,62,63.03,75,119
109,110,110,Mark Wilson,84,62.84,115,183
110,T111,T111,Ryuji Imada,78,62.83,120,191
111,T111,T111,Rory Sabbatini,84,62.83,120,191
112,113,113,Padraig Harrington,67,62.77,86,137
113,114,114,Jimmy Walker,101,62.66,146,233
114,115,115,John Mallinger,74,62.64,114,182
115,116,116,Matt Bettencourt,80,62.56,122,195
116,T117,T117,Rod Pampling,88,62.5,110,176
117,T117,T117,Dicky Pride,62,62.5,85,136
118,119,119,John Senden,81,62.41,88,141
119,120,120,Billy Horschel,63,62.28,71,114
120,121,121,Sung Kang,75,62.23,117,188
121,122,122,Bo Van Pelt,84,62.07,108,174
122,123,123,Stephen Gangluff,57,62.02,80,129
123,124,124,Tim Clark,60,61.9,78,126
124,T125,T125,Tim Herron,88,61.83,115,186
125,T125,T125,Kevin Stadler,85,61.83,115,186
126,127,127,K.J. Choi,71,61.82,102,165
127,128,128,Marc Leishman,84,61.78,139,225
128,129,129,Jason Kokrak,79,61.73,100,162
129,130,130,Martin Flores,95,61.68,132,214
130,131,131,Will Claxton,99,61.44,145,236
131,132,132,James Driscoll,83,61.41,113,184
132,133,133,Harris English,98,61.35,127,207
133,134,134,Jason Bohn,81,61.27,125,204
134,135,135,Tom Gillis,75,61.26,117,191
135,136,136,John Huh,99,61.18,145,237
136,137,137,Louis Oosthuizen,65,61.16,74,121
137,138,138,Gary Woodland,70,61.15,85,139
138,139,139,Tommy Gainey,98,61.02,155,254
139,140,140,Camilo Villegas,79,60.93,92,151
140,141,141,Chris Kirk,93,60.91,134,220
141,142,142,Nick Watney,97,60.33,111,184
142,143,143,D.A. Points,88,60.28,129,214
143,T144,T144,Charles Howell III,98,60.0,114,190
144,T144,T144,Edward Loar,59,60.0,72,120
145,146,146,Stewart Cink,71,59.85,79,132
146,147,147,Brendon Todd,78,59.77,104,174
147,148,148,Bubba Watson,68,59.69,77,129
148,149,149,Gary Christian,91,59.6,118,198
149,150,150,Ricky Barnes,92,59.5,119,200
150,T151,T151,Troy Kelly,68,59.29,83,140
151,T151,T151,Vijay Singh,99,59.29,134,226
152,153,153,Heath Slocum,93,59.09,117,198
153,154,154,Sangmoon Bae,81,59.06,101,171
154,155,155,Daniel Summerhays,81,58.93,99,168
155,T156,T156,Davis Love III,64,58.73,74,126
156,T156,T156,Kyle Stanley,86,58.73,111,189
157,158,158,Chris DiMarco,83,58.72,128,218
158,159,159,Jhonattan Vegas,77,58.71,91,155
159,T160,T160,Arjun Atwal,79,58.51,110,188
160,T160,T160,Cameron Beckman,81,58.51,110,188
161,162,162,John Merrick,83,58.38,108,185
162,163,163,Garth Mulroy,59,58.33,70,120
163,164,164,Jeff Maggert,83,58.14,125,215
164,165,165,Erik Compton,81,57.89,110,190
165,166,166,Greg Owen,90,57.87,114,197
166,167,167,Bobby Gates,87,57.84,118,204
167,168,168,Scott Brown,65,57.66,79,137
168,169,169,Billy Hurley III,70,57.59,91,158
169,170,170,Johnson Wagner,88,57.22,107,187
170,171,171,Charley Hoffman,88,56.84,108,190
171,172,172,Scott Stallings,78,56.82,100,176
172,173,173,Chris Couch,61,56.55,82,145
173,174,174,Michael Thompson,80,56.36,93,165
174,175,175,Robert Allenby,76,56.22,104,185
175,176,176,Graeme McDowell,55,56.1,46,82
176,177,177,Charlie Beljan,61,55.93,66,118
177,178,178,Ángel Cabrera,54,55.91,52,93
178,179,179,Chad Campbell,84,55.83,115,206
179,180,180,Scott Dunlap,57,55.65,64,115
180,181,181,D.J. Trahan,73,55.28,89,161
181,182,182,Adam Scott,59,55.21,53,96
182,183,183,Robert Garrigus,89,54.84,102,186
183,184,184,John Daly,50,54.81,57,104
184,185,185,Boo Weekley,74,54.43,86,158
185,186,186,Miguel Angel Carballo,73,54.36,81,149
186,187,187,Alexandre Rocha,62,54.26,70,129
187,188,188,Kris Blanks,65,53.53,91,170
188,189,189,Kyle Thompson,51,52.33,45,86
189,190,190,Lee Westwood,60,51.65,47,91
190,191,191,Roland Thatcher,55,47.06,48,102
