,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Jason Dufner,83,71.29,72,101
1,2,2,Ian Poulter,57,70.0,49,70
2,3,3,Kevin Chappell,91,67.41,91,135
3,4,4,Jeff Overton,101,67.35,99,147
4,5,5,Jim Furyk,85,66.99,69,103
5,6,6,Luke Donald,63,66.27,55,83
6,7,7,Henrik Stenson,51,65.93,60,91
7,8,8,Troy Kelly,68,65.83,79,120
8,9,9,Ben Crane,73,65.66,65,99
9,T10,T10,Sergio Garcia,57,65.38,34,52
10,T10,T10,Kevin Kisner,69,65.38,85,130
11,12,12,Martin Laird,77,65.22,60,92
12,13,13,Bill Haas,79,65.04,80,123
13,14,14,Charl Schwartzel,56,64.81,35,54
14,T15,T15,Jonathan Byrd,69,64.52,60,93
15,T15,T15,Brandt Snedeker,81,64.52,60,93
16,17,17,Charlie Wi,86,64.38,94,146
17,18,18,Tim Clark,60,64.37,56,87
18,19,19,William McGirt,96,64.14,93,145
19,20,20,John Mallinger,74,64.08,66,103
20,21,21,Steve Wheatcroft,56,64.04,57,89
21,22,22,Bob Estes,78,64.0,96,150
22,23,23,Hunter Haas,69,63.71,79,124
23,24,24,Geoff Ogilvy,73,63.51,47,74
24,25,25,Ken Duke,104,63.47,106,167
25,26,26,Trevor Immelman,76,63.33,76,120
26,27,27,Y.E. Yang,64,63.3,69,109
27,28,28,Rocco Mediate,70,62.99,80,127
28,29,29,Stuart Appleby,75,62.84,93,148
29,30,30,Bill Lunde,83,62.68,89,142
30,T31,T31,Seung-Yul Noh,105,62.5,90,144
31,T31,T31,Johnson Wagner,88,62.5,95,152
32,33,33,Kevin Stadler,85,62.4,78,125
33,34,34,Phil Mickelson,79,62.39,68,109
34,35,35,Greg Chalmers,88,62.07,108,174
35,36,36,Chad Campbell,84,62.04,85,137
36,T37,T37,Matt Kuchar,86,61.95,70,113
37,T37,T37,Pat Perez,81,61.95,70,113
38,39,39,Patrick Sheehan,58,61.63,53,86
