,Scrambling_from_20-30_yards_RANK THIS WEEK,Scrambling_from_20-30_yards_RANK LAST WEEK,Scrambling_from_20-30_yards_PLAYER NAME,Scrambling_from_20-30_yards_ROUNDS,Scrambling_from_20-30_yards_%,Scrambling_from_20-30_yards_SUCCESSES,Scrambling_from_20-30_yards_ATTEMPTS
0,1,1,Chris Couch,61,66.15,43,65
1,2,2,Jason Dufner,83,66.07,37,56
2,3,3,Trevor Immelman,76,65.71,46,70
3,4,4,Justin Rose,69,65.38,34,52
4,5,5,Jonathan Byrd,69,64.18,43,67
5,6,6,Ryuji Imada,78,63.92,62,97
6,7,7,Charl Schwartzel,56,62.86,22,35
7,8,8,Mathew Goggin,65,62.69,42,67
8,T9,T9,Luke Donald,63,62.5,40,64
9,T9,T9,David Toms,60,62.5,30,48
10,11,11,Nick O'Hern,78,61.9,65,105
11,12,12,Charles Howell III,98,61.61,69,112
12,13,13,Zach Johnson,95,61.36,54,88
13,14,14,Bud Cauley,99,61.18,52,85
14,15,15,Lee Westwood,60,61.11,22,36
15,16,16,Kevin Na,80,60.92,53,87
16,17,17,Ernie Els,80,60.53,46,76
17,18,18,Bryce Molder,83,60.22,56,93
18,19,19,Justin Leonard,79,59.77,52,87
19,20,20,Jim Furyk,85,58.9,43,73
20,21,21,Martin Flores,95,58.65,61,104
21,22,22,Mark Wilson,84,58.33,49,84
22,23,23,Phil Mickelson,79,58.11,43,74
23,24,24,Sung Kang,75,58.06,54,93
24,25,25,Matt Jones,53,58.0,29,50
25,26,26,Bill Lunde,83,57.97,40,69
26,T27,T27,Greg Chalmers,88,57.89,55,95
27,T27,T27,Charlie Wi,86,57.89,55,95
28,29,29,Michael Thompson,80,57.83,48,83
29,30,30,Nathan Green,73,57.81,37,64
30,31,31,Billy Mayfair,90,57.8,63,109
31,32,32,Danny Lee,74,57.75,41,71
32,33,33,Roberto Castro,92,57.69,45,78
33,T34,T34,Bill Haas,79,57.32,47,82
34,T34,T34,Rocco Mediate,70,57.32,47,82
35,T36,T36,Dustin Johnson,70,57.14,24,42
36,T36,T36,Y.E. Yang,64,57.14,44,77
37,38,38,Adam Scott,59,56.52,26,46
38,39,39,Jimmy Walker,101,56.49,74,131
39,40,40,Brandt Snedeker,81,56.47,48,85
40,41,41,Pat Perez,81,56.25,45,80
41,42,42,Matt Every,80,56.14,32,57
42,43,43,George McNeill,85,56.12,55,98
43,44,44,Vijay Singh,99,56.1,46,82
44,45,45,Billy Hurley III,70,56.07,60,107
45,46,46,William McGirt,96,56.04,51,91
46,47,47,Aaron Baddeley,73,55.95,47,84
47,48,48,Robert Garrigus,89,55.93,33,59
48,T49,T49,Gavin Coles,72,55.74,34,61
49,T49,T49,Troy Kelly,68,55.74,34,61
50,T49,T49,Henrik Stenson,51,55.74,34,61
51,52,52,David Mathis,83,55.45,56,101
