,Scrambling_from__10_yards_RANK THIS WEEK,Scrambling_from__10_yards_RANK LAST WEEK,Scrambling_from__10_yards_PLAYER NAME,Scrambling_from__10_yards_ROUNDS,Scrambling_from__10_yards_%,Scrambling_from__10_yards_SUCCESSES,Scrambling_from__10_yards_ATTEMPTS
0,1,1,Brian Gay,91,96.7,88,91
1,2,2,Ian Poulter,57,94.87,37,39
2,3,3,Rocco Mediate,70,93.85,61,65
3,4,4,Aaron Baddeley,73,93.83,76,81
4,5,5,Troy Matteson,100,93.75,90,96
5,6,6,Stephen Ames,54,93.48,43,46
6,7,7,Jonas Blixt,72,93.44,57,61
7,8,8,Johnson Wagner,88,92.77,77,83
8,9,9,Brandt Snedeker,81,92.31,84,91
9,10,10,Webb Simpson,77,92.21,71,77
10,11,11,Vaughn Taylor,81,91.55,65,71
11,T12,T12,Stuart Appleby,75,91.46,75,82
12,T12,T12,Billy Hurley III,70,91.46,75,82
13,14,14,Steve Stricker,73,91.43,64,70
14,15,15,Derek Lamely,64,91.04,61,67
15,16,16,John Mallinger,74,91.03,71,78
16,17,17,Martin Flores,95,90.91,90,99
17,18,18,Tom Gillis,75,90.79,69,76
18,19,19,Mark Anderson,75,90.63,58,64
19,20,20,Dustin Johnson,70,90.59,77,85
20,21,21,Russell Knox,72,90.48,57,63
21,22,22,Greg Chalmers,88,90.22,83,92
22,23,23,Jason Day,57,90.16,55,61
23,24,24,Bob Estes,78,90.14,64,71
24,25,25,Davis Love III,64,90.0,72,80
25,26,26,Michael Thompson,80,89.89,80,89
26,27,27,Ryo Ishikawa,54,89.58,43,48
27,28,28,Nathan Green,73,89.47,51,57
28,29,29,Daniel Summerhays,81,89.16,74,83
29,30,30,Jhonattan Vegas,77,88.73,63,71
30,31,31,Kyle Reifers,86,88.61,70,79
31,T32,T32,David Mathis,83,88.37,76,86
32,T32,T32,Josh Teater,97,88.37,76,86
33,T34,T34,Hunter Haas,69,88.33,53,60
34,T34,T34,Tiger Woods,69,88.33,53,60
35,36,36,Bryce Molder,83,88.31,68,77
36,37,37,Rod Pampling,88,88.16,67,76
37,38,38,Ernie Els,80,88.06,59,67
38,39,39,Graeme McDowell,55,88.0,44,50
39,40,40,Scott Piercy,95,87.93,102,116
40,41,41,Robert Garrigus,89,87.91,80,91
41,42,42,John Senden,81,87.84,65,74
42,T43,T43,John Daly,50,87.76,43,49
43,T43,T43,Stephen Gangluff,57,87.76,43,49
44,45,45,James Driscoll,83,87.67,64,73
45,46,46,Miguel Angel Carballo,73,87.5,49,56
46,47,47,Ken Duke,104,87.39,104,119
47,48,48,Phil Mickelson,79,87.34,69,79
48,T49,T49,Hunter Mahan,88,87.27,48,55
49,T49,T49,Billy Mayfair,90,87.27,96,110
50,51,51,Kevin Na,80,87.13,88,101
51,52,52,Heath Slocum,93,87.01,67,77
52,T53,T53,Ben Curtis,62,86.96,40,46
53,T53,T53,Richard Lee,71,86.96,40,46
54,T53,T53,Rory Sabbatini,84,86.96,100,115
55,56,56,Brian Davis,91,86.81,79,91
56,57,57,Tim Clark,60,86.76,59,68
57,T58,T58,Troy Kelly,68,86.67,52,60
58,T58,T58,Kevin Streelman,89,86.67,91,105
59,T58,T58,Roland Thatcher,55,86.67,52,60
60,61,61,Zach Johnson,95,86.6,84,97
61,62,62,Geoff Ogilvy,73,86.59,71,82
62,63,63,Bubba Watson,68,86.44,51,59
63,64,64,Carl Pettersson,92,86.17,81,94
64,65,65,Robert Karlsson,54,86.05,37,43
65,T66,T66,Marc Leishman,84,86.0,86,100
66,T66,T66,Steve Wheatcroft,56,86.0,43,50
67,68,68,Vijay Singh,99,85.98,92,107
68,69,69,K.J. Choi,71,85.96,49,57
69,70,70,Jason Kokrak,79,85.88,73,85
70,71,71,Sean O'Hair,84,85.71,60,70
71,72,72,Kyle Stanley,86,85.56,77,90
72,T73,T73,J.J. Henry,93,85.51,59,69
73,T73,T73,Brendon Todd,78,85.51,59,69
74,75,75,Charlie Wi,86,85.44,88,103
75,76,76,Chris Couch,61,85.37,70,82
76,77,77,Chris Kirk,93,85.34,99,116
77,78,78,Bud Cauley,99,85.27,110,129
78,T79,T79,Blake Adams,107,85.26,81,95
79,T79,T79,Jimmy Walker,101,85.26,81,95
80,81,81,Scott Dunlap,57,85.25,52,61
81,82,82,Luke Donald,63,85.19,46,54
82,83,83,Tim Herron,88,85.14,63,74
83,T84,T84,Sergio Garcia,57,85.11,40,47
84,T84,T84,Mathew Goggin,65,85.11,40,47
85,T84,T84,Freddie Jacobson,61,85.11,40,47
86,87,87,Tom Pernice Jr.,62,85.07,57,67
87,88,88,Roberto Castro,92,84.93,62,73
88,T89,T89,Brendon de Jonge,115,84.91,90,106
89,T89,T89,J.J. Killeen,101,84.91,90,106
90,91,91,Arjun Atwal,79,84.88,73,86
91,92,92,Andres Romero,68,84.85,56,66
92,93,93,Jim Furyk,85,84.81,67,79
93,T94,T94,Padraig Harrington,67,84.62,44,52
94,T94,T94,Ryuji Imada,78,84.62,66,78
95,96,96,Seung-Yul Noh,105,84.54,82,97
96,97,97,Gavin Coles,72,84.51,60,71
97,98,98,Daniel Chopra,55,84.44,38,45
98,99,99,Mark Wilson,84,84.34,70,83
99,100,100,Jason Bohn,81,84.29,59,70
100,101,101,Brian Harman,101,84.25,107,127
101,102,102,Tommy Gainey,98,84.17,101,120
102,103,103,Brandt Jobe,57,84.09,37,44
103,104,104,John Merrick,83,84.06,58,69
104,105,105,Scott Stallings,78,83.95,68,81
105,106,106,Pat Perez,81,83.87,78,93
106,107,107,Chris Stroud,86,83.84,83,99
107,108,108,Bill Haas,79,83.75,67,80
108,109,109,Garth Mulroy,59,83.72,36,43
109,110,110,Ricky Barnes,92,83.7,77,92
110,111,111,Justin Leonard,79,83.5,86,103
111,112,112,Jeff Overton,101,83.48,96,115
