,Proximity_to_Hole_from_20-30_yards_RANK THIS WEEK,Proximity_to_Hole_from_20-30_yards_RANK LAST WEEK,Proximity_to_Hole_from_20-30_yards_PLAYER NAME,Proximity_to_Hole_from_20-30_yards_ROUNDS,Proximity_to_Hole_from_20-30_yards_AVG DTP,Proximity_to_Hole_from_20-30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_20-30_yards_# OF SHOTS,Proximity_to_Hole_from_20-30_yards_SCRAMBLING RANK
0,1,1,Trevor Immelman,76,"7' 1""",689.25,97,109
1,2,2,Nick O'Hern,78,"7' 5""",931.0,126,62
2,T3,T3,Jason Dufner,83,"7' 9""",702.8330000000001,91,8
3,T3,T3,Hunter Haas,69,"7' 9""",564.4169999999999,73,142
4,T3,T3,Kevin Na,80,"7' 9""",926.8330000000001,120,21
5,T6,T6,Ryuji Imada,78,"7' 10""",846.5,108,74
6,T6,T6,Rory McIlroy,60,"7' 10""",330.333,42,33
7,8,8,Bud Cauley,99,"7' 11""",979.3330000000001,124,8
8,9,9,Jonathan Byrd,69,"8' 0""",746.4169999999999,93,56
9,T10,T10,Charles Howell III,98,"8' 1""",1154.5,143,118
10,T10,T10,Phil Mickelson,79,"8' 1""",776.1669999999999,96,16
11,T12,T12,Aaron Baddeley,73,"8' 2""",851.0830000000001,104,37
12,T12,T12,Freddie Jacobson,61,"8' 2""",530.1669999999999,65,92
13,T12,T12,J.J. Killeen,101,"8' 2""",1285.917,158,28
14,T12,T12,Graeme McDowell,55,"8' 2""",401.75,49,177
15,T16,T16,Jim Furyk,85,"8' 3""",683.4169999999999,83,3
16,T16,T16,Rocco Mediate,70,"8' 3""",826.25,100,22
17,T16,T16,Josh Teater,97,"8' 3""",1218.083,147,119
18,T16,T16,David Toms,60,"8' 3""",478.917,58,13
19,T16,T16,Lee Westwood,60,"8' 3""",446.583,54,191
20,T21,T21,Graham DeLaet,79,"8' 4""",934.3330000000001,112,86
21,T21,T21,Tim Herron,88,"8' 4""",1105.333,132,99
22,T21,T21,Justin Leonard,79,"8' 4""",790.3330000000001,95,44
23,T21,T21,Bill Lunde,83,"8' 4""",793.8330000000001,95,54
24,T21,T21,Charl Schwartzel,56,"8' 4""",398.917,48,50
25,T21,T21,Brandt Snedeker,81,"8' 4""",791.9169999999999,95,10
26,T27,T27,Matt Every,80,"8' 5""",725.0830000000001,86,67
27,T27,T27,Padraig Harrington,67,"8' 5""",625.8330000000001,74,39
28,T27,T27,Davis Love III,64,"8' 5""",504.25,60,147
29,T27,T27,Pat Perez,81,"8' 5""",832.25,99,14
30,T27,T27,Chris Stroud,86,"8' 5""",978.1669999999999,116,18
31,T32,T32,J.B. Holmes,90,"8' 6""",957.5,113,125
32,T32,T32,Dustin Johnson,70,"8' 6""",511.167,60,32
33,T32,T32,Spencer Levin,81,"8' 6""",806.4169999999999,95,82
34,T32,T32,Vijay Singh,99,"8' 6""",964.5,113,43
35,T36,T36,Arjun Atwal,79,"8' 7""",855.1669999999999,100,137
36,T36,T36,Kris Blanks,65,"8' 7""",738.5,86,149
37,T36,T36,Sung Kang,75,"8' 7""",965.5830000000001,113,144
38,T36,T36,Webb Simpson,77,"8' 7""",798.6669999999999,93,56
39,T40,T40,Jonas Blixt,72,"8' 8""",896.4169999999999,103,16
