,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
0,1,1,Martin Flores,95,"2' 7""",354.917,139,47
1,2,2,Brian Gay,91,"2' 9""",340.333,122,1
2,3,3,Chris Couch,61,"2' 10""",313.16700000000003,110,72
3,T4,T4,Arjun Atwal,79,"2' 11""",333.833,114,137
4,T4,T4,K.J. Choi,71,"2' 11""",225.167,78,150
5,T4,T4,Stewart Cink,71,"2' 11""",258.75,90,169
6,T4,T4,Tom Gillis,75,"2' 11""",326.25,112,68
7,T4,T4,Jerry Kelly,84,"2' 11""",305.41700000000003,105,41
8,T4,T4,John Mallinger,74,"2' 11""",296.58299999999997,102,53
9,T10,T10,Stuart Appleby,75,"3' 0""",305.16700000000003,101,29
10,T10,T10,Kris Blanks,65,"3' 0""",274.58299999999997,91,149
11,T10,T10,Jonathan Byrd,69,"3' 0""",302.08299999999997,101,56
12,T10,T10,Mathew Goggin,65,"3' 0""",185.083,61,105
13,T10,T10,Robert Karlsson,54,"3' 0""",173.0,58,172
14,T10,T10,Rocco Mediate,70,"3' 0""",246.5,82,22
15,T10,T10,Greg Owen,90,"3' 0""",327.08299999999997,109,154
16,T10,T10,Vaughn Taylor,81,"3' 0""",284.5,95,116
17,T10,T10,Johnson Wagner,88,"3' 0""",315.0,104,104
18,T19,T19,Daniel Chopra,55,"3' 1""",198.5,64,165
19,T19,T19,John Daly,50,"3' 1""",199.667,64,174
20,T19,T19,Justin Leonard,79,"3' 1""",363.0,119,44
21,T19,T19,Geoff Ogilvy,73,"3' 1""",312.16700000000003,100,6
22,T19,T19,Rod Pampling,88,"3' 1""",298.5,98,98
23,T19,T19,Bubba Watson,68,"3' 1""",231.417,75,110
24,T25,T25,Erik Compton,81,"3' 2""",340.0,108,161
25,T25,T25,Marco Dawson,60,"3' 2""",228.583,73,176
26,T25,T25,Billy Hurley III,70,"3' 2""",337.167,107,90
27,T25,T25,Russell Knox,72,"3' 2""",246.25,78,76
28,T25,T25,John Merrick,83,"3' 2""",250.333,80,146
29,T25,T25,Seung-Yul Noh,105,"3' 2""",388.083,122,80
30,T25,T25,Ian Poulter,57,"3' 2""",153.667,49,2
31,T25,T25,Webb Simpson,77,"3' 2""",329.417,103,56
32,T25,T25,Daniel Summerhays,81,"3' 2""",322.25,101,122
33,T25,T25,Tiger Woods,69,"3' 2""",232.75,74,4
34,T35,T35,Jonas Blixt,72,"3' 3""",294.75,91,16
35,T35,T35,Jason Dufner,83,"3' 3""",231.833,72,8
36,T35,T35,Freddie Jacobson,61,"3' 3""",220.25,67,92
37,T35,T35,Derek Lamely,64,"3' 3""",286.25,87,95
38,T35,T35,David Mathis,83,"3' 3""",375.083,115,85
39,T40,T40,Aaron Baddeley,73,"3' 4""",333.167,100,37
40,T40,T40,Ricky Barnes,92,"3' 4""",428.25,127,148
41,T40,T40,Jason Day,57,"3' 4""",253.667,76,19
42,T40,T40,Matt Every,80,"3' 4""",391.833,119,67
43,T40,T40,Troy Kelly,68,"3' 4""",269.5,81,46
44,T40,T40,Troy Matteson,100,"3' 4""",431.083,130,114
45,T40,T40,Rory McIlroy,60,"3' 4""",214.417,64,33
46,T40,T40,Patrick Sheehan,58,"3' 4""",265.0,80,131
47,T40,T40,Jhonattan Vegas,77,"3' 4""",362.833,108,187
48,T49,T49,Greg Chalmers,88,"3' 5""",406.167,119,11
49,T49,T49,J.J. Henry,93,"3' 5""",305.75,90,89
50,T49,T49,Graeme McDowell,55,"3' 5""",213.75,63,177
51,T49,T49,Bryce Molder,83,"3' 5""",354.5,103,20
52,T49,T49,Tom Pernice Jr.,62,"3' 5""",309.91700000000003,90,117
53,T49,T49,Brandt Snedeker,81,"3' 5""",433.417,127,10
54,T49,T49,Michael Thompson,80,"3' 5""",412.5,120,136
55,T49,T49,Camilo Villegas,79,"3' 5""",392.167,116,151
56,T57,T57,Mark Anderson,75,"3' 6""",300.91700000000003,86,163
57,T57,T57,Tommy Biershenk,74,"3' 6""",371.583,106,184
58,T57,T57,Kevin Chappell,91,"3' 6""",436.917,126,83
59,T57,T57,Will Claxton,99,"3' 6""",406.333,115,102
60,T57,T57,Gavin Coles,72,"3' 6""",332.417,95,38
61,T57,T57,Ben Curtis,62,"3' 6""",197.417,57,66
62,T57,T57,Brendon de Jonge,115,"3' 6""",464.5,133,59
63,T57,T57,James Driscoll,83,"3' 6""",356.333,101,153
64,T57,T57,Ken Duke,104,"3' 6""",508.667,147,26
65,T57,T57,Nathan Green,73,"3' 6""",264.5,76,88
66,T57,T57,Charley Hoffman,88,"3' 6""",458.25,130,181
67,T57,T57,Ryo Ishikawa,54,"3' 6""",226.583,64,152
68,T57,T57,Colt Knost,79,"3' 6""",307.58299999999997,87,140
69,T57,T57,Marc Leishman,84,"3' 6""",424.25,120,74
70,T57,T57,Spencer Levin,81,"3' 6""",414.25,118,82
71,T57,T57,Phil Mickelson,79,"3' 6""",342.833,99,16
72,T57,T57,Sean O'Hair,84,"3' 6""",321.91700000000003,93,121
73,T57,T57,Jeff Overton,101,"3' 6""",534.0,153,42
74,T57,T57,Dicky Pride,62,"3' 6""",236.75,67,93
75,T57,T57,Rory Sabbatini,84,"3' 6""",548.75,157,55
76,T57,T57,Scott Stallings,78,"3' 6""",403.25,114,175
77,T57,T57,Henrik Stenson,51,"3' 6""",205.417,59,47
78,T57,T57,Kevin Streelman,89,"3' 6""",463.25,133,77
79,T57,T57,Chris Stroud,86,"3' 6""",438.75,126,18
80,T57,T57,Kyle Thompson,51,"3' 6""",214.0,61,189
81,T57,T57,Brendon Todd,78,"3' 6""",323.58299999999997,93,129
82,T57,T57,D.J. Trahan,73,"3' 6""",345.417,99,164
83,T57,T57,Steve Wheatcroft,56,"3' 6""",215.5,62,101
84,T57,T57,Charlie Wi,86,"3' 6""",458.083,130,45
85,T86,T86,Matt Bettencourt,80,"3' 7""",331.5,93,179
86,T86,T86,Chris DiMarco,83,"3' 7""",455.167,128,103
87,T86,T86,Ernie Els,80,"3' 7""",322.33299999999997,90,24
88,T86,T86,Hunter Haas,69,"3' 7""",316.16700000000003,89,142
89,T86,T86,Tim Herron,88,"3' 7""",342.5,95,99
90,T86,T86,Charles Howell III,98,"3' 7""",348.333,98,118
91,T86,T86,Ryuji Imada,78,"3' 7""",379.083,106,74
92,T86,T86,Sung Kang,75,"3' 7""",380.833,106,144
93,T86,T86,J.J. Killeen,101,"3' 7""",514.5,143,28
94,T86,T86,Kevin Kisner,69,"3' 7""",322.5,89,40
95,T86,T86,Davis Love III,64,"3' 7""",392.583,110,147
96,T86,T86,Billy Mayfair,90,"3' 7""",483.083,134,15
97,T86,T86,Nick O'Hern,78,"3' 7""",293.0,81,62
98,T86,T86,Carl Pettersson,92,"3' 7""",456.917,129,30
99,T86,T86,Chez Reavie,83,"3' 7""",364.167,101,111
100,T86,T86,Vijay Singh,99,"3' 7""",471.167,131,43
101,T86,T86,Josh Teater,97,"3' 7""",439.167,122,119
102,T86,T86,Roland Thatcher,55,"3' 7""",279.08299999999997,78,186
103,T86,T86,Cameron Tringale,88,"3' 7""",424.0,117,52
104,T105,T105,Michael Bradley,63,"3' 8""",225.167,61,156
105,T105,T105,Chad Campbell,84,"3' 8""",370.583,100,145
106,T105,T105,Jim Furyk,85,"3' 8""",383.083,104,3
107,T105,T105,Robert Garrigus,89,"3' 8""",450.917,122,133
108,T105,T105,Bill Haas,79,"3' 8""",362.667,98,27
109,T105,T105,Matt Jones,53,"3' 8""",214.25,59,61
110,T105,T105,Richard Lee,71,"3' 8""",255.25,69,143
111,T105,T105,Garth Mulroy,59,"3' 8""",233.25,64,180
112,T105,T105,Pat Perez,81,"3' 8""",461.833,126,14
113,T105,T105,D.A. Points,88,"3' 8""",407.083,111,112
114,T105,T105,John Senden,81,"3' 8""",355.25,97,94
115,T116,T116,Keegan Bradley,90,"3' 9""",476.333,126,91
116,T116,T116,Scott Brown,65,"3' 9""",282.58299999999997,75,185
117,T116,T116,Roberto Castro,92,"3' 9""",361.667,97,62
118,T116,T116,Bud Cauley,99,"3' 9""",627.9169999999999,167,8
119,T116,T116,Scott Dunlap,57,"3' 9""",256.25,68,65
120,T116,T116,Bob Estes,78,"3' 9""",356.417,95,25
121,T116,T116,Zach Johnson,95,"3' 9""",447.333,120,30
122,T116,T116,Jeff Maggert,83,"3' 9""",514.9169999999999,136,64
123,T116,T116,Scott Piercy,95,"3' 9""",557.5830000000001,150,35
124,T116,T116,Justin Rose,69,"3' 9""",245.417,66,12
125,T116,T116,Charl Schwartzel,56,"3' 9""",264.25,71,50
126,T116,T116,Heath Slocum,93,"3' 9""",378.167,101,70
127,T116,T116,Steve Stricker,73,"3' 9""",318.08299999999997,85,34
128,T116,T116,David Toms,60,"3' 9""",239.167,64,13
129,T116,T116,Jimmy Walker,101,"3' 9""",501.0,134,78
130,T116,T116,Nick Watney,97,"3' 9""",374.583,99,141
131,T132,T132,Gary Christian,91,"3' 10""",426.417,112,139
132,T132,T132,Ben Crane,73,"3' 10""",338.25,89,97
133,T132,T132,Luke Donald,63,"3' 10""",255.083,66,5
