,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Jason Dufner,83,"8' 8""",284.83299999999997,33,8
1,2,2,Steve Stricker,73,"8' 10""",335.0,38,34
2,3,3,Charles Howell III,98,"9' 4""",543.4169999999999,58,118
3,4,4,Stephen Ames,54,"9' 9""",224.833,23,112
4,5,5,Billy Hurley III,70,"9' 10""",412.667,42,90
5,T6,T6,Brian Davis,91,"10' 2""",620.1669999999999,61,51
6,T6,T6,Padraig Harrington,67,"10' 2""",304.83299999999997,30,39
7,T8,T8,Bud Cauley,99,"10' 5""",799.8330000000001,77,8
8,T8,T8,Ben Curtis,62,"10' 5""",405.583,39,66
9,T8,T8,J.J. Killeen,101,"10' 5""",706.5830000000001,68,28
10,T8,T8,Matt Kuchar,86,"10' 5""",460.083,44,7
11,12,12,Boo Weekley,74,"10' 6""",420.25,40,168
12,T13,T13,Jim Furyk,85,"10' 7""",392.833,37,3
13,T13,T13,Scott Piercy,95,"10' 7""",669.1669999999999,63,35
14,T15,T15,Roberto Castro,92,"10' 8""",627.6669999999999,59,62
15,T15,T15,Greg Chalmers,88,"10' 8""",640.4169999999999,60,11
16,T15,T15,Russell Knox,72,"10' 8""",406.75,38,76
17,T15,T15,Webb Simpson,77,"10' 8""",692.5,65,56
18,19,19,Troy Matteson,100,"10' 10""",822.6669999999999,76,114
19,T20,T20,Kris Blanks,65,"10' 11""",503.917,46,149
20,T20,T20,Colt Knost,79,"10' 11""",632.5,58,140
21,T22,T22,Kyle Thompson,51,"11' 0""",307.16700000000003,28,189
22,T22,T22,Brendon Todd,78,"11' 0""",583.75,53,129
23,T22,T22,Charlie Wi,86,"11' 0""",515.5,47,45
24,T25,T25,Stuart Appleby,75,"11' 1""",585.4169999999999,53,29
