,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,T1,T1,Jim Furyk,85,"7' 0""",657.5830000000001,94,3
1,T1,T1,Rory McIlroy,60,"7' 0""",350.0,50,33
2,3,3,Charl Schwartzel,56,"7' 4""",404.5,55,50
3,T4,T4,Aaron Baddeley,73,"7' 5""",726.25,98,37
4,T4,T4,Padraig Harrington,67,"7' 5""",506.583,68,39
5,T6,T6,Jonathan Byrd,69,"7' 6""",619.25,83,56
6,T6,T6,Justin Rose,69,"7' 6""",641.9169999999999,86,12
7,8,8,Webb Simpson,77,"7' 7""",714.5,94,56
8,T9,T9,Bill Haas,79,"7' 9""",686.75,89,27
9,T9,T9,Davis Love III,64,"7' 9""",653.1669999999999,84,147
10,T11,T11,Chris DiMarco,83,"7' 10""",1025.5,131,103
11,T11,T11,Russell Knox,72,"7' 10""",477.083,61,76
12,T13,T13,J.J. Killeen,101,"7' 11""",1360.3329999999999,171,28
13,T13,T13,Phil Mickelson,79,"7' 11""",820.1669999999999,104,16
14,15,15,Tom Gillis,75,"8' 0""",1027.25,129,68
15,T16,T16,Jonas Blixt,72,"8' 1""",937.25,116,16
16,T16,T16,Ryo Ishikawa,54,"8' 1""",542.0830000000001,67,152
17,18,18,Nick O'Hern,78,"8' 2""",819.4169999999999,100,62
18,T19,T19,Greg Chalmers,88,"8' 3""",1188.25,144,11
19,T19,T19,Harrison Frazar,56,"8' 3""",650.8330000000001,79,155
20,T19,T19,Sergio Garcia,57,"8' 3""",632.1669999999999,77,69
21,T19,T19,Bill Lunde,83,"8' 3""",711.75,86,54
22,T23,T23,Roberto Castro,92,"8' 4""",931.0830000000001,112,62
23,T23,T23,Lee Westwood,60,"8' 4""",580.4169999999999,70,191
24,T25,T25,John Daly,50,"8' 5""",379.5,45,174
25,T25,T25,Brian Gay,91,"8' 5""",902.8330000000001,107,1
26,T25,T25,Rocco Mediate,70,"8' 5""",671.75,80,22
27,T28,T28,Stuart Appleby,75,"8' 6""",816.8330000000001,96,29
28,T28,T28,Ben Crane,73,"8' 6""",944.5,111,97
29,T28,T28,Robert Karlsson,54,"8' 6""",614.4169999999999,72,172
30,T28,T28,Matt Kuchar,86,"8' 6""",920.4169999999999,108,7
31,T28,T28,Brandt Snedeker,81,"8' 6""",900.25,106,10
32,T28,T28,Kevin Streelman,89,"8' 6""",1050.167,124,77
33,T28,T28,Y.E. Yang,64,"8' 6""",731.1669999999999,86,87
