,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,T1,T1,Gavin Coles,72,66.67,4.0,6
1,T1,T1,Charl Schwartzel,56,66.67,4.0,6
2,T1,T1,Tiger Woods,69,66.67,4.0,6
3,T4,T4,Trevor Immelman,76,63.64,7.0,11
4,T4,T4,Davis Love III,64,63.64,7.0,11
5,T6,T6,Jim Furyk,85,62.5,5.0,8
6,T6,T6,Jimmy Walker,101,62.5,10.0,16
7,T6,T6,Boo Weekley,74,62.5,5.0,8
8,9,9,Billy Hurley III,70,61.54,8.0,13
9,T10,T10,Bryce Molder,83,60.0,9.0,15
10,T10,T10,Michael Thompson,80,60.0,6.0,10
11,12,12,Bill Lunde,83,58.33,7.0,12
12,T13,T13,Justin Rose,69,54.55,6.0,11
13,T13,T13,Brandt Snedeker,81,54.55,6.0,11
14,T15,T15,John Merrick,83,53.33,8.0,15
15,T15,T15,Heath Slocum,93,53.33,8.0,15
16,T17,T17,Bud Cauley,99,52.94,9.0,17
17,T17,T17,Tim Herron,88,52.94,9.0,17
18,19,19,John Huh,99,52.63,10.0,19
19,T20,T20,Charlie Beljan,61,50.0,4.0,8
20,T20,T20,Tommy Biershenk,74,50.0,5.0,10
21,T20,T20,Jonas Blixt,72,50.0,3.0,6
22,T20,T20,Stewart Cink,71,50.0,7.0,14
23,T20,T20,Tim Clark,60,50.0,8.0,16
24,T20,T20,John Daly,50,50.0,2.0,4
25,T20,T20,Jason Day,57,50.0,4.0,8
26,T20,T20,Jason Dufner,83,50.0,3.0,6
27,T20,T20,Matt Every,80,50.0,8.0,16
28,T20,T20,Sergio Garcia,57,50.0,5.0,10
29,T20,T20,Padraig Harrington,67,50.0,3.0,6
30,T20,T20,Rory McIlroy,60,50.0,4.0,8
31,T20,T20,Louis Oosthuizen,65,50.0,5.0,10
32,T20,T20,Rod Pampling,88,50.0,11.0,22
33,T20,T20,Pat Perez,81,50.0,8.0,16
34,T20,T20,Steve Stricker,73,50.0,3.0,6
35,T20,T20,Daniel Summerhays,81,50.0,7.0,14
36,T20,T20,Brendon Todd,78,50.0,5.0,10
37,38,38,J.B. Holmes,90,47.37,9.0,19
38,T39,T39,Ben Crane,73,46.15,6.0,13
39,T39,T39,David Hearn,95,46.15,6.0,13
40,T41,T41,Martin Flores,95,45.45,5.0,11
41,T41,T41,Geoff Ogilvy,73,45.45,5.0,11
42,T43,T43,Aaron Baddeley,73,44.44,4.0,9
43,T43,T43,Ángel Cabrera,54,44.44,4.0,9
44,T43,T43,Johnson Wagner,88,44.44,8.0,18
45,46,46,Sung Kang,75,43.75,7.0,16
46,T47,T47,Luke Donald,63,42.86,3.0,7
47,T47,T47,Bill Haas,79,42.86,3.0,7
48,T47,T47,Zach Johnson,95,42.86,6.0,14
49,T47,T47,Andres Romero,68,42.86,3.0,7
50,T47,T47,Nick Watney,97,42.86,6.0,14
51,T52,T52,Matt Jones,53,41.67,5.0,12
52,T52,T52,Henrik Stenson,51,41.67,5.0,12
53,54,54,Charley Hoffman,88,41.18,7.0,17
54,55,55,Ken Duke,104,40.91,9.0,22
55,T56,T56,Cameron Beckman,81,40.0,4.0,10
56,T56,T56,Jason Bohn,81,40.0,6.0,15
57,T56,T56,Greg Chalmers,88,40.0,8.0,20
58,T56,T56,Robert Karlsson,54,40.0,4.0,10
59,T56,T56,Carl Pettersson,92,40.0,6.0,15
60,T56,T56,John Senden,81,40.0,6.0,15
61,62,62,James Driscoll,83,39.13,9.0,23
62,T63,T63,Ricky Barnes,92,38.89,7.0,18
63,T63,T63,Vijay Singh,99,38.89,7.0,18
64,T65,T65,Sangmoon Bae,81,38.46,5.0,13
65,T65,T65,Colt Knost,79,38.46,5.0,13
66,T67,T67,Robert Allenby,76,37.5,6.0,16
