,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
46,T42,T42,Zach Johnson,95,"7' 9""",1694.4170000000001,218,30
47,T42,T42,Kevin Na,80,"7' 9""",1645.1670000000001,212,21
48,T42,T42,Charl Schwartzel,56,"7' 9""",873.25,113,50
49,T42,T42,Kyle Stanley,86,"7' 9""",1531.1670000000001,197,173
50,T42,T42,Vaughn Taylor,81,"7' 9""",1045.167,135,116
51,T42,T42,Bubba Watson,68,"7' 9""",1285.833,166,110
52,T42,T42,Tiger Woods,69,"7' 9""",958.0,123,4
53,T54,T54,Kevin Chappell,91,"7' 10""",1613.6670000000001,207,83
54,T54,T54,Ben Crane,73,"7' 10""",1329.25,169,97
55,T54,T54,Bob Estes,78,"7' 10""",1351.1670000000001,173,25
56,T54,T54,Spencer Levin,81,"7' 10""",1428.5829999999999,182,82
57,T54,T54,Camilo Villegas,79,"7' 10""",1378.25,176,151
58,T59,T59,Tommy Biershenk,74,"7' 11""",1279.667,162,184
59,T59,T59,Jonathan Byrd,69,"7' 11""",1196.833,151,56
60,T59,T59,Chris Couch,61,"7' 11""",1148.333,145,72
61,T59,T59,Marco Dawson,60,"7' 11""",1040.833,132,176
62,T59,T59,Stephen Gangluff,57,"7' 11""",831.9169999999999,105,166
63,T59,T59,Billy Hurley III,70,"7' 11""",1197.75,151,90
64,T59,T59,Sung Kang,75,"7' 11""",1399.1670000000001,177,144
65,T59,T59,Troy Matteson,100,"7' 11""",1868.9170000000001,236,114
66,T59,T59,Webb Simpson,77,"7' 11""",1422.1670000000001,179,56
67,T59,T59,Jimmy Walker,101,"7' 11""",2236.833,282,78
