,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Luke Donald,63,0.628,43,27.0
1,2,2,Bill Haas,79,0.667,57,38.0
2,3,3,Bryce Molder,83,0.695,95,66.0
3,4,4,Henrik Stenson,51,0.7120000000000001,52,37.0
4,5,5,Jason Dufner,83,0.7170000000000001,46,33.0
5,T6,T6,Matt Kuchar,86,0.721,61,44.0
6,T6,T6,Tiger Woods,69,0.721,43,31.0
7,8,8,Padraig Harrington,67,0.723,47,34.0
8,T9,T9,Justin Rose,69,0.7390000000000001,46,34.0
9,T9,T9,John Senden,81,0.7390000000000001,46,34.0
10,11,11,Rod Pampling,88,0.74,73,54.0
11,12,12,Rory McIlroy,60,0.743,35,26.0
12,13,13,Tim Clark,60,0.7440000000000001,39,29.0
13,14,14,Dicky Pride,62,0.75,68,51.0
14,15,15,Ernie Els,80,0.754,61,46.0
15,16,16,D.A. Points,88,0.7559999999999999,78,59.0
16,17,17,David Hearn,95,0.7609999999999999,92,70.0
17,18,18,Zach Johnson,95,0.762,63,48.0
18,19,19,Jeff Maggert,83,0.763,80,61.0
19,20,20,Heath Slocum,93,0.768,56,43.0
20,21,21,Boo Weekley,74,0.773,44,34.0
21,T22,T22,Gary Christian,91,0.779,77,60.0
22,T22,T22,Charles Howell III,98,0.779,77,60.0
23,24,24,John Rollins,81,0.7829999999999999,69,54.0
24,T25,T25,Brandt Snedeker,81,0.789,71,56.0
25,T25,T25,Steve Stricker,73,0.789,57,45.0
26,27,27,Troy Kelly,68,0.792,72,57.0
27,28,28,Chris DiMarco,83,0.7929999999999999,87,69.0
28,29,29,Ben Crane,73,0.795,73,58.0
29,30,30,Justin Leonard,79,0.7959999999999999,103,82.0
30,31,31,Ben Curtis,62,0.8,50,40.0
31,32,32,Chris Stroud,86,0.802,91,73.0
32,33,33,John Mallinger,74,0.804,56,45.0
33,T34,T34,Stuart Appleby,75,0.8059999999999999,67,54.0
34,T34,T34,Rickie Fowler,84,0.8059999999999999,72,58.0
35,T34,T34,John Merrick,83,0.8059999999999999,72,58.0
36,T37,T37,William McGirt,96,0.8079999999999999,78,63.0
37,T37,T37,Ryan Moore,89,0.8079999999999999,78,63.0
38,T37,T37,Johnson Wagner,88,0.8079999999999999,78,63.0
39,40,40,Brendon de Jonge,115,0.812,85,69.0
40,41,41,Brendon Todd,78,0.8140000000000001,97,79.0
41,42,42,Nick Watney,97,0.816,87,71.0
42,43,43,Brian Gay,91,0.8170000000000001,109,89.0
43,44,44,Bubba Watson,68,0.818,33,27.0
