,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Jim Furyk,85,70.59,60,85
1,2,2,Jonas Blixt,72,67.68,67,99
2,3,3,Justin Rose,69,67.16,45,67
3,4,4,Sergio Garcia,57,66.04,35,53
4,5,5,Brian Gay,91,65.81,77,117
5,6,6,Aaron Baddeley,73,65.52,57,87
6,7,7,Greg Chalmers,88,64.0,80,125
7,8,8,Kevin Na,80,62.69,42,67
8,9,9,Phil Mickelson,79,62.24,61,98
9,10,10,Rocco Mediate,70,61.64,45,73
10,11,11,Geoff Ogilvy,73,61.45,51,83
11,12,12,Jonathan Byrd,69,61.43,43,70
12,13,13,Tim Clark,60,61.29,38,62
13,14,14,Bud Cauley,99,61.05,58,95
14,15,15,Jason Dufner,83,60.76,48,79
15,16,16,Martin Flores,95,60.61,60,99
16,17,17,Bill Haas,79,60.27,44,73
17,T18,T18,Keegan Bradley,90,60.0,39,65
18,T18,T18,David Toms,60,60.0,24,40
19,20,20,Zach Johnson,95,59.57,56,94
20,21,21,K.J. Choi,71,59.38,38,64
21,22,22,Ian Poulter,57,59.32,35,59
22,23,23,Brandt Snedeker,81,59.18,58,98
23,24,24,Ryan Moore,89,58.72,64,109
24,25,25,Carl Pettersson,92,58.56,65,111
25,26,26,Jerry Kelly,84,58.47,69,118
26,T27,T27,Daniel Chopra,55,58.33,35,60
27,T27,T27,Padraig Harrington,67,58.33,35,60
28,T27,T27,Matt Kuchar,86,58.33,56,96
29,30,30,Billy Mayfair,90,58.25,60,103
30,31,31,Webb Simpson,77,58.21,39,67
31,32,32,Chris DiMarco,83,57.85,70,121
32,33,33,Charl Schwartzel,56,57.5,23,40
33,34,34,Tom Gillis,75,57.27,63,110
34,T35,T35,Rory McIlroy,60,57.14,20,35
35,T35,T35,Michael Thompson,80,57.14,44,77
36,37,37,J.J. Killeen,101,56.63,94,166
37,38,38,Spencer Levin,81,56.48,61,108
38,39,39,Matt Jones,53,56.36,31,55
39,40,40,Dustin Johnson,70,56.34,40,71
40,41,41,Billy Hurley III,70,56.25,54,96
