,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
0,1,1,Geoff Ogilvy,73,0.221,163,36.0
1,2,2,Brian Gay,91,0.22699999999999998,203,46.0
2,3,3,Daniel Chopra,55,0.22899999999999998,118,27.0
3,4,4,Sergio Garcia,57,0.23800000000000002,105,25.0
4,5,5,Luke Donald,63,0.24600000000000002,126,31.0
5,6,6,Ian Poulter,57,0.25,124,31.0
6,7,7,Charlie Wi,86,0.253,217,55.0
7,8,8,Justin Rose,69,0.254,118,30.0
8,9,9,Matt Kuchar,86,0.26,204,53.0
9,T10,T10,Jason Day,57,0.267,131,35.0
10,T10,T10,Jim Furyk,85,0.267,161,43.0
11,12,12,Henrik Stenson,51,0.273,99,27.0
12,13,13,Tiger Woods,69,0.27699999999999997,112,31.0
13,14,14,Bill Haas,79,0.284,148,42.0
14,15,15,Brandt Snedeker,81,0.285,165,47.0
15,16,16,Phil Mickelson,79,0.28600000000000003,161,46.0
16,17,17,Chris Stroud,86,0.29600000000000004,213,63.0
17,T18,T18,Bob Estes,78,0.298,198,59.0
18,T18,T18,Martin Laird,77,0.298,151,45.0
19,T18,T18,Derek Lamely,64,0.298,141,42.0
20,T21,T21,Jonas Blixt,72,0.3,213,64.0
21,T21,T21,Greg Chalmers,88,0.3,247,74.0
22,T21,T21,David Hearn,95,0.3,233,70.0
23,24,24,Marco Dawson,60,0.304,135,41.0
24,25,25,William McGirt,96,0.305,210,64.0
25,26,26,Bud Cauley,99,0.308,224,69.0
26,27,27,Carl Pettersson,92,0.31,213,66.0
27,T28,T28,Brian Harman,101,0.311,235,73.0
28,T28,T28,Kevin Kisner,69,0.311,167,52.0
29,T28,T28,David Toms,60,0.311,106,33.0
30,T31,T31,Jonathan Byrd,69,0.313,131,41.0
31,T31,T31,J.J. Henry,93,0.313,163,51.0
32,T33,T33,Danny Lee,74,0.315,162,51.0
33,T33,T33,Pat Perez,81,0.315,184,58.0
34,T33,T33,Webb Simpson,77,0.315,162,51.0
35,36,36,Seung-Yul Noh,105,0.317,224,71.0
36,37,37,Trevor Immelman,76,0.319,163,52.0
37,T38,T38,Jason Dufner,83,0.32,175,56.0
38,T38,T38,Matt Jones,53,0.32,128,41.0
39,40,40,Rocco Mediate,70,0.322,146,47.0
40,41,41,Ryan Palmer,81,0.32299999999999995,198,64.0
41,T42,T42,Tom Pernice Jr.,62,0.324,139,45.0
42,T42,T42,Cameron Tringale,88,0.324,179,58.0
43,T44,T44,Brian Davis,91,0.327,226,74.0
44,T44,T44,Rory McIlroy,60,0.327,110,36.0
45,46,46,Aaron Baddeley,73,0.32799999999999996,177,58.0
46,47,47,Gavin Coles,72,0.32899999999999996,155,51.0
47,T48,T48,Kevin Chappell,91,0.33,203,67.0
48,T48,T48,Kyle Reifers,86,0.33,185,61.0
49,T50,T50,Freddie Jacobson,61,0.331,121,40.0
50,T50,T50,Robert Karlsson,54,0.331,118,39.0
51,T50,T50,Richard Lee,71,0.331,133,44.0
52,T53,T53,Ryo Ishikawa,54,0.33299999999999996,102,34.0
53,T53,T53,J.J. Killeen,101,0.33299999999999996,270,90.0
54,T55,T55,Kevin Na,80,0.335,173,58.0
55,T55,T55,Nick O'Hern,78,0.335,179,60.0
56,57,57,Stephen Ames,54,0.336,113,38.0
57,58,58,Harrison Frazar,56,0.33799999999999997,148,50.0
58,T59,T59,Spencer Levin,81,0.34299999999999997,210,72.0
59,T59,T59,Jeff Overton,101,0.34299999999999997,239,82.0
60,T61,T61,J.B. Holmes,90,0.344,215,74.0
61,T61,T61,Jerry Kelly,84,0.344,215,74.0
62,T61,T61,Bill Lunde,83,0.344,154,53.0
63,T61,T61,Kevin Streelman,89,0.344,186,64.0
64,T65,T65,Roberto Castro,92,0.345,177,61.0
65,T65,T65,John Rollins,81,0.345,200,69.0
66,T65,T65,Vaughn Taylor,81,0.345,148,51.0
67,68,68,Stuart Appleby,75,0.34600000000000003,179,62.0
