,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,1,Justin Rose,69,"6' 8""",1681.5,251
1,2,2,Trevor Immelman,76,"6' 10""",2191.167,319
2,3,3,David Toms,60,"7' 0""",1593.9170000000001,228
3,T4,T4,Webb Simpson,77,"7' 1""",2278.083,323
4,T4,T4,Chris Stroud,86,"7' 1""",3070.417,431
5,6,6,Rory McIlroy,60,"7' 2""",1465.75,205
6,7,7,Jason Dufner,83,"7' 3""",2188.25,303
7,T8,T8,Jonathan Byrd,69,"7' 4""",2225.667,304
8,T8,T8,Roberto Castro,92,"7' 4""",2662.333,361
9,T8,T8,Jim Furyk,85,"7' 4""",2462.417,337
10,T8,T8,Charl Schwartzel,56,"7' 4""",1578.3329999999999,216
11,T8,T8,Charlie Wi,86,"7' 4""",3284.75,448
12,T13,T13,Zach Johnson,95,"7' 5""",3109.167,418
13,T13,T13,Phil Mickelson,79,"7' 5""",2468.167,334
14,15,15,Justin Leonard,79,"7' 6""",3155.917,421
15,T16,T16,Bud Cauley,99,"7' 8""",3628.667,473
16,T16,T16,Bill Haas,79,"7' 8""",2624.667,341
17,T16,T16,Tim Herron,88,"7' 8""",2984.75,389
18,T16,T16,Charles Howell III,98,"7' 8""",3091.0,402
19,T16,T16,Jerry Kelly,84,"7' 8""",3211.417,418
20,T21,T21,Steve Stricker,73,"7' 9""",1851.25,240
21,T21,T21,Tiger Woods,69,"7' 9""",1807.9170000000001,233
22,23,23,Rory Sabbatini,84,"7' 10""",3293.417,422
23,T24,T24,Ken Duke,104,"7' 11""",4185.917,526
24,T24,T24,Padraig Harrington,67,"7' 11""",2048.083,258
25,T24,T24,Nick O'Hern,78,"7' 11""",3066.833,389
26,T24,T24,Brandt Snedeker,81,"7' 11""",2906.167,366
27,T24,T24,Bubba Watson,68,"7' 11""",1903.5,241
28,T29,T29,Luke Donald,63,"8' 0""",2071.25,259
29,T29,T29,Bob Estes,78,"8' 0""",3066.5,383
30,T29,T29,David Hearn,95,"8' 0""",3746.917,470
31,T29,T29,J.J. Henry,93,"8' 0""",2727.417,341
32,T29,T29,Kevin Kisner,69,"8' 0""",2532.0,317
33,T29,T29,Russell Knox,72,"8' 0""",2156.0,269
34,T29,T29,Matt Kuchar,86,"8' 0""",3017.25,379
35,T36,T36,K.J. Choi,71,"8' 1""",2502.583,309
36,T36,T36,Chris Couch,61,"8' 1""",2479.0,308
37,T36,T36,Matt Every,80,"8' 1""",2641.5,327
38,T36,T36,J.B. Holmes,90,"8' 1""",3461.75,427
39,T36,T36,Davis Love III,64,"8' 1""",2235.167,277
40,T36,T36,Kevin Na,80,"8' 1""",3046.583,377
41,T36,T36,Kyle Stanley,86,"8' 1""",2840.25,353
42,T36,T36,Camilo Villegas,79,"8' 1""",2865.833,354
43,T36,T36,Mark Wilson,84,"8' 1""",3018.583,375
44,T45,T45,Aaron Baddeley,73,"8' 2""",2970.833,365
45,T45,T45,Jonas Blixt,72,"8' 2""",3001.5,368
46,T45,T45,Sergio Garcia,57,"8' 2""",1869.6670000000001,230
47,T45,T45,Brian Harman,101,"8' 2""",3997.25,491
48,T45,T45,J.J. Killeen,101,"8' 2""",4408.25,540
49,T45,T45,Pat Perez,81,"8' 2""",3131.0,385
50,T51,T51,Chad Campbell,84,"8' 3""",3176.167,386
51,T51,T51,Greg Chalmers,88,"8' 3""",3898.333,471
52,T51,T51,Tim Clark,60,"8' 3""",2284.25,277
53,T51,T51,Ben Crane,73,"8' 3""",2794.583,339
54,T51,T51,Ernie Els,80,"8' 3""",2899.583,352
55,T51,T51,Billy Mayfair,90,"8' 3""",3775.583,457
56,T51,T51,William McGirt,96,"8' 3""",3471.417,421
57,T51,T51,Rocco Mediate,70,"8' 3""",2649.0,320
58,T51,T51,Ian Poulter,57,"8' 3""",1851.9170000000001,224
59,T51,T51,Adam Scott,59,"8' 3""",1774.25,214
60,T51,T51,John Senden,81,"8' 3""",2647.417,320
61,T62,T62,Marco Dawson,60,"8' 4""",2133.0,257
62,T62,T62,Jason Day,57,"8' 4""",2256.583,272
63,T62,T62,Rickie Fowler,84,"8' 4""",2905.417,348
64,T62,T62,Danny Lee,74,"8' 4""",2695.333,323
65,T62,T62,John Mallinger,74,"8' 4""",2954.417,356
66,T62,T62,Vijay Singh,99,"8' 4""",3624.667,434
67,T68,T68,Brian Gay,91,"8' 5""",3785.917,450
68,T68,T68,Matt Jones,53,"8' 5""",2062.75,244
69,T68,T68,Geoff Ogilvy,73,"8' 5""",2662.583,317
70,T71,T71,Stuart Appleby,75,"8' 6""",3084.167,364
71,T71,T71,Spencer Levin,81,"8' 6""",3521.833,416
72,T71,T71,Bill Lunde,83,"8' 6""",2837.917,333
73,T71,T71,George McNeill,85,"8' 6""",3463.75,409
74,T71,T71,Jeff Overton,101,"8' 6""",4226.0,496
75,T71,T71,Rod Pampling,88,"8' 6""",3191.583,374
76,T71,T71,Chez Reavie,83,"8' 6""",3023.75,356
77,T71,T71,Josh Teater,97,"8' 6""",3661.417,430
78,T79,T79,Gavin Coles,72,"8' 7""",2644.333,309
79,T79,T79,Chris DiMarco,83,"8' 7""",3896.167,454
80,T79,T79,Robert Karlsson,54,"8' 7""",1903.5,221
81,T79,T79,Marc Leishman,84,"8' 7""",3881.25,454
82,T79,T79,John Rollins,81,"8' 7""",3324.083,389
83,T79,T79,Kevin Streelman,89,"8' 7""",3495.0,407
84,T85,T85,Ryuji Imada,78,"8' 8""",3608.5,416
85,T85,T85,Scott Piercy,95,"8' 8""",3878.167,449
86,T85,T85,Kevin Stadler,85,"8' 8""",3193.25,367
87,T85,T85,Jimmy Walker,101,"8' 8""",4425.75,511
88,T89,T89,Michael Bradley,63,"8' 9""",2433.667,279
89,T89,T89,Gary Christian,91,"8' 9""",3473.167,396
90,T89,T89,Billy Hurley III,70,"8' 9""",3256.917,372
91,T89,T89,Freddie Jacobson,61,"8' 9""",2166.417,247
92,T89,T89,David Mathis,83,"8' 9""",3756.583,430
93,T89,T89,Bryce Molder,83,"8' 9""",3335.083,381
94,T89,T89,Henrik Stenson,51,"8' 9""",1990.3329999999999,228
95,T96,T96,Arjun Atwal,79,"8' 10""",3347.417,380
96,T96,T96,Brian Davis,91,"8' 10""",4026.917,456
97,T96,T96,Brendon de Jonge,115,"8' 10""",4546.0,515
98,T96,T96,Martin Flores,95,"8' 10""",3950.667,449
99,T96,T96,Chris Kirk,93,"8' 10""",4001.167,455
100,T96,T96,Jason Kokrak,79,"8' 10""",3136.417,356
101,T96,T96,Derek Lamely,64,"8' 10""",2826.917,320
102,T96,T96,Richard Lee,71,"8' 10""",2509.75,283
103,T96,T96,Ryan Moore,89,"8' 10""",3685.583,418
104,T96,T96,Ryan Palmer,81,"8' 10""",3395.5,386
105,T96,T96,Tom Pernice Jr.,62,"8' 10""",2695.167,306
106,T96,T96,Carl Pettersson,92,"8' 10""",3789.333,430
107,T96,T96,D.A. Points,88,"8' 10""",3643.0,413
108,T96,T96,Boo Weekley,74,"8' 10""",2478.0,280
109,T110,T110,James Driscoll,83,"8' 11""",3588.0,404
110,T110,T110,Mathew Goggin,65,"8' 11""",2617.917,293
111,T110,T110,Daniel Summerhays,81,"8' 11""",3169.667,357
112,T110,T110,Cameron Tringale,88,"8' 11""",3578.083,403
113,T114,T114,Stephen Ames,54,"9' 0""",2004.5,222
114,T114,T114,Ricky Barnes,92,"9' 0""",3821.75,424
115,T114,T114,Miguel Angel Carballo,73,"9' 0""",2738.5,305
116,T114,T114,Stephen Gangluff,57,"9' 0""",2345.167,261
117,T114,T114,Tom Gillis,75,"9' 0""",3480.083,388
118,T114,T114,Billy Horschel,63,"9' 0""",2188.583,243
119,T114,T114,Troy Kelly,68,"9' 0""",2574.0,286
120,T114,T114,Dicky Pride,62,"9' 0""",2478.5,275
121,T114,T114,Alexandre Rocha,62,"9' 0""",2215.667,246
122,T123,T123,Jeff Maggert,83,"9' 1""",3907.583,431
123,T123,T123,Graeme McDowell,55,"9' 1""",1680.3329999999999,185
124,T123,T123,Seung-Yul Noh,105,"9' 1""",4046.417,444
125,T123,T123,Sean O'Hair,84,"9' 1""",3376.333,371
126,T123,T123,Patrick Sheehan,58,"9' 1""",2431.583,267
127,T123,T123,Vaughn Taylor,81,"9' 1""",2894.0,320
128,T123,T123,D.J. Trahan,73,"9' 1""",2997.167,331
129,T123,T123,Y.E. Yang,64,"9' 1""",2918.0,321
130,T131,T131,Cameron Beckman,81,"9' 2""",3382.5,368
131,T131,T131,Harrison Frazar,56,"9' 2""",2586.25,283
132,T131,T131,Ryo Ishikawa,54,"9' 2""",2137.417,233
133,T131,T131,Hunter Mahan,88,"9' 2""",2754.083,301
134,T131,T131,Andres Romero,68,"9' 2""",2900.333,316
135,T131,T131,Brendan Steele,77,"9' 2""",3057.333,334
136,T137,T137,Jason Bohn,81,"9' 3""",3344.5,363
137,T137,T137,Kevin Chappell,91,"9' 3""",3825.333,412
138,T137,T137,Erik Compton,81,"9' 3""",3506.583,380
139,T137,T137,Harris English,98,"9' 3""",3988.833,433
140,T137,T137,Hunter Haas,69,"9' 3""",2823.583,304
141,T137,T137,Charley Hoffman,88,"9' 3""",3736.25,404
142,T137,T137,John Merrick,83,"9' 3""",3337.0,361
143,T137,T137,Kyle Reifers,86,"9' 3""",3436.25,373
144,T137,T137,Kyle Thompson,51,"9' 3""",1756.1670000000001,190
145,T137,T137,Bo Van Pelt,84,"9' 3""",3209.917,346
146,T147,T147,Mark Anderson,75,"9' 4""",3167.167,338
147,T147,T147,John Huh,99,"9' 4""",4269.667,457
148,T147,T147,Heath Slocum,93,"9' 4""",3577.083,384
149,T150,T150,Keegan Bradley,90,"9' 5""",3274.167,349
150,T150,T150,Scott Brown,65,"9' 5""",2502.75,266
151,T150,T150,Bobby Gates,87,"9' 5""",3982.0,422
152,T150,T150,Brandt Jobe,57,"9' 5""",2195.667,234
153,T150,T150,Dustin Johnson,70,"9' 5""",2625.0,280
154,T150,T150,Garth Mulroy,59,"9' 5""",2241.0,238
155,T150,T150,Greg Owen,90,"9' 5""",3615.75,384
156,T150,T150,Jhonattan Vegas,77,"9' 5""",3418.917,364
157,T158,T158,Ángel Cabrera,54,"9' 6""",1938.0,204
158,T158,T158,Daniel Chopra,55,"9' 6""",2396.5,252
159,T158,T158,Graham DeLaet,79,"9' 6""",3534.333,373
160,T158,T158,Colt Knost,79,"9' 6""",3622.917,380
161,T158,T158,Martin Laird,77,"9' 6""",2784.417,292
162,T163,T163,Robert Allenby,76,"9' 7""",3335.167,348
163,T163,T163,Kris Blanks,65,"9' 7""",3167.667,331
164,T163,T163,Nathan Green,73,"9' 7""",2878.417,300
165,T163,T163,Sung Kang,75,"9' 7""",3774.0,395
166,T163,T163,Scott Stallings,78,"9' 7""",3352.167,349
167,T168,T168,Tommy Biershenk,74,"9' 8""",3250.167,336
168,T168,T168,Ben Curtis,62,"9' 8""",2281.167,236
169,T168,T168,Robert Garrigus,89,"9' 8""",3479.5,359
170,T168,T168,Michael Thompson,80,"9' 8""",3537.0,367
171,T168,T168,Johnson Wagner,88,"9' 8""",3900.0,404
172,T173,T173,Will Claxton,99,"9' 9""",4263.583,437
173,T173,T173,Troy Matteson,100,"9' 9""",4438.667,457
174,T173,T173,Roland Thatcher,55,"9' 9""",2152.0,220
175,T176,T176,Blake Adams,107,"9' 11""",4565.25,460
176,T176,T176,Stewart Cink,71,"9' 11""",2906.667,292
177,T176,T176,Scott Dunlap,57,"9' 11""",2372.667,240
178,T176,T176,Brendon Todd,78,"9' 11""",3784.167,383
179,T176,T176,Nick Watney,97,"9' 11""",3651.667,369
180,181,181,Tommy Gainey,98,"10' 0""",5165.417,515
181,T182,T182,Matt Bettencourt,80,"10' 1""",3862.667,383
182,T182,T182,John Daly,50,"10' 1""",2130.0,212
183,T184,T184,Edward Loar,59,"10' 3""",2519.167,245
184,T184,T184,Louis Oosthuizen,65,"10' 3""",2418.333,236
185,T184,T184,"Ted Potter, Jr.",77,"10' 3""",3687.583,359
186,187,187,Gary Woodland,70,"10' 4""",2881.5,278
187,188,188,Charlie Beljan,61,"10' 6""",2312.167,220
188,189,189,Lee Westwood,60,"10' 7""",1950.8329999999999,185
189,190,190,Steve Wheatcroft,56,"10' 11""",2426.0,222
190,191,191,Sangmoon Bae,81,"12' 6""",4570.5,366
