,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Bubba Watson,68,65.0,65,1
1,2,2,Luke Donald,63,66.0,132,2
2,T3,T3,Justin Rose,69,68.0,272,4
3,T3,T3,Steve Stricker,73,68.0,68,1
4,T3,T3,Tiger Woods,69,68.0,68,1
5,6,6,Brandt Snedeker,81,68.25,546,8
6,7,7,Jason Dufner,83,68.57,480,7
7,8,8,Jim Furyk,85,68.75,550,8
8,9,9,Brendon de Jonge,115,68.94,1241,18
9,T10,T10,Phil Mickelson,79,69.0,69,1
10,T10,T10,Adam Scott,59,69.0,276,4
11,12,12,John Senden,81,69.2,692,10
12,T13,T13,Rickie Fowler,84,69.25,277,4
13,T13,T13,Matt Kuchar,86,69.25,277,4
14,15,15,Geoff Ogilvy,73,69.27,762,11
15,16,16,Sergio Garcia,57,69.75,279,4
16,17,17,Stewart Cink,71,69.78,628,9
17,18,18,Jeff Maggert,83,69.81,1117,16
18,19,19,Vijay Singh,99,69.92,909,13
19,20,20,Troy Matteson,100,69.94,1189,17
20,21,21,John Rollins,81,70.0,1050,15
21,22,22,Seung-Yul Noh,105,70.05,1331,19
22,23,23,Jonas Blixt,72,70.08,911,13
23,24,24,Brian Harman,101,70.09,771,11
24,T25,T25,Tim Clark,60,70.13,561,8
25,T25,T25,Danny Lee,74,70.13,1052,15
26,27,27,Sean O'Hair,84,70.2,1053,15
27,28,28,Bo Van Pelt,84,70.25,843,12
28,T29,T29,John Merrick,83,70.27,1546,22
29,T29,T29,Pat Perez,81,70.27,773,11
30,T31,T31,Tom Gillis,75,70.31,914,13
31,T31,T31,Nathan Green,73,70.31,1125,16
32,T31,T31,Matt Jones,53,70.31,914,13
33,T31,T31,Rocco Mediate,70,70.31,914,13
34,35,35,Cameron Beckman,81,70.33,844,12
35,36,36,Erik Compton,81,70.38,1126,16
36,37,37,Zach Johnson,95,70.4,352,5
37,38,38,Kevin Chappell,91,70.44,634,9
38,39,39,David Hearn,95,70.47,1339,19
39,T40,T40,Sangmoon Bae,81,70.5,846,12
40,T40,T40,Louis Oosthuizen,65,70.5,564,8
41,T40,T40,Henrik Stenson,51,70.5,282,4
42,43,43,Spencer Levin,81,70.53,1058,15
43,44,44,Trevor Immelman,76,70.55,776,11
44,45,45,Chad Campbell,84,70.56,1129,16
45,T46,T46,Will Claxton,99,70.57,1482,21
46,T46,T46,Bill Haas,79,70.57,494,7
47,T46,T46,Kevin Kisner,69,70.57,988,14
48,49,49,Nick Watney,97,70.6,353,5
49,T50,T50,John Huh,99,70.62,1836,26
50,T50,T50,George McNeill,85,70.62,1483,21
51,T52,T52,Brian Gay,91,70.63,1342,19
52,T52,T52,Troy Kelly,68,70.63,1130,16
53,T54,T54,Blake Adams,107,70.65,1201,17
54,T54,T54,Chris Kirk,93,70.65,1413,20
55,56,56,Lee Westwood,60,70.67,212,3
56,57,57,Ryan Palmer,81,70.68,1343,19
57,58,58,Martin Laird,77,70.69,1131,16
58,T59,T59,Michael Bradley,63,70.71,990,14
59,T59,T59,J.B. Holmes,90,70.71,990,14
60,T59,T59,Jeff Overton,101,70.71,1697,24
61,T59,T59,Rory Sabbatini,84,70.71,1202,17
62,T63,T63,Jonathan Byrd,69,70.73,778,11
63,T63,T63,Kevin Stadler,85,70.73,778,11
64,T65,T65,Ricky Barnes,92,70.75,1132,16
65,T65,T65,Bud Cauley,99,70.75,849,12
66,67,67,Justin Leonard,79,70.77,920,13
67,T68,T68,Charles Howell III,98,70.79,1345,19
68,T68,T68,Bryce Molder,83,70.79,991,14
69,70,70,Roberto Castro,92,70.81,1133,16
70,T71,T71,James Driscoll,83,70.86,992,14
71,T71,T71,Richard Lee,71,70.86,496,7
72,T71,T71,Steve Wheatcroft,56,70.86,992,14
73,T74,T74,Gary Christian,91,70.88,1134,16
74,T74,T74,Harris English,98,70.88,1134,16
75,T74,T74,Heath Slocum,93,70.88,1134,16
76,77,77,Cameron Tringale,88,70.9,1418,20
77,78,78,Boo Weekley,74,70.91,780,11
78,79,79,Ben Curtis,62,70.93,993,14
79,80,80,Charlie Wi,86,70.94,1206,17
80,81,81,Bobby Gates,87,70.95,1561,22
81,T82,T82,Jason Bohn,81,71.0,1349,19
82,T82,T82,Keegan Bradley,90,71.0,71,1
83,T82,T82,Ben Crane,73,71.0,994,14
84,T82,T82,Bob Estes,78,71.0,1136,16
85,T82,T82,Russell Knox,72,71.0,710,10
86,T82,T82,Graeme McDowell,55,71.0,497,7
87,T82,T82,Garth Mulroy,59,71.0,852,12
88,T82,T82,Jhonattan Vegas,77,71.0,994,14
89,T90,T90,Tim Herron,88,71.06,1208,17
90,T90,T90,Jerry Kelly,84,71.06,1208,17
91,92,92,Kyle Stanley,86,71.07,995,14
92,93,93,Kyle Reifers,86,71.08,853,12
93,T94,T94,Tommy Gainey,98,71.09,782,11
94,T94,T94,William McGirt,96,71.09,1564,22
95,96,96,Ryo Ishikawa,54,71.14,498,7
96,97,97,Miguel Angel Carballo,73,71.18,1210,17
97,T98,T98,D.A. Points,88,71.2,1424,20
98,T98,T98,Roland Thatcher,55,71.2,1068,15
99,T98,T98,Michael Thompson,80,71.2,1068,15
100,101,101,Rod Pampling,88,71.21,997,14
101,102,102,Stuart Appleby,75,71.22,641,9
102,T103,T103,Brian Davis,91,71.25,855,12
103,T103,T103,Ernie Els,80,71.25,285,4
104,T103,T103,Dustin Johnson,70,71.25,285,4
105,106,106,J.J. Henry,93,71.28,1283,18
106,T107,T107,Greg Chalmers,88,71.29,998,14
107,T107,T107,Camilo Villegas,79,71.29,499,7
108,109,109,Billy Mayfair,90,71.33,1070,15
109,110,110,Charley Hoffman,88,71.36,1784,25
110,T111,T111,Marco Dawson,60,71.38,928,13
111,T111,T111,Martin Flores,95,71.38,928,13
112,T111,T111,Ryan Moore,89,71.38,1142,16
113,114,114,Brandt Jobe,57,71.4,714,10
114,115,115,Chez Reavie,83,71.41,1571,22
115,116,116,Ángel Cabrera,54,71.44,643,9
116,117,117,Derek Lamely,64,71.46,929,13
117,118,118,Jimmy Walker,101,71.47,1072,15
118,119,119,Daniel Summerhays,81,71.5,1287,18
119,120,120,Chris DiMarco,83,71.53,1216,17
120,T121,T121,Charlie Beljan,61,71.55,787,11
121,T121,T121,Jason Kokrak,79,71.55,787,11
122,T121,T121,Kevin Streelman,89,71.55,1431,20
123,124,124,Robert Karlsson,54,71.56,644,9
124,125,125,Gavin Coles,72,71.57,1002,14
125,126,126,Carl Pettersson,92,71.59,1217,17
126,127,127,Matt Every,80,71.61,1289,18
127,128,128,Mathew Goggin,65,71.62,1504,21
128,129,129,Scott Piercy,95,71.63,1146,16
129,T130,T130,Harrison Frazar,56,71.67,1075,15
