,Front_9_Round_2_Scoring_Average_RANK THIS WEEK,Front_9_Round_2_Scoring_Average_RANK LAST WEEK,Front_9_Round_2_Scoring_Average_PLAYER NAME,Front_9_Round_2_Scoring_Average_AVG,Front_9_Round_2_Scoring_Average_TOTAL STROKES,Front_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Jason Dufner,33.86,711,21
1,2,2,Charlie Beljan,34.26,651,19
2,3,3,Tiger Woods,34.33,618,18
3,T4,T4,Rocco Mediate,34.43,723,21
4,T4,T4,Brandt Snedeker,34.43,723,21
5,T6,T6,Jonas Blixt,34.48,724,21
6,T6,T6,Brendon de Jonge,34.48,1069,31
7,8,8,Bobby Gates,34.5,966,28
8,9,9,Ryan Moore,34.54,829,24
9,10,10,Chris Kirk,34.56,864,25
10,T11,T11,Matt Kuchar,34.57,726,21
11,T11,T11,John Senden,34.57,726,21
12,13,13,Billy Horschel,34.63,554,16
13,14,14,Bo Van Pelt,34.64,762,22
14,T15,T15,Vijay Singh,34.65,901,26
15,T15,T15,Camilo Villegas,34.65,797,23
16,T17,T17,Tom Gillis,34.67,728,21
17,T17,T17,Graeme McDowell,34.67,520,15
18,T17,T17,Phil Mickelson,34.67,728,21
19,20,20,Luke Donald,34.69,555,16
20,21,21,Chad Campbell,34.7,937,27
21,22,22,Bud Cauley,34.71,972,28
22,23,23,Russell Knox,34.77,765,22
23,T24,T24,Ian Poulter,34.79,487,14
24,T24,T24,Henrik Stenson,34.79,487,14
25,T24,T24,Jimmy Walker,34.79,974,28
26,27,27,Martin Laird,34.81,731,21
27,28,28,Michael Bradley,34.82,766,22
28,T29,T29,Charles Howell III,34.83,1010,29
29,T29,T29,Matt Jones,34.83,627,18
30,31,31,Carl Pettersson,34.85,906,26
31,32,32,Will Claxton,34.86,976,28
32,33,33,Adam Scott,34.87,523,15
33,34,34,Zach Johnson,34.88,837,24
34,T35,T35,Chris Couch,34.89,628,18
35,T35,T35,David Toms,34.89,628,18
36,37,37,Kris Blanks,34.9,733,21
37,T38,T38,Ben Crane,34.91,768,22
38,T38,T38,Spencer Levin,34.91,803,23
39,40,40,Robert Garrigus,34.92,873,25
40,41,41,John Daly,34.93,489,14
41,42,42,Ernie Els,34.95,734,21
42,T43,T43,Roberto Castro,34.96,909,26
43,T43,T43,Gary Christian,34.96,944,27
44,T43,T43,Brian Davis,34.96,979,28
45,T43,T43,Bob Estes,34.96,804,23
46,47,47,Blake Adams,34.97,1119,32
47,T48,T48,Kevin Chappell,35.0,910,26
48,T48,T48,Harris English,35.0,945,27
49,T48,T48,Kevin Kisner,35.0,805,23
