,Early_Round_1_Scoring_Average_RANK THIS WEEK,Early_Round_1_Scoring_Average_RANK LAST WEEK,Early_Round_1_Scoring_Average_PLAYER NAME,Early_Round_1_Scoring_Average_AVG,Early_Round_1_Scoring_Average_TOTAL STROKES,Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Ken Duke,68.19,1091,16
1,2,2,Rory McIlroy,68.29,478,7
2,3,3,Zach Johnson,68.42,821,12
3,4,4,Sergio Garcia,68.71,481,7
4,T5,T5,Padraig Harrington,68.91,758,11
5,T5,T5,Tiger Woods,68.91,758,11
6,7,7,David Toms,69.13,553,8
7,8,8,Webb Simpson,69.17,830,12
8,9,9,Jeff Maggert,69.19,1107,16
9,10,10,Carl Pettersson,69.21,969,14
10,11,11,Dustin Johnson,69.22,623,9
11,12,12,Graham DeLaet,69.27,762,11
12,13,13,Ian Poulter,69.29,485,7
13,T14,T14,Nathan Green,69.33,624,9
14,T14,T14,Nick Watney,69.33,832,12
15,16,16,Brian Harman,69.38,902,13
16,17,17,Steve Stricker,69.43,486,7
17,18,18,Keegan Bradley,69.53,1043,15
18,19,19,Will Claxton,69.55,765,11
19,20,20,Matt Every,69.62,905,13
20,T21,T21,Harris English,69.64,975,14
21,T21,T21,Jim Furyk,69.64,766,11
22,23,23,Pat Perez,69.67,1045,15
23,24,24,K.J. Choi,69.7,697,10
24,25,25,Jeff Overton,69.73,1046,15
25,26,26,John Daly,69.75,558,8
26,27,27,Greg Owen,69.77,907,13
27,28,28,Matt Kuchar,69.85,908,13
28,T29,T29,Ben Curtis,69.89,629,9
29,T29,T29,Hunter Mahan,69.89,629,9
30,31,31,Charles Howell III,69.93,979,14
31,32,32,William McGirt,70.07,1051,15
32,33,33,Jimmy Walker,70.08,911,13
33,34,34,Davis Love III,70.09,771,11
34,35,35,Gary Christian,70.15,912,13
35,T36,T36,Martin Flores,70.19,1123,16
36,T36,T36,Josh Teater,70.19,1123,16
37,38,38,Daniel Summerhays,70.2,1053,15
38,39,39,Brandt Snedeker,70.22,632,9
39,T40,T40,Billy Horschel,70.25,562,8
40,T40,T40,Kyle Reifers,70.25,843,12
41,42,42,Brendon de Jonge,70.27,1054,15
42,43,43,David Hearn,70.29,1195,17
43,44,44,Bud Cauley,70.31,1125,16
44,T45,T45,Luke Donald,70.33,633,9
45,T45,T45,Scott Piercy,70.33,1055,15
46,47,47,James Driscoll,70.36,985,14
47,48,48,Richard Lee,70.42,845,12
48,49,49,John Rollins,70.43,986,14
49,T50,T50,Justin Rose,70.44,634,9
50,T50,T50,Rory Sabbatini,70.44,1127,16
51,52,52,Stuart Appleby,70.45,775,11
52,53,53,Bill Lunde,70.46,916,13
53,T54,T54,Greg Chalmers,70.47,1057,15
54,T54,T54,Chris Stroud,70.47,1198,17
55,T56,T56,Russell Knox,70.5,705,10
56,T56,T56,Ryan Moore,70.5,987,14
57,T56,T56,Seung-Yul Noh,70.5,705,10
58,T56,T56,Sean O'Hair,70.5,705,10
59,T56,T56,Henrik Stenson,70.5,564,8
60,T56,T56,Kevin Streelman,70.5,846,12
61,T56,T56,Jhonattan Vegas,70.5,987,14
62,63,63,Blake Adams,70.53,1058,15
63,64,64,Charlie Wi,70.54,917,13
64,65,65,Kevin Stadler,70.55,776,11
65,T66,T66,Ricky Barnes,70.57,988,14
66,T66,T66,Camilo Villegas,70.57,988,14
67,68,68,J.B. Holmes,70.58,847,12
68,69,69,Brian Gay,70.6,1059,15
69,70,70,Charl Schwartzel,70.63,565,8
70,T71,T71,Chris Couch,70.64,777,11
71,T71,T71,Rod Pampling,70.64,989,14
72,T73,T73,Hunter Haas,70.67,636,9
73,T73,T73,Louis Oosthuizen,70.67,636,9
74,T73,T73,Adam Scott,70.67,848,12
75,T76,T76,Jason Bohn,70.69,1131,16
76,T76,T76,Jason Kokrak,70.69,919,13
77,T76,T76,Ryan Palmer,70.69,919,13
78,79,79,Rickie Fowler,70.7,707,10
79,80,80,Troy Kelly,70.71,495,7
80,81,81,Ernie Els,70.75,566,8
81,82,82,Kyle Stanley,70.79,991,14
82,T83,T83,Chris DiMarco,70.8,1062,15
83,T83,T83,Jason Dufner,70.8,708,10
84,T83,T83,John Senden,70.8,708,10
85,86,86,Brandt Jobe,70.82,779,11
86,87,87,Jonas Blixt,70.83,850,12
87,88,88,J.J. Henry,70.85,921,13
88,89,89,Bubba Watson,70.86,496,7
89,90,90,Ben Crane,70.91,780,11
90,91,91,Vaughn Taylor,70.92,922,13
91,92,92,Robert Garrigus,70.93,1064,15
92,93,93,D.A. Points,70.94,1135,16
93,T94,T94,Mark Anderson,71.0,852,12
94,T94,T94,Aaron Baddeley,71.0,710,10
95,T94,T94,Jonathan Byrd,71.0,639,9
96,T94,T94,Freddie Jacobson,71.0,568,8
97,T94,T94,Chez Reavie,71.0,639,9
98,T94,T94,Heath Slocum,71.0,1065,15
99,T94,T94,Brendon Todd,71.0,923,13
100,T94,T94,Lee Westwood,71.0,568,8
101,T102,T102,Gavin Coles,71.08,853,12
102,T102,T102,Bo Van Pelt,71.08,853,12
