,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Jason Dufner,22,2.11,173,82
1,2,2,Jim Furyk,24,2.19,184,84
2,3,3,Brian Gay,28,2.28,198,87
3,4,4,Justin Rose,19,2.31,157,68
4,5,5,Steve Stricker,19,2.34,164,70
5,6,6,Luke Donald,17,2.35,146,62
6,7,7,Ben Curtis,19,2.37,147,62
7,8,8,Tiger Woods,19,2.39,160,67
8,T9,T9,Bud Cauley,28,2.43,241,99
9,T9,T9,Bryce Molder,25,2.43,192,79
10,T9,T9,Webb Simpson,22,2.43,185,76
11,12,12,Russell Knox,23,2.44,166,68
12,T13,T13,Billy Horschel,17,2.46,145,59
13,T13,T13,Rocco Mediate,23,2.46,167,68
14,T13,T13,Vaughn Taylor,26,2.46,194,79
15,16,16,Bill Lunde,25,2.47,195,79
16,T17,T17,Matt Kuchar,22,2.48,203,82
17,T17,T17,Scott Piercy,28,2.48,236,95
18,T17,T17,Kevin Stadler,25,2.48,201,81
19,T20,T20,Brian Harman,30,2.49,251,101
20,T20,T20,Brandt Snedeker,22,2.49,194,78
21,T22,T22,Carl Pettersson,26,2.5,230,92
22,T22,T22,Cameron Tringale,26,2.5,220,88
23,T24,T24,Graham DeLaet,23,2.51,198,79
24,T24,T24,David Hearn,28,2.51,238,95
25,T24,T24,Sean O'Hair,24,2.51,211,84
26,T24,T24,Camilo Villegas,25,2.51,193,77
27,T28,T28,Brendon de Jonge,31,2.52,290,115
28,T28,T28,Dustin Johnson,19,2.52,169,67
29,T28,T28,Phil Mickelson,22,2.52,199,79
30,T28,T28,Pat Perez,23,2.52,199,79
31,T32,T32,Jonas Blixt,21,2.53,182,72
32,T32,T32,Will Claxton,28,2.53,250,99
33,T32,T32,Matt Every,25,2.53,202,80
34,T32,T32,Seung-Yul Noh,28,2.53,256,101
35,T32,T32,Jeff Overton,29,2.53,256,101
36,T32,T32,John Senden,22,2.53,197,78
37,T38,T38,Sergio Garcia,16,2.54,142,56
38,T38,T38,Zach Johnson,25,2.54,239,94
39,T38,T38,Hunter Mahan,23,2.54,208,82
40,T38,T38,Louis Oosthuizen,19,2.54,160,63
41,T42,T42,Charlie Beljan,22,2.56,146,57
42,T42,T42,Kevin Na,25,2.56,202,79
43,T42,T42,Chris Stroud,28,2.56,220,86
44,T42,T42,Bubba Watson,19,2.56,169,66
45,T46,T46,Rory McIlroy,16,2.57,139,54
46,T46,T46,Ian Poulter,15,2.57,144,56
47,T46,T46,David Toms,19,2.57,149,58
48,T49,T49,Robert Garrigus,26,2.58,230,89
49,T49,T49,J.J. Henry,28,2.58,230,89
50,T49,T49,Geoff Ogilvy,20,2.58,186,72
51,T52,T52,Bob Estes,23,2.59,202,78
52,T52,T52,Nathan Green,22,2.59,179,69
53,T54,T54,Roberto Castro,27,2.6,234,90
54,T54,T54,Matt Jones,19,2.6,138,53
55,T56,T56,Stuart Appleby,24,2.62,186,71
56,T56,T56,Ernie Els,22,2.62,204,78
57,T58,T58,Brian Davis,29,2.63,239,91
58,T58,T58,Martin Flores,30,2.63,250,95
59,T58,T58,Jerry Kelly,26,2.63,221,84
60,T58,T58,Chris Kirk,27,2.63,234,89
