,Back_9_Par_5_Scoring_Average_RANK THIS WEEK,Back_9_Par_5_Scoring_Average_RANK LAST WEEK,Back_9_Par_5_Scoring_Average_PLAYER NAME,Back_9_Par_5_Scoring_Average_ROUNDS,Back_9_Par_5_Scoring_Average_AVG,Back_9_Par_5_Scoring_Average_TOTAL STROKES,Back_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Rory McIlroy,60,4.4,352,80
1,2,2,Sean O'Hair,84,4.46,580,130
2,3,3,Bubba Watson,68,4.49,494,110
3,4,4,John Daly,50,4.53,308,68
4,5,5,Kyle Stanley,86,4.54,577,127
5,6,6,Charlie Beljan,61,4.57,430,94
6,T7,T7,Chris Couch,61,4.58,458,100
7,T7,T7,Robert Garrigus,89,4.58,659,144
8,T7,T7,Dustin Johnson,70,4.58,490,107
9,T10,T10,Kevin Chappell,91,4.59,675,147
10,T10,T10,Jason Dufner,83,4.59,606,132
11,T10,T10,Charley Hoffman,88,4.59,657,143
12,T10,T10,Pat Perez,81,4.59,624,136
13,14,14,Roberto Castro,92,4.6,644,140
14,T15,T15,Sergio Garcia,57,4.61,415,90
15,T15,T15,Zach Johnson,95,4.61,683,148
16,T15,T15,Robert Karlsson,54,4.61,406,88
17,T15,T15,Russell Knox,72,4.61,521,113
18,T15,T15,Marc Leishman,84,4.61,618,134
19,T15,T15,Brandt Snedeker,81,4.61,581,126
20,T15,T15,Jimmy Walker,101,4.61,793,172
21,T22,T22,Ben Crane,73,4.62,573,124
22,T22,T22,Brendon de Jonge,115,4.62,877,190
23,T22,T22,J.B. Holmes,90,4.62,660,143
24,T22,T22,John Merrick,83,4.62,582,126
25,T22,T22,Jeff Overton,101,4.62,758,164
26,T27,T27,Harrison Frazar,56,4.63,407,88
27,T27,T27,Charles Howell III,98,4.63,703,152
28,T27,T27,Jason Kokrak,79,4.63,570,123
29,T27,T27,Phil Mickelson,79,4.63,639,138
30,T27,T27,Ryan Palmer,81,4.63,607,131
31,T27,T27,Adam Scott,59,4.63,417,90
32,T33,T33,Rickie Fowler,84,4.64,631,136
33,T33,T33,Martin Laird,77,4.64,575,124
34,T33,T33,Bill Lunde,83,4.64,636,137
35,T33,T33,Seung-Yul Noh,105,4.64,729,157
36,T33,T33,Webb Simpson,77,4.64,585,126
37,T33,T33,Camilo Villegas,79,4.64,617,133
38,T39,T39,Ricky Barnes,92,4.65,669,144
39,T39,T39,Bud Cauley,99,4.65,754,162
40,T39,T39,Ken Duke,104,4.65,781,168
41,T39,T39,Kevin Na,80,4.65,642,138
42,T39,T39,Louis Oosthuizen,65,4.65,432,93
