,Par_4_Scoring_Average_RANK THIS WEEK,Par_4_Scoring_Average_RANK LAST WEEK,Par_4_Scoring_Average_PLAYER NAME,Par_4_Scoring_Average_ROUNDS,Par_4_Scoring_Average_AVG,Par_4_Scoring_Average_TOTAL STROKES,Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Bubba Watson,68,3.98,2840,714
1,T2,T2,Jonas Blixt,72,3.99,3094,776
2,T2,T2,Tiger Woods,69,3.99,2900,726
3,T4,T4,Jason Dufner,83,4.0,3552,888
4,T4,T4,Bill Haas,79,4.0,3360,840
5,T4,T4,Chris Kirk,93,4.0,3880,969
6,T4,T4,Matt Kuchar,86,4.0,3582,896
7,T4,T4,Graeme McDowell,55,4.0,2330,582
8,T4,T4,Ryan Moore,89,4.0,3805,952
9,T4,T4,Justin Rose,69,4.0,2891,722
10,T4,T4,Webb Simpson,77,4.0,3287,822
11,T4,T4,Steve Stricker,73,4.0,3059,764
12,T13,T13,Will Claxton,99,4.01,4343,1082
13,T13,T13,Jim Furyk,85,4.01,3661,914
14,T13,T13,Bo Van Pelt,84,4.01,3597,896
15,T16,T16,Ben Curtis,62,4.02,2644,658
16,T16,T16,Brian Davis,91,4.02,3924,976
17,T16,T16,Brendon de Jonge,115,4.02,4973,1236
18,T16,T16,Luke Donald,63,4.02,2655,660
19,T16,T16,Ken Duke,104,4.02,4545,1130
20,T16,T16,Ernie Els,80,4.02,3403,846
21,T16,T16,Matt Every,80,4.02,3442,857
22,T16,T16,Billy Horschel,63,4.02,2627,654
23,T16,T16,Dustin Johnson,70,4.02,2942,732
24,T16,T16,Rory McIlroy,60,4.02,2378,592
25,T16,T16,John Merrick,83,4.02,3471,864
26,T16,T16,Carl Pettersson,92,4.02,4057,1010
27,T16,T16,Scott Piercy,95,4.02,4129,1028
28,T16,T16,John Senden,81,4.02,3362,836
29,T16,T16,Vijay Singh,99,4.02,4333,1079
30,T16,T16,Brandt Snedeker,81,4.02,3380,840
31,T32,T32,Roberto Castro,92,4.03,3969,984
32,T32,T32,Bud Cauley,99,4.03,4260,1058
33,T32,T32,Graham DeLaet,79,4.03,3494,866
34,T32,T32,Robert Garrigus,89,4.03,3838,953
35,T32,T32,J.J. Henry,93,4.03,3843,953
36,T32,T32,Zach Johnson,95,4.03,4114,1020
37,T32,T32,Russell Knox,72,4.03,2983,740
38,T32,T32,Danny Lee,74,4.03,3058,758
39,T32,T32,William McGirt,96,4.03,4150,1030
40,T32,T32,Kevin Na,80,4.03,3414,848
41,T32,T32,Jeff Overton,101,4.03,4409,1095
42,T32,T32,Pat Perez,81,4.03,3369,835
43,T32,T32,Ian Poulter,57,4.03,2437,604
44,T32,T32,Charl Schwartzel,56,4.03,2379,590
45,T32,T32,Heath Slocum,93,4.03,3939,977
46,T32,T32,Daniel Summerhays,81,4.03,3542,878
47,T48,T48,Tim Clark,60,4.04,2684,664
48,T48,T48,Ben Crane,73,4.04,3106,768
49,T48,T48,Nathan Green,73,4.04,3057,756
50,T48,T48,David Hearn,95,4.04,4165,1032
51,T48,T48,Kevin Kisner,69,4.04,2853,706
52,T48,T48,Hunter Mahan,88,4.04,3593,890
53,T48,T48,Phil Mickelson,79,4.04,3400,842
54,T48,T48,Seung-Yul Noh,105,4.04,4423,1096
55,T48,T48,Louis Oosthuizen,65,4.04,2777,688
56,T48,T48,D.A. Points,88,4.04,3874,958
57,T48,T48,John Rollins,81,4.04,3373,834
58,T48,T48,Kevin Stadler,85,4.04,3544,878
59,T48,T48,David Toms,60,4.04,2498,618
60,T48,T48,Lee Westwood,60,4.04,2378,588
