,Late_Par_3_Scoring_Average_RANK THIS WEEK,Late_Par_3_Scoring_Average_RANK LAST WEEK,Late_Par_3_Scoring_Average_PLAYER NAME,Late_Par_3_Scoring_Average_ROUNDS,Late_Par_3_Scoring_Average_AVG,Late_Par_3_Scoring_Average_TOTAL STROKES,Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Rory McIlroy,60,2.91,407,140
1,T2,T2,John Huh,99,2.98,614,206
2,T2,T2,Geoff Ogilvy,73,2.98,385,129
3,T4,T4,James Driscoll,83,2.99,482,161
4,T4,T4,Jason Dufner,83,2.99,609,204
5,T4,T4,Rickie Fowler,84,2.99,433,145
6,T4,T4,Tom Gillis,75,2.99,425,142
7,T4,T4,Padraig Harrington,67,2.99,464,155
8,T9,T9,Matt Jones,53,3.0,342,114
9,T9,T9,Troy Matteson,100,3.0,558,186
10,T9,T9,Seung-Yul Noh,105,3.0,602,201
11,T9,T9,Adam Scott,59,3.0,372,124
12,T13,T13,Keegan Bradley,90,3.01,544,181
13,T13,T13,Brendon de Jonge,115,3.01,701,233
14,T13,T13,Chris Kirk,93,3.01,550,183
15,T13,T13,Martin Laird,77,3.01,491,163
16,T13,T13,Richard Lee,71,3.01,316,105
17,T13,T13,Ryan Palmer,81,3.01,542,180
18,T13,T13,Rod Pampling,88,3.01,352,117
19,T13,T13,Kevin Streelman,89,3.01,590,196
20,T21,T21,Brian Gay,91,3.02,501,166
21,T21,T21,Brandt Jobe,57,3.02,254,84
22,T21,T21,Phil Mickelson,79,3.02,526,174
23,T21,T21,Dicky Pride,62,3.02,362,120
24,T21,T21,John Rollins,81,3.02,513,170
25,T21,T21,Chris Stroud,86,3.02,543,180
26,T27,T27,Charlie Beljan,61,3.03,357,118
27,T27,T27,Jim Furyk,85,3.03,593,196
28,T27,T27,Matt Kuchar,86,3.03,572,189
29,T27,T27,Danny Lee,74,3.03,427,141
30,T27,T27,Steve Stricker,73,3.03,522,172
31,T27,T27,Roland Thatcher,55,3.03,315,104
32,T27,T27,Bo Van Pelt,84,3.03,615,203
33,T34,T34,Robert Allenby,76,3.04,429,141
34,T34,T34,John Daly,50,3.04,283,93
35,T34,T34,Matt Every,80,3.04,541,178
36,T34,T34,Harrison Frazar,56,3.04,362,119
37,T34,T34,David Hearn,95,3.04,489,161
38,T34,T34,Freddie Jacobson,61,3.04,377,124
39,T34,T34,John Mallinger,74,3.04,465,153
40,T34,T34,Rocco Mediate,70,3.04,392,129
41,T34,T34,Bryce Molder,83,3.04,450,148
42,T34,T34,Alexandre Rocha,62,3.04,319,105
43,T34,T34,Webb Simpson,77,3.04,556,183
44,T34,T34,Brandt Snedeker,81,3.04,559,184
45,T34,T34,Michael Thompson,80,3.04,484,159
46,T34,T34,Camilo Villegas,79,3.04,444,146
47,T48,T48,Ricky Barnes,92,3.05,482,158
48,T48,T48,Roberto Castro,92,3.05,454,149
49,T48,T48,Gavin Coles,72,3.05,378,124
50,T48,T48,Ben Curtis,62,3.05,439,144
51,T48,T48,Luke Donald,63,3.05,412,135
52,T48,T48,Nathan Green,73,3.05,418,137
53,T48,T48,Charles Howell III,98,3.05,638,209
54,T48,T48,Jerry Kelly,84,3.05,460,151
55,T48,T48,Troy Kelly,68,3.05,406,133
56,T48,T48,Jeff Maggert,83,3.05,479,157
57,T48,T48,Ryan Moore,89,3.05,641,210
58,T48,T48,Justin Rose,69,3.05,469,154
59,T48,T48,Steve Wheatcroft,56,3.05,332,109
60,T61,T61,Gary Christian,91,3.06,505,165
61,T61,T61,Will Claxton,99,3.06,636,208
62,T61,T61,Jason Day,57,3.06,337,110
63,T61,T61,Chris DiMarco,83,3.06,490,160
64,T61,T61,Tim Herron,88,3.06,495,162
65,T61,T61,Zach Johnson,95,3.06,608,199
66,T61,T61,Colt Knost,79,3.06,431,141
67,T61,T61,George McNeill,85,3.06,431,141
68,T61,T61,Jeff Overton,101,3.06,612,200
69,T61,T61,Scott Piercy,95,3.06,606,198
70,T61,T61,Andres Romero,68,3.06,385,126
71,T61,T61,Rory Sabbatini,84,3.06,478,156
72,T61,T61,Charl Schwartzel,56,3.06,346,113
73,T61,T61,Heath Slocum,93,3.06,468,153
74,T61,T61,Kevin Stadler,85,3.06,514,168
75,T61,T61,Johnson Wagner,88,3.06,551,180
76,T61,T61,Jimmy Walker,101,3.06,648,212
77,T78,T78,Blake Adams,107,3.07,621,202
78,T78,T78,Sangmoon Bae,81,3.07,455,148
79,T78,T78,Greg Chalmers,88,3.07,535,174
80,T78,T78,Ben Crane,73,3.07,439,143
81,T78,T78,Brian Davis,91,3.07,587,191
82,T78,T78,Ernie Els,80,3.07,476,155
83,T78,T78,J.J. Henry,93,3.07,460,150
84,T78,T78,Trevor Immelman,76,3.07,442,144
85,T78,T78,Billy Mayfair,90,3.07,558,182
86,T78,T78,John Senden,81,3.07,531,173
87,T88,T88,Cameron Beckman,81,3.08,413,134
88,T88,T88,Bud Cauley,99,3.08,603,196
89,T88,T88,Chris Couch,61,3.08,317,103
90,T88,T88,Graham DeLaet,79,3.08,471,153
91,T88,T88,Harris English,98,3.08,573,186
92,T88,T88,Sergio Garcia,57,3.08,404,131
