,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Jason Dufner,83,1.6,331,207
1,2,2,Tiger Woods,69,1.58,270,171
2,3,3,Rory McIlroy,60,1.54,236,153
3,T4,T4,Webb Simpson,77,1.49,318,213
4,T4,T4,Steve Stricker,73,1.49,272,182
5,6,6,Justin Rose,69,1.48,257,174
6,7,7,Bubba Watson,68,1.47,264,179
7,8,8,Brandt Snedeker,81,1.45,318,220
8,9,9,Jim Furyk,85,1.42,279,196
9,10,10,Jonas Blixt,72,1.41,286,203
10,T11,T11,Brendon de Jonge,115,1.4,442,315
11,T11,T11,Phil Mickelson,79,1.4,318,227
12,T13,T13,Luke Donald,63,1.39,226,163
13,T13,T13,Matt Kuchar,86,1.39,302,218
14,T15,T15,Ben Curtis,62,1.38,224,162
15,T15,T15,Jeff Overton,101,1.38,396,286
16,T17,T17,Dustin Johnson,70,1.37,259,189
17,T17,T17,Scott Piercy,95,1.37,380,277
18,T19,T19,Robert Garrigus,89,1.36,367,269
19,T19,T19,Zach Johnson,95,1.36,367,269
20,T21,T21,Pat Perez,81,1.35,302,224
21,T21,T21,John Senden,81,1.35,298,220
22,T23,T23,Bud Cauley,99,1.33,359,269
23,T23,T23,Louis Oosthuizen,65,1.33,246,185
24,T25,T25,Keegan Bradley,90,1.32,358,271
25,T25,T25,Billy Horschel,63,1.32,213,161
26,T25,T25,Ryan Moore,89,1.32,357,270
27,T25,T25,Carl Pettersson,92,1.32,346,263
28,T25,T25,Bo Van Pelt,84,1.32,337,256
29,T30,T30,Will Claxton,99,1.3,364,279
30,T30,T30,Ben Crane,73,1.3,292,225
31,T30,T30,Ryan Palmer,81,1.3,320,247
32,T33,T33,Matt Every,80,1.29,308,238
33,T33,T33,Sergio Garcia,57,1.29,210,163
34,T33,T33,Chris Kirk,93,1.29,345,268
35,T33,T33,Seung-Yul Noh,105,1.29,369,287
36,37,37,Brian Gay,91,1.28,294,229
37,T38,T38,Russell Knox,72,1.27,234,184
38,T38,T38,Sean O'Hair,84,1.27,320,251
39,T38,T38,Kevin Stadler,85,1.27,288,227
40,T38,T38,Camilo Villegas,79,1.27,287,226
41,T38,T38,Jimmy Walker,101,1.27,389,307
42,T43,T43,Ken Duke,104,1.26,394,312
43,T43,T43,Adam Scott,59,1.26,226,180
44,T45,T45,Roberto Castro,92,1.25,318,254
45,T45,T45,Richard Lee,71,1.25,248,198
46,47,47,Henrik Stenson,51,1.24,190,153
47,T48,T48,Nathan Green,73,1.23,254,207
48,T48,T48,Kevin Na,80,1.23,282,229
49,T48,T48,Vaughn Taylor,81,1.23,291,237
50,T51,T51,Bill Haas,79,1.22,274,225
51,T51,T51,David Hearn,95,1.22,328,268
52,T51,T51,Geoff Ogilvy,73,1.22,256,209
53,T51,T51,Ian Poulter,57,1.22,195,160
54,T51,T51,Vijay Singh,99,1.22,367,301
55,T56,T56,Daniel Summerhays,81,1.21,285,236
56,T56,T56,David Toms,60,1.21,201,166
57,T58,T58,Tom Gillis,75,1.2,288,241
58,T58,T58,Bill Lunde,83,1.2,278,232
59,T58,T58,John Merrick,83,1.2,286,238
60,T58,T58,Bryce Molder,83,1.2,264,220
61,T58,T58,Josh Teater,97,1.2,356,297
62,T63,T63,Jason Day,57,1.19,205,172
63,T63,T63,Graham DeLaet,79,1.19,280,236
64,T63,T63,Martin Flores,95,1.19,338,285
65,T63,T63,Brian Harman,101,1.19,359,302
66,T63,T63,John Huh,99,1.19,368,310
67,T63,T63,William McGirt,96,1.19,329,277
68,T63,T63,John Rollins,81,1.19,283,238
69,T63,T63,Cameron Tringale,88,1.19,313,262
70,T71,T71,Charlie Beljan,61,1.18,216,183
71,T71,T71,Harris English,98,1.18,363,308
72,T71,T71,Danny Lee,74,1.18,260,220
73,T71,T71,Hunter Mahan,88,1.18,286,243
74,T71,T71,Graeme McDowell,55,1.18,208,177
75,T71,T71,D.A. Points,88,1.18,322,273
76,T71,T71,Charl Schwartzel,56,1.18,197,167
77,T71,T71,Lee Westwood,60,1.18,213,181
78,T79,T79,Blake Adams,107,1.17,400,341
79,T79,T79,Chris Couch,61,1.17,215,183
80,T79,T79,Brian Davis,91,1.17,325,277
81,T79,T79,Ernie Els,80,1.17,258,221
82,T79,T79,Padraig Harrington,67,1.17,227,194
83,T79,T79,Greg Owen,90,1.17,337,289
84,T79,T79,Dicky Pride,62,1.17,203,173
85,T79,T79,Chris Stroud,86,1.17,287,246
86,T87,T87,Greg Chalmers,88,1.16,302,261
87,T87,T87,Jerry Kelly,84,1.16,287,248
88,T87,T87,Rocco Mediate,70,1.16,226,194
89,T87,T87,Kevin Streelman,89,1.16,306,264
90,T91,T91,John Mallinger,74,1.15,240,209
91,T91,T91,Nick Watney,97,1.15,353,308
92,T93,T93,Stuart Appleby,75,1.14,233,205
93,T93,T93,J.B. Holmes,90,1.14,324,285
94,T93,T93,Martin Laird,77,1.14,274,241
95,T96,T96,Rickie Fowler,84,1.13,300,266
96,T96,T96,Mathew Goggin,65,1.13,217,192
97,T96,T96,Davis Love III,64,1.13,236,208
98,T96,T96,Jeff Maggert,83,1.13,283,250
99,T96,T96,Johnson Wagner,88,1.13,310,274
100,T101,T101,Gary Christian,91,1.12,306,274
101,T101,T101,Bob Estes,78,1.12,257,230
102,T101,T101,J.J. Henry,93,1.12,281,251
103,T101,T101,Charles Howell III,98,1.12,341,304
104,T101,T101,Heath Slocum,93,1.12,286,256
105,106,106,Tim Herron,88,1.11,289,261
106,T107,T107,Jonathan Byrd,69,1.1,236,214
107,T107,T107,Gavin Coles,72,1.1,236,214
108,T107,T107,Kevin Kisner,69,1.1,214,195
109,T107,T107,Kyle Stanley,86,1.1,306,277
110,T111,T111,Matt Jones,53,1.09,174,159
111,T111,T111,Rory Sabbatini,84,1.09,301,277
112,T113,T113,Kyle Reifers,86,1.08,281,261
113,T113,T113,Boo Weekley,74,1.08,234,216
