,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Bubba Watson,68,91.4,1188,13
1,2,2,Jonas Blixt,72,92.6,1296,14
2,3,3,Gary Woodland,70,95.5,1242,13
3,4,4,Charles Howell III,98,98.0,1764,18
4,T5,T5,Ben Crane,73,108.0,1296,12
5,T5,T5,Rory McIlroy,60,108.0,972,9
6,7,7,Keegan Bradley,90,113.1,1584,14
7,8,8,Robert Garrigus,89,114.4,1602,14
8,9,9,Bobby Gates,87,117.7,1530,13
9,10,10,Kyle Reifers,86,119.1,1548,13
10,11,11,Nick Watney,97,120.9,1692,14
11,12,12,Brendon de Jonge,115,121.8,2070,17
12,13,13,Scott Piercy,95,122.1,1710,14
13,14,14,Arjun Atwal,79,122.7,1350,11
14,15,15,Chris Kirk,93,123.2,1602,13
15,16,16,James Driscoll,83,124.5,1494,12
16,17,17,Edward Loar,59,128.3,1026,8
17,T18,T18,Brian Harman,101,129.9,1818,14
18,T18,T18,Jimmy Walker,101,129.9,1818,14
19,20,20,Russell Knox,72,136.0,1224,9
20,T21,T21,Ángel Cabrera,54,138.9,972,7
21,T21,T21,Harrison Frazar,56,138.9,972,7
22,23,23,Luke Donald,63,139.5,1116,8
23,24,24,Scott Stallings,78,140.4,1404,10
24,25,25,Scott Brown,65,141.8,1134,8
25,26,26,Graham DeLaet,79,142.2,1422,10
26,T27,T27,Charley Hoffman,88,144.0,1584,11
27,T27,T27,Troy Kelly,68,144.0,1152,8
28,T29,T29,Charlie Beljan,61,146.6,1026,7
29,T29,T29,Garth Mulroy,59,146.6,1026,7
30,31,31,Adam Scott,59,149.1,1044,7
31,32,32,Bo Van Pelt,84,149.4,1494,10
32,33,33,Dustin Johnson,70,150.8,1206,8
33,34,34,Kyle Stanley,86,151.2,1512,10
34,35,35,Seung-Yul Noh,105,151.5,1818,12
35,36,36,Rocco Mediate,70,153.0,1224,8
36,37,37,Zach Johnson,95,153.8,1692,11
37,T38,T38,Ken Duke,104,156.0,1872,12
38,T38,T38,Ryo Ishikawa,54,156.0,936,6
39,T38,T38,Steve Wheatcroft,56,156.0,936,6
40,41,41,Greg Chalmers,88,156.6,1566,10
41,42,42,Danny Lee,74,157.5,1260,8
42,43,43,Johnson Wagner,88,158.4,1584,10
43,44,44,Ryan Moore,89,160.2,1602,10
44,T45,T45,Louis Oosthuizen,65,162.0,1134,7
45,T45,T45,Vijay Singh,99,162.0,1782,11
46,47,47,Sung Kang,75,164.3,1314,8
47,48,48,Andres Romero,68,164.6,1152,7
48,49,49,Kris Blanks,65,167.1,1170,7
49,T50,T50,Sergio Garcia,57,168.0,1008,6
50,T50,T50,Sean O'Hair,84,168.0,1512,9
51,52,52,Jason Kokrak,79,168.8,1350,8
52,53,53,J.B. Holmes,90,172.0,1548,9
53,54,54,Kevin Chappell,91,174.0,1566,9
54,T55,T55,Chris Couch,61,177.0,1062,6
55,T55,T55,Billy Horschel,63,177.0,1062,6
56,57,57,Bill Lunde,83,177.8,1422,8
57,T58,T58,Tim Clark,60,180.0,1080,6
58,T58,T58,Boo Weekley,74,180.0,1260,7
59,60,60,Henrik Stenson,51,183.6,918,5
60,T61,T61,Rickie Fowler,84,186.8,1494,8
61,T61,T61,Jeff Maggert,83,186.8,1494,8
62,63,63,Brendan Steele,77,187.7,1314,7
63,T64,T64,Mathew Goggin,65,189.0,1134,6
64,T64,T64,Padraig Harrington,67,189.0,1134,6
65,66,66,Brendon Todd,78,190.3,1332,7
66,T67,T67,Matt Jones,53,190.8,954,5
67,T67,T67,Roland Thatcher,55,190.8,954,5
68,69,69,George McNeill,85,191.3,1530,8
69,70,70,Derek Lamely,64,192.0,1152,6
70,71,71,Charlie Wi,86,193.5,1548,8
71,72,72,Lee Westwood,60,194.4,972,5
72,73,73,Gary Christian,91,195.8,1566,8
73,74,74,Tommy Gainey,98,196.0,1764,9
74,T75,T75,Erik Compton,81,198.0,1386,7
75,T75,T75,Jason Day,57,198.0,990,5
76,T77,T77,Ernie Els,80,200.6,1404,7
77,T77,T77,John Senden,81,200.6,1404,7
78,T77,T77,Mark Wilson,84,200.6,1404,7
79,80,80,Stewart Cink,71,201.0,1206,6
80,81,81,Spencer Levin,81,203.1,1422,7
81,82,82,Justin Rose,69,204.0,1224,6
82,83,83,Brian Davis,91,204.8,1638,8
83,84,84,Michael Thompson,80,205.7,1440,7
84,85,85,John Daly,50,207.0,828,4
85,86,86,David Mathis,83,208.3,1458,7
86,T87,T87,Marco Dawson,60,208.8,1044,5
87,T87,T87,David Toms,60,208.8,1044,5
88,89,89,Steve Stricker,73,210.0,1260,6
89,90,90,Tommy Biershenk,74,216.0,1296,6
90,T91,T91,Harris English,98,220.5,1764,8
91,T91,T91,Troy Matteson,100,220.5,1764,8
92,93,93,Will Claxton,99,222.8,1782,8
93,94,94,Tim Herron,88,226.3,1584,7
94,95,95,Michael Bradley,63,226.8,1134,5
95,96,96,Jeff Overton,101,227.3,1818,8
96,97,97,Webb Simpson,77,228.0,1368,6
97,98,98,Roberto Castro,92,231.4,1620,7
98,99,99,Bill Haas,79,234.0,1404,6
99,T100,T100,John Merrick,83,237.0,1422,6
100,T100,T100,Phil Mickelson,79,237.0,1422,6
101,T100,T100,Vaughn Taylor,81,237.0,1422,6
102,T103,T103,Daniel Chopra,55,238.5,954,4
103,T103,T103,Scott Dunlap,57,238.5,954,4
104,105,105,Josh Teater,97,239.1,1674,7
105,T106,T106,Graeme McDowell,55,243.0,972,4
106,T106,T106,Daniel Summerhays,81,243.0,1458,6
107,T108,T108,Jonathan Byrd,69,244.8,1224,5
108,T108,T108,Billy Hurley III,70,244.8,1224,5
109,110,110,Jason Dufner,83,246.0,1476,6
110,111,111,Miguel Angel Carballo,73,248.4,1242,5
111,112,112,Chez Reavie,83,249.0,1494,6
112,T113,T113,K.J. Choi,71,252.0,1260,5
113,T113,T113,Jim Furyk,85,252.0,1512,6
114,T113,T113,John Mallinger,74,252.0,1260,5
115,T113,T113,Ian Poulter,57,252.0,1008,4
116,T117,T117,Bud Cauley,99,254.6,1782,7
117,T117,T117,John Huh,99,254.6,1782,7
118,119,119,Geoff Ogilvy,73,259.2,1296,5
119,T120,T120,Tom Pernice Jr.,62,261.0,1044,4
120,T120,T120,Dicky Pride,62,261.0,1044,4
121,122,122,Blake Adams,107,275.1,1926,7
122,123,123,Carl Pettersson,92,276.0,1656,6
123,T124,T124,Sangmoon Bae,81,277.2,1386,5
